NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
01/01/2006 1.00,"1,001751",
01/01/2006 2.00,"1,138317",
01/01/2006 3.00,"0,721202",
01/01/2006 4.00,"0,593431",
01/01/2006 5.00,"0,711952",
01/01/2006 6.00,"0,687038",
01/01/2006 7.00,"0,670186",
01/01/2006 8.00,"0,603506",
01/01/2006 9.00,"0,502937",
01/01/2006 10.00,"0,759855",
01/01/2006 11.00,"0,681818",
01/01/2006 12.00,"0,504219",
01/01/2006 13.00,"0,402917",
01/01/2006 14.00,"0,428105",
01/01/2006 15.00,,
01/01/2006 16.00,,
01/01/2006 17.00,"0,240981",
01/01/2006 18.00,"0,279725",
01/01/2006 19.00,"0,23979",
01/01/2006 20.00,"0,150396",
01/01/2006 21.00,"0,340176",
01/01/2006 22.00,"0,472345",
01/01/2006 23.00,"0,370676",
02/01/2006 0.00,"0,30189",
02/01/2006 1.00,,
02/01/2006 2.00,"0,339236",
02/01/2006 3.00,"0,170992",
02/01/2006 4.00,"0,295877",
02/01/2006 5.00,"0,269313",
02/01/2006 6.00,"0,216183",
02/01/2006 7.00,"0,268396",
02/01/2006 8.00,"0,48122",
02/01/2006 9.00,"0,404884",
02/01/2006 10.00,"0,493739",
02/01/2006 11.00,"0,262901",
02/01/2006 12.00,"0,087634",
02/01/2006 13.00,"0,099542",
02/01/2006 14.00,"0,152366",
02/01/2006 15.00,"0,166717",
02/01/2006 16.00,"0,264732",
02/01/2006 17.00,"0,506869",
02/01/2006 18.00,"0,748395",
02/01/2006 19.00,"1,001829",
02/01/2006 20.00,"1,080607",
02/01/2006 21.00,"0,859539",
02/01/2006 22.00,"0,655265",
02/01/2006 23.00,"0,4229",
03/01/2006 0.00,"0,497709",
03/01/2006 1.00,"0,75786",
03/01/2006 2.00,"0,57954",
03/01/2006 3.00,"0,625342",
03/01/2006 4.00,"0,819234",
03/01/2006 5.00,"0,568243",
03/01/2006 6.00,"0,526716",
03/01/2006 7.00,"0,654044",
03/01/2006 8.00,"0,811295",
03/01/2006 9.00,"1,093737",
03/01/2006 10.00,"1,026257",
03/01/2006 11.00,"0,515419","43,577347"
03/01/2006 12.00,"0,359694","34,680428"
03/01/2006 13.00,"0,585036","29,264401"
03/01/2006 14.00,"0,626869","33,735577"
03/01/2006 15.00,"0,852211","30,606415"
03/01/2006 16.00,"1,01099","33,644716"
03/01/2006 17.00,"1,163966","54,858452"
03/01/2006 18.00,"0,775875","50,097839"
03/01/2006 19.00,"0,721219","46,859658"
03/01/2006 20.00,"0,735571","49,010239"
03/01/2006 21.00,"0,708394","66,327735"
03/01/2006 22.00,"0,864425","60,369219"
03/01/2006 23.00,"0,725494","36,758313"
04/01/2006 0.00,"0,851905","24,581685"
04/01/2006 1.00,,"21,47717"
04/01/2006 2.00,"0,86233",
04/01/2006 3.00,"0,745693","16,246757"
04/01/2006 4.00,"1,204901","11,556248"
04/01/2006 5.00,"1,007224","12,097461"
04/01/2006 6.00,"0,893645","20,581646"
04/01/2006 7.00,"0,761535","34,705092"
04/01/2006 8.00,"0,933523","41,927749"
04/01/2006 9.00,"0,924165","78,73281"
04/01/2006 10.00,"0,927406","92,588887"
04/01/2006 11.00,"1,249794","108,852506"
04/01/2006 12.00,"0,6945","68,614587"
04/01/2006 13.00,"0,635355","26,605078"
04/01/2006 14.00,"0,494866","18,006669"
04/01/2006 15.00,"0,461655","16,463499"
04/01/2006 16.00,"0,847467","23,48498"
04/01/2006 17.00,"0,91866","40,022459"
04/01/2006 18.00,"1,048264","51,441153"
04/01/2006 19.00,"1,032056","39,470869"
04/01/2006 20.00,"0,984716","41,256754"
04/01/2006 21.00,"0,852789","31,540866"
04/01/2006 22.00,"0,845878","24,152097"
04/01/2006 23.00,"0,724286","25,656324"
05/01/2006 0.00,"1,038906","24,468762"
05/01/2006 1.00,"0,910709","17,610821"
05/01/2006 2.00,"0,817253","16,081934"
05/01/2006 3.00,"0,654806","15,211061"
05/01/2006 4.00,"0,709241","14,203907"
05/01/2006 5.00,"0,855969","15,161737"
05/01/2006 6.00,"0,839516","16,65948"
05/01/2006 7.00,"0,682513","24,871104"
05/01/2006 8.00,"0,651869","39,159384"
05/01/2006 9.00,"0,740005","55,541132"
05/01/2006 10.00,"0,619699","35,520141"
05/01/2006 11.00,"0,528138","23,564157"
05/01/2006 12.00,"0,684469","33,666783"
05/01/2006 13.00,"0,534376","28,986665"
05/01/2006 14.00,"0,91175","28,276719"
05/01/2006 15.00,"0,740739","23,122886"
05/01/2006 16.00,"1,094503","27,0074"
05/01/2006 17.00,"1,27536","31,788779"
05/01/2006 18.00,"1,081292","36,812844"
05/01/2006 19.00,"0,924043","43,901814"
05/01/2006 20.00,"0,658965","44,8181"
05/01/2006 21.00,"0,808385","39,700595"
05/01/2006 22.00,"0,689057","39,116556"
05/01/2006 23.00,"0,884899","35,511057"
06/01/2006 0.00,"1,117439","25,648542"
06/01/2006 1.00,,"17,58876"
06/01/2006 2.00,"0,594964",
06/01/2006 3.00,"0,609939","14,716566"
06/01/2006 4.00,"0,575956","12,203889"
06/01/2006 5.00,"0,463123","11,492653"
06/01/2006 6.00,"0,479687","10,576354"
06/01/2006 7.00,"0,431462","12,31291"
06/01/2006 8.00,"0,415326","15,808078"
06/01/2006 9.00,"0,503403","29,530476"
06/01/2006 10.00,"0,50542","20,072883"
06/01/2006 11.00,"0,23526","14,865819"
06/01/2006 12.00,"0,362516","16,71399"
06/01/2006 13.00,"0,484638","17,112443"
06/01/2006 14.00,"0,832057","17,639373"
06/01/2006 15.00,"0,707429","12,834655"
06/01/2006 16.00,"0,765129","14,830775"
06/01/2006 17.00,"1,017502","16,974869"
06/01/2006 18.00,"0,973373","25,34614"
06/01/2006 19.00,"0,599426","20,25198"
06/01/2006 20.00,"0,842204","29,494129"
06/01/2006 21.00,"0,841104","38,982888"
06/01/2006 22.00,"0,821728","38,335236"
06/01/2006 23.00,"0,894891","35,464348"
07/01/2006 0.00,"0,526018","22,438887"
07/01/2006 1.00,"0,632065","24,799728"
07/01/2006 2.00,"0,564831","23,590103"
07/01/2006 3.00,"0,672834","19,639375"
07/01/2006 4.00,"0,79734","12,241526"
07/01/2006 5.00,"0,611528","10,2441"
07/01/2006 6.00,"0,50218","11,968971"
07/01/2006 7.00,"0,583473","35,987394"
07/01/2006 8.00,"0,569476","44,513118"
07/01/2006 9.00,"0,539282","41,309965"
07/01/2006 10.00,"0,372479","25,043719"
07/01/2006 11.00,"0,407197","21,054065"
07/01/2006 12.00,"0,506032","17,706865"
07/01/2006 13.00,"0,501997","20,680286"
07/01/2006 14.00,"0,659937","20,544"
07/01/2006 15.00,"0,910538","16,636124"
07/01/2006 16.00,"0,897275","18,536206"
07/01/2006 17.00,"0,933521","23,100803"
07/01/2006 18.00,"0,97215","39,844664"
07/01/2006 19.00,"0,822278","36,574015"
07/01/2006 20.00,"0,71623","41,398222"
07/01/2006 21.00,"0,735729","37,33717"
07/01/2006 22.00,"0,519417","35,483811"
07/01/2006 23.00,"0,573022","45,578654"
08/01/2006 0.00,"0,463613","35,047725"
08/01/2006 1.00,,"27,840651"
08/01/2006 2.00,"2,427982",
08/01/2006 3.00,"2,521882","19,688704"
08/01/2006 4.00,"2,327969","17,634187"
08/01/2006 5.00,"2,523879","18,663394"
08/01/2006 6.00,"2,156694","17,608229"
08/01/2006 7.00,"2,31089","18,24289"
08/01/2006 8.00,"2,194752","30,163826"
08/01/2006 9.00,"1,857178","29,630416"
08/01/2006 10.00,"1,64201","19,000844"
