, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



01/01/2007 1.00,"1,8666557","70,2687724","34,1781472"
01/01/2007 2.00,"1,34492351","52,14226672","33,96660352"
01/01/2007 3.00,"1,16416702","57,13302648","35,9017196"
01/01/2007 4.00,"1,31119573","64,04200024","33,58242536"
01/01/2007 5.00,"1,19825279","49,26686728","30,03534032"
01/01/2007 6.00,"1,10089131","32,58906488","22,67121496"
01/01/2007 7.00,"0,72821675","36,860014","22,5570112"
01/01/2007 8.00,"0,8291001","41,67179144","27,72902856"
01/01/2007 9.00,"1,10214426","42,49406616","32,93997424"
01/01/2007 10.00,"1,34993732","37,31912344","31,30726008"
01/01/2007 11.00,"1,04782222","23,53230328","19,94049656"
01/01/2007 12.00,"0,92210475","20,7930956","15,75097187"
01/01/2007 13.00,"1,24600908","23,26902088","15,55758454"
01/01/2007 14.00,"0,97982967","21,2924144","13,39533625"
01/01/2007 15.00,"0,6322272","19,22374512","10,51016649"
01/01/2007 16.00,"1,25514174","24,549124","15,04493528"
01/01/2007 17.00,"0,9318354","29,76815744","19,43043232"
01/01/2007 18.00,"1,1009503","38,018208","27,39418"
01/01/2007 19.00,"1,10859102","38,37485336","28,08464144"
01/01/2007 20.00,"0,98520248","46,05426752","34,70637544"
01/01/2007 21.00,"1,14022989","46,89470624","35,55130736"
01/01/2007 22.00,"1,16512198","42,95057528","32,15607336"
01/01/2007 23.00,"1,06232769","46,9880692","35,96661288"
02/01/2007 0.00,"1,1317532","31,25837024","22,13648592"
02/01/2007 1.00,,"18,93453409","10,96052279"
02/01/2007 2.00,"0,2546568",,
02/01/2007 3.00,"0,32669803","15,52997526","7,24083004"
02/01/2007 4.00,"0,31950275","16,12398969","7,6522542"
02/01/2007 5.00,"0,33549915","14,61949807","6,29468066"
02/01/2007 6.00,"0,25887938","16,48584525","8,04031754"
02/01/2007 7.00,"0,34810588","19,43515496","11,28889158"
02/01/2007 8.00,"0,40183196","23,57121248","15,11112298"
02/01/2007 9.00,"0,3953201","27,83306048","18,71790449"
02/01/2007 10.00,"0,15838351","22,96422896","14,37652302"
02/01/2007 11.00,"0,1664412","24,21970552","15,29282226"
02/01/2007 12.00,"0,21454835","28,42059896","18,47650684"
02/01/2007 13.00,"0,17595524","30,58395048","19,92621392"
02/01/2007 14.00,"0,33413128","23,8785856","13,22531547"
02/01/2007 15.00,"0,51653939","26,05361944","15,08257109"
02/01/2007 16.00,"0,22189211","23,74371312","12,42712048"
02/01/2007 17.00,"0,07349859","24,372742","14,12604146"
02/01/2007 18.00,"0,07810662","23,05501072","13,54589095"
02/01/2007 19.00,"0,17661019","18,39239796","10,32586116"
02/01/2007 20.00,"0,12826506","30,62025936","22,1313044"
02/01/2007 21.00,"0,26937482","29,67735656","22,17023272"
02/01/2007 22.00,"0,20577673","20,90592272","15,45116836"
02/01/2007 23.00,"0,12303259","20,6880312","15,80289032"
03/01/2007 0.00,"0,13926595","9,0671495","6,28040376"
03/01/2007 1.00,"0,25224854","6,90639065","4,68012668"
03/01/2007 2.00,"0,13293309","4,90904853","3,33033881"
03/01/2007 3.00,"0,27517274","3,9843059","3,15901978"
03/01/2007 4.00,"0,29485474","3,23724926","3,27323502"
03/01/2007 5.00,"0,22138666","2,88576822","3,51074557"
03/01/2007 6.00,"0,29806643","3,0050904","3,41600023"
03/01/2007 7.00,"0,32194152","5,49398478","5,56138278"
03/01/2007 8.00,"0,19284354","8,11906135","7,27976601"
03/01/2007 9.00,"0,32871983","10,41600431","8,68146659"
03/01/2007 10.00,"0,32779842","10,00875405","7,91702031"
03/01/2007 11.00,"0,38744141","9,78567336","7,1344043"
03/01/2007 12.00,"0,30558816","10,89718206","7,24342462"
03/01/2007 13.00,"0,2724665","11,5858749","7,13699888"
03/01/2007 14.00,"0,7710772","12,35238805","6,91376523"
03/01/2007 15.00,"0,35095958","10,61055031","5,47312677"
03/01/2007 16.00,"0,75362446","12,23565854","6,40370099"
03/01/2007 17.00,"0,48529003","11,16695187","6,3154469"
03/01/2007 18.00,"0,36207946","11,50027466","7,00201933"
03/01/2007 19.00,"0,50714332","10,13455982","6,63082938"
03/01/2007 20.00,"0,33829386","10,08397786","6,57502002"
03/01/2007 21.00,"0,50164339","9,01008394","6,10648824"
03/01/2007 22.00,"0,50577647","8,23838354","5,59253117"
03/01/2007 23.00,"0,57133535","8,00752101","5,54970046"
04/01/2007 0.00,"0,66282161","7,56395613","4,84625462"
04/01/2007 1.00,,"7,84021145","4,67104277"
04/01/2007 2.00,"1,05778882",,
04/01/2007 3.00,"0,97965678","7,44074302","4,1207424"
04/01/2007 4.00,"0,88862104","7,58341073","3,8105529"
04/01/2007 5.00,"0,94412585","7,45371403","3,76642394"
04/01/2007 6.00,"0,84230686","8,2695109","4,6295103"
04/01/2007 7.00,"0,99644948","11,65072229","7,92221139"
04/01/2007 8.00,"0,93157607","15,36136746","11,50303941"
04/01/2007 9.00,"0,82834243","16,52605078","12,02997131"
04/01/2007 10.00,"0,818266","15,93333461","11,09160951"
04/01/2007 11.00,"1,31693262","15,2589072","10,44008213"
04/01/2007 12.00,"1,96850622","14,86203336","8,99555274"
04/01/2007 13.00,"2,18009917","16,46379606","7,97542426"
04/01/2007 14.00,"1,81736781","18,1083608","8,56725518"
04/01/2007 15.00,"1,71042213","18,8411501","8,99944558"
04/01/2007 16.00,"1,61408273","21,66206136","10,93066882"
04/01/2007 17.00,"1,72845252","37,72897976","25,93536224"
04/01/2007 18.00,"1,35988867","72,15325872","50,4378908"
04/01/2007 19.00,"1,79244318","79,94678104","52,71955688"
04/01/2007 20.00,"1,70759385","81,35011256","55,0271688"
04/01/2007 21.00,"1,8389333","116,98449632","60,87278376"
04/01/2007 22.00,"2,32398941","112,7978664","59,60866496"
04/01/2007 23.00,"1,6984022","85,66127104","50,80778632"
05/01/2007 0.00,"1,12725907","40,75353432","34,99971448"
05/01/2007 1.00,"1,43342387","44,69502672","35,42800248"
05/01/2007 2.00,"1,45887938","32,40360088","27,48761944"
05/01/2007 3.00,"1,09986008","20,23798464","17,49012325"
05/01/2007 4.00,"0,93652479","16,19143166","13,89241418"
05/01/2007 5.00,"0,73925018","17,19658727","14,91903773"
05/01/2007 6.00,"0,83258434","19,45461912","16,63222988"
05/01/2007 7.00,"1,30049384","34,35684272","26,38313352"
