, Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2009 0.00,,,,,
01/01/2009 1.00,"1,3","85,8","24,3","48,6",
01/01/2009 2.00,"1,8","157,1","68,2","52,4",
01/01/2009 3.00,"1,2","94,2","29,8","48,4",
01/01/2009 4.00,"1,2","84,7","27,8","42,1",
01/01/2009 5.00,"1,1","59,0","13,9","37,7",
01/01/2009 6.00,"0,6","27,1","0,5","26,4",
01/01/2009 7.00,"0,3","27,8","0,6","26,9",
01/01/2009 8.00,"0,6","28,1","0,9","26,7",
01/01/2009 9.00,"0,7","39,9","2,7","35,8",
01/01/2009 10.00,"1,1","49,5","4,7","42,2",
01/01/2009 11.00,"1,0","47,4","6,3","37,8",
01/01/2009 12.00,"0,9","45,0","7,2","34,0",
01/01/2009 13.00,"1,4","29,9","6,0","20,8",
01/01/2009 14.00,"1,7","34,3","8,4","21,4",
01/01/2009 15.00,"1,4","31,1","9,6","16,4",
01/01/2009 16.00,"1,4","36,1","11,0","19,2",
01/01/2009 17.00,"1,3","50,0","11,4","32,5",
01/01/2009 18.00,"1,1","78,7","15,0","55,8",
01/01/2009 19.00,"1,4","87,0","18,0","59,5",
01/01/2009 20.00,"1,2","76,3","15,4","52,8",
01/01/2009 21.00,"1,0","68,3","13,9","46,9",
01/01/2009 22.00,"0,6","56,8","12,3","38,0",
01/01/2009 23.00,"0,8","48,8","11,7","30,8",
02/01/2009 0.00,"0,9","41,7","11,6","23,9",
02/01/2009 1.00,,"34,6","11,8","16,5",
02/01/2009 2.00,"0,1","30,4","12,0","12,0",
02/01/2009 3.00,"0,2","28,1","11,8","9,9",
02/01/2009 4.00,"0,2","26,5","11,5","8,9",
02/01/2009 5.00,"0,1","26,1","11,0","9,1",
02/01/2009 6.00,"0,2","26,2","10,8","9,7",
02/01/2009 7.00,"0,2","32,0","10,7","15,7",
02/01/2009 8.00,"0,1","30,2","9,6","15,5",
02/01/2009 9.00,"0,1","38,1","10,6","21,9",
02/01/2009 10.00,"0,2","28,6","9,4","14,1",
02/01/2009 11.00,"0,1","27,5","9,3","13,3",
02/01/2009 12.00,"0,2","33,1","11,1","16,0",
02/01/2009 13.00,"0,2","38,8","11,5","21,1",
02/01/2009 14.00,"0,2","37,0","11,4","19,5",
02/01/2009 15.00,"0,1","34,3","11,4","16,8",
02/01/2009 16.00,"0,1","41,8","12,6","22,6",
02/01/2009 17.00,"0,1","49,5","13,0","29,6",
02/01/2009 18.00,"0,2","68,3","15,5","44,5",
02/01/2009 19.00,"0,4","84,6","19,5","54,8",
02/01/2009 20.00,"0,2","96,4","23,1","61,0",
02/01/2009 21.00,"0,4","98,2","25,7","58,7",
02/01/2009 22.00,"0,3","97,7","24,4","60,3",
02/01/2009 23.00,"0,3","73,8","15,8","49,5",
03/01/2009 0.00,"0,2","51,1","12,3","32,2",
03/01/2009 1.00,"0,1","34,1","11,8","16,0",
03/01/2009 2.00,"0,3","31,9","11,7","14,0",
03/01/2009 3.00,"0,4","31,4","11,4","13,9",
03/01/2009 4.00,"0,2","29,4","11,5","11,7",
03/01/2009 5.00,"0,2","29,4","11,2","12,3",
03/01/2009 6.00,"0,2","31,8","11,3","14,4",
03/01/2009 7.00,"0,1","44,6","14,1","23,0",
03/01/2009 8.00,"0,3","49,8","14,3","27,9",
03/01/2009 9.00,"0,0","44,8","14,7","22,3",
03/01/2009 10.00,"0,1","41,3","14,7","18,7",
03/01/2009 11.00,"0,1","43,4","15,1","20,2",
03/01/2009 12.00,"0,0","39,4","14,4","17,4",
03/01/2009 13.00,"0,2","37,6","13,8","16,4",
03/01/2009 14.00,"0,1","36,1","13,3","15,6",
03/01/2009 15.00,"0,2","37,3","12,6","17,9",
03/01/2009 16.00,"0,1","37,0","13,7","16,0",
03/01/2009 17.00,"0,1","37,1","13,0","17,1",
03/01/2009 18.00,"0,0","38,2","12,6","18,9",
03/01/2009 19.00,"0,0","34,0","12,4","15,0",
03/01/2009 20.00,"0,0","32,7","13,2","12,5",
03/01/2009 21.00,"0,0","32,3","13,0","12,4",
03/01/2009 22.00,"0,1","26,0","11,6","8,2",
03/01/2009 23.00,"0,0","21,9","10,7","5,5",
04/01/2009 0.00,"0,0","19,9","9,8","4,9",
04/01/2009 1.00,,"18,6","9,0","4,8",
04/01/2009 2.00,"1,4",,,,
04/01/2009 3.00,"1,3","17,7","8,4","4,8",
04/01/2009 4.00,"1,2","17,7","8,1","5,3",
04/01/2009 5.00,"1,2","16,9","7,9","4,7",
04/01/2009 6.00,"1,5","16,8","7,8","4,9",
04/01/2009 7.00,"1,5","15,9","6,9","5,3",
04/01/2009 8.00,"1,5","16,3","6,5","6,2",
04/01/2009 9.00,"1,2","14,7","5,4","6,4",
04/01/2009 10.00,"1,2","14,8","4,6","7,8",
04/01/2009 11.00,"1,3","14,4","3,8","8,6",
04/01/2009 12.00,"1,9","14,9","3,6","9,5",
04/01/2009 13.00,"1,8","14,0","3,2","9,2",
04/01/2009 14.00,"1,4","12,9","2,8","8,6",
04/01/2009 15.00,"1,4","12,4","2,8","8,2",
04/01/2009 16.00,"1,2","14,2","3,3","9,2",
04/01/2009 17.00,"1,7","15,0","2,7","10,8",
04/01/2009 18.00,"1,6","17,1","2,4","13,4",
04/01/2009 19.00,"1,9","27,1","3,0","22,5",
04/01/2009 20.00,"1,7","38,2","3,9","32,3",
04/01/2009 21.00,"2,1","49,0","5,9","40,0",
04/01/2009 22.00,"2,2","47,3","4,7","40,0",
04/01/2009 23.00,"1,9","31,6","1,5","29,3",
05/01/2009 0.00,"1,7","17,2","0,3","17,1",
05/01/2009 1.00,"2,0","14,4","0,2","15,3",
05/01/2009 2.00,"2,1","11,0","0,0","12,8",
05/01/2009 3.00,"1,9","9,0","0,0","11,4",
05/01/2009 4.00,"1,9","7,2","0,0","9,7",
05/01/2009 5.00,"2,0","6,1","0,0","9,0",
05/01/2009 6.00,"2,1","11,3","0,0","13,7",
05/01/2009 7.00,"2,2","28,1","3,6","24,3",
05/01/2009 8.00,"1,9","56,6","12,4","38,0",
05/01/2009 9.00,"2,1","47,2","5,5","38,7",
05/01/2009 10.00,"2,4","59,7","10,3","44,0",
05/01/2009 11.00,"1,3","16,5","0,5","16,9",
05/01/2009 12.00,"1,9","16,1","1,2","14,4",
05/01/2009 13.00,"2,4","16,3","3,0","11,6",
05/01/2009 14.00,"2,4","18,3","4,6","11,3",
05/01/2009 15.00,"3,4","22,4","7,1","11,5",
05/01/2009 16.00,"3,0","28,0","9,1","14,1",
05/01/2009 17.00,"3,2","38,5","10,4","22,5",
05/01/2009 18.00,"3,2","49,5","11,5","31,8",
