 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
01/01/2010 1.00,"0,234329","14,69450392","28,2999897","26,99262176"
01/01/2010 2.00,"0,34825029","11,21491248","28,2999897","22,51288224"
01/01/2010 3.00,"0,189461","10,73729297","28,2999897","21,97073464"
01/01/2010 4.00,"0,17228489","9,44202004","28,2999897","20,79179544"
01/01/2010 5.00,"0,22205992","8,0130639","28,2999897","19,6374828"
01/01/2010 6.00,"0,20050257","8,42318981","28,2999897","20,2392848"
01/01/2010 7.00,"0,43798631","10,29991341","28,2999897","22,39225416"
01/01/2010 8.00,"0,46637891","10,74118771","28,2999897","23,22102968"
01/01/2010 9.00,"0,33685888","10,70614649","28,2999897","23,53360344"
01/01/2010 10.00,"0,55628985","9,71976481","28,2999897","21,98501728"
01/01/2010 11.00,"0,38750954","8,18567926","28,2999897","19,45461912"
01/01/2010 12.00,"0,17859435","7,51987114","28,2999897","17,63626314"
01/01/2010 13.00,"0,3323017","8,42318981","28,2999897","17,90992388"
01/01/2010 14.00,"0,65321096","6,31933973","28,2999897","15,27576722"
01/01/2010 15.00,"0,49056521","5,28493434","28,2999897","14,71936566"
01/01/2010 16.00,"0,76012207","6,42706372","28,2999897","16,58960375"
01/01/2010 17.00,"0,49494746","8,95921327","28,2999897","19,48962784"
01/01/2010 18.00,"0,62867381","11,22789114","28,2999897","22,029108"
01/01/2010 19.00,"0,9527378","13,95341654","28,2999897","25,0912716"
01/01/2010 20.00,"1,16813739","15,4096359","28,2999897","26,76306704"
01/01/2010 21.00,"1,28714164","17,46806068","28,2999897","29,35702008"
01/01/2010 22.00,"1,20827228","24,31951192","28,2999897","36,46962184"
01/01/2010 23.00,"1,32675176","24,39218704","28,2999897","36,36197624"
02/01/2010 0.00,"1,13361024","10,62567806","28,2999897","22,50640056"
02/01/2010 1.00,,"7,23823163","17,89999962","19,26007312"
02/01/2010 2.00,"0,98057309",,"17,89999962",
02/01/2010 3.00,"1,03568127","5,38746726","17,89999962","16,98258667"
02/01/2010 4.00,"0,9982811","4,87999951","17,89999962","16,75561506"
02/01/2010 5.00,"0,85146901","4,97993593","17,89999962","16,86585907"
02/01/2010 6.00,"0,80803193","5,10582966","17,89999962","17,24716923"
02/01/2010 7.00,"0,94567372","9,13312688","17,89999962","21,79435264"
02/01/2010 8.00,"1,57429159","10,4997805","17,89999962","23,69702208"
02/01/2010 9.00,"1,60211875","14,15978253","17,89999962","28,35704408"
02/01/2010 10.00,"1,15003886","18,23250505","17,89999962","33,04171176"
02/01/2010 11.00,"1,17024766","15,40314657","17,89999962","29,79280312"
02/01/2010 12.00,"1,27675706","11,70939583","17,89999962","24,13668648"
02/01/2010 13.00,"1,37751633","14,18833442","17,89999962","25,45051728"
02/01/2010 14.00,"1,41609419","15,84960813","17,89999962","26,87071264"
02/01/2010 15.00,"1,71466403","11,90278316","17,89999962","22,62312816"
02/01/2010 16.00,"1,381684","12,40505791","17,89999962","23,974568"
02/01/2010 17.00,"1,51061621","12,44010105","17,89999962","23,71776728"
02/01/2010 18.00,"1,33701125","14,52318107","17,89999962","25,68397248"
02/01/2010 19.00,"1,38927387","13,2045435","17,89999962","24,76961584"
02/01/2010 20.00,"0,96065108","13,12537714","17,89999962","25,09905344"
02/01/2010 21.00,"0,80400664","12,13121171","17,89999962","25,01863472"
02/01/2010 22.00,"0,73337497","15,55239729","17,89999962","29,07687384"
02/01/2010 23.00,"0,90683551","14,00792575","17,89999962","26,42324728"
03/01/2010 0.00,"0,67682876","15,41741582","17,89999962","28,44394448"
03/01/2010 1.00,"0,61375747","16,08193525","15,10000038","28,670918"
03/01/2010 2.00,"1,18441956","6,86963818","15,10000038","19,38198224"
03/01/2010 3.00,"0,99948828","5,81446657","15,10000038","18,52987841"
03/01/2010 4.00,"1,16599355","5,39006375","15,10000038","17,24327831"
03/01/2010 5.00,"0,93170218","5,22393581","15,10000038","17,26143466"
03/01/2010 6.00,"1,1812577","5,96631761","15,10000038","18,19396104"
03/01/2010 7.00,"1,40545841","6,28300026","15,10000038","18,4650291"
03/01/2010 8.00,"1,75261034","6,73076389","15,10000038","18,87876296"
03/01/2010 9.00,"1,80173957","7,39527566","15,10000038","19,59469224"
03/01/2010 10.00,"1,89838814","7,15517053","15,10000038","18,61288406"
03/01/2010 11.00,"1,57009443","8,4089129","15,10000038","19,51687384"
03/01/2010 12.00,"2,11706958","6,8527667","15,10000038","18,13300266"
03/01/2010 13.00,"1,75922287","7,6379773","15,10000038","19,70881952"
03/01/2010 14.00,"1,62597858","6,82680747","15,10000038","20,0538208"
03/01/2010 15.00,"1,12511422","6,41278682","15,10000038","19,1005454"
03/01/2010 16.00,"0,80279946","6,99553","15,10000038","19,05515261"
03/01/2010 17.00,"1,3599802","8,52572272","15,10000038","19,85149296"
03/01/2010 18.00,"1,9917884","8,98387042","15,10000038","19,44811832"
03/01/2010 19.00,"1,53545338","8,30119082","15,10000038","17,47154434"
03/01/2010 20.00,"1,78181756","8,46472227","15,10000038","16,64018571"
03/01/2010 21.00,"1,17016122","10,24410022","15,10000038","17,43004247"
03/01/2010 22.00,"1,84920195","11,88720801","15,10000038","18,7568481"
03/01/2010 23.00,"1,81763732","11,34989203","15,10000038","17,83080723"
04/01/2010 0.00,"1,25717981","8,69574541","15,10000038","14,8438751"
04/01/2010 1.00,,"8,54908354","20,10000038","14,37047919"
04/01/2010 2.00,"1,31819167",,"20,10000038",
04/01/2010 3.00,"1,09677246","6,63602046","20,10000038","12,90749136"
04/01/2010 4.00,"1,30450895","4,94359454","20,10000038","11,40689258"
04/01/2010 5.00,"1,4951995","5,85989378","20,10000038","12,6883035"
04/01/2010 6.00,"1,68733928","10,43618547","20,10000038","17,74650524"
04/01/2010 7.00,"1,76079821","28,50254728","20,10000038","45,44468368"
