"NetC","SIMAGE Brindisi","","","","","","","",""
"Stat","Mesagne","","","","","","","",""
,SO2,NOX,NO2,PM10



01/01/2011 1.00,"4,2","51,7","25,2","36,4"
01/01/2011 2.00,"3,9","56,1","27,8","36,4"
01/01/2011 3.00,3,"42,6","25,3","36,4"
01/01/2011 4.00,"2,9","34,5","19,9","36,4"
01/01/2011 5.00,"2,8","30,8","16,2","36,4"
01/01/2011 6.00,"3,1","32,1","16,4","36,4"
01/01/2011 7.00,"3,4","40,4","23,4","36,4"
01/01/2011 8.00,"3,7","37,1","19,7","36,4"
01/01/2011 9.00,"3,8","35,8","17,5","36,4"
01/01/2011 10.00,"3,4","37,3","19,9","36,4"
01/01/2011 11.00,"1,9","20,5","7,9","36,4"
01/01/2011 12.00,"2,8","18,4","7,1","36,4"
01/01/2011 13.00,"0,5","17,1","6,4","36,4"
01/01/2011 14.00,"1,6",17,"6,4","36,4"
01/01/2011 15.00,"1,5","17,1","5,7","36,4"
01/01/2011 16.00,"2,3","17,5","5,4","36,4"
01/01/2011 17.00,"1,5","19,6","7,8","36,4"
01/01/2011 18.00,"1,8",31,"18,9","36,4"
01/01/2011 19.00,1,"53,2","35,7","36,4"
01/01/2011 20.00,"1,3","73,2","45,6","36,4"
01/01/2011 21.00,"1,3","61,7","40,7","36,4"
01/01/2011 22.00,"0,8","63,4","36,8","36,4"
01/01/2011 23.00,"0,4","50,1","31,7","36,4"
02/01/2011 0.00,1,"40,9","26,2","36,4"
02/01/2011 1.00,,"37,4","22,4","10,7"
02/01/2011 2.00,"0,5",,,"10,7"
02/01/2011 3.00,"1,4","26,6","11,6","10,7"
02/01/2011 4.00,"0,6","24,6","9,6","10,7"
02/01/2011 5.00,"0,1","22,4","7,8","10,7"
02/01/2011 6.00,"0,1","21,7","7,4","10,7"
02/01/2011 7.00,"0,1",25,9,"10,7"
02/01/2011 8.00,0,"25,6","11,6","10,7"
02/01/2011 9.00,"0,5","25,3","11,4","10,7"
02/01/2011 10.00,"0,2","22,6","9,3","10,7"
02/01/2011 11.00,0,"19,7","7,3","10,7"
02/01/2011 12.00,0,"20,2","8,4","10,7"
02/01/2011 13.00,0,"20,2","8,2","10,7"
02/01/2011 14.00,"0,2","19,1","7,4","10,7"
02/01/2011 15.00,"0,6","16,4","5,2","10,7"
02/01/2011 16.00,"0,9","18,6","6,8","10,7"
02/01/2011 17.00,"0,1","20,6","8,7","10,7"
02/01/2011 18.00,0,"21,3","9,6","10,7"
02/01/2011 19.00,0,"22,9",11,"10,7"
02/01/2011 20.00,0,"24,3","12,2","10,7"
02/01/2011 21.00,0,25,"13,2","10,7"
02/01/2011 22.00,"0,2","23,6","11,3","10,7"
02/01/2011 23.00,"0,1","23,7","11,4","10,7"
03/01/2011 0.00,"2,9","22,4",10,"10,7"
03/01/2011 1.00,2,"21,5",9,"13,8"
03/01/2011 2.00,"3,5",20,"7,5","13,8"
03/01/2011 3.00,"3,3","20,1","7,5","13,8"
03/01/2011 4.00,"3,1","19,1","6,7","13,8"
03/01/2011 5.00,"2,6","19,1","6,1","13,8"
03/01/2011 6.00,"0,5","20,8","7,2","13,8"
