"NetC","SIMAGE Brindisi","","","","","","","",""
"Stat","Mesagne","","","","","","","",""
,SO2,NO2,NOX,PM10
,,,,
,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
01/01/2012 1.00,"0,097167","6,819951","24,812405",18
01/01/2012 2.00,"0,112171","8,149946","26,903139",18
01/01/2012 3.00,"0,135034","13,712556","32,215537",18
01/01/2012 4.00,"0,126818","17,225045","34,915854",18
01/01/2012 5.00,"0,130748","13,220789","29,655311",18
01/01/2012 6.00,"0,056442","11,605328","26,973176",18
01/01/2012 7.00,"0,044296","20,881545","36,80814",18
01/01/2012 8.00,"0,106099","19,513929","33,027428",18
01/01/2012 9.00,"0,083235","13,032639","25,949854",18
01/01/2012 10.00,"0,013575","8,663776","20,843667",18
01/01/2012 11.00,"0,017505","8,452273","22,733354",18
01/01/2012 12.00,"0,017862","9,080292","26,337647",18
01/01/2012 13.00,"0,011074","8,898635","25,045862",18
01/01/2012 14.00,"0,008216","8,116208","23,38703",18
01/01/2012 15.00,"0,055014","6,63959","22,283309",18
01/01/2012 16.00,"0,019647","7,140446","23,65033",18
01/01/2012 17.00,"0,022148","8,439298","25,648963",18
01/01/2012 18.00,"0,100025","16,892862","34,316651",18
01/01/2012 19.00,"0,013218","21,199452","40,617341",18
01/01/2012 20.00,"0,016076","24,253891","44,04007",18
01/01/2012 21.00,"0,017505","25,970561","45,928457",18
01/01/2012 22.00,"0,056086","36,370463","59,488322",18
01/01/2012 23.00,"0,041439","58,587214","88,902418",18
02/01/2012 0.00,"0,139678","55,519794","90,106002",18
02/01/2012 1.00,,"34,697904","57,449481","61,200001"
02/01/2012 2.00,"0,117591",,,"61,200001"
02/01/2012 3.00,"0,364073","19,184339","39,242536","61,200001"
02/01/2012 4.00,"0,30317","17,823219","37,092167","61,200001"
02/01/2012 5.00,"0,110415","18,325362","36,882058","61,200001"
02/01/2012 6.00,"0,187912","18,082724","36,141484","61,200001"
02/01/2012 7.00,"0,490095","35,011913","62,898069","61,200001"
02/01/2012 8.00,"0,55342","54,257261","118,521415","61,200001"
02/01/2012 9.00,"0,385869","66,209037","154,517667","61,200001"
02/01/2012 10.00,"0,332859","56,226947","86,744226","61,200001"
02/01/2012 11.00,"0,121358","33,658559","53,772551","61,200001"
02/01/2012 12.00,"0,13526","20,550672","38,381354","61,200001"
02/01/2012 13.00,"0,100997","17,479362","32,458074","61,200001"
02/01/2012 14.00,"0,110953","17,833595","32,174047","61,200001"
02/01/2012 15.00,"0,051395","17,797261","33,053393","61,200001"
02/01/2012 16.00,"0,033815","20,659656","36,336029","61,200001"
02/01/2012 17.00,"0,152751","32,366203","48,299318","61,200001"
02/01/2012 18.00,"0,070679","60,065115","78,623886","61,200001"
02/01/2012 19.00,"0,07651","78,360642","112,079356","61,200001"
02/01/2012 20.00,"0,155173","82,429776","127,951704","61,200001"
02/01/2012 21.00,"0,108352","74,244792","111,747317","61,200001"
02/01/2012 22.00,"0,246214","54,126212","76,599308","61,200001"
02/01/2012 23.00,"0,115618","44,617724","65,464795","61,200001"
03/01/2012 0.00,"0,127905","38,838418","59,01883","61,200001"
03/01/2012 1.00,"0,261193","27,679431","48,746783","35,799992"
