Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
01/01/2014 1.00,"2,7","6,8","13,8","23,5"
01/01/2014 2.00,"2,3","10,9","18,1","23,5"
01/01/2014 3.00,"2,5","14,7","22,5","23,5"
01/01/2014 4.00,"3,0","8,8","17,1","23,5"
01/01/2014 5.00,"2,2","5,9","13,7","23,5"
01/01/2014 6.00,"2,7","6,1","14,1","23,5"
01/01/2014 7.00,"2,5","19,7","31,0","23,5"
01/01/2014 8.00,"1,9","11,0","19,4","23,5"
01/01/2014 9.00,"2,2","12,8","22,0","23,5"
01/01/2014 10.00,"2,6","18,2","28,4","23,5"
01/01/2014 11.00,"3,4","16,9","25,9","23,5"
01/01/2014 12.00,"3,3","12,2","20,8","23,5"
01/01/2014 13.00,"2,8","11,2","18,0","23,5"
01/01/2014 14.00,"2,1","13,3","18,9","23,5"
01/01/2014 15.00,"2,1","14,1","20,3","23,5"
01/01/2014 16.00,"1,9","8,8","16,0","23,5"
01/01/2014 17.00,"2,3","13,7","21,4","23,5"
01/01/2014 18.00,"2,3","21,8","29,9","23,5"
01/01/2014 19.00,"2,0","22,1","30,0","23,5"
01/01/2014 20.00,"2,0","22,1","29,9","23,5"
01/01/2014 21.00,"2,2","25,9","38,2","23,5"
01/01/2014 22.00,"2,6","37,0","58,0","23,5"
01/01/2014 23.00,"2,5","25,8","35,2","23,5"
02/01/2014 0.00,"2,3","26,1","47,4","23,5"
02/01/2014 1.00,,"28,9","54,1","58,1"
02/01/2014 2.00,"2,5",,,"58,1"
02/01/2014 3.00,"2,9","18,2","41,6","58,1"
02/01/2014 4.00,"2,7","17,1","34,5","58,1"
02/01/2014 5.00,"2,8","14,9","29,3","58,1"
02/01/2014 6.00,"2,9","13,0","28,1","58,1"
02/01/2014 7.00,"3,3","15,1","47,8","58,1"
02/01/2014 8.00,"3,2","22,4","74,0","58,1"
02/01/2014 9.00,"3,4","27,5","67,0","58,1"
02/01/2014 10.00,"3,6","41,4","86,6","58,1"
