"NetC","Comune Lecce","","","","","",""
"Stat","Piazza_Libertini","","","","","",""
,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2011 1.00,"60,3","91,2","0,8",,,"2,3"
01/01/2011 2.00,"58,8","84,6","0,6",,"96,2","1,8"
01/01/2011 3.00,38,"46,9","0,4",,,"1,4"
01/01/2011 4.00,"30,8","36,3","0,4",,"87,4","1,4"
01/01/2011 5.00,"17,6",20,"0,3",,,"0,8"
01/01/2011 6.00,"25,3","27,8","0,3",,"46,9","0,7"
01/01/2011 7.00,"48,6","59,8","0,4",,,"0,8"
01/01/2011 8.00,"69,7","150,8","0,7",,"28,3","1,3"
01/01/2011 9.00,"55,9","100,1","0,6",,,"1,9"
01/01/2011 10.00,"37,4",56,"0,5",,"23,4","1,5"
01/01/2011 11.00,"21,2","27,6","0,4",,,"1,2"
01/01/2011 12.00,"27,8","40,8","0,4",,"18,1","1,2"
01/01/2011 13.00,35,"51,8","0,5",,,"1,4"
01/01/2011 14.00,"19,7","25,6","0,4",,"17,6","1,4"
01/01/2011 15.00,"14,7","18,6","0,4",,,"1,1"
01/01/2011 16.00,"27,3","34,6","0,5",,"15,6","1,2"
01/01/2011 17.00,"54,6","69,5","0,6",,,"1,3"
01/01/2011 18.00,"77,1","112,5","0,9",,"14,7","1,7"
01/01/2011 19.00,"76,5",108,"0,8",,,"2,1"
01/01/2011 20.00,"101,6","158,7",1,,"17,6","2,9"
01/01/2011 21.00,96,"164,2",1,,,"2,5"
01/01/2011 22.00,"84,2","133,8","0,9",,"22,5","2,7"
01/01/2011 23.00,75,"112,1","0,8",,,"2,1"
02/01/2011 0.00,"81,5",126,"0,8",,"23,4","1,8"
02/01/2011 1.00,"63,8","90,9","0,7",,,"1,8"
02/01/2011 2.00,"35,8","43,6","0,5",,"17,1","1,5"
02/01/2011 3.00,"28,3","34,1",,,,"1,3"
02/01/2011 4.00,,,"0,3",,"15,1","0,9"
02/01/2011 5.00,"15,8","17,3","0,2",,,"0,7"
02/01/2011 6.00,"14,5","16,2","0,2",,"10,7","0,6"
02/01/2011 7.00,"26,8","32,5","0,3",,,"0,7"
02/01/2011 8.00,"34,7","45,7","0,3",,"8,3","0,7"
02/01/2011 9.00,"23,4","27,8","0,3",,,"0,9"
02/01/2011 10.00,"23,7",31,"0,4",,"6,3","0,8"
02/01/2011 11.00,"29,6","38,8","0,4",,,"1,1"
02/01/2011 12.00,"46,1","67,2","0,5",,"8,3","1,5"
02/01/2011 13.00,44,"59,7","0,5",,,"1,7"
02/01/2011 14.00,"36,9","47,8","0,4",,"10,7","1,4"
02/01/2011 15.00,"21,3","27,1","0,3",,,"1,1"
02/01/2011 16.00,"29,5","38,2","0,4",,"8,8",1
02/01/2011 17.00,"44,3",60,"0,5",,,"1,1"
02/01/2011 18.00,"36,9","44,1","0,5",,"8,3","1,5"
02/01/2011 19.00,"31,6","36,3","0,4",,,"0,9"
02/01/2011 20.00,"33,3","41,2","0,4",,"11,2","1,2"
02/01/2011 21.00,"54,5","73,6","0,5",,,"1,6"
02/01/2011 22.00,"57,8","77,5","0,6",,"12,7","1,7"
02/01/2011 23.00,40,"51,2","0,5",,,"1,3"
