"NetC","Comune Lecce","","","","","",""
"Stat","Piazza_Libertini","","","","","",""
,NO2,NOX,CO,PM10,BENZENE
,,,,,
,,,,,
,,,,,
,,,,,,,
,,,,,,,
01/01/2012 1.00,"24,60749736","38,9338648","0,37673421",,"1,76598694"
01/01/2012 2.00,"40,2269504","55,47289424","0,4205918","23,93162","1,12474708"
01/01/2012 3.00,"32,24666392","43,24240384","0,36587757",,"1,62262452"
01/01/2012 4.00,"21,46881552","32,57222016","0,30408015","25,88522","1,12573459"
01/01/2012 5.00,"18,89562298","29,38424696","0,29404018",,"0,9354244"
01/01/2012 6.00,"17,06040507","27,50234184","0,28252182","22,95482","0,82102003"
01/01/2012 7.00,"29,37646512","47,16967096","0,29680356",,"0,72591935"
01/01/2012 8.00,"21,7385796","31,9392908","0,27407674","16,11721","0,88847764"
01/01/2012 9.00,"13,4081237","24,4713056","0,27715117",,"0,8644561"
01/01/2012 10.00,"15,64540462","30,05088488","0,30532553","17,58241","0,97710614"
01/01/2012 11.00,"12,46652106","25,02251608","0,28217116",,"1,0387516"
01/01/2012 12.00,"19,90336552","37,62651568","0,31034552","11,72161","0,94101891"
01/01/2012 13.00,"24,58933336","44,21903432","0,37774659",,"1,07286483"
01/01/2012 14.00,"15,36136746","29,1793188","0,29937238","11,23321","1,1912182"
01/01/2012 15.00,"11,89585216","25,32212648","0,27135297",,"0,55787637"
01/01/2012 16.00,"26,31042016","41,83390992","0,3820268","12,69841","1,62240485"
01/01/2012 17.00,"74,60715776","115,5876656","0,87060334",,"1,71629835"
01/01/2012 18.00,"95,79840824","153,97162008","1,64240186","8,302809","3,54590474"
01/01/2012 19.00,"96,52732","135,61164008","1,48203378",,"3,68027384"
01/01/2012 20.00,"103,13150184","170,9814604","1,71525047","29,79241","4,78615455"
01/01/2012 21.00,"104,68530776","169,24090944","1,45385942",,"4,59968353"
01/01/2012 22.00,"104,39346008","221,6866488","1,8589241","46,39804","4,44392591"
01/01/2012 23.00,"143,94729088","437,927348","2,60060271",,"6,24973044"
02/01/2012 0.00,"143,26380824","536,3311048","3,15253194","67,88765","8,51666615"
02/01/2012 1.00,"114,35813488","370,7503752","2,38116214",,"7,81893601"
02/01/2012 2.00,"49,347286","63,28976208","0,8173675","59,58485","4,49449217"
02/01/2012 3.00,"40,06743224","58,39626576","0,75000603",,"2,63724372"
02/01/2012 4.00,,,"0,61753971","44,44443","2,7653603"
02/01/2012 5.00,"48,05806264","52,02812032","0,64022692",,"2,45669673"
02/01/2012 6.00,"56,952744","75,63306048","0,62384352","29,79241","2,33856201"
02/01/2012 7.00,"92,95545544","248,1695696","0,97505025",,"2,38539893"
02/01/2012 8.00,"159,69519208","675,8610256","2,22375084","42,97924","4,22421934"
02/01/2012 9.00,"143,06278056","561,2098576","2,24776149",,"6,93857505"
02/01/2012 10.00,"107,87194256","289,2561552","1,43763214","49,81684","6,75572455"
02/01/2012 11.00,"54,89183744","95,4793528","0,64563601",,"2,77896165"
02/01/2012 12.00,"40,48893264","56,01244152","0,43670258","26,86202","2,0860582"
02/01/2012 13.00,"40,25029592","53,08775072","0,42055219",,"1,54035735"
