,Provincia di TARANTO,,,,
,Paolo VI -CISI,,,,
Parm,SO2,NOX,NO,NO2,PM10
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
01/01/2006 1.00,"1,011398","12,227876","2,3135","8,686657",
01/01/2006 2.00,"2,169088","42,390319","9,184639","28,32735","28,81562"
01/01/2006 3.00,"1,712153","29,756475","3,144161","24,95288",
01/01/2006 4.00,"1,070999","21,571279","2,228911","18,166317","47,863232"
01/01/2006 5.00,"1,181169","18,149862","2,2416","14,723057",
01/01/2006 6.00,"1,061969","9,758437","1,974299","6,735957","49,816841"
01/01/2006 7.00,"1,260636","7,812975","1,823733","5,03185",
01/01/2006 8.00,"0,946379","7,430368","1,844032","4,606148","32,234421"
01/01/2006 9.00,"1,426794","10,509386","1,890557","7,626296",
01/01/2006 10.00,"1,856638","13,094255","2,359178","9,483553","21,97802"
01/01/2006 11.00,"1,573085","9,231866","1,978529","6,20253",
01/01/2006 12.00,"1,793426","11,450988","2,866711","7,060425","3,418803"
01/01/2006 13.00,"2,096845","7,372004","2,453918","3,611978",
01/01/2006 14.00,"3,025165","10,842709","2,702608","6,703508","10,74481"
01/01/2006 15.00,"3,200353","7,039978","2,156165","3,736574",
01/01/2006 16.00,"2,766897","6,137285","2,042817","3,007169","17,582411"
01/01/2006 17.00,"2,557393","8,560033","1,783129","5,830042",
01/01/2006 18.00,"2,896934","11,026879","1,908321","8,106511","19,0476"
01/01/2006 19.00,"1,629073","16,146037","1,820348","13,36418",
01/01/2006 20.00,"1,896371","16,824354","1,931159","13,872956","18,55921"
01/01/2006 21.00,"1,793426","17,012417","2,019131","13,926164",
01/01/2006 22.00,"2,501405","19,142045","1,971761","16,129954","14,65201"
01/01/2006 23.00,"2,548362","16,287407","1,853338","13,455034",
02/01/2006 0.00,"2,521271","9,850522","1,931159","6,894297","18,55921"
02/01/2006 1.00,"2,439998","7,163191","1,81781","4,379021",
02/01/2006 2.00,"2,48515","5,647027","1,829653","2,843637","24,42001"
02/01/2006 3.00,"2,544751","4,280016","1,822886","1,486064",
02/01/2006 4.00,"2,649503","6,425213","1,997139","3,365382","23,93162"
02/01/2006 5.00,"7,087012","27,484177","3,145006","22,677695",
02/01/2006 6.00,"5,530181","24,786479","1,970916","21,779573","27,83882"
02/01/2006 7.00,"9,180246","37,614852","2,523279","33,769321",
02/01/2006 8.00,"3,420694","15,561102","2,753361","11,347287","24,42001"
02/01/2006 9.00,"2,476119","23,938258","4,912911","16,416781",
02/01/2006 10.00,"6,507264","31,378997","6,434661","21,5278","15,14041"
02/01/2006 11.00,"6,931691","25,833127","5,997338","16,649105",
02/01/2006 12.00,"19,68614","41,237309","10,342651","25,396751","20,51281"
02/01/2006 13.00,"26,630469","33,364667","8,085831","20,981388",
02/01/2006 14.00,"8,856959","14,875002","4,642227","7,762575","22,46641"
02/01/2006 15.00,"2,624217","14,15518","4,18714","7,74051",
02/01/2006 16.00,"2,672981","36,46702","7,659504","24,740017","27,35042"
02/01/2006 17.00,"3,875822","35,323091","4,37831","28,629751",
02/01/2006 18.00,"2,495986","41,83909","4,25904","35,333262","24,42001"
02/01/2006 19.00,"2,609768","60,271706","15,394277","36,693439",
02/01/2006 20.00,"3,935423","27,395976","3,541727","21,980753","17,582411"
02/01/2006 21.00,"2,499599","47,679372","8,533306","34,619435",
02/01/2006 22.00,"1,742856","37,984479","9,725161","23,089138","25,88522"
02/01/2006 23.00,"2,100458","50,106004","13,089235","30,057404",
03/01/2006 0.00,"1,694092","24,217104","2,371866","20,594629","14,16361"
03/01/2006 1.00,"1,791619","31,437332","2,926769","26,968472",
03/01/2006 2.00,"1,804263","12,764825","1,899015","9,859935","23,93162"
03/01/2006 3.00,"1,665195","12,380921","1,793281","9,637998",
03/01/2006 4.00,"1,338297","6,359067","1,824578","3,563956","20,02442"
03/01/2006 5.00,"1,022234","4,623715","2,181543","1,282298",
03/01/2006 6.00,"1,179363","7,60546","2,189155","4,251829","16,60561"
03/01/2006 7.00,"1,533352","40,443521","8,302379","27,732928",
03/01/2006 8.00,"2,051694","61,00838","16,554835","35,649947","14,65201"
03/01/2006 9.00,"2,629635","60,970752","15,438271","37,325489",
03/01/2006 10.00,"3,144366","43,606868","11,545498","25,922378","8,302809"
03/01/2006 11.00,"8,501164","64,532237","16,683414","38,978986",
03/01/2006 12.00,"10,090504","33,688904","8,272772","21,019037","14,16361"
03/01/2006 13.00,"4,641596","23,296247","6,14283","13,887227",
03/01/2006 14.00,"4,049205","23,808549","6,322158","14,124739","21,48962"
03/01/2006 15.00,"2,642278","38,808072","8,918185","25,15146",
03/01/2006 16.00,"2,501405","39,625167","9,693016","24,780265","17,582411"
03/01/2006 17.00,"1,789814","26,498484","4,555946","19,526472",
03/01/2006 18.00,"1,768141","41,84169","4,716664","34,633698","20,51281"
03/01/2006 19.00,"2,230494","29,110581","4,062793","22,897041",
03/01/2006 20.00,"2,709103","22,000581","3,090025","17,274673","19,0476"
03/01/2006 21.00,"2,306349","24,760534","2,496212","20,947642",
03/01/2006 22.00,"2,051694","22,138053","3,422458","16,90218","23,44322"
03/01/2006 23.00,"1,12518","10,790829","1,888019","7,901445",
04/01/2006 0.00,"1,226321","8,30842","1,827116","5,510764","26,37361"
04/01/2006 1.00,"0,948186","7,388865","1,824578","4,594467",
04/01/2006 2.00,"1,11615","4,918128","1,82627","2,119425","16,60561"
04/01/2006 3.00,"0,93735","4,779352","1,889711","1,883213",
04/01/2006 4.00,"1,231738","8,426444","1,823733","5,634064","16,60561"
04/01/2006 5.00,"1,977645","8,877793","1,8508","6,044191",
04/01/2006 6.00,"1,266054","7,132064","1,82627","4,334894","11,72161"
04/01/2006 7.00,"1,405122","11,677958","2,486062","7,871595",
