,Provincia di TARANTO,,,,
,Paolo VI -CISI,,,,
Parm,SO2,NO2,PM10,PM10 Swam,PM2.5 Swam



01/01/2010 1.00,"9,607744","7,654849",,,
01/01/2010 2.00,"5,944126","7,506892","73,748459",,
01/01/2010 3.00,"4,700048","8,589318",,,
01/01/2010 4.00,"3,643756","7,467956","78,144081",,
01/01/2010 5.00,"3,548058","5,235616",,,
01/01/2010 6.00,"3,477639","7,220064","64,95726",,
01/01/2010 7.00,"3,271797","7,990997",,,
01/01/2010 8.00,"3,10929","7,998785","33,211231",,
01/01/2010 9.00,"24,298326","16,543968",,,
01/01/2010 10.00,"47,296601","14,551742","27,35042",,
01/01/2010 11.00,"26,239372","12,394672",,,
01/01/2010 12.00,"24,751531","11,205826","30,76923",,
01/01/2010 13.00,"78,012126","18,551778",,,
01/01/2010 14.00,"74,706031","17,627697","26,37361",,
01/01/2010 15.00,"26,01367","9,518593",,,
01/01/2010 16.00,"27,329973","11,185058","64,95726",,
01/01/2010 17.00,"47,592711","20,615394",,,
01/01/2010 18.00,"73,712921","32,493522","51,770451",,
01/01/2010 19.00,"22,774372","6,232382",,,
01/01/2010 20.00,"7,803922","6,669765","44,932831",,
01/01/2010 21.00,"7,587246","6,148021",,,
01/01/2010 22.00,"21,257638","15,333052","32,234421",,
01/01/2010 23.00,"10,079012","18,415506",,,
02/01/2010 0.00,"8,053098","11,678249","25,39682",,
02/01/2010 1.00,,"4,536063",,,
02/01/2010 2.00,"7,953789",,"30,76923",,
02/01/2010 3.00,"9,992342","14,235051",,,
02/01/2010 4.00,"20,363858","18,464819","21,97802",,
02/01/2010 5.00,"10,813903","13,190272",,,
02/01/2010 6.00,"30,46635","29,039876","18,07081",,
02/01/2010 7.00,"13,739019","9,640594",,,
02/01/2010 8.00,"5,081035","4,433532","19,0476",,
02/01/2010 9.00,"5,312156","5,101935",,,
02/01/2010 10.00,"8,955009","7,771658","12,21001",,
02/01/2010 11.00,"11,691432","11,961189",,,
02/01/2010 12.00,"21,454459","15,17082","21,001221",,
02/01/2010 13.00,"14,764612","12,364827",,,
02/01/2010 14.00,"30,563849","18,118295","10,25641",,
02/01/2010 15.00,"48,278859","21,077428",,,
02/01/2010 16.00,"73,167635","25,548602","10,25641",,
02/01/2010 17.00,"20,123714","14,833382",,,
02/01/2010 18.00,"10,891541","12,316805","22,46641",,
02/01/2010 19.00,"6,054269","5,184998",,,
02/01/2010 20.00,"4,970893","5,841722","27,35042",,
02/01/2010 21.00,"4,420176","7,52636",,,
02/01/2010 22.00,"4,61699","13,173397","25,88522",,
02/01/2010 23.00,"10,552086","13,608182",,,
03/01/2010 0.00,"8,221022","12,106544","27,83882",,
03/01/2010 1.00,"6,818049","8,266147",,,
03/01/2010 2.00,"3,869459","4,316722","29,79241",,
03/01/2010 3.00,"2,846572","4,063639",,,
03/01/2010 4.00,"2,152307","2,288148","15,62881",,
03/01/2010 5.00,"1,826392","3,954616",,,
03/01/2010 6.00,"2,052095","2,340062","16,60561",,
03/01/2010 7.00,"1,882366","3,252467",,,
03/01/2010 8.00,"1,595272","3,392637","11,23321",,
03/01/2010 9.00,"2,152307","3,647021",,,
03/01/2010 10.00,"1,916674","4,09219","7,814408",,
03/01/2010 11.00,"1,951883","3,191468",,,
03/01/2010 12.00,"1,740625","2,972128","13,18681",,
03/01/2010 13.00,"2,010566","2,806",,,
03/01/2010 14.00,"1,975357","2,806","9,76801",,
03/01/2010 15.00,"2,016886","2,76836",,,
03/01/2010 16.00,"1,035528","2,96434","6,349206",,
03/01/2010 17.00,"0,975039","2,551616",,,
03/01/2010 18.00,"0,713223","2,839744","10,25641",,
03/01/2010 19.00,"0,727668","2,921509",,,
03/01/2010 20.00,"0,717737","4,18953","15,62881",,
03/01/2010 21.00,"0,618427","4,267404",,,
03/01/2010 22.00,"0,52634","3,852085","14,16361",,
03/01/2010 23.00,"0,811629","3,330339",,,
04/01/2010 0.00,"0,628359","3,370573","8,302809",,
