Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
01/01/2014 1.00,"2,5","6,1","5,0",,"2,2","8,7","6,1","0,3"
01/01/2014 2.00,"2,6","7,2","6,1","13,7","2,6","8,7","6,1","0,2"
01/01/2014 3.00,"2,6","7,5","6,5",,"2,0","8,7","6,1","0,2"
01/01/2014 4.00,"2,6","6,3","5,3","9,5","2,0","8,7","6,1","0,2"
01/01/2014 5.00,"3,4","7,4","6,3",,"2,4","8,7","6,1","0,3"
01/01/2014 6.00,"2,6","6,2","5,1","9,8","1,7","8,7","6,1","0,3"
01/01/2014 7.00,"3,8","6,2","5,3",,"1,7","8,7","6,1","0,3"
01/01/2014 8.00,"3,8","4,9","3,9","8,3","1,7","8,7","6,1","0,2"
01/01/2014 9.00,"2,6","6,1","5,1",,"2,8","8,7","6,1","0,2"
01/01/2014 10.00,"2,8","5,9","4,9","6,8","3,1","8,7","6,1","0,2"
01/01/2014 11.00,"2,7","6,9","5,4",,"4,0","8,7","6,1","0,2"
01/01/2014 12.00,"2,0","7,6","5,7","5,4","4,6","8,7","6,1","0,2"
01/01/2014 13.00,"3,0","10,6","8,4",,"6,8","8,7","6,1","0,2"
01/01/2014 14.00,"2,8","17,8","15,4","6,8","10,6","8,7","6,1","0,2"
01/01/2014 15.00,"2,1","8,5","7,0",,"4,3","8,7","6,1","0,2"
01/01/2014 16.00,"2,2","4,0","3,0","7,3","1,9","8,7","6,1","0,2"
01/01/2014 17.00,"2,6","9,4","8,0",,"4,6","8,7","6,1","0,2"
01/01/2014 18.00,"2,6","8,4","7,4","4,2","4,0","8,7","6,1","0,2"
01/01/2014 19.00,"2,6","16,5","12,9",,"12,3","8,7","6,1","0,3"
01/01/2014 20.00,"2,6","34,5","29,9","13,4","22,7","8,7","6,1","0,3"
01/01/2014 21.00,"2,6","26,1","21,9",,"22,6","8,7","6,1","0,3"
01/01/2014 22.00,"2,6","36,5","29,1","15,4","27,4","8,7","6,1","0,4"
01/01/2014 23.00,"2,6","21,2","17,2",,"15,0","8,7","6,1","0,4"
02/01/2014 0.00,"2,6","16,0","14,3","18,8","14,5","8,7","6,1","0,3"
02/01/2014 1.00,,"20,3","17,6",,"14,9","18,4","13,7","0,4"
02/01/2014 2.00,"3,7",,,"26,1","7,0","18,4","13,7","0,3"
02/01/2014 3.00,"2,9","13,0","11,4",,"10,5","18,4","13,7",
02/01/2014 4.00,"2,3","7,4","6,4","15,6","5,0","18,4","13,7","0,3"
02/01/2014 5.00,"2,6","6,5","5,4",,"4,5","18,4","13,7","0,3"
02/01/2014 6.00,"2,6","6,9","5,9","22,5","2,8","18,4","13,7","0,3"
02/01/2014 7.00,"2,6","8,6","7,6",,"3,8","18,4","13,7","0,2"
02/01/2014 8.00,"3,4","59,7","33,0","21,2","43,4","18,4","13,7","0,3"
02/01/2014 9.00,"5,9","174,9","48,1",,"138,9","18,4","13,7","0,6"
02/01/2014 10.00,"5,8","135,8","44,4","21,2","100,6","18,4","13,7","0,5"
02/01/2014 11.00,"3,2","41,3","24,7",,"26,0","18,4","13,7","0,3"
02/01/2014 12.00,"2,7","24,2","16,4","20,5","11,3","18,4","13,7","0,3"
02/01/2014 13.00,"3,5","24,4","17,2",,"9,8","18,4","13,7","0,3"
02/01/2014 14.00,"3,7","14,3","9,5","11,0","9,2","18,4","13,7","0,3"
02/01/2014 15.00,"3,4","18,3","12,3",,"10,4","18,4","13,7","0,3"
02/01/2014 16.00,"3,7","21,8","16,2","12,7","16,4","18,4","13,7","0,3"
02/01/2014 17.00,"3,1","33,6","27,1",,"30,8","18,4","13,7","0,3"
02/01/2014 18.00,"3,7","70,2","44,1","19,8","46,6","18,4","13,7","0,4"
02/01/2014 19.00,"3,5","68,0","41,4",,"56,9","18,4","13,7","0,4"
02/01/2014 20.00,"3,1","52,1","38,7","18,3","41,8","18,4","13,7","0,4"
02/01/2014 21.00,"3,4","74,6","47,1",,"67,6","18,4","13,7","0,5"
02/01/2014 22.00,"3,3","43,7","34,3","32,2","27,9","18,4","13,7","0,4"
02/01/2014 23.00,"2,7","27,8","22,4",,"21,3","18,4","13,7","0,3"
03/01/2014 0.00,"2,6","16,0","14,6","32,7","9,2","18,4","13,7","0,3"
03/01/2014 1.00,"2,6","12,4","11,1",,"7,2","14,8","9,8","0,3"
03/01/2014 2.00,"2,6","11,0","9,9","27,6","5,6","14,8","9,8","0,3"
03/01/2014 3.00,"2,6","7,5","6,3",,"3,0","14,8","9,8","0,3"
03/01/2014 4.00,"2,6","7,5","6,1","16,1","2,4","14,8","9,8","0,3"
03/01/2014 5.00,"2,6","9,5","7,7",,"6,3","14,8","9,8","0,3"
