"NetC","EniPower Brindisi","","","","","","","","","","",""
"Stat","Via Crati-Rione Perrino","","","","","","","","","","",""
,SO2,NO2,NOX,CO,PM10

,,,,

01/01/2012 1.00,"1,7467575","9,87226402","13,48075485","0,47563688",
01/01/2012 2.00,"1,9630012","10,25902338","13,80240487","0,46992605","9,035409"
01/01/2012 3.00,"1,44619434","9,87550868","13,39450644","0,47498565",
01/01/2012 4.00,"2,11228561","10,05072245","13,58645786","0,47779213","8,058608"
01/01/2012 5.00,"2,76449585","12,72563339","23,63669848","0,49625272",
01/01/2012 6.00,"2,75346343","13,94628478","20,9934732","0,48988833","4,639805"
01/01/2012 7.00,"2,12576188","9,19282717","12,71229719","0,47787135",
01/01/2012 8.00,"1,87799322","12,96443837","16,77636791","0,51522824","6,593407"
01/01/2012 9.00,"1,34679683","12,49979751","17,67517043","0,5498369",
01/01/2012 10.00,"2,06643111","9,29341366","14,09552021","0,52005018","6,349206"
01/01/2012 11.00,"2,76377581","9,24344546","15,88988441","0,50297361",
01/01/2012 12.00,"2,40106581","6,98904258","11,3997589","0,46326458","17,82661"
01/01/2012 13.00,"2,15989341","6,48222301","10,54440467","0,46154504",
01/01/2012 14.00,"2,15232388","6,61265774","10,70458056","0,45116839","9,76801"
01/01/2012 15.00,"2,16960678","5,52179673","9,1903626","0,45377682",
01/01/2012 16.00,"2,01365186","6,76970177","10,43091982","0,46678288","9,27961"
01/01/2012 17.00,"1,61764935","7,22590306","10,81547274","0,48510484",
01/01/2012 18.00,"1,71941546","7,96114736","11,50416558","0,50196588","5,372406"
01/01/2012 19.00,"1,7849967","10,23371614","13,93210157","0,49040326",
01/01/2012 20.00,"1,50772793","13,55886961","17,03511314","0,5128365","3,418803"
01/01/2012 21.00,"1,58486636","8,34986078","11,83748645","0,50718275",
01/01/2012 22.00,"1,3802846","17,85741845","21,62120192","0,58974397","2,197802"
01/01/2012 23.00,"1,35549116","56,20239872","65,8752832","0,98558767",
02/01/2012 0.00,"1,41038374","43,3781176","48,44717376","0,92834773","4,395605"
02/01/2012 1.00,,"44,04328328","49,3083768","0,93386167",
02/01/2012 2.00,"0,67841019",,,"0,76796917","15,87301"
02/01/2012 3.00,"0,66613398","13,56470886","16,99620585","0,68736631",
02/01/2012 4.00,"0,73685515","12,36158286","15,81530876","0,67238325","20,51281"
02/01/2012 5.00,"0,56382277","15,2493472","18,64076676","0,67764206",
02/01/2012 6.00,"0,61734748","23,19101128","27,02894976","0,74652385","16,36141"
02/01/2012 7.00,"0,83677438","39,33135048","48,00232784","0,78228003",
02/01/2012 8.00,"0,853203","39,8939756","58,2451604","0,85817978","9,27961"
02/01/2012 9.00,"1,11387942","42,47351216","77,42546488","0,83372992",
02/01/2012 10.00,"1,02203822","17,30452732","26,09122848","0,6917339","15,14041"
02/01/2012 11.00,"0,87504612","10,39919018","15,17525146","0,61198033",
02/01/2012 12.00,"1,39527112","8,36024103","12,47689558","0,59502142","24,42001"
02/01/2012 13.00,"1,28086472","9,57505318","14,05596284","0,59442844",
02/01/2012 14.00,"1,31038009","8,93649871","13,00022527","0,55981862","12,69841"
02/01/2012 15.00,"1,00524958","12,86320753","17,77179526","0,54578503",
