,Lecce,,,,,
,Lecce-Piazza Palio,,,,,
Parm,NOX,NO2,PM10,CO,O3,BENZENE



01/01/2010 1.00,"8,98154926","3,9299573","25,88521957","0,53605728","78,1747932","0,70025128"
01/01/2010 2.00,"11,84591837","6,28624492","25,88521957","0,64249051","72,3459219","0,63438935"
01/01/2010 3.00,"11,18964922","5,8112219","25,88521957","0,52743628","69,760761","0,62095274"
01/01/2010 4.00,"10,94257485","5,60940457","25,88521957","0,45630021","64,36378725","0,50200442"
01/01/2010 5.00,"12,1973975","6,57372177","25,88521957","0,41665643","60,59626965","0,51544103"
01/01/2010 6.00,"12,9347278","7,19280634","25,88521957","0,52726968","55,74454935","0,46235566"
01/01/2010 7.00,"15,76018771","9,95013786","25,88521957","0,36260975","51,57009165","0,44957909"
01/01/2010 8.00,"19,09017089","12,8658002","25,88521957","0,32118235","52,41872475","0,48922887"
01/01/2010 9.00,"13,31214704","7,20708515","25,88521957","0,38731241","62,2971069","0,59474058"
01/01/2010 10.00,"11,00482957","5,21874473","25,88521957","0,36215074","76,93619745","0,5550908"
01/01/2010 11.00,"10,55153834","4,87026552","25,88521957","0,53268693","83,0399199","0,60817719"
01/01/2010 12.00,"10,59433846","4,73982888","25,88521957","0,50494712","83,36025705","0,64782595"
01/01/2010 13.00,"12,08715541","5,15579595","25,88521957","0,47660034","87,36873075","0,71368789"
01/01/2010 14.00,"13,59294336","6,28494667","25,88521957","0,56296179","85,2663399","0,80642303"
01/01/2010 15.00,"8,19558342","2,61066966","25,88521957","0,6037298","90,1484241","0,76611322"
01/01/2010 16.00,"7,63658727","2,20768124","25,88521957","0,49087974","92,3783952","0,58119313"
01/01/2010 17.00,"10,91533841","5,16877652","25,88521957","0,44580939","87,13491675","0,60817719"
01/01/2010 18.00,"13,51901588","7,37191294","25,88521957","0,54143725","85,97574195","0,68758556"
01/01/2010 19.00,"16,33280112","10,24864695","25,88521957","0,58010942","85,2279561","0,74078178"
01/01/2010 20.00,"18,33014324","12,40960465","25,88521957","0,55521454","85,4938896","0,84618265"
01/01/2010 21.00,"15,81920159","10,10782815","25,88521957","0,65221011","88,2209349","0,89849814"
01/01/2010 22.00,"17,43393339","11,76325496","25,88521957","0,66210911","88,05405315","0,87228497"
01/01/2010 23.00,"17,21020454","11,41477766","25,88521957","0,77399921","87,8309523","0,87228497"
02/01/2010 0.00,"13,43536014","7,97023318","25,88521957","0,82494699","90,60797235","0,80554231"
02/01/2010 1.00,"10,24415375","5,43483897","14,40781021","0,45036337","92,32307385","0,70014145"
02/01/2010 2.00,"10,05933601","4,76578619","14,40781021","0,39190251","92,84688105","0,62084291"
02/01/2010 3.00,"9,49644894","4,39848908","14,40781021",,"92,14906995","0,5550908"
