"NetC","Provincia di Lecce","","","","","","","","","","","","","","",""
"Stat","Lecce-Piazza Palio","","","","","","","","","","","","","","",""
,NO2,NOX,CO,O3,PM10,BENZENE

,,,,,,

01/01/2012 1.00,"39,05120424","53,8009076","0,54009517","45,46239915","24,90842","1,71756045"
01/01/2012 2.00,"45,10625968","76,14752232","0,56628204","35,51892015","24,90842","2,2245858"
01/01/2012 3.00,"46,58870976","82,78447584","0,47437286","36,88637295","24,90842","1,61047035"
01/01/2012 4.00,"45,9801584","83,47621832","0,47737506","39,2126427","24,90842","1,5147198"
01/01/2012 5.00,"43,51350632","79,51493672","0,44141384","43,07338665","24,90842","1,79597115"
01/01/2012 6.00,"39,2166496","68,28394432","0,38041095","39,81032475","24,90842","1,28686095"
01/01/2012 7.00,"36,40159288","65,04360144","0,36556069","37,7315946","24,90842","1,2518253"
01/01/2012 8.00,"34,03291168","63,3008708","0,36852212","39,6653481","24,90842","1,2385026"
01/01/2012 9.00,"33,80519248","59,44786576","0,36413823","48,47451","24,90842","1,1839914"
01/01/2012 10.00,"34,91136096","54,82461152","0,3871062","52,3572987","24,90842","1,267182"
01/01/2012 11.00,"36,81942224","52,02190632","0,3776266","60,59674845","24,90842","1,39059495"
01/01/2012 12.00,"36,70911896","46,3328268","0,32418805","69,81452625","24,90842","1,1875509"
01/01/2012 13.00,"36,6954864","46,2705912","0,30045001","71,4015687","24,90842","0,96274305"
01/01/2012 14.00,"24,61005944","30,07922072","0,29114865","77,08075515","24,90842","0,9077742"
01/01/2012 15.00,"16,05464145","20,41197664","0,30414306","78,0963897","24,90842","0,82900755"
01/01/2012 16.00,"21,56795272","26,79478712","0,327485","72,4307493","24,90842","0,90579105"
01/01/2012 17.00,"34,7731616","48,60455048","0,4798635","49,70971425","24,90842","1,2707415"
01/01/2012 18.00,"40,18786912","69,80234","0,5871169","38,78960295","24,90842","2,13341175"
01/01/2012 19.00,"42,75507328","84,26201208","0,66917134","28,05941565","24,90842","1,98798075"
01/01/2012 20.00,"51,13837112","146,72003504","1,15558214","12,55894395","24,90842","4,077153"
01/01/2012 21.00,"56,50397848","196,5681312","1,24580091","10,98367998","24,90842","5,3345718"
01/01/2012 22.00,"58,63390824","219,3930136","1,3779154","11,04047364","24,90842","6,00869025"
01/01/2012 23.00,"56,63632712","230,9250504","1,31989607","10,15964922","24,90842","6,31684125"
02/01/2012 0.00,"54,89436128","265,4919072","1,88655324","9,78832985","24,90842","7,53612255"
02/01/2012 1.00,"53,89719592","290,390736","1,86174922","8,93462745","42,00244","7,2838557"
02/01/2012 2.00,"51,83927208","259,488992","1,1886297","10,24527063","42,00244","5,7631356"
02/01/2012 3.00,"43,00095648","183,95751608",,"15,43870251","42,00244","3,89699145"
02/01/2012 4.00,"39,01682648","136,52381704","0,62329481",,"42,00244","2,91924765"
02/01/2012 5.00,"37,29692512","106,56000464","0,53016238","34,1972526","42,00244","2,1922452"
02/01/2012 6.00,"35,60295048","96,19967968","0,56932385","20,76437895","42,00244","2,26043505"
02/01/2012 7.00,"36,49373216","114,25177032","0,90356352","7,71044957","42,00244","2,394018"
