,Regione Puglia,,,,,
,CERRATE,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



01/01/2006 1.00,2,"7,80150874","1,26816658","38,7855531",,
01/01/2006 2.00,1,"8,07406243","1,36674189","39,5612889",,
01/01/2006 3.00,1,"9,27719034","1,3308995","37,15972785",,
01/01/2006 4.00,1,"17,16175637","1,23935962","29,9929497",,
01/01/2006 5.00,1,"7,85212703","1,21589536","39,10313715",,
01/01/2006 6.00,1,"6,19863708","1,33343803","44,0264979",,
01/01/2006 7.00,1,"5,16553186","1,35244967","47,22270735",,
01/01/2006 8.00,2,"4,51789348","1,50102561","52,223115",,
01/01/2006 9.00,1,"4,22327531","1,62257472","55,1057703",,
01/01/2006 10.00,2,"4,51140224","1,7736426","56,862687",,
01/01/2006 11.00,1,"5,22783055","1,72631448","53,8462071",,
01/01/2006 12.00,"0,59783837","5,4367873","2,00534363","54,30571545",,
01/01/2006 13.00,"0,42893094","5,13178697","2,12172829","57,68572425",,
01/01/2006 14.00,,"4,63210489","2,24212056","63,15372",,
01/01/2006 15.00,,"3,9611057","2,5155845","72,1139034",,
01/01/2006 16.00,"0,12315056","3,82482981","2,75935027","71,4327705",,
01/01/2006 17.00,,"3,34591587","2,83953838","73,91405175",,
01/01/2006 18.00,"0,40552977","4,24404154","2,80147084","73,52618385",,
01/01/2006 19.00,"0,66783339","5,56268102","2,33517493","72,30041595",,
01/01/2006 20.00,"0,60637405","6,58540409","2,09394654","74,0275872",,
01/01/2006 21.00,"0,86036166","5,60291333","1,92315288","75,0019851",,
01/01/2006 22.00,"0,92642801","6,4776801","1,66171057","74,63843625",,
01/01/2006 23.00,1,"4,69051075","1,57128327","76,6561593",,
02/01/2006 0.00,1,"3,77550977","1,59376777","77,5886622",,
02/01/2006 1.00,,"3,52761706","1,61531677","76,64939625",,
02/01/2006 2.00,"0,52637276",,"1,5926983","75,6506793",,
02/01/2006 3.00,"0,49562783","3,1395518",,"75,42498495",,
02/01/2006 4.00,"0,80462599","2,70087208","0,69675621","75,8912364",,
02/01/2006 5.00,1,"2,6502557","0,59474182","76,09394835",,
02/01/2006 6.00,"0,68994806","2,82157282","0,63870426","76,0885419",,
02/01/2006 7.00,"0,5234855","2,96953102","0,48937806","74,8722303",,
02/01/2006 8.00,"0,37033038","3,28102068","0,40480022","75,16280205",,
02/01/2006 9.00,"0,23731898","7,43291338","0,3675342","62,14824",,
02/01/2006 10.00,"0,71434894","10,31937183","0,48337714","54,7746801",,
02/01/2006 11.00,"0,67063828","9,75091511","0,53642775","58,68984765",,
02/01/2006 12.00,"0,79258878","3,83002089","0,77937801","73,65861195",,
02/01/2006 13.00,"0,37775143","2,58665876","0,80011967","79,5820662",,
02/01/2006 14.00,"0,27189698","2,87348935","1,23531474","80,76188925",,
02/01/2006 15.00,"0,13948867","2,87997868","1,68633983","79,0914957",,
02/01/2006 16.00,,"3,25376512","2,12466642","80,12400795",,
02/01/2006 17.00,,"6,76191419","1,7809623","72,47338245",,
02/01/2006 18.00,,"9,81450823","1,37129354","43,53323415",,
02/01/2006 19.00,"0,15605967","14,77367219","0,91800719","41,52901725",,
02/01/2006 20.00,"0,1959881","16,09750658","0,71697712","29,3104602",,
02/01/2006 21.00,"0,66142222","24,641378","0,74501634","26,38588995",,
02/01/2006 22.00,"0,64623638","15,52384539","0,07021106","37,5976104",,
02/01/2006 23.00,"0,62151006","27,62000632","0,07000252","27,2535354",,
03/01/2006 0.00,"0,66776627","24,01971032","0,18821158","22,12744275",,
03/01/2006 1.00,1,"16,72696948",,"27,53058105",,
03/01/2006 2.00,1,"12,86061294",,"44,1995043",,
03/01/2006 3.00,1,"8,3544037",,"43,48591275",,
03/01/2006 4.00,1,"6,19214775",,"32,63909775",,
03/01/2006 5.00,1,"6,28040376",,"31,953915",,
03/01/2006 6.00,2,"4,52178631",,"22,93561725",,
03/01/2006 7.00,2,"3,98057368",,"18,15686408",,
03/01/2006 8.00,2,"10,96441945",,"11,15629536",,
03/01/2006 9.00,2,"19,7003876",,"10,7414012",,
03/01/2006 10.00,2,"23,52262856",,"25,739889",,
03/01/2006 11.00,2,"24,46488128",,"31,88363115",,
03/01/2006 12.00,2,"10,37388486","0,00776589","54,6584514",,
03/01/2006 13.00,2,"7,50689249","0,15438813","63,680799",,
03/01/2006 14.00,"0,79775717","5,23561622","0,35981025","65,8309701",,
03/01/2006 15.00,"0,47967517","4,36993527","0,00207836","68,62714215",,
03/01/2006 16.00,"0,74248322","4,691809","0,06940255","68,27035635",,
03/01/2006 17.00,"0,41334033","7,72623139","0,11741802","48,83095665",,
03/01/2006 18.00,"0,30784488","20,77762752","0,04108489","19,9610523",,
03/01/2006 19.00,"0,2986451","14,0689262","0,00054872","26,22776625",,
03/01/2006 20.00,"0,63031728","3,86506402",,"57,50597475",,
03/01/2006 21.00,1,"12,45438178",,"30,8862708",,
03/01/2006 22.00,"0,94181217","9,64189096",,"42,97642965",,
03/01/2006 23.00,2,"6,00395533",,"66,026919",,
04/01/2006 0.00,2,"7,73142438",,"62,76180225",,
04/01/2006 1.00,,"8,5023619",,"54,95983605",,
04/01/2006 2.00,"0,4790609",,"0,00025281","55,92880755",,
04/01/2006 3.00,"0,51737739","5,23042514",,"45,10497495",,
04/01/2006 4.00,"0,72500405","4,34267971","0,54794727","39,80589585",,
04/01/2006 5.00,"0,59116786","4,35695662","0,43038712","44,2697682",,
04/01/2006 6.00,"0,62447868","5,1811051","0,4401603","50,34998955",,
04/01/2006 7.00,"0,19325848","3,6794681","0,31086161","46,3699446",,
04/01/2006 8.00,"0,68779812","15,77562902","0,2841004","23,22888225",,
04/01/2006 9.00,1,"9,53935996","0,14604091","34,1473377",,
04/01/2006 10.00,1,"16,85286512","0,2805122","23,8937958",,
04/01/2006 11.00,1,"14,50631532","0,47751836","50,229711",,
04/01/2006 12.00,1,"3,77550977","0,98864347","67,79598525",,
04/01/2006 13.00,"0,93068314","2,8721911","1,2131879","69,58398405",,
04/01/2006 14.00,"0,70809235","2,87997868","1,42425211","72,19228695",,
04/01/2006 15.00,"0,63879296","2,68529693","1,42755489","73,45185015",,
04/01/2006 16.00,"0,26539937","3,50814907","1,45750354","69,8596731",,
04/01/2006 17.00,"0,12983124","21,34220288","1,35743936","33,32158725",,
04/01/2006 18.00,"0,21693525","24,7517004","1,0563055","18,53797491",,
04/01/2006 19.00,"0,32977344","10,65292788","0,63051664","34,58250705",,
04/01/2006 20.00,"0,19945506","9,73923279","0,45886205","30,1605297",,
04/01/2006 21.00,"0,42050408","7,88976475","0,38383605","38,2463046",,
04/01/2006 22.00,"0,23557991","14,24414762","0,49421048","36,0231564",,
04/01/2006 23.00,"0,41284607","23,37207768","0,66541888","35,2393209",,
05/01/2006 0.00,"0,47510986","19,42265048","0,61623491","32,8958742",,
05/01/2006 1.00,"0,76375378","10,74248022","0,48474835","35,79071895",,
05/01/2006 2.00,"0,74134825","9,49782941","0,41726456","31,59036615",,
05/01/2006 3.00,"0,74868082","8,76582977","0,35330722","35,16093735",,
05/01/2006 4.00,1,"9,39919124","0,35817692","36,5380659",,
05/01/2006 5.00,"0,68279143","7,9196149","0,30131094","41,46142665",,
05/01/2006 6.00,"0,87613126","8,88782875","0,28556946","32,7201945",,
05/01/2006 7.00,1,"8,74116879","0,17707767","30,9457218",,
05/01/2006 8.00,1,"10,56596821","0,17350229","29,2469394",,
05/01/2006 9.00,2,"10,67239586","0,18598643","32,3863911",,
05/01/2006 10.00,1,"11,3356113","0,26172191","38,478762",,
05/01/2006 11.00,"0,53759027","10,19608034","0,42779732","42,3587976",,
05/01/2006 12.00,"0,66455357","12,39467193","0,78387258","47,2173009",,
05/01/2006 13.00,"0,26085338","13,05788546","1,0753649","49,1417976",,
05/01/2006 14.00,,"14,35705313","1,06505349","50,42296665",,
05/01/2006 15.00,"0,39855925","17,21886207","1,3073164","48,4025304",,
05/01/2006 16.00,"0,89320669","19,76658104","1,6629443","46,20777105",,
05/01/2006 17.00,"0,5770397","16,61740041","1,60319262","49,85842155",,"1,211247"
05/01/2006 18.00,"0,39966778","15,4875021","1,26964729","43,4507808",,
05/01/2006 19.00,"0,34343887","14,51929398","1,02037807","40,1342928",,"1,5453315"
05/01/2006 20.00,"0,42080206","16,8009505","0,96440914","39,759951",,"2,2582485"
05/01/2006 21.00,"0,48128","14,81650482","0,79333471","41,01275115",,"2,799801"
05/01/2006 22.00,"0,39774667","17,36681837","0,74910316","31,7957913",,"2,030949"
05/01/2006 23.00,"0,69391334","17,05144162","0,63511373","27,29138055",,"2,1636675"
06/01/2006 0.00,1,"17,40445609","0,59615031","24,7438653",,"2,8206495"
06/01/2006 1.00,,"13,83531039","0,42503161","28,50904875",,"2,637081"
06/01/2006 2.00,2,,"0,32170776","31,75930275",,"3,271689"
06/01/2006 3.00,1,"6,80344474",,"35,2582335",,"3,0891375"
06/01/2006 4.00,1,"5,48350893","0,76018813","31,3754847",,"2,442834"
06/01/2006 5.00,2,"4,59706366","0,58671031","33,42700305",,"3,401865"
