,SIMAGE Brindisi,,,,
,SISRI.,,,,
Parm,SO2,NO2,PM10,CO,NOX



01/01/2010 1.00,"0,05692047","2,07399994",,"0,21914932","6,04390083"
01/01/2010 2.00,"0,0592311","7,6496577","35,16482162","0,21264862","11,48082006"
01/01/2010 3.00,"0,04828614","7,87159502",,"0,23097989","11,87380298"
01/01/2010 4.00,"0,05315045","6,24406238","38,0952301","0,21179234","10,18643812"
01/01/2010 5.00,"0,04786002","4,55034012",,"0,26094602","8,58208083"
01/01/2010 6.00,"0,0459145","4,15059446","34,18803024","0,21397206","9,11384054"
01/01/2010 7.00,"0,05010962","4,17785002",,"0,25335721","7,86355697"
01/01/2010 8.00,"0,05722456","3,3186584","32,72283173","0,21973298","8,33176562"
01/01/2010 9.00,"0,06093457","2,39717",,"0,33193413","7,41221025"
01/01/2010 10.00,"0,0518131","1,99612609","23,44322014","0,29609058","6,25401242"
01/01/2010 11.00,"0,04992758","0,699553",,"0,21401167","5,562725"
01/01/2010 12.00,"0,05728558","0,93446706","14,16361046","0,33243974","6,11523564"
01/01/2010 13.00,"0,14473029","1,37185044",,"0,34096288","6,11004838"
01/01/2010 14.00,"0,08063691","0,84102188","10,7448101","0,29725791","5,38892994"
01/01/2010 15.00,"0,06208988","0,68138326",,"0,20755058","4,9336923"
01/01/2010 16.00,"0,04786002","0,57495752","13,67521","0,17046164","5,16455291"
01/01/2010 17.00,"0,0459145","1,29008567",,"0,37719555","6,42650924"
01/01/2010 18.00,"0,05120493","1,82870181","10,25640965","0,44779222","6,83116492"
01/01/2010 19.00,"0,05558312","2,14278605",,"0,36372931","7,16837862"
01/01/2010 20.00,"0,0496235","1,82091423","17,58241081","0,28612633","6,79355397"
01/01/2010 21.00,"0,04415102","1,84687346",,"0,34119588","6,64310442"
01/01/2010 22.00,"0,16315629","8,40112724","19,04759979","0,42911261","13,44833115"
01/01/2010 23.00,"0,19921606","10,32326849",,"0,47830473","15,09289398"
02/01/2010 0.00,"0,05339352","2,07919102","11,72161007","0,37003429","7,22414975"
02/01/2010 1.00,,"0,84102188",,"0,22082226","5,62497972"
02/01/2010 2.00,"0,14030125",,"5,86080599","0,31224097",
02/01/2010 3.00,"0,12039958","10,97609794",,,"15,65578104"
02/01/2010 4.00,"0,1531541","5,71453015","4,39560509","0,14598149","11,71427526"
02/01/2010 5.00,"0,22303624","3,9299573",,"0,14293036","9,11124595"
02/01/2010 6.00,"0,21054137","6,94621187","2,93040299","0,12877444","12,89192768"
02/01/2010 7.00,"0,31112471","3,75734003",,"0,04004338","9,37712676"
02/01/2010 8.00,"0,32486946","5,04612746","2,44200301","0,09288895","9,86997726"
02/01/2010 9.00,"0,37904302","7,95206345",,"0,14719076","14,28487895"
02/01/2010 10.00,"0,49622786","10,0948495","7,32600689","0,14207991","18,25621576"
02/01/2010 11.00,"0,46525818","9,10587132",,"0,11283025","16,64148205"
02/01/2010 12.00,"0,09523086","4,97604118","6,34920597","0,12634192","10,80250173"
02/01/2010 13.00,"0,3155873","5,24210554",,"0,05867523","11,56382571"
02/01/2010 14.00,"0,80128108","7,24342462","3,90720391","0,16980225","14,13442941"
02/01/2010 15.00,"2,11520745","8,7126169",,"0,31235747","16,99296118"
02/01/2010 16.00,"1,03172311","7,40695607","5,86080599","0,25582585","13,35494907"
02/01/2010 17.00,"0,11343821","6,84887195",,"0,16334232","11,8452702"
02/01/2010 18.00,"0,11736485","10,49718592","13,67521","0,14194943","15,06825212"
02/01/2010 19.00,"0,07871987","10,35312246",,"0,11425272","15,05139019"
02/01/2010 20.00,"0,06774237","10,01178648","16,11721039","0,09767011","15,22907618"
02/01/2010 21.00,"0,07479323","8,28302109",,"0,11036977","13,92821065"
02/01/2010 22.00,"0,08577073","6,82680747","15,62880993","0,25361584","12,40556268"
02/01/2010 23.00,"0,09237513","8,3063819",,"0,20004681","13,99695087"
03/01/2010 0.00,"0,06515411","3,67557335","17,09399986","0,08183776","8,84407072"
03/01/2010 1.00,"0,16198878","4,58148851",,"0,14804587","10,63778675"
03/01/2010 2.00,"0,09059029","5,0785741","7,32600689","0,22112399","10,2020018"
03/01/2010 3.00,"0,0772025","2,72293465",,"0,16803145","7,90376442"
03/01/2010 4.00,"0,06095898","2,42961664","9,27960968","0,02625677","7,99844283"
03/01/2010 5.00,"0,06658197","2,14019146",,"0,00781249","7,40313207"
03/01/2010 6.00,"0,01999219","2,38419134","5,86080599","0,02708276","7,32920459"
03/01/2010 7.00,"0,04043084","4,44780721",,"0,04762171","10,0723051"
03/01/2010 8.00,"0,06069049","4,45819128","5,37240601","0,07864682","10,45620985"
03/01/2010 9.00,"0,12182643","4,82938314",,"0,11422592","10,90885482"
03/01/2010 10.00,"0,05542447","4,64638179","11,23320961","0,23659403","11,27589763"
03/01/2010 11.00,"0,0341834","4,93451063",,"0,20794085","11,12544809"
03/01/2010 12.00,"0,05979858","4,27908468","6,83760691","0,13082135","9,76621876"
03/01/2010 13.00,"0,0484631","3,80276533",,"0,12426822","8,74809406"
03/01/2010 14.00,"0,05837072","2,1414878","9,27960968","0,14316452","8,01530285"
03/01/2010 15.00,"0,06435068","2,35563754",,"0,24818694","7,86226063"
03/01/2010 16.00,"0,0783629","3,85857278","4,39560509","0,25373234","9,61706746"
03/01/2010 17.00,"0,15966798","4,12723364",,"0,24392304","9,59112736"
03/01/2010 18.00,"0,05435357","2,6788076","7,81440783","0,18310771","7,46279221"
03/01/2010 19.00,"0,02454428","1,12525406",,"0,21817771","6,32275074"
03/01/2010 20.00,"0,0562279","2,06361586","8,79120922","0,11543403","7,33050093"
03/01/2010 21.00,"0,05417559","2,18821134",,"0,10203303","7,75201662"
03/01/2010 22.00,"0,06095898","1,28359634","4,88400507","0,15191367","6,49524946"
03/01/2010 23.00,"0,16109687","6,72038173",,"0,19247082","11,16435729"
04/01/2010 0.00,"0,10763623","6,09221134","9,76801014","0,02893511","12,20972034"
04/01/2010 1.00,,"7,21357448",,"0,0964888","12,93343146"
04/01/2010 2.00,"1,54897338",,"5,37240601","0,22108555",
04/01/2010 3.00,"1,67628551","11,17986934",,,"16,66871849"
04/01/2010 4.00,"1,72073858","6,06236119","3,41880298","0,20403228","11,31091591"
04/01/2010 5.00,"1,8166549","4,31282957",,"0,21275813","9,2941211"
04/01/2010 6.00,"1,64664911","5,15774428","2,44200301","0,2097967","10,73895067"
04/01/2010 7.00,"1,79628032","5,85599903",,"0,22701307","11,41337617"
04/01/2010 8.00,"1,50362433","34,40527368","2,44200301","0,33436665","68,48543088"
