"NetC","SIMAGE Brindisi","","","","","","",""
"Stat","S.I.S.R.I.","","","","","","",""
,SO2,NOX,NO2,PM10,CO



01/01/2011 1.00,"2,2","64,3","49,2",,"0,8"
01/01/2011 2.00,"2,8","81,6","55,7","52,7","0,9"
01/01/2011 3.00,"2,1","73,5","51,8",,"0,9"
01/01/2011 4.00,"1,3","58,2","40,3",147,"0,8"
01/01/2011 5.00,"1,3","8,2","5,9",,"0,3"
01/01/2011 6.00,"1,2",5,"3,5","108,9","0,3"
01/01/2011 7.00,"1,2","14,7","12,3",,"0,3"
01/01/2011 8.00,1,"30,1","24,3","56,2","0,4"
01/01/2011 9.00,"1,3","44,9","29,8",,1
01/01/2011 10.00,"1,3","29,9",17,"36,1","0,4"
01/01/2011 11.00,"1,3",,,,"0,2"
01/01/2011 12.00,"1,3",,,"25,6","0,3"
01/01/2011 13.00,"1,2",,,,"0,3"
01/01/2011 14.00,"0,8",3,"1,3","13,7","0,3"
01/01/2011 15.00,"1,1",,,,"0,3"
01/01/2011 16.00,"1,2",,,"7,8","0,3"
01/01/2011 17.00,"1,3",,,,"0,3"
01/01/2011 18.00,"1,2","5,5","4,3","4,9","0,3"
01/01/2011 19.00,"1,3","5,6","4,4",,"0,3"
01/01/2011 20.00,"1,2",,,"3,2","0,3"
01/01/2011 21.00,"1,1",,,,"0,3"
01/01/2011 22.00,"1,3","9,3","7,4","2,9","0,3"
01/01/2011 23.00,"1,3","31,6","26,9",,"0,5"
02/01/2011 0.00,"1,3","32,8",23,"2,4","0,5"
02/01/2011 1.00,,"14,5","9,6",,"0,4"
02/01/2011 2.00,"1,3",,,"6,6","0,3"
02/01/2011 3.00,"1,3","5,3","3,5",,
02/01/2011 4.00,"1,3",,,"11,7","0,2"
02/01/2011 5.00,"1,3","4,1","2,4",,"0,2"
02/01/2011 6.00,"1,3",,,"13,4","0,2"
02/01/2011 7.00,"1,4","8,9","6,8",,"0,2"
02/01/2011 8.00,"1,3",8,"6,4","7,3","0,2"
02/01/2011 9.00,"1,3","6,6","4,4",,"0,2"
02/01/2011 10.00,"1,3","5,3","3,2","4,4","0,2"
02/01/2011 11.00,"1,3","5,7","3,7",,"0,2"
02/01/2011 12.00,"1,3",,,"2,9","0,3"
02/01/2011 13.00,"1,1",,,,"0,2"
02/01/2011 14.00,2,"4,6","2,4","6,1","0,2"
02/01/2011 15.00,"1,3",,,,"0,3"
02/01/2011 16.00,"1,4","2,8",1,"4,2","0,2"
02/01/2011 17.00,"2,7","9,4","7,6",,"0,2"
02/01/2011 18.00,3,"10,1","8,6","3,2","0,2"
02/01/2011 19.00,"3,2","10,7","8,5",,"0,2"
02/01/2011 20.00,"2,7","6,4","4,8","1,7","0,2"
02/01/2011 21.00,"1,8","1,8","0,6",,"0,2"
02/01/2011 22.00,"2,7","6,9","5,2","0,7","0,2"
02/01/2011 23.00,"2,1","4,8","2,8",,"0,2"
03/01/2011 0.00,"1,4","10,1","8,6","6,3","0,3"
03/01/2011 1.00,"1,3","14,6","12,7",,"0,3"
03/01/2011 2.00,"1,3","9,2","7,3","10,5","0,3"
03/01/2011 3.00,"1,3","7,8","6,8",,"0,3"
