,Provincia di TARANTO,,,,
,SS7 Wind,,,,
Parm,SO2,NO2,PM10,CO,BENZENE
,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,
01/01/2005 1.00,"3,924587","7,675616",,"0,283599","0,439343"
01/01/2005 2.00,"3,899301","10,867076","15,14041","0,260208","0,447987"
01/01/2005 3.00,"3,902913","7,165552",,"0,254776","0,438263"
01/01/2005 4.00,"3,901107","6,31285","7,326007","0,263856","0,449717"
01/01/2005 5.00,"3,852344","6,828106",,"0,266491","0,449717"
01/01/2005 6.00,"3,635615","13,686057","9,76801","0,291259","0,446043"
01/01/2005 7.00,"3,79455","11,879417",,"0,253479","0,448636"
01/01/2005 8.00,"3,899301","11,374549","13,18681","0,289962","0,447123"
01/01/2005 9.00,"3,899301","11,326527",,"0,30946","0,445177"
01/01/2005 10.00,"3,901107","13,750955","10,25641","0,303055","0,446907"
01/01/2005 11.00,"3,901107","13,12797",,"0,311447","0,446907"
01/01/2005 12.00,"3,901107","14,427137","17,582411","0,322878","0,422271"
01/01/2005 13.00,"3,901107","12,950165",,"0,270788","0,440856"
01/01/2005 14.00,"3,881241","11,287589","8,302809","0,202848","0,440208"
01/01/2005 15.00,"3,901107","9,343381",,"0,190972","0,434373"
01/01/2005 16.00,"3,901107","4,502318","5,372406","0,179012","0,408439"
01/01/2005 17.00,"3,901107","8,870957",,"0,194537","0,311408"
01/01/2005 18.00,"3,319554","9,865126","7,326007","0,213955","0,332154"
01/01/2005 19.00,"3,781907","12,812593",,"0,232806","0,423568"
01/01/2005 20.00,"3,888465","19,461578","5,860806","0,261708","0,409953"
01/01/2005 21.00,"3,846925","16,851564",,"0,299043","0,311408"
01/01/2005 22.00,"3,899301","13,253867","13,18681","0,286355","0,335612"
01/01/2005 23.00,"3,828865","14,906058",,"0,2943","0,436534"
02/01/2005 0.00,"3,850538","15,544605","13,18681","0,2988","0,43956"
02/01/2005 1.00,,"16,403801",,"0,308041","0,443017"
02/01/2005 2.00,"3,780101",,"11,72161","0,311001","0,44453"
02/01/2005 3.00,"3,816222","20,013171",,,"0,443017"
02/01/2005 4.00,"3,837895","16,468695","13,67521","0,33164","0,438695"
02/01/2005 5.00,"4,506141","16,065058",,"0,309792","0,456848"
02/01/2005 6.00,"3,836089","15,152655","6,837607","0,311819","0,437831"
