NetC,Provincia di TARANTO,,,,,,
Stat,SS7 Wind,,,,,,
Parm,SO2,NOX,NO,NO2,PM10,CO,BENZENE
PtId,1,2,3,4,5,6,7
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
,,,,,,,,,,,,,,,
,,,,,,,,,,,,
01/01/2007 1.00,"2,566987","72,512523","1,410939","70,397868",,"0,29673",
01/01/2007 2.00,"0,322352","32,647437","1,315354","30,651844","26,37361","0,254962",
01/01/2007 3.00,"2,187857","71,052157","1,613952","68,624988",,"0,258809",
01/01/2007 4.00,"1,995518","65,469959","1,410093","63,35173","26,86202","0,2998",
01/01/2007 5.00,"1,973325","63,866898","1,145331","62,153783",,"0,253641",
01/01/2007 6.00,"1,470284","58,00199","1,162249","56,258857","15,62881","0,252747",
01/01/2007 7.00,"1,70331","62,571231","1,323813","60,583362",,"0,243617",
01/01/2007 8.00,"1,308121","56,121386","1,243454","54,252349","7,326007","0,268716",
01/01/2007 9.00,"1,811902","61,485673","1,593651","59,083015",,"0,284646",
01/01/2007 10.00,"1,593887","77,988357","14,317468","56,074542","31,746031","0,472313",
01/01/2007 11.00,"1,488778","70,205234","15,510174","46,456014",,"0,646691",
01/01/2007 12.00,"0,798917","42,187973","3,230441","37,260597","70,818062","0,292807",
01/01/2007 13.00,"1,185043","36,179072","3,512122","30,815358",,"0,285695",
01/01/2007 14.00,"2,528149","38,229616","3,456294","32,952955","48,84005","0,279245",
01/01/2007 15.00,"0,940858","24,532259","1,888865","21,651085",,"0,236817",
01/01/2007 16.00,"0,125606","19,212081","0,809514","17,983314","34,18803","0,23025",
01/01/2007 17.00,"0,310424","20,356012","1,024368","18,798375",,"0,261994",
01/01/2007 18.00,"0,792166","39,959766","1,123337","38,263842","37,118431","0,371175",
01/01/2007 19.00,"0,519131","35,155792","0,796825","33,957502",,"0,463493",
01/01/2007 20.00,"1,155237","50,575514","1,128413","48,879149","34,67643","0,522901",
01/01/2007 21.00,"1,199283","59,26783","2,173083","55,974622",,"0,488204",
01/01/2007 22.00,"1,113039","45,377246","2,711913","41,247669","29,79241","0,215719",
01/01/2007 23.00,"0,566013","38,869029","1,853338","36,052268",,"0,188249",
02/01/2007 0.00,"1,284541","53,876315","2,440383","50,169233","15,62881","0,190153",
02/01/2007 1.00,,"47,902424","1,988681","44,884294",,"0,163693",
02/01/2007 2.00,"1,721203",,,,"20,51281","0,184558",
02/01/2007 3.00,"2,139053","58,54672","1,520059","56,254959",,,
02/01/2007 4.00,"2,009533","47,639161","1,85503","44,825901","14,16361","0,163782",
02/01/2007 5.00,"2,778866","59,269132","1,723918","56,665084",,"0,188175",
02/01/2007 6.00,"2,686176","56,235514","1,505678","53,964212","7,814408","0,199617",
02/01/2007 7.00,"2,667637","55,571437","3,152619","50,772758",,"0,19314",
02/01/2007 8.00,"2,477498","53,326407","5,186132","45,406042","7,326007","0,204078",
02/01/2007 9.00,"2,394076","55,908676","6,48203","46,001762",,"0,201401",
02/01/2007 10.00,"2,350512","68,025023","7,059771","57,240039","8,791209","0,223004",
02/01/2007 11.00,"0,387138","34,061131","4,360546","27,39418",,"0,197949",
02/01/2007 12.00,"1,190024","30,784958","4,843549","23,374658","24,908421","0,1836",
02/01/2007 13.00,"0,881797","27,721532","4,083941","21,47457",,"0,17371",
02/01/2007 14.00,"2,00768","28,654054","4,522111","21,735462","23,93162","0,189689",
02/01/2007 15.00,"1,454131","19,040885","2,32788","15,482313",,"0,16894",
02/01/2007 16.00,"1,776448","23,337757","2,586722","19,385003","21,97802","0,188912",
02/01/2007 17.00,"1,312437","20,791794","3,156004","15,963816",,"0,202564",
02/01/2007 18.00,"1,763965","30,770713","1,744219","28,115788","21,97802","0,156141",
02/01/2007 19.00,"1,357176","29,712384","1,675702","27,161852",,"0,195816",
02/01/2007 20.00,"0,855226","31,705835","3,207603","26,80624","10,74481","0,19062",
02/01/2007 21.00,"1,288586","31,660424","1,615643","29,20341",,"0,190968",
02/01/2007 22.00,"2,324126","57,902128","1,502295","55,637171","7,814408","0,207528",
02/01/2007 23.00,"1,877109","33,349084","1,565737","30,969809",,"0,273693",
03/01/2007 0.00,"1,768971","27,722832","2,746595","23,527809","13,67521","0,292736",
03/01/2007 1.00,"0,404997","10,270742","0,48723","9,532871",,"0,196864",
03/01/2007 2.00,,,,,,,
03/01/2007 3.00,,,,,,,
03/01/2007 4.00,,,,,,,
03/01/2007 5.00,,,,,,,
03/01/2007 6.00,,,,,,,
03/01/2007 7.00,,,,,,,
03/01/2007 8.00,,,,,,,
03/01/2007 9.00,,,,,,,
03/01/2007 10.00,,,,,,,
03/01/2007 11.00,,,,,,,
03/01/2007 12.00,,,,,,,
03/01/2007 13.00,,,,,,,
03/01/2007 14.00,,,,,,,
03/01/2007 15.00,,,,,,,
03/01/2007 16.00,,,,,,,
03/01/2007 17.00,,,,,,,
03/01/2007 18.00,,,,,,,
03/01/2007 19.00,,,,,,,
03/01/2007 20.00,,,,,,,
03/01/2007 21.00,,"14,548165","1,527672","14,210397",,"0,000479",
03/01/2007 22.00,"4,712394","12,926945",0,"14,053353","1,953602",0,
03/01/2007 23.00,"3,878177","14,945038","0,006767","15,821057",,"0,000773",
04/01/2007 0.00,"3,744703","10,623519","0,021993","11,458903","0,976801",0,
04/01/2007 1.00,"3,815147","13,094255","0,04737","13,609483",,"0,007281",
04/01/2007 2.00,"3,540783","27,816215","1,51583","25,509655","0,976801","0,016013",
04/01/2007 3.00,"3,53893","29,467247","1,639329","26,972372",,"0,0153",
04/01/2007 4.00,"4,000529","33,692785","1,272213","31,764111","1,465201","0,008335",
04/01/2007 5.00,"3,603813","38,446188","4,674371","31,300757",,"0,00604",
