,Provincia di TARANTO,,,,,,
,SS7 Wind,,,,,,
Parm,SO2,NOX,NO,NO2,PM10,CO,BENZENE
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,
19/01/2008 12.00,"71,794861",,,,,,
19/01/2008 13.00,,,,,,,
19/01/2008 14.00,"24,42001",,,,,,
19/01/2008 15.00,,,,,,,
19/01/2008 16.00,"26,86202",,,,,,
19/01/2008 17.00,,,,,,,
19/01/2008 18.00,"22,954821",,,,,,
19/01/2008 19.00,,,,,,,
19/01/2008 20.00,"30,76923",,,,,,
19/01/2008 21.00,,,,,,,
19/01/2008 22.00,"31,25762",,,,,,
19/01/2008 23.00,,,,,,,
20/01/2008 0.00,"26,86202",,,,,,
20/01/2008 1.00,,,,,,,
20/01/2008 2.00,"30,76923",,,,,,
20/01/2008 3.00,,,,,,,
20/01/2008 4.00,"19,0476",,,,,,
20/01/2008 5.00,,,,,,,
20/01/2008 6.00,"21,001221",,,,,,
20/01/2008 7.00,,,,,,,
20/01/2008 8.00,"23,93162",,,,,,
20/01/2008 9.00,,,,,,,
20/01/2008 10.00,"11,23321",,,,,,
20/01/2008 11.00,,,,,,,
20/01/2008 12.00,"5,372406",,,,,,
20/01/2008 13.00,,,,,,,
20/01/2008 14.00,"2,930403",,,,,,
20/01/2008 15.00,,,,,,,
20/01/2008 16.00,"3,907204",,,,,,
20/01/2008 17.00,,,,,,,
20/01/2008 18.00,"18,07081",,,,,,
20/01/2008 19.00,,,,,,,
20/01/2008 20.00,"25,39682",,,,,,
20/01/2008 21.00,,,,,,,
20/01/2008 22.00,"38,58363",,,,,,
20/01/2008 23.00,,,,,,,
21/01/2008 0.00,"31,746031",,,,,,
21/01/2008 1.00,,,,,,,
21/01/2008 2.00,"21,97802",,,,,,
21/01/2008 3.00,,,,,,,
21/01/2008 4.00,"21,97802",,,,,,
21/01/2008 5.00,,,,,,,
21/01/2008 6.00,"19,53602",,,,,,
21/01/2008 7.00,,,,,,,
21/01/2008 8.00,"36,141621",,,,,,
21/01/2008 9.00,,,,,,,
21/01/2008 10.00,"40,04884",,,,,,
21/01/2008 11.00,,,,,,,
21/01/2008 12.00,"44,444431",,,,,,
21/01/2008 13.00,,,,,,,
21/01/2008 14.00,"36,630032",,,,,,
21/01/2008 15.00,,,,,,,
21/01/2008 16.00,"33,211231",,,,,,
21/01/2008 17.00,,,,,,,
21/01/2008 18.00,"35,653221",,,,,,
21/01/2008 19.00,,,,,,,
21/01/2008 20.00,"62,026852",,,,,,
21/01/2008 21.00,,,,,,,
21/01/2008 22.00,"70,329674",,,,,,
21/01/2008 23.00,,,,,,,
22/01/2008 0.00,"63,980461",,,,,,
22/01/2008 1.00,,,,,,,
22/01/2008 2.00,"57,631241",,,,,,
22/01/2008 3.00,,,,,,,
22/01/2008 4.00,"40,537231","0,274903",,,,,
22/01/2008 5.00,"0,33156",,,,,,
22/01/2008 6.00,"50,305241","0,471268",,,,,
22/01/2008 7.00,"0,632179",,,,,,
22/01/2008 8.00,"49,816841","0,578116",,,,,
22/01/2008 9.00,"0,507849",,,,,,
22/01/2008 10.00,"63,980461","0,467959",,,,,
22/01/2008 11.00,"0,404008",,,,,,
22/01/2008 12.00,"63,980461","0,398369",,,,,
22/01/2008 13.00,"0,345659",,,,,,
22/01/2008 14.00,"45,909641","0,383368",,,,,
22/01/2008 15.00,"0,368856",,,,,,
22/01/2008 16.00,"29,30402","0,439236",,,,,
22/01/2008 17.00,"0,429535",,,,,,
22/01/2008 18.00,"47,37484","0,499953",,,,,
22/01/2008 19.00,"0,45059",,,,,,
22/01/2008 20.00,"49,816841","0,516233",,,,,
22/01/2008 21.00,"0,51157",,,,,,
22/01/2008 22.00,"41,514042","0,422054",,,,,
22/01/2008 23.00,"0,453184",,,,,,
23/01/2008 0.00,"37,118431","0,381789",,,,,
23/01/2008 1.00,"0,29073",,,,,,
23/01/2008 2.00,"22,46641","0,263361",,,,,
23/01/2008 3.00,"0,215877",,,,,,
23/01/2008 4.00,"21,48962","0,247984",,,,,
23/01/2008 5.00,"0,228471",,,,,,
23/01/2008 6.00,"10,74481","0,243999",,,,,
23/01/2008 7.00,"0,178393",,,,,,
23/01/2008 8.00,"16,60561","0,149106",,,,,
23/01/2008 9.00,"0,1223",,,,,,
23/01/2008 10.00,"19,53602","0,127751",,,,,
23/01/2008 11.00,"0,147828",,,,,,
23/01/2008 12.00,"10,25641","0,155234",,,,,
23/01/2008 13.00,"0,148279",,,,,,
23/01/2008 14.00,"11,23321","0,136549",,,,,
23/01/2008 15.00,"0,181138",,,,,,
23/01/2008 16.00,"14,65201","0,170386",,,,,
23/01/2008 17.00,"0,163393",,,,,,
23/01/2008 18.00,"16,11721","0,128165",,,,,
23/01/2008 19.00,"0,133692",,,,,,
23/01/2008 20.00,"21,48962","0,098953",,,,,
23/01/2008 21.00,"0,094854",,,,,,
23/01/2008 22.00,"25,88522","0,084403",,,,,
23/01/2008 23.00,"0,08023",,,,,,
24/01/2008 0.00,"19,0476","0,108691",,,,,
24/01/2008 1.00,"0,094629",,,,,,
24/01/2008 2.00,"18,55921","0,097298",,,,,
24/01/2008 3.00,"0,085306",,,,,,
24/01/2008 4.00,"20,51281","0,060206",,,,,
24/01/2008 5.00,"0,052067",,,,,,
24/01/2008 6.00,"23,93162","0,06139",,,,,
24/01/2008 7.00,"0,110382",,,,,,
24/01/2008 8.00,"26,37361","0,086621",,,,,
24/01/2008 9.00,"0,11587",,,,,,
24/01/2008 10.00,"20,51281","0,10382",,,,,
24/01/2008 11.00,,,,,,,
24/01/2008 12.00,"23,93162",,,,,,
24/01/2008 13.00,,,,,,,
24/01/2008 14.00,"10,74481",,,,,,
24/01/2008 15.00,,,,,,,
24/01/2008 16.00,"5,860806",,,,,,
24/01/2008 17.00,,,,,,,
24/01/2008 18.00,"12,21001",,,,,,
24/01/2008 19.00,,,,,,,
24/01/2008 20.00,"23,44322",,,,,,
24/01/2008 21.00,,,,,,,
24/01/2008 22.00,"29,30402",,,,,,
24/01/2008 23.00,,,,,,,
25/01/2008 0.00,"29,79241",,,,,,
25/01/2008 1.00,,,,,,,
25/01/2008 2.00,"31,25762",,,,,,
25/01/2008 3.00,,,,,,,
25/01/2008 4.00,"17,094",,,,,,
25/01/2008 5.00,,,,,,,
25/01/2008 6.00,"11,23321",,,,,,
25/01/2008 7.00,,,,,,,
25/01/2008 8.00,"23,93162",,,,,,
25/01/2008 9.00,,,,,,,
25/01/2008 10.00,"16,60561",,,,,,
25/01/2008 11.00,"0,185161",,,,,,
25/01/2008 12.00,"8,302809","0,246555",,,,,
25/01/2008 13.00,"0,274038",,,,,,
25/01/2008 14.00,"5,372406","0,307348",,,,,
25/01/2008 15.00,"0,294678",,,,,,
