STATTE - SS7 PONTE WIND,,,,,
,SO2,NO2,PM10,CO,BENZENE
01/01/2011 1.00,,"6,085722",,"0,289191","0,079205"
01/01/2011 2.00,,"6,293382","42,490841","0,276471","0,079205"
01/01/2011 3.00,,"3,813147",,"0,18724","1,510612"
01/01/2011 4.00,,"2,658691","28,327221","0,144007","2,804291"
01/01/2011 5.00,,"1,447776",,"0,133217","0,079205"
01/01/2011 6.00,,"2,100605","18,80341","0,174803","1,663301"
01/01/2011 7.00,,"12,549771",,"0,21862","2,955"
01/01/2011 8.00,"0,100212","3,489329","10,98901","0,341562","4,898928"
01/01/2011 9.00,"3,622991","2,892307",,"0,184622","2,291989"
01/01/2011 10.00,,"19,026802","23,19902","0,166171","0,80855"
01/01/2011 11.00,"0,868507","7,959849",,"0,156129","0,977409"
01/01/2011 12.00,"2,15953","0,986384","11,72161","0,132116","1,933368"
01/01/2011 13.00,"9,933659","2,116829",,"0,10906","2,143481"
01/01/2011 14.00,,"2,765765","12,45421","0,163059","2,711335"
01/01/2011 15.00,,"4,538658",,"0,153857","1,440538"
01/01/2011 16.00,"10,563823","0,662563","8,058608","0,1521","0,594036"
01/01/2011 17.00,,"0,476319",,"0,175135","0,16875"
01/01/2011 18.00,,"1,95784","10,74481","0,152378","0,990061"
01/01/2011 19.00,,"2,675563",,"0,139374","0,594036"
01/01/2011 20.00,"0,254594","12,787924","16,84981","0,43431","3,6157"
01/01/2011 21.00,,"11,577018",,"0,35285","2,12665"
01/01/2011 22.00,,"9,432934","27,59462","0,292632","2,056685"
01/01/2011 23.00,,"7,750892",,"0,232143","4,536457"
02/01/2011 0.00,"0,494742","19,575783","22,954821","0,261053","0,079205"
02/01/2011 1.00,,"34,066525",,"0,196521","3,263238"
02/01/2011 2.00,,,"13,43101","0,229236","1,694213"
02/01/2011 3.00,,"40,079572",,,"3,191295"
02/01/2011 4.00,,"15,261025","7,570208","0,27989","3,531215"
02/01/2011 5.00,,"31,816024",,"0,305631","2,28572"
02/01/2011 6.00,,"18,201358","4,395605","0,256292","2,60859"
02/01/2011 7.00,"6,598665","30,708286",,"0,223605","1,408635"
02/01/2011 8.00,,"21,051464","4,884005","0,218178","2,797031"
02/01/2011 9.00,"0,213064","19,289613",,"0,262209","1,593777"
02/01/2011 10.00,"2,959423","24,703039","16,36141","0,277826","3,797431"
02/01/2011 11.00,"5,526123","15,323327",,"0,314659","1,358363"
02/01/2011 12.00,"2,711149","2,354341","8,791209","0,301558","2,379225"
02/01/2011 13.00,"0,691555","4,168766",,"0,306177","3,167203"
02/01/2011 14.00,,"1,515914","8,547009","0,330973","2,583617"
02/01/2011 15.00,"0,323208","1,51786",,"0,251001","3,180624"
02/01/2011 16.00,,"2,035064","9,27961","0,255354","3,369506"
02/01/2011 17.00,,"12,518615",,"0,279057","2,379335"
02/01/2011 18.00,,"15,02092","12,21001","0,309598","1,126469"
02/01/2011 19.00,,"19,817841",,"0,327508","2,675473"
02/01/2011 20.00,,"12,469303","20,757021","0,303867","1,114148"
02/01/2011 21.00,,"11,122754",,"0,309787","3,502064"
02/01/2011 22.00,,"17,51608","17,826611","0,289569","2,45007"
02/01/2011 23.00,,"19,797077",,"0,277097","1,161341"
03/01/2011 0.00,,"23,888623","15,14041","0,283333","3,352455"
03/01/2011 1.00,,"21,739344",,"0,300102","3,166323"
03/01/2011 2.00,"5,709394","20,669905","12,21001","0,228137","3,12111"
03/01/2011 3.00,,"10,7016",,"0,239789","4,796843"
03/01/2011 4.00,,"13,591958","11,96581","0,27371","2,80253"
03/01/2011 5.00,,"22,030064",,"0,284573","4,536457"
03/01/2011 6.00,"0,411683","36,636978","19,53602","0,352304","2,540165"
03/01/2011 7.00,"1,421932","31,901682",,"0,340126","2,475151"
03/01/2011 8.00,"6,265527","36,575317","21,48962","0,461417","1,777159"
03/01/2011 9.00,"3,341314","26,919161",,"0,348673","3,892478"
03/01/2011 10.00,"0,141741","24,039174","21,73382","0,370129","0,079205"
03/01/2011 11.00,,"9,332998",,"0,327382","6,959685"
03/01/2011 12.00,,"13,334335","11,72161","0,321923","3,682805"
03/01/2011 13.00,"0,167923","5,109723",,"0,313881","0,079205"
03/01/2011 14.00,,"5,029254","18,80341","0,298807","2,494952"
03/01/2011 15.00,,"6,503637",,"0,354236","1,942718"
03/01/2011 16.00,,"3,561362","15,87301","0,362319","1,265077"
03/01/2011 17.00,"0,205842","6,506232",,"0,384763","3,207796"
03/01/2011 18.00,"1,099627","15,102039","11,47741","0,387303","8,165798"
03/01/2011 19.00,,"13,157826",,"0,287365","1,079496"
03/01/2011 20.00,,"17,26624","16,84981","0,33049","2,935309"
03/01/2011 21.00,,"26,112527",,"0,400341","5,677446"
03/01/2011 22.00,,"17,366178","20,02442","0,267251","4,506865"
03/01/2011 23.00,,"20,227335",,"0,449849","1,782108"
