"NetC","","","","","","",""
"Stat","SS7 Wind","","","","","",""
,SO2,NO2,NOX,CO,PM10,BENZENE
,,,,,,,,
,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,,
01/01/2012 1.00,"0,628359","4,048712","4,37664","0,269077",,"0,213465"
01/01/2012 2.00,"0,650026","5,11037","5,402547","0,222616","11,96581","0,118836"
01/01/2012 3.00,"0,448698","6,345945","6,725462","0,218806",,"0,079224"
01/01/2012 4.00,"0,631067","5,457551","5,899939","0,221949","15,38461","0,118836"
01/01/2012 5.00,"0,477588","6,465349","7,211179","0,222223",,"0,138643"
01/01/2012 6.00,"0,618427","9,94819","10,776562","0,309664","15,38461","1,736"
01/01/2012 7.00,"0,362931","8,396584","8,533445","0,250315",,"0,123017"
01/01/2012 8.00,"0,442379","7,555562","8,165104","0,175291","10,98901","0,134461"
01/01/2012 9.00,"0,635581","9,194125","11,556043","0,310802",,"0,079224"
01/01/2012 10.00,"0,644609","10,99946","15,725168","0,27827","6,837607","0,26353"
01/01/2012 11.00,"0,390919","7,33038","10,541809","0,15877",,"0,235582"
01/01/2012 12.00,"0,594051","6,273264","9,133294","0,162876","4,884005","1,712342"
01/01/2012 13.00,"0,650026","2,558755","3,120522","0,185821",,"0,09903"
01/01/2012 14.00,"0,650026","3,1415","4,042021","0,106986","2,930403","1,73589"
01/01/2012 15.00,"0,639192","2,568489","3,217795","0,145353",,"0,079224"
01/01/2012 16.00,"0,650026","3,242735","3,637366","0,239688","1,953602","0,09903"
01/01/2012 17.00,"0,616621","4,532819","4,791673","0,311293",,"0,079224"
01/01/2012 18.00,"0,650026","9,900818","11,872506","0,28499","1,709402","1,73754"
01/01/2012 19.00,"0,631067","17,296735","19,466282","0,277111",,"0,117296"
01/01/2012 20.00,"0,450504","22,281204","24,539391","0,276169","2,442003","0,100571"
01/01/2012 21.00,"0,262719","29,606383","32,01321","0,358422",,"0,138643"
01/01/2012 22.00,"0,465852","10,179857","10,520409","0,270275","9,76801","0,140183"
01/01/2012 23.00,"0,589538","23,495363","29,558697","0,37068",,"0,319758"
02/01/2012 0.00,"0,463144","9,943648","11,877694","0,242182","20,51281","0,232391"
02/01/2012 1.00,,"13,237643","19,895582","0,384923",,"1,728187"
02/01/2012 2.00,"0,483908",,,"0,483088","15,62881","0,205433"
02/01/2012 3.00,"0,522729","5,902722","6,324049",,,"0,348586"
02/01/2012 4.00,"0,487519","4,759945","5,05885","0,271984","13,43101","0,100571"
02/01/2012 5.00,"0,58051","5,375787","6,193702","0,354042",,"0,118727"
02/01/2012 6.00,"0,478491","8,723647","14,51185","0,291708","9,27961","0,117406"
02/01/2012 7.00,"0,314179","7,255755","12,086507","0,335614",,"0,118836"
02/01/2012 8.00,"0,830589","23,04891","48,005557","0,184387","6,105006","0,09903"
02/01/2012 9.00,"0,597662","16,271414","21,651678","0,39504",,"0,378296"
02/01/2012 10.00,"1,141156","40,696707","72,807583","0,348718","10,98901","0,211374"
02/01/2012 11.00,"5,854747","29,986029","42,763198","0,616065",,"2,445387"
02/01/2012 12.00,"2,992828","16,690626","24,556255","0,221123","20,51281","1,60594"
