,SIMAGE Brindisi,,,,,
,S. Pancrazio S.,,,,,
Parm,SO2,NOX,NO,NO2,PTS,PM10



01/01/2005 1.00,"0,102753","26,305238","5,048816","18,56735",,
01/01/2005 2.00,"0,082773","25,08737","4,154966","18,7218","76,19046",
01/01/2005 3.00,"0,108461","21,016168","3,744371","15,27855",,
01/01/2005 4.00,"0,105607","15,567586","3,21465","10,639947","47,37484",
01/01/2005 5.00,"0,061366","16,369116","3,148751","11,543267",,
01/01/2005 6.00,"0,014272","16,845107","3,145373","12,024784","21,001221",
01/01/2005 7.00,"0,058512","15,024153","3,149596","10,19608",,
01/01/2005 8.00,"0,065647","19,988965","4,401663","13,240888","26,86202",
01/01/2005 9.00,"0,042814","18,055185","3,697058","12,388182",,
01/01/2005 10.00,"0,109888","24,259894","4,718481","17,028077","27,35042",
01/01/2005 11.00,"0,162692","18,588241","3,683541","12,942373",,
01/01/2005 12.00,"0,0842","18,203039","3,984307","12,094868","25,88522",
01/01/2005 13.00,"0,062794","18,484483","4,084844","12,222056",,
01/01/2005 14.00,"0,038532","19,057746","3,843218","13,166907","16,60561",
01/01/2005 15.00,"0,092763","17,050029","3,522175","11,650997",,
01/01/2005 16.00,"0,078492","18,148566","3,613418","12,610122","19,0476",
01/01/2005 17.00,"0,031397","19,787938","3,638763","14,211699",,
01/01/2005 18.00,"0,044241","20,234083","3,797596","14,414156","34,18803",
01/01/2005 19.00,"0,082773","18,178397","3,478242","12,847634",,
01/01/2005 20.00,"0,032824","21,315759","3,700438","15,645846","14,65201",
01/01/2005 21.00,"0,071356","23,279384","4,05105","17,072204",,
01/01/2005 22.00,"0,054231","22,598482","3,785767","16,798356","22,46641",
01/01/2005 23.00,"0,081346","27,822696","4,576546","20,811354",,
02/01/2005 0.00,"0,097044","26,066582","3,901513","20,091046","28,81562",
02/01/2005 1.00,,"23,593257","3,602436","18,075461",,
02/01/2005 2.00,"0,254091",,,,"17,094",
02/01/2005 3.00,"0,300522","25,978401","3,524709","20,581646",,
02/01/2005 4.00,"0,253725","34,242715","3,537382","28,832213","40,537231",
02/01/2005 5.00,"0,226306","32,259645","3,44445","26,990537",,
02/01/2005 6.00,"0,218629","24,11334","3,267876","19,109863","35,653221",
02/01/2005 7.00,"0,208758","18,985115","3,170718","14,127332",,
02/01/2005 8.00,"0,308931","17,679061","3,152132","12,848926","19,53602",
02/01/2005 9.00,"0,281146","22,352044","3,762957","16,5868",,
02/01/2005 10.00,"0,250435","23,217128","4,289297","16,643906","21,97802",
02/01/2005 11.00,"0,369254","16,498815","3,720714","10,794397",,
02/01/2005 12.00,"0,332329","15,614278","3,696214","9,946893","20,51281",
02/01/2005 13.00,"0,423363","15,134398","3,563572","9,670446",,
02/01/2005 14.00,"0,290651","16,743943","3,566107","11,277203","10,74481",
02/01/2005 15.00,"0,354265","14,09941","3,223943","9,156488",,
02/01/2005 16.00,"0,323554","16,579226","3,474019","11,253848","13,67521",
02/01/2005 17.00,"0,278587","23,021282","3,729162","17,308423",,
02/01/2005 18.00,"0,31734","27,28445","3,819562","21,435642","48,35165",
02/01/2005 19.00,"0,428481","29,188399","3,810267","23,355194",,
02/01/2005 20.00,"0,300888","39,714628","4,219176","33,26056","53,235641",
02/01/2005 21.00,"0,398502","48,26561","5,055576","40,532544",,
02/01/2005 22.00,"0,435794","53,133142","5,546433","44,649386","100,610397",
02/01/2005 23.00,"0,33306","53,166868","4,957573","45,587757",,
03/01/2005 0.00,"0,365964","56,836015","4,900968","49,346387","102,0756",
03/01/2005 1.00,"0,279318","46,696239","4,241142","40,213259",,
03/01/2005 2.00,"0,232521","30,220803","3,200287","25,325356","65,445663",
03/01/2005 3.00,"0,272737","32,467155","3,23915","27,513583",,
03/01/2005 4.00,"0,223747","33,223293","3,394602","28,03143","55,189251",
03/01/2005 5.00,"0,312221","29,661791","3,123407","24,884087",,
03/01/2005 6.00,"0,220456","27,49714","3,386999","22,313001","43,46764",
03/01/2005 7.00,"0,189746","24,551724","3,504433","19,185121",,
03/01/2005 8.00,"0,257016","32,299856","4,225933","25,830239","39,072041",
03/01/2005 9.00,"0,330867","55,677801","8,250794","43,041318",,
03/01/2005 10.00,"0,381685","75,500767","13,632466","54,610561","74,725273",
03/01/2005 11.00,"0,43031","64,89542","11,867591","46,709105",,
03/01/2005 12.00,"0,511472","35,054606","4,624703","27,974319","63,492062",
03/01/2005 13.00,"0,42446","25,759209","3,748594","20,018372",,
03/01/2005 14.00,"0,381319","20,72564","3,509502","15,348635","31,746031",
03/01/2005 15.00,"0,352437","14,278393","3,442759","8,999445",,
