, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NOX,NO2,PM10
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,,,,,
,,,,,,,
01/01/2007 1.00,"1,06034963","59,73994288","37,48124192","86,08898163"
01/01/2007 2.00,"0,59498975","44,56663592","36,14182856","86,08898163"
01/01/2007 3.00,"0,39821449","43,63281512","35,23980432","86,08898163"
01/01/2007 4.00,"0,39914708","41,0077156","33,32027104","86,08898163"
01/01/2007 5.00,"0,53343887","39,49545744","32,59734384","86,08898163"
01/01/2007 6.00,"0,43505124","45,57049328","31,10219808","86,08898163"
01/01/2007 7.00,"0,43645064","47,52243496","26,1417244","86,08898163"
01/01/2007 8.00,"0,38375885","46,8389332","22,67769664","86,08898163"
01/01/2007 9.00,"0,66913007","52,31476736","28,96978272","86,08898163"
01/01/2007 10.00,"0,57899336","34,59360568","22,93801544","86,08898163"
01/01/2007 11.00,"0,45790018","26,12625632","19,53685424","86,08898163"
01/01/2007 12.00,"0,60618082","23,73593128","17,48363392","86,08898163"
01/01/2007 13.00,"0,41173652","19,04088526","13,20065641","86,08898163"
01/01/2007 14.00,"0,38375987","15,43270226","9,93131805","86,08898163"
01/01/2007 15.00,"0,64255179","14,36658827","8,78529584","86,08898163"
01/01/2007 16.00,"0,42852312","17,87101468","11,41477766","86,08898163"
01/01/2007 17.00,"0,69943972","19,24709064","13,41609866","86,08898163"
01/01/2007 18.00,"0,57120924","23,33645712","17,33956854","86,08898163"
01/01/2007 19.00,"0,51945004","24,46094256","18,08325242","86,08898163"
01/01/2007 20.00,"0,45090526","24,53486048","18,20135857","86,08898163"
01/01/2007 21.00,"0,51758486","26,94334952","19,69260576","86,08898163"
01/01/2007 22.00,"0,5483603","35,23619064","26,2429648","86,08898163"
01/01/2007 23.00,"0,49147339","29,7629568","23,1449512","86,08898163"
02/01/2007 0.00,"0,45416983","16,37689949","11,15131745","86,08898163"
02/01/2007 1.00,,"12,28494416","7,20059391","21,19968987"
02/01/2007 2.00,"1,14070686",,,"21,19968987"
02/01/2007 3.00,"1,00798633","10,80639265","5,40044782","21,19968987"
02/01/2007 4.00,"1,04573025","10,9672167","5,64055105","21,19968987"
02/01/2007 5.00,"1,0536242","11,24217569","5,98059451","21,19968987"
02/01/2007 6.00,"0,98566013","13,44184565","8,10131799","21,19968987"
02/01/2007 7.00,"0,94433942","23,0913196","17,16046386","21,19968987"
02/01/2007 8.00,"1,15563236","24,24563224","18,4804035","21,19968987"
02/01/2007 9.00,"1,17277694","18,84244643","13,22921022","21,19968987"
02/01/2007 10.00,"1,13330615","16,5065981","10,8177614","21,19968987"
02/01/2007 11.00,"1,01921096","18,41444523","12,21427473","21,19968987"
02/01/2007 12.00,"1,08409149","17,88268744","11,55884113","21,19968987"
02/01/2007 13.00,"1,17166638","17,58567927","11,18895326","21,19968987"
02/01/2007 14.00,"1,20312015","13,96322893","8,22591347","21,19968987"
02/01/2007 15.00,"1,22519922","16,47028157","10,57245945","21,19968987"
02/01/2007 16.00,"0,89463151","15,16682146","9,55493511","21,19968987"
02/01/2007 17.00,"0,9269477","14,56243061","9,13312688","21,19968987"
02/01/2007 18.00,"1,07989738","17,53898823","11,7119885","21,19968987"
02/01/2007 19.00,"0,965432","18,63104042","12,71524741","21,19968987"
02/01/2007 20.00,"1,09001145","17,21734012","11,41218499","21,19968987"
02/01/2007 21.00,"1,1441606","21,25610552","15,32267622","21,19968987"
02/01/2007 22.00,"1,02895484","26,99910344","21,39799504","21,19968987"
02/01/2007 23.00,"0,88180307","30,8368316","25,60829552","21,19968987"
03/01/2007 0.00,"1,13306004","24,29232328","19,27728112","21,19968987"
03/01/2007 1.00,"0,96185521","14,1824187","9,4835525","8,57224274"
03/01/2007 2.00,"0,99824144","9,09698052","4,47765926","8,57224274"
03/01/2007 3.00,"1,01625047","8,44200771","3,85468186","8,57224274"
03/01/2007 4.00,"0,98146704","7,63658727","3,14993587","8,57224274"
03/01/2007 5.00,"0,99022442","7,73256394","3,22910606","8,57224274"
03/01/2007 6.00,"0,91473658","10,05674142","5,06429719","8,57224274"
03/01/2007 7.00,"0,88537986","11,89455582","6,46210686","8,57224274"
03/01/2007 8.00,"0,77745175","12,64679972","7,37191294","8,57224274"
03/01/2007 9.00,"0,96321189","15,5896354","10,24150754","8,57224274"
03/01/2007 10.00,"0,91202323","14,09552021","8,85148737","8,57224274"
03/01/2007 11.00,"1,07817052","11,90363209","6,81642531","8,57224274"
03/01/2007 12.00,"1,01822447","10,78693805","5,76255386","8,57224274"
03/01/2007 13.00,"1,12356228","10,63259758","5,44197838","8,57224274"
03/01/2007 14.00,"1,12775537","11,34333961","5,77293602","8,57224274"
03/01/2007 15.00,"1,22038881","10,3835787","4,94619104","8,57224274"
03/01/2007 16.00,"1,29908326","11,03725518","5,7015515","8,57224274"
03/01/2007 17.00,"1,13490996","12,77390374","7,17074377","8,57224274"
03/01/2007 18.00,"1,17561437","13,53911865","7,82746606","8,57224274"
03/01/2007 19.00,"1,03364219","11,91919768","6,78138218","8,57224274"
03/01/2007 20.00,"1,07903395","10,9283075","5,9572337","8,57224274"
