, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,NOX,PM10
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
01/01/2009 1.00,"1,2","56,0","134,2","110,7"
01/01/2009 2.00,"1,6","60,2","131,5","110,7"
01/01/2009 3.00,"1,2","50,1","129,6","110,7"
01/01/2009 4.00,"0,7","47,6","71,1","110,7"
01/01/2009 5.00,"0,6","41,0","47,0","110,7"
01/01/2009 6.00,"0,4","26,6","29,4","110,7"
01/01/2009 7.00,"0,4","37,9","44,8","110,7"
01/01/2009 8.00,"0,4","36,0","44,1","110,7"
01/01/2009 9.00,"0,3","39,0","49,9","110,7"
01/01/2009 10.00,"0,4","38,1","53,1","110,7"
01/01/2009 11.00,"0,6","34,3","45,0","110,7"
01/01/2009 12.00,"0,8","25,4","34,4","110,7"
01/01/2009 13.00,"0,8","18,4","23,6","110,7"
01/01/2009 14.00,"0,5","20,6","26,6","110,7"
01/01/2009 15.00,"0,7","19,0","24,4","110,7"
01/01/2009 16.00,"0,7","21,0","25,3","110,7"
01/01/2009 17.00,"0,8","25,5","29,2","110,7"
01/01/2009 18.00,"0,8","37,0","47,3","110,7"
01/01/2009 19.00,"0,4","42,0","50,0","110,7"
01/01/2009 20.00,"0,5","50,2","56,5","110,7"
01/01/2009 21.00,"0,5","31,8","37,0","110,7"
01/01/2009 22.00,"0,3","24,3","28,4","110,7"
01/01/2009 23.00,"0,3","18,7","22,2","110,7"
02/01/2009 0.00,"0,5","16,1","18,9","110,7"
02/01/2009 1.00,,"13,8","16,3","26,7"
02/01/2009 2.00,"0,5",,,"26,7"
02/01/2009 3.00,"0,6","11,0","13,5","26,7"
02/01/2009 4.00,"0,6","9,3","11,7","26,7"
02/01/2009 5.00,"0,5","8,5","10,9","26,7"
02/01/2009 6.00,"0,5","7,7","10,2","26,7"
02/01/2009 7.00,"0,4","9,3","11,9","26,7"
02/01/2009 8.00,"0,5","26,7","45,1","26,7"
02/01/2009 9.00,"0,4","13,3","17,5","26,7"
02/01/2009 10.00,"0,6","12,9","16,9","26,7"
02/01/2009 11.00,"0,5","11,4","15,1","26,7"
02/01/2009 12.00,"0,6","13,9","17,8","26,7"
02/01/2009 13.00,"0,6","15,3","19,7","26,7"
02/01/2009 14.00,"0,6","17,2","21,0","26,7"
02/01/2009 15.00,"0,7","15,6","18,8","26,7"
02/01/2009 16.00,"1,1","18,4","22,6","26,7"
02/01/2009 17.00,"1,5","20,9","26,0","26,7"
02/01/2009 18.00,"1,1","34,7","42,2","26,7"
02/01/2009 19.00,"0,7","44,9","55,9","26,7"
02/01/2009 20.00,"0,7","41,6","50,8","26,7"
02/01/2009 21.00,"1,2","43,8","58,6","26,7"
02/01/2009 22.00,"0,9","36,3","45,8","26,7"
02/01/2009 23.00,"0,4","24,2","29,1","26,7"
03/01/2009 0.00,"0,6","30,0","38,0","26,7"
03/01/2009 1.00,"0,8","38,1","42,4","17,2"
03/01/2009 2.00,"0,5","32,8","35,8","17,2"
03/01/2009 3.00,"0,3","25,2","27,8","17,2"
03/01/2009 4.00,"0,8","21,8","24,4","17,2"
03/01/2009 5.00,"0,9","18,5","21,2","17,2"
03/01/2009 6.00,"0,7","17,4","21,3","17,2"
03/01/2009 7.00,"0,8","16,6","19,5","17,2"
03/01/2009 8.00,"0,7","25,3","34,2","17,2"
03/01/2009 9.00,"0,7","22,8","34,4","17,2"
03/01/2009 10.00,"0,6","14,5","19,2","17,2"
03/01/2009 11.00,"0,6","15,4","21,2","17,2"
03/01/2009 12.00,"0,6","12,2","15,9","17,2"
03/01/2009 13.00,"0,7","13,5","17,4","17,2"
03/01/2009 14.00,"0,6","20,1","25,9","17,2"
03/01/2009 15.00,"0,7","15,0","18,8","17,2"
03/01/2009 16.00,"0,3","11,2","14,2","17,2"
03/01/2009 17.00,"0,4","15,3","19,3","17,2"
03/01/2009 18.00,"0,4","10,0","12,6","17,2"
03/01/2009 19.00,"0,3","7,9","10,2","17,2"
03/01/2009 20.00,"0,5","10,9","14,4","17,2"
03/01/2009 21.00,"0,5","12,6","16,3","17,2"
03/01/2009 22.00,"0,6","13,9","18,7","17,2"
03/01/2009 23.00,"0,2","13,5","18,3","17,2"
04/01/2009 0.00,"0,5","7,6","10,6","17,2"
04/01/2009 1.00,,"6,3","8,9","18,7"
04/01/2009 2.00,"0,5",,,"18,7"
04/01/2009 3.00,"0,4","6,9","9,6","18,7"
04/01/2009 4.00,"0,3","7,7","10,3","18,7"
04/01/2009 5.00,"0,2","8,3","11,1","18,7"
04/01/2009 6.00,"0,3","6,3","8,9","18,7"
04/01/2009 7.00,"0,8","6,8","9,6","18,7"
04/01/2009 8.00,"0,5","10,3","14,9","18,7"
04/01/2009 9.00,"0,4","7,3","10,1","18,7"
04/01/2009 10.00,"0,1","8,6","11,6","18,7"
04/01/2009 11.00,"0,4","10,2","13,9","18,7"
04/01/2009 12.00,"0,2","10,0","13,4","18,7"
04/01/2009 13.00,"0,1","9,0","12,0","18,7"
04/01/2009 14.00,"0,5","9,1","12,2","18,7"
04/01/2009 15.00,"0,7","8,8","11,8","18,7"
04/01/2009 16.00,"0,7","9,8","13,1","18,7"
04/01/2009 17.00,"0,8","11,7","15,5","18,7"
