"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,
01/01/2011 1.00,1,"32,2","19,7","35,2"
01/01/2011 2.00,"0,9","32,8","18,2","35,2"
01/01/2011 3.00,"0,9",24,"13,4","35,2"
01/01/2011 4.00,"0,9","20,8","10,9","35,2"
01/01/2011 5.00,"0,8","21,6","10,3","35,2"
01/01/2011 6.00,"0,8","20,4","9,3","35,2"
01/01/2011 7.00,"0,9","20,2","9,5","35,2"
01/01/2011 8.00,"0,8","18,6","8,3","35,2"
01/01/2011 9.00,"0,8","18,7","8,1","35,2"
01/01/2011 10.00,"0,8","19,9",9,"35,2"
01/01/2011 11.00,"0,8","15,4",7,"35,2"
01/01/2011 12.00,"0,9","16,5","8,5","35,2"
01/01/2011 13.00,"0,8","16,2","9,2","35,2"
01/01/2011 14.00,"0,8",14,"7,3","35,2"
01/01/2011 15.00,"0,7","15,5","8,7","35,2"
01/01/2011 16.00,"0,8","13,6",8,"35,2"
01/01/2011 17.00,"0,7","9,3","4,5","35,2"
01/01/2011 18.00,"0,7","10,1","4,4","35,2"
01/01/2011 19.00,"0,6",17,10,"35,2"
01/01/2011 20.00,"0,8","25,2","16,3","35,2"
01/01/2011 21.00,"0,8","23,8","14,6","35,2"
01/01/2011 22.00,"0,5","27,3","17,1","35,2"
01/01/2011 23.00,"0,9","33,3","19,8","35,2"
02/01/2011 0.00,"0,8","32,2","19,3","35,2"
02/01/2011 1.00,,"23,7",14,
02/01/2011 2.00,"0,7",,,
02/01/2011 3.00,"0,6","18,1","8,1",
02/01/2011 4.00,"0,7","22,8","10,3",
02/01/2011 5.00,"0,7","18,7","7,7",
02/01/2011 6.00,"0,6","15,4","5,1",
02/01/2011 7.00,"0,7","15,2","5,3",
02/01/2011 8.00,"0,6","18,6",8,
02/01/2011 9.00,"0,7","16,7","7,1",
02/01/2011 10.00,"0,5","17,2","7,9",
02/01/2011 11.00,"0,8",18,"8,6",
02/01/2011 12.00,"0,6","15,4","7,7",
02/01/2011 13.00,"0,7","14,2",7,
02/01/2011 14.00,"0,7","13,3","6,5",
02/01/2011 15.00,"0,7","12,1","5,7",
02/01/2011 16.00,"0,6","12,6","6,5",
02/01/2011 17.00,,,,
02/01/2011 18.00,,,,
02/01/2011 19.00,,,,
02/01/2011 20.00,,,,
02/01/2011 21.00,,,,
02/01/2011 22.00,,,,
02/01/2011 23.00,,,,
03/01/2011 0.00,,,,
03/01/2011 1.00,,,,
03/01/2011 2.00,,,,
03/01/2011 3.00,,,,
03/01/2011 4.00,,,,
03/01/2011 5.00,,,,
03/01/2011 6.00,,,,
03/01/2011 7.00,,,,
03/01/2011 8.00,,,,
03/01/2011 9.00,,,,
03/01/2011 10.00,,,,
03/01/2011 11.00,,,,
03/01/2011 12.00,,,,
03/01/2011 13.00,,,,
03/01/2011 14.00,,,,
03/01/2011 15.00,,,,
03/01/2011 16.00,,,,
03/01/2011 17.00,,,,
03/01/2011 18.00,,,,
03/01/2011 19.00,,,,
03/01/2011 20.00,,,,
03/01/2011 21.00,,,,
03/01/2011 22.00,,,,
03/01/2011 23.00,,,,
04/01/2011 0.00,,,,
04/01/2011 1.00,,,,"41,5"
04/01/2011 2.00,,,,"41,5"
04/01/2011 3.00,,,,"41,5"
04/01/2011 4.00,,,,"41,5"
04/01/2011 5.00,,,,"41,5"
04/01/2011 6.00,,,,"41,5"
04/01/2011 7.00,,,,"41,5"
04/01/2011 8.00,,,,"41,5"
04/01/2011 9.00,,,,"41,5"
04/01/2011 10.00,,,,"41,5"
04/01/2011 11.00,,,,"41,5"
04/01/2011 12.00,,,,"41,5"
04/01/2011 13.00,,,,"41,5"
04/01/2011 14.00,,,,"41,5"
04/01/2011 15.00,,,,"41,5"
04/01/2011 16.00,,,,"41,5"
04/01/2011 17.00,,,,"41,5"
04/01/2011 18.00,,,,"41,5"
04/01/2011 19.00,,,,"41,5"
04/01/2011 20.00,,,,"41,5"
04/01/2011 21.00,,,,"41,5"
04/01/2011 22.00,,,,"41,5"
04/01/2011 23.00,,,,"41,5"
05/01/2011 0.00,,,,"41,5"
05/01/2011 1.00,,,,"62,2"
05/01/2011 2.00,,,,"62,2"
05/01/2011 3.00,,,,"62,2"
05/01/2011 4.00,,,,"62,2"
05/01/2011 5.00,,,,"62,2"
05/01/2011 6.00,,,,"62,2"
05/01/2011 7.00,,,,"62,2"
05/01/2011 8.00,,,,"62,2"
05/01/2011 9.00,,,,"62,2"
05/01/2011 10.00,,,,"62,2"
05/01/2011 11.00,,,,"62,2"
05/01/2011 12.00,,,,"62,2"
05/01/2011 13.00,,,,"62,2"
05/01/2011 14.00,"0,6","22,4",15,"62,2"
05/01/2011 15.00,"0,5","17,6","11,3","62,2"
05/01/2011 16.00,"0,8","18,3","12,6","62,2"
05/01/2011 17.00,"0,7","32,5","24,3","62,2"
05/01/2011 18.00,"0,8","36,8",26,"62,2"
05/01/2011 19.00,1,"29,9","21,9","62,2"
05/01/2011 20.00,1,"36,7","26,3","62,2"
05/01/2011 21.00,"1,5","39,5","28,2","62,2"
05/01/2011 22.00,"1,6","42,8",30,"62,2"
05/01/2011 23.00,"1,2","44,8","33,4","62,2"
06/01/2011 0.00,"1,1","36,4","27,1","62,2"
06/01/2011 1.00,,"31,1",22,"48,5"
06/01/2011 2.00,"0,2",,,"48,5"
06/01/2011 3.00,"0,3",18,"9,1","48,5"
06/01/2011 4.00,"0,4","15,6","7,3","48,5"
06/01/2011 5.00,"0,3","15,6","7,3","48,5"
06/01/2011 6.00,"0,2","17,2","8,5","48,5"
06/01/2011 7.00,"0,3","17,7","8,8","48,5"
06/01/2011 8.00,"0,3","18,6","10,1","48,5"
06/01/2011 9.00,"0,3","24,5",14,"48,5"
06/01/2011 10.00,"0,3","32,6","17,4","48,5"
06/01/2011 11.00,"0,4","24,8","14,3","48,5"
06/01/2011 12.00,"0,2",18,"9,6","48,5"
06/01/2011 13.00,"0,3",16,"8,9","48,5"
06/01/2011 14.00,"0,3","10,4","5,7","48,5"
06/01/2011 15.00,"0,2","8,8","5,2","48,5"
06/01/2011 16.00,"0,2","10,3","6,7","48,5"
06/01/2011 17.00,"0,2","12,7","9,1","48,5"
06/01/2011 18.00,"0,1","17,5","12,9","48,5"
06/01/2011 19.00,"0,3","23,6","16,7","48,5"
06/01/2011 20.00,"0,3","58,2","41,4","48,5"
06/01/2011 21.00,"0,5","52,9","37,8","48,5"
06/01/2011 22.00,"0,3","45,4","34,2","48,5"
06/01/2011 23.00,"0,3","37,3","26,2","48,5"
07/01/2011 0.00,"0,3","37,6",20,"48,5"
07/01/2011 1.00,"0,2","28,5",18,
07/01/2011 2.00,"0,2",31,"19,7",
07/01/2011 3.00,"0,2","26,3","16,1",
07/01/2011 4.00,"0,3","25,2","15,1",
07/01/2011 5.00,"0,3","29,8","19,6",
07/01/2011 6.00,"0,3","24,3","13,7",
07/01/2011 7.00,"0,2",29,"15,4",
07/01/2011 8.00,"0,3","47,1","19,7",
07/01/2011 9.00,"0,6","89,8","24,6",
07/01/2011 10.00,"0,9","61,7","25,1",
07/01/2011 11.00,"0,5","36,9","20,7",
07/01/2011 12.00,"0,2","23,4",15,
07/01/2011 13.00,"0,2","20,2","13,3",
07/01/2011 14.00,"0,3",16,"10,4",
07/01/2011 15.00,"0,2","16,5","11,1",
07/01/2011 16.00,"0,2","16,5","11,8",
07/01/2011 17.00,"0,2","31,7","23,9",
07/01/2011 18.00,"0,3","32,1","25,7",
07/01/2011 19.00,"0,7","49,4","35,3",
07/01/2011 20.00,"0,4","40,9","28,9",
07/01/2011 21.00,"0,6","43,2","29,7",
07/01/2011 22.00,"0,5","44,8","30,9",
07/01/2011 23.00,"0,7","39,1","28,2",
08/01/2011 0.00,"0,3","33,3","24,3",
08/01/2011 1.00,,"30,7","21,5",
08/01/2011 2.00,"0,5",,,
08/01/2011 3.00,"0,4","25,2","16,8",
08/01/2011 4.00,"0,6","23,6","15,1",
08/01/2011 5.00,"0,5","18,3","10,8",
08/01/2011 6.00,"0,3",15,"9,1",
08/01/2011 7.00,"0,4","18,4","11,5",
08/01/2011 8.00,"0,4","18,8","13,9",
08/01/2011 9.00,"0,4","33,9","20,3",
08/01/2011 10.00,"0,9","34,2","20,3",
08/01/2011 11.00,"0,5","18,4","12,9",
08/01/2011 12.00,"0,4",19,"12,3",
08/01/2011 13.00,"0,5",19,"13,2",
08/01/2011 14.00,"0,3","17,9","12,6",
08/01/2011 15.00,"0,5","15,1","9,9",
08/01/2011 16.00,"0,2","12,2","8,2",
08/01/2011 17.00,"0,2","14,6","10,2",
08/01/2011 18.00,"0,5","28,6","22,3",
08/01/2011 19.00,"0,4","20,7",15,
08/01/2011 20.00,"0,4","22,7","16,2",
08/01/2011 21.00,"0,6",29,"22,2",
08/01/2011 22.00,"0,5","27,8","20,1",
08/01/2011 23.00,"0,6","22,8","16,3",
09/01/2011 0.00,"0,6","21,4","14,7",
09/01/2011 1.00,"0,3","16,2","11,1",
09/01/2011 2.00,"0,3","20,4","13,3",
09/01/2011 3.00,"0,4","17,7","10,8",
09/01/2011 4.00,"0,2","15,6","8,6",
09/01/2011 5.00,"0,2","20,9","10,9",
09/01/2011 6.00,"0,3","14,1","7,5",
