, Brindisi,,
,S. Pietro  Vernotico,,
Parm,SO2,NOX,NO2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
01/01/2007 1.00,"2,89539392","121,8676296","59,76569752"
01/01/2007 2.00,"1,64391745","83,04527264","58,57425384"
01/01/2007 3.00,"1,27118796","48,21501872","38,34431872"
01/01/2007 4.00,"1,01817972","37,45791552","29,42275464"
01/01/2007 5.00,"0,79880977","37,87425352","29,59146952"
01/01/2007 6.00,"0,50420724","32,68632832","24,30394824"
01/01/2007 7.00,"0,5383876","36,08571136","27,05673112"
01/01/2007 8.00,"0,72972598","37,33340608","27,42272616"
01/01/2007 9.00,"0,95669088","37,34376912","27,95615504"
01/01/2007 10.00,"1,22977369","41,04924424","33,42149232"
01/01/2007 11.00,"1,14477385","50,34206136","43,5617652"
01/01/2007 12.00,"1,04530718","27,94460656","20,36880368"
01/01/2007 13.00,"1,03807326","22,77356432","14,45050213"
01/01/2007 14.00,"1,07605109","20,6011308","12,30771226"
01/01/2007 15.00,"0,79935285","19,90466568","10,79050202"
01/01/2007 16.00,"0,84167123","22,46229072","13,36678435"
01/01/2007 17.00,"0,90388316","25,58540888","16,61925122"
01/01/2007 18.00,"0,93842556","32,376374","22,36233136"
01/01/2007 19.00,"0,98743581","34,99885408","24,85554112"
01/01/2007 20.00,"0,75793756","33,27906744","23,01644568"
01/01/2007 21.00,"0,63604604","34,3607432","24,4674816"
01/01/2007 22.00,"0,82051153","28,43486248","19,01641931"
01/01/2007 23.00,"0,72484234","29,72276656","20,434978"
02/01/2007 0.00,"0,5832373","24,05498672","14,63350347"
02/01/2007 1.00,,"20,08752936","10,39724759"
02/01/2007 2.00,"0,44006709",,
02/01/2007 3.00,"0,41042866","20,4844032","9,93391454"
02/01/2007 4.00,"0,36556675","19,1524084","8,08314826"
02/01/2007 5.00,"0,45177784","18,71404798","7,53674454"
02/01/2007 6.00,"0,38772718","18,87487395","7,46276544"
02/01/2007 7.00,"0,44925568","23,69182144","12,35444154"
02/01/2007 8.00,"0,20827753","26,33246552","15,08257109"
02/01/2007 9.00,"0,37196267","24,18597784","13,7678187"
02/01/2007 10.00,"0,42880686","21,8138168","11,61075958"
02/01/2007 11.00,"0,45015674","20,9124044","10,56078095"
02/01/2007 12.00,"0,33232509","21,20681416","10,82684531"
02/01/2007 13.00,"0,2756609","25,00825256","14,98263276"
02/01/2007 14.00,"0,36655731","23,26772072","13,06437478"
02/01/2007 15.00,"0,52762977","22,85398304","11,26163029"
02/01/2007 16.00,"0,38313339","22,22235384","12,32069282"
02/01/2007 17.00,"0,45312944","26,96669504","15,9196944"
02/01/2007 18.00,"0,3541255","33,507322","22,58295704"
02/01/2007 19.00,"0,3494412","27,87457","17,65624928"
02/01/2007 20.00,"0,35890032","36,55260264","24,5557204"
02/01/2007 21.00,"0,40304219","33,05467512","21,69133408"
02/01/2007 22.00,"0,39205147","40,93509784","29,31763288"
02/01/2007 23.00,"0,45997588","36,34381224","25,8756696"
03/01/2007 0.00,"0,3016961","25,30916312","15,9443592"
03/01/2007 1.00,"0,38439447","21,69578904","12,63477898"
03/01/2007 2.00,"0,3032277","17,45338799","8,19865982"
03/01/2007 3.00,"0,21341237","16,59219642","7,56659469"
03/01/2007 4.00,"0,24503191","16,46379606","7,33168063"
03/01/2007 5.00,"0,14422687","17,20696178","7,891063"
03/01/2007 6.00,"0,22818632","15,45734412","6,28948958"
03/01/2007 7.00,"0,1937741","15,76732138","7,02278556"
03/01/2007 8.00,"0,11485896","18,17450644","10,55299911"
03/01/2007 9.00,"0,3264692","18,79186638","11,72237449"
03/01/2007 10.00,"0,15927135","18,10057896","11,49655008"
03/01/2007 11.00,"0,23584332","19,04477618","12,32069282"
03/01/2007 12.00,"0,2894443","17,87620194","10,83982397"
03/01/2007 13.00,"0,6342012","17,9138148","10,42969614"
03/01/2007 14.00,"0,7296019","17,26143466","9,25902061"
03/01/2007 15.00,"0,80329169","18,28474854","9,20840423"
03/01/2007 16.00,"0,64059711","20,72954072","10,89952426"
03/01/2007 17.00,"0,52375602","21,7658256","11,90407376"
03/01/2007 18.00,"0,34151369","20,8021776","11,35377722"
03/01/2007 19.00,"0,2649407","18,03183874","9,34338187"
03/01/2007 20.00,"0,17764854","15,39768398","7,28495709"
03/01/2007 21.00,"0,25728371","15,07603396","8,17399885"
03/01/2007 22.00,"0,51483794","14,11367847","7,07080735"
03/01/2007 23.00,"0,37520588","14,78680763","7,95855278"
04/01/2007 0.00,"0,35223388","15,82698152","8,61267857"
04/01/2007 1.00,,"17,6090267","9,9326163"
04/01/2007 2.00,"0,53463588",,
04/01/2007 3.00,"0,40496228","17,66220134","9,71067898"
04/01/2007 4.00,"0,45620078","16,38208674","8,11429665"
04/01/2007 5.00,"0,49789472","17,50915912","9,03838154"
04/01/2007 6.00,"0,42126072","19,94615608","11,1642961"
04/01/2007 7.00,"0,35723447","19,08368538","10,79829342"
04/01/2007 8.00,"0,41513737","20,56612208","12,5179749"
04/01/2007 9.00,"0,46727794","18,09538979","10,62308347"
04/01/2007 10.00,"0,71041721","22,33778128","14,30903325"
04/01/2007 11.00,"1,10502237","17,15897632","9,56661552"
04/01/2007 12.00,"1,80886569","16,43915421","8,52572272"
04/01/2007 13.00,"1,91197526","18,34570692","8,62825372"
04/01/2007 14.00,"1,53375804","18,51950198","8,88133942"
04/01/2007 15.00,"1,21029305","19,472764","9,08770158"
04/01/2007 16.00,"0,72545559","20,30153952","10,19997508"
04/01/2007 17.00,"0,51023195","36,63432152","25,35132272"
04/01/2007 18.00,"0,75085008","54,29523608","42,15487736"
04/01/2007 19.00,"0,87980365","82,53037104","63,79041928"
04/01/2007 20.00,"0,74733838","101,00317816","74,31225088"
04/01/2007 21.00,"0,85431966","93,39902032","70,30311192"
04/01/2007 22.00,"0,6131615","79,46302592","57,97073104"
04/01/2007 23.00,"0,59181874","67,76301992","53,60211696"
05/01/2007 0.00,"0,52716195","55,40415784","44,95048904"
05/01/2007 1.00,"0,52031754","46,31366856","38,6999316"
05/01/2007 2.00,"0,35516386","37,76917","31,22030232"
05/01/2007 3.00,"0,3628178","36,05326472","29,71607456"
05/01/2007 4.00,"0,2434098","32,4749376","26,4077792"
05/01/2007 5.00,"0,30491491","21,74117992","15,78990975"
05/01/2007 6.00,"0,26331045","19,63488248","13,67697576"
05/01/2007 7.00,"0,34138554","25,53611752","19,28506296"
05/01/2007 8.00,"0,32760723","34,70444432","27,8899616"
05/01/2007 9.00,"0,46979908","79,89490848","56,94412088"
05/01/2007 10.00,"0,45007742","89,0087624","60,384784"
05/01/2007 11.00,"0,41639845","82,49146184","61,43087744"
05/01/2007 12.00,"0,7205923","70,76941048","54,164092"
05/01/2007 13.00,"0,42000066","54,14349976","43,55398336"
05/01/2007 14.00,"0,50365806","52,89190456","43,47480744"
05/01/2007 15.00,"0,51518474","59,89556056","49,1491072"
05/01/2007 16.00,"0,80803294","80,26975608","59,66187592"
05/01/2007 17.00,"0,86323469","71,53071152","57,19721232"
05/01/2007 18.00,"0,82352185","69,3051244","54,45869296"
05/01/2007 19.00,"0,64107714","39,24773872","31,79135936"
05/01/2007 20.00,"0,55381752","28,66571736","21,28509144"
05/01/2007 21.00,"0,39802838","23,74371312","16,34539355"
05/01/2007 22.00,"0,54895423","23,85524008","16,22728931"
05/01/2007 23.00,"0,44323403","22,52714576","14,52707582"
06/01/2007 0.00,"0,4973547","25,0821896","16,69841758"
06/01/2007 1.00,,"26,78121192","18,67896852"
06/01/2007 2.00,"0,49738521",,
06/01/2007 3.00,"0,49378096","21,05117736","12,40116126"
06/01/2007 4.00,"0,37484078","17,47154434","9,16167878"
06/01/2007 5.00,"0,57127229","16,15900797","8,21682956"
06/01/2007 6.00,"0,39466414","19,64008312","11,65488471"
06/01/2007 7.00,"0,45593636","25,35973552","16,96189118"
06/01/2007 8.00,"0,34780892","28,40891664","20,20527032"
06/01/2007 9.00,"0,66137849","28,2156708","19,53167272"
06/01/2007 10.00,"0,5496468","29,22082832","20,12349408"
06/01/2007 11.00,"0,46134273","22,4298632","14,53097247"
06/01/2007 12.00,"0,71183796","23,83319472","14,2285629"
06/01/2007 13.00,"0,66858699","22,13287224","12,54003746"
06/01/2007 14.00,"0,76229744","21,1160324","11,24475498"
06/01/2007 15.00,"1,12812759","18,28863946","8,64901995"
06/01/2007 16.00,"0,71904646","17,20047819","8,3518072"
06/01/2007 17.00,"0,61992964","27,20533176","17,5433323"
06/01/2007 18.00,"0,87042488","44,40709864","32,96333888"
06/01/2007 19.00,"1,01459378","38,6070084","27,55769424"
06/01/2007 20.00,"0,75148469","39,28276656","28,58820488"
06/01/2007 21.00,"0,84339302","58,76979408","45,51896488"
06/01/2007 22.00,"0,89925886","51,80632832","40,52734472"
06/01/2007 23.00,"0,68660823","44,00244296","33,92505576"
07/01/2007 0.00,"0,7298592","51,63124648","40,11332024"
07/01/2007 1.00,"0,69381672","41,06610808","31,7628132"
07/01/2007 2.00,"0,38204927","40,68089744","30,48571192"
07/01/2007 3.00,"0,46494698","41,14262632","32,56229688"
07/01/2007 4.00,"0,54784468","45,44468368","37,12821024"
07/01/2007 5.00,"0,41628963","33,59292224","26,04308432"
07/01/2007 6.00,"0,40908113","34,08189712","25,80557568"
07/01/2007 7.00,"0,36042378","40,9247348","30,76084872"
07/01/2007 8.00,"0,53162556","42,9830028","31,5395872"
07/01/2007 9.00,"0,63614876","46,01143872","33,21643032"
07/01/2007 10.00,"0,57487654","38,67578304","30,5077764"
07/01/2007 11.00,"0,79293354","29,4698472","23,3772592"
07/01/2007 12.00,"1,05243838","22,35724544","14,19612582"
07/01/2007 13.00,"1,061449","23,92527664","13,9949471"
07/01/2007 14.00,"1,11551272","20,79697696","11,42646572"
07/01/2007 15.00,"0,95692581","19,65694696","10,87097045"
07/01/2007 16.00,"0,61992964","21,6880072","13,05788546"
07/01/2007 17.00,"0,7821208","29,625484","21,13842192"
07/01/2007 18.00,"1,02901077","52,487268","40,2521888"
07/01/2007 19.00,"1,29572512","88,42122392","57,36724648"
07/01/2007 20.00,"1,50657363","108,254572","61,99933416"
07/01/2007 21.00,"1,21282742","85,60161664","53,86038992"
07/01/2007 22.00,"0,98395767","66,9316632","51,5735232"
07/01/2007 23.00,"0,84519514","47,63138072","37,93937624"
08/01/2007 0.00,"0,7370677","42,13870184","33,9302564"
08/01/2007 1.00,,"50,66501728","41,33461024"
08/01/2007 2.00,"0,39856637",,
08/01/2007 3.00,"0,46171597","42,59523008","34,0587428"
08/01/2007 4.00,"0,34949002","35,51505584","27,08139592"
08/01/2007 5.00,"0,35183522","27,0367316","19,7860452"
08/01/2007 6.00,"0,47939855","28,17288024","20,26756328"
08/01/2007 7.00,"0,4046104","45,53288424","33,47210296"
08/01/2007 8.00,"0,40587351","44,93106312","33,73817688"
08/01/2007 9.00,"0,44583856","52,05666648","36,12626488"
08/01/2007 10.00,"0,59523383","52,36273944","37,76157936"
08/01/2007 11.00,"0,70628718","51,62606496","40,32488304"
08/01/2007 12.00,"0,55084788","41,66919112","32,24691248"
08/01/2007 13.00,"0,48345841","29,5658296","19,66144016"
08/01/2007 14.00,"0,57304085","24,88894376","15,10722633"
08/01/2007 15.00,"0,60434513","26,73193968","17,22534949"
08/01/2007 16.00,"0,46559582","28,39595328","18,36618253"
08/01/2007 17.00,"0,48390894","40,57065152","32,17683768"
08/01/2007 18.00,"0,77097041","56,85027992","45,95633488"
08/01/2007 19.00,"0,84530701","63,97584504","50,96871936"
08/01/2007 20.00,"0,67976382","45,68203936","34,92702024"
08/01/2007 21.00,"0,8507205","61,47917456","47,8421596"
08/01/2007 22.00,"0,69095082","56,44302392","44,16526888"
08/01/2007 23.00,"0,76005495","57,56358976","45,74607224"
09/01/2007 0.00,"0,82004676","47,4044072","36,3274264"
09/01/2007 1.00,"0,76113704","43,88701552","32,44289248"
09/01/2007 2.00,"0,77927015","39,35280312","27,79262168"
09/01/2007 3.00,"0,50294413","28,58531776","17,35904035"
09/01/2007 4.00,"0,47173037","28,32461656","17,03067156"
09/01/2007 5.00,"0,46739998","25,84480992","14,47646135"
09/01/2007 6.00,"0,37646391","30,22080432","17,62769738"
09/01/2007 7.00,"0,61796785","32,40230072","21,75880856"
09/01/2007 8.00,"0,48372893","53,46387936","36,66357512"
09/01/2007 9.00,"0,50348517","45,80913","33,373482"
09/01/2007 10.00,"0,69546121","39,79114824","29,73683888"
09/01/2007 11.00,"0,5690715","33,45414928","21,99243584"
09/01/2007 12.00,"0,4372683","24,29622376","12,47903702"
09/01/2007 13.00,"0,462077","22,94866528","12,82686423"
09/01/2007 14.00,"0,51431114","22,45840936","14,59846225"
09/01/2007 15.00,"0,48345841","22,64387336","14,27529218"
09/01/2007 16.00,"0,36329274","22,26386336","13,71720424"
09/01/2007 17.00,"0,49202867","31,19871584","22,58685752"
09/01/2007 18.00,"0,60795345","52,82184888","42,16525952"
09/01/2007 19.00,"0,65666876","61,621848","50,1225064"
09/01/2007 20.00,"0,91666685","87,30713976","68,64833328"
09/01/2007 21.00,"0,991635","91,5313596","67,29335624"
09/01/2007 22.00,"0,66172122","60,53499072","46,38074152"
09/01/2007 23.00,"0,7301938","56,44822456","41,33461024"
10/01/2007 0.00,"0,54606696","39,21011056","28,7348744"
10/01/2007 1.00,,"30,02883952","20,09494792"
