, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
01/01/2008 1.00,"0,632965","28,833513"
01/01/2008 2.00,"0,564157","19,593966"
01/01/2008 3.00,"0,356747","16,408989"
01/01/2008 4.00,"0,483867","25,012573"
01/01/2008 5.00,"0,427233","19,992406"
01/01/2008 6.00,"0,371827","17,137097"
01/01/2008 7.00,"0,381722","12,6828"
01/01/2008 8.00,"0,338368","7,680808"
01/01/2008 9.00,"0,344695","7,112339"
01/01/2008 10.00,"0,363013","7,00851"
01/01/2008 11.00,"0,497779","7,728828"
01/01/2008 12.00,"0,429182","10,418017"
01/01/2008 13.00,"0,451998","9,316126"
01/01/2008 14.00,"0,343045","7,244723"
01/01/2008 15.00,"0,449689","8,373872"
01/01/2008 16.00,"0,454966","14,046863"
01/01/2008 17.00,"0,439376","10,813866"
01/01/2008 18.00,"0,425944","9,282381"
01/01/2008 19.00,"0,570334","11,869032"
01/01/2008 20.00,"0,297684","12,277868"
01/01/2008 21.00,"0,407745","12,316805"
01/01/2008 22.00,"0,44855","7,525062"
01/01/2008 23.00,"0,283652","11,200629"
02/01/2008 0.00,"0,333961","8,421893"
02/01/2008 1.00,,"6,107786"
02/01/2008 2.00,"0,497258",
02/01/2008 3.00,"0,404218","15,818462"
02/01/2008 4.00,"0,585737","9,47187"
02/01/2008 5.00,"0,406138","6,668467"
02/01/2008 6.00,"0,530513","12,686695"
02/01/2008 7.00,"0,577934","21,892496"
02/01/2008 8.00,"0,481171","29,281285"
02/01/2008 9.00,"0,489335","22,584256"
02/01/2008 10.00,"0,507823","17,574477"
02/01/2008 11.00,"0,758493","10,986482"
02/01/2008 12.00,"0,902917","10,78272"
02/01/2008 13.00,"1,630677","9,439425"
02/01/2008 14.00,"2,830845","8,83851"
02/01/2008 15.00,"1,599343","14,822996"
02/01/2008 16.00,"1,097282","19,361638"
02/01/2008 17.00,"0,759094","19,971643"
02/01/2008 18.00,"0,685862","15,898931"
02/01/2008 19.00,"0,516827","14,543951"
02/01/2008 20.00,"0,668094","34,147"
02/01/2008 21.00,"0,555604","26,298775"
02/01/2008 22.00,"0,639281","22,815284"
02/01/2008 23.00,"0,631118","22,996981"
03/01/2008 0.00,"0,336868","16,248059"
03/01/2008 1.00,"0,430749","12,741207"
03/01/2008 2.00,"0,544199","13,558869"
03/01/2008 3.00,"0,447076","16,311655"
03/01/2008 4.00,"0,353195","15,920995"
03/01/2008 5.00,"0,429188","25,320176"
03/01/2008 6.00,"0,513225","27,814685"
03/01/2008 7.00,"0,549962","33,682366"
03/01/2008 8.00,"0,806755","48,345721"
03/01/2008 9.00,"0,747088","47,171143"
03/01/2008 10.00,"2,061666","33,902989"
03/01/2008 11.00,"3,877105","11,426465"
03/01/2008 12.00,"4,519988","10,841116"
03/01/2008 13.00,"2,452678","10,023467"
03/01/2008 14.00,"1,370162","9,296658"
03/01/2008 15.00,"1,215054","11,020232"
03/01/2008 16.00,"0,93305","16,211716"
03/01/2008 17.00,"0,88683","20,83862"
03/01/2008 18.00,"0,798831","26,412978"
03/01/2008 19.00,"0,743967","29,40717"
03/01/2008 20.00,"0,816839","41,943313"
03/01/2008 21.00,"0,929928","45,713643"
03/01/2008 22.00,"0,945655","43,247679"
03/01/2008 23.00,"0,572771","23,213726"
04/01/2008 0.00,"0,70531","17,266882"
04/01/2008 1.00,,"11,543267"
04/01/2008 2.00,"1,294107",
04/01/2008 3.00,"0,959935","7,830062"
04/01/2008 4.00,"1,06081","7,636679"
04/01/2008 5.00,"1,163965","10,852805"
04/01/2008 6.00,"1,115147","19,161776"
04/01/2008 7.00,"1,295307","33,714812"
04/01/2008 8.00,"1,319416","37,004924"
04/01/2008 9.00,"1,248048","33,200865"
04/01/2008 10.00,"1,33417","27,344849"
04/01/2008 11.00,"1,270838","39,039979"
04/01/2008 12.00,"1,163006","30,863387"
04/01/2008 13.00,"1,318816","37,562997"
04/01/2008 14.00,"1,246488","23,103421"
04/01/2008 15.00,"1,094996","10,159742"
04/01/2008 16.00,"1,033942","9,331701"
04/01/2008 17.00,"1,109868","9,196721"
04/01/2008 18.00,"1,086479","10,697053"
04/01/2008 19.00,"1,043778","9,040978"
04/01/2008 20.00,"1,092597","9,273295"
04/01/2008 21.00,"1,111788","8,85668"
04/01/2008 22.00,"0,843946","7,830062"
04/01/2008 23.00,"1,140216","6,694424"
05/01/2008 0.00,"1,056492","6,36217"
05/01/2008 1.00,"1,06033","6,620445"
05/01/2008 2.00,"1,009353","6,031211"
05/01/2008 3.00,"0,854262","5,698957"
05/01/2008 4.00,"1,01511","5,771638"
05/01/2008 5.00,"1,080122","5,814466"
05/01/2008 6.00,"0,97241","6,582807"
05/01/2008 7.00,"1,001077","13,015052"
05/01/2008 8.00,"1,191673","15,779524"
05/01/2008 9.00,"1,035501","13,623754"
05/01/2008 10.00,"1,082641","9,706785"
05/01/2008 11.00,"0,951779","8,299893"
05/01/2008 12.00,"1,120185","9,016319"
05/01/2008 13.00,"1,000118","8,65421"
05/01/2008 14.00,"0,755546","8,497169"
05/01/2008 15.00,"1,134697","7,756083"
05/01/2008 16.00,"0,762383","7,791127"
05/01/2008 17.00,"0,871294","8,090933"
05/01/2008 18.00,"0,94926","8,338828"
05/01/2008 19.00,"0,85918","8,530913"
05/01/2008 20.00,"0,789131","8,504956"
05/01/2008 21.00,"0,855342","7,486126"
05/01/2008 22.00,"0,915435","6,811232"
05/01/2008 23.00,"0,871534","6,427063"
06/01/2008 0.00,"0,711765","6,003955"
06/01/2008 1.00,,"5,874169"
