Stat,S. Pietro  Vernotico,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,
,,,,,,,,,
01/01/2014 1.00,"0,1","5,9","12,0","34,9",,,
01/01/2014 2.00,"0,1","6,2","12,4","34,9",,,
01/01/2014 3.00,"0,1","7,5","14,0","34,9",,,
01/01/2014 4.00,"0,1","6,1","12,8","34,9",,,
01/01/2014 5.00,"0,1","6,2","13,0","34,9",,,
01/01/2014 6.00,,"6,3","13,1","34,9",,,
01/01/2014 7.00,"0,1","6,2","12,9","34,9",,,
01/01/2014 8.00,"0,2","9,4","16,3","34,9",,,
01/01/2014 9.00,"0,1","10,2","17,4","34,9",,,
01/01/2014 10.00,"0,2","10,8","18,7","34,9",,,
01/01/2014 11.00,"0,2","10,5","18,6","34,9",,, 
01/01/2014 12.00,"0,2","7,6","15,4","34,9",,,
01/01/2014 13.00,"0,1","8,3","15,7","34,9",,,
01/01/2014 14.00,"0,1","7,8","14,8","34,9",,,
01/01/2014 15.00,"0,1","8,5","15,2","34,9",,,
01/01/2014 16.00,"0,1","10,6","17,2","34,9",,,
01/01/2014 17.00,"0,1","10,1","16,7","34,9",,,
01/01/2014 18.00,"0,1","18,1","26,4","34,9",,,
01/01/2014 19.00,"0,5","32,6","55,5","34,9",,,
01/01/2014 20.00,"0,3","29,4","48,7","34,9",,,
01/01/2014 21.00,"0,1","22,6","48,2","34,9",,,
01/01/2014 22.00,"0,2","27,7","45,5","34,9",,,
01/01/2014 23.00,"0,2","20,2","28,4","34,9",,,
02/01/2014 0.00,"0,1","20,0","30,1","34,9",,,
02/01/2014 1.00,,"16,7","26,5","46,8",,,
02/01/2014 2.00,,,,"46,8",,,
02/01/2014 3.00,,"14,3","22,8","46,8",,,
02/01/2014 4.00,,"13,6","22,0","46,8",,,
02/01/2014 5.00,,"11,5","20,0","46,8",,,
02/01/2014 6.00,,"12,4","22,7","46,8",,,
02/01/2014 7.00,,"16,0","32,0","46,8",,,
02/01/2014 8.00,,"15,8","34,1","46,8",,,
02/01/2014 9.00,,"19,5","41,9","46,8",,,
