Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
01/01/2014 1.00,"5,7","8,2","0,3","37,9","1,1",,,
01/01/2014 2.00,"5,2","7,5","0,2","41,2","0,9",,,
01/01/2014 3.00,"3,4","5,7","0,2","57,4","0,7",,,
01/01/2014 4.00,"2,0","4,3","0,2","66,7","0,4",,,
01/01/2014 5.00,"2,0","4,2","0,2","64,4","0,4",,,
01/01/2014 6.00,"2,1","4,3","0,2","61,4","0,4",,,
01/01/2014 7.00,"2,7","5,0","0,2","55,6","0,4",,,
01/01/2014 8.00,"4,5","6,8","0,2","48,8","0,5",,,
01/01/2014 9.00,"2,8","5,1","0,2","48,2","0,5",,,
01/01/2014 10.00,"4,4","7,0","0,2","43,1","0,5",,,
01/01/2014 11.00,"3,4","5,9","0,2","49,7","0,9",,, 
01/01/2014 12.00,"3,0","5,7","0,2","55,6","0,5",,,
01/01/2014 13.00,"3,5","6,4","0,2","59,8","0,6",,,
01/01/2014 14.00,"3,9","6,8","0,2","60,5","0,7",,,
01/01/2014 15.00,"4,6","7,4","0,3","54,9","0,8",,,
01/01/2014 16.00,"2,5","4,9","0,2","56,2","1,2",,,
01/01/2014 17.00,"4,5","7,0","0,2","49,3","0,6",,,
01/01/2014 18.00,"10,3","13,5","0,3","34,2","1,2",,,
01/01/2014 19.00,"11,0","14,5","0,4","29,3","2,5",,,
01/01/2014 20.00,"17,0","20,1","0,6","21,6","3,2",,,
01/01/2014 21.00,"17,3","20,8","0,7","16,8","5,1",,,
01/01/2014 22.00,"19,0","23,1","0,8","12,4","4,2",,,
01/01/2014 23.00,"17,5","22,6","0,8","9,4","5,6",,,
02/01/2014 0.00,"13,5","16,9","0,7","10,5","4,2",,,
02/01/2014 1.00,"13,0","15,7","0,7","12,4","3,0",,,
02/01/2014 2.00,"12,7","15,2","0,8","10,3","3,1",,,
02/01/2014 3.00,"11,4","14,5",,"6,2","3,2",,,
02/01/2014 4.00,"9,0","11,5","0,9","3,0","2,7",,,
02/01/2014 5.00,"6,6","9,0","0,7","6,7","2,3",,,
02/01/2014 6.00,"8,3","11,8","0,6","4,8","1,9",,,
02/01/2014 7.00,"12,2","28,5","0,6",,"2,1",,,
02/01/2014 8.00,"16,0","53,0","0,9",,"2,5",,,
02/01/2014 9.00,"17,5","33,9","0,8","4,0","3,9",,,
02/01/2014 10.00,"12,5","23,5","0,6","12,6","4,7",,,
02/01/2014 11.00,"7,4","12,8","0,4","27,4","2,1",,,
02/01/2014 12.00,"7,5","12,2","0,4","34,8","1,7",,,
02/01/2014 13.00,"8,1","12,7","0,4","37,4","1,6",,,
02/01/2014 14.00,"8,1","12,5","0,4","38,3","1,4",,,
02/01/2014 15.00,"7,9","11,3","0,3","40,8","1,3",,,
02/01/2014 16.00,"9,1","13,4","0,3","39,6","1,6",,,
02/01/2014 17.00,"9,1","12,7","0,4","38,0","1,3",,,
02/01/2014 18.00,"20,6","35,8","0,6","20,3","2,4",,,
02/01/2014 19.00,"17,6","24,3","0,7","18,7","3,1",,,
02/01/2014 20.00,"17,7","25,2","0,7","13,7","3,8",,,
02/01/2014 21.00,"24,0","31,2","1,1","13,2","4,2",,,
02/01/2014 22.00,"22,9","29,1","1,4","15,9","8,1",,,
02/01/2014 23.00,"17,2","20,4","1,1","15,5","6,5",,,
03/01/2014 0.00,"11,3","13,9","0,9","20,8","4,6",,,
03/01/2014 1.00,"9,7","12,8","0,7","22,2","2,8",,,
03/01/2014 2.00,"7,4","9,8","0,7","26,0","2,1",,,
03/01/2014 3.00,"5,4","7,8","0,6","24,0","1,9",,,
03/01/2014 4.00,"4,4","7,2","0,5","23,7","1,5",,,
03/01/2014 5.00,"5,4","7,7","0,5","24,1","2,0",,,
03/01/2014 6.00,"5,1","7,5","0,5","22,0","1,2",,,
03/01/2014 7.00,"13,3","16,4","0,4","15,4","0,9",,,
03/01/2014 8.00,"17,4","25,1","0,5","11,9","1,6",,,
03/01/2014 9.00,"20,3","26,1","0,6","16,3","2,1",,,
03/01/2014 10.00,"12,7","18,3","0,4","25,5","2,8",,,
03/01/2014 11.00,"13,8","20,8","0,4","28,4","1,6",,,
03/01/2014 12.00,"14,3","21,4","0,5","30,6","1,6",,,
03/01/2014 13.00,"9,5","14,0","0,6","36,4","1,6",,,
03/01/2014 14.00,"8,2","12,9","0,6","45,1","1,4",,,
03/01/2014 15.00,"7,9","11,7","0,5","46,0","1,6",,,
03/01/2014 16.00,"11,5","18,1","0,5","44,5","1,4",,,
03/01/2014 17.00,"17,8","24,7","0,7","34,7","2,4",,,
03/01/2014 18.00,"24,4","34,2","0,9","18,3","4,5",,,
03/01/2014 19.00,"24,3","39,8","0,8","11,6","4,9",,,
03/01/2014 20.00,"19,2","25,0","0,9","20,0","3,7",,,
03/01/2014 21.00,"20,0","24,6","1,1","17,8","5,0",,,
03/01/2014 22.00,"19,7","23,7","1,2","20,2","4,4",,,
03/01/2014 23.00,"19,5","22,9","1,7","20,5","6,2",,,
04/01/2014 0.00,"13,2","15,6","1,5","22,0","11,1",,,
04/01/2014 1.00,"11,8","14,1","1,0","23,7","5,0",,,
04/01/2014 2.00,"10,7","13,1","0,7","22,0","4,0",,,
04/01/2014 3.00,"9,3","11,8",,"19,0","2,3",,,
04/01/2014 4.00,"5,3","7,8","0,5","20,9","2,2",,,
04/01/2014 5.00,"4,2","6,5","0,4","24,5","1,3",,,
04/01/2014 6.00,"5,1","7,6","0,4","26,3",,,,
04/01/2014 7.00,"8,1","10,8","0,4","19,8","1,0",,,
04/01/2014 8.00,"14,8","20,2","0,4","13,1","1,1",,,
04/01/2014 9.00,"17,4","28,8","0,6","8,4","2,2",,,
04/01/2014 10.00,"12,7","20,3","0,5","20,7","3,6",,,
04/01/2014 11.00,"7,9","12,6","0,3","36,9","1,9",,,
04/01/2014 12.00,"8,9","13,6","0,3","39,2","1,4",,,
04/01/2014 13.00,"7,5","12,3","0,4","43,2","1,6",,,
04/01/2014 14.00,"5,0","8,5","0,3","51,9","1,4",,,
04/01/2014 15.00,"4,0","7,0","0,3","59,8","0,8",,,
04/01/2014 16.00,"4,4","7,3","0,3","62,3","0,8",,,
04/01/2014 17.00,"5,1","8,2","0,4","60,5","0,8",,,
04/01/2014 18.00,"10,1","15,0","0,4","50,5","1,1",,,
