NetC,Provincia di TARANTO,,,
Stat,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2
PtId,1,2,3,4
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,,,
01/01/2007 1.00,"8,00509","110,875749","47,437326","38,474105"
01/01/2007 2.00,"3,863364","102,599755","42,285022","37,791425"
01/01/2007 3.00,"2,302902","55,109746","15,979631","30,62978"
01/01/2007 4.00,"1,850875","34,949562","8,502854","21,927542"
01/01/2007 5.00,"1,504469","33,88605","6,586921","23,802966"
01/01/2007 6.00,"1,27382","23,162655","3,309955","18,100118"
01/01/2007 7.00,"1,130746","19,125182","2,031821","16,020933"
01/01/2007 8.00,"1,424373","25,104235","5,559168","16,632229"
01/01/2007 9.00,"1,959957","21,311879","3,991741","15,201967"
01/01/2007 10.00,"2,1678","25,573745","6,964187","14,906058"
01/01/2007 11.00,"1,907424","26,393418","8,292228","13,688652"
01/01/2007 12.00,"1,746057","25,150925","11,25198","7,904041"
01/01/2007 13.00,"2,678355","49,24352","25,915429","9,5147"
01/01/2007 14.00,"2,483304","27,536068","12,977591","7,64317"
01/01/2007 15.00,"2,371193","33,019645","14,957815","10,127296"
01/01/2007 16.00,"1,930415","29,574911","14,998404","6,582807"
01/01/2007 17.00,"1,954147","30,887441","14,997569","7,897552"
01/01/2007 18.00,"1,828379","31,895179","14,590686","9,530274"
01/01/2007 19.00,"1,49699","30,014575","13,762577","8,918977"
01/01/2007 20.00,"1,627395","28,606063","13,145064","8,456934"
01/01/2007 21.00,"1,309357","27,526987","12,857468","7,81838"
01/01/2007 22.00,"1,145085","39,300911","13,980802","17,876887"
01/01/2007 23.00,"1,270483","37,709535","13,238962","17,422631"
02/01/2007 0.00,"1,263499","30,468522","12,384621","11,499142"
02/01/2007 1.00,,"19,535018","10,044905","4,136319"
02/01/2007 2.00,"0,819489",,,
02/01/2007 3.00,"0,788926","19,348254","9,376656","4,974743"
02/01/2007 4.00,"0,608641","20,615412","9,849505","5,517254"
02/01/2007 5.00,"0,630173","19,972101","9,758996","5,01238"
02/01/2007 6.00,"0,721045","18,375537","9,375809","4,002638"
02/01/2007 7.00,"0,71557","20,106992","9,456169","5,611999"
02/01/2007 8.00,"0,749055","23,267719","9,676944","8,436168"
02/01/2007 9.00,"0,628165","20,589467","9,676944","5,756063"
02/01/2007 10.00,"0,854434","21,066759","10,294438","5,286232"
02/01/2007 11.00,"0,735004","21,763224","10,366343","5,87287"
02/01/2007 12.00,"1,058074","23,61272","11,350948","6,212914"
02/01/2007 13.00,"0,765751","25,397343","12,570708","6,145424"
02/01/2007 14.00,"0,792118","26,839585","13,529102","6,099999"
02/01/2007 15.00,"0,585101","26,626875","14,082308","5,03834"
02/01/2007 16.00,"0,548242","27,044512","14,804708","4,347871"
02/01/2007 17.00,"0,571325","25,877236","14,276865","3,989659"
02/01/2007 18.00,"0,632271","22,459708","12,289881","3,618467"
02/01/2007 19.00,"0,503993","18,112251","9,187176","4,028595"
02/01/2007 20.00,"0,509741","13,535227","6,338231","3,819639"
02/01/2007 21.00,"0,523425","12,567685","5,465274","4,190828"
02/01/2007 22.00,"0,553625","12,091694","4,867232","4,632105"
02/01/2007 23.00,"0,511565","14,622093","4,429063","7,836552"
03/01/2007 0.00,"0,548424","10,12159","4,143154","3,771617"
03/01/2007 1.00,"0,424707","6,512109","2,88532","2,089575"
03/01/2007 2.00,"0,453721","4,806588","1,753524","2,119425"
03/01/2007 3.00,"0,507277","3,698972","1,009143","2,15317"
03/01/2007 4.00,"0,469687","3,242436","0,609884","2,308914"
03/01/2007 5.00,"0,506912","3,281346","0,263071","2,879979"
03/01/2007 6.00,"0,397154","3,523881","0,076976","3,408213"
03/01/2007 7.00,"0,52589","3,315068","0,012688","3,598999"
03/01/2007 8.00,"0,562019","2,844264",0,"3,692447"
03/01/2007 9.00,"0,514393","3,02714",0,"3,893616"
03/01/2007 10.00,"0,431368","3,486268","0,007613","4,366042"
03/01/2007 11.00,"0,498153","9,373235","0,419561","9,195423"
03/01/2007 12.00,"0,701703","7,601569","0,177636","7,783341"
03/01/2007 13.00,"0,435473","9,997081","1,099653","8,445254"
03/01/2007 14.00,"0,426988","22,707428","3,167001","17,863907"
03/01/2007 15.00,"0,463757","13,952852","2,492829","10,13768"
03/01/2007 16.00,"0,547786","25,154806","4,006965","19,024209"
03/01/2007 17.00,"0,711009","22,598482","3,386084","17,418736"
03/01/2007 18.00,"0,870399","26,200174","3,139085","21,401896"
03/01/2007 19.00,"0,649059","19,156307","2,50298","15,329166"
03/01/2007 20.00,"0,87487","39,867665","5,022876","32,188517"
03/01/2007 21.00,"1,148125","24,604897","4,052643","18,403818"
03/01/2007 22.00,"1,257152","19,952656","3,060419","15,270759"
03/01/2007 23.00,"0,877425","17,025385","2,605331","13,03972"
04/01/2007 0.00,"0,969027","17,468952","2,281357","13,980674"
04/01/2007 1.00,,"27,843443","2,49452","24,035292"
04/01/2007 2.00,"1,543944",,,
04/01/2007 3.00,"1,446266","19,235428","1,644404","16,725667"
04/01/2007 4.00,"1,995013","20,339149","1,893094","17,448591"
04/01/2007 5.00,"1,730679","14,447001","2,048737","11,313549"
04/01/2007 6.00,"1,312929","7,015336","1,109803","5,317383"
04/01/2007 7.00,"1,153908","20,39232","1,350035","18,336328"
04/01/2007 8.00,"1,228368","14,244671","2,500442","10,442674"
04/01/2007 9.00,"1,154279","19,243208","4,039956","13,057885"
04/01/2007 10.00,"1,272465","19,824246","4,409606","13,072166"
04/01/2007 11.00,"1,418367","14,251157","2,397243","10,582843"
04/01/2007 12.00,"1,560019","11,117666","2,126559","7,862509"
04/01/2007 13.00,"2,087396","9,572969","2,173929","6,244062"
04/01/2007 14.00,"1,98984","12,833563","4,175298","6,443935"
04/01/2007 15.00,"1,796454","16,574038","5,735958","7,784637"
04/01/2007 16.00,"1,61243","21,864389","7,61721","10,192183"
04/01/2007 17.00,"1,643778","22,099144","5,109156","14,275292"
04/01/2007 18.00,"1,242041","20,911123","4,909526","13,392741"
04/01/2007 19.00,"1,996061","79,670554","20,094032","48,894714"
