,Provincia di TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
01/01/2008 1.00,"0,70224","15,242047","5,074474","7,466658"
01/01/2008 2.00,"0,642835","14,116271","4,462898","7,278468"
01/01/2008 3.00,"0,640919","10,904964","3,573872","5,429"
01/01/2008 4.00,"0,534855","8,601537","3,028275","3,961106"
01/01/2008 5.00,"0,605028","7,163191","2,499595","3,332935"
01/01/2008 6.00,"0,585348","6,667746","2,359178","3,052596"
01/01/2008 7.00,"0,537835","5,420057","1,520059","3,091532"
01/01/2008 8.00,"0,576222","4,887001","0,97869","3,388745"
01/01/2008 9.00,"0,61184","4,929801","0,506686","4,155785"
01/01/2008 10.00,"0,527007","2,684737","0,176791","2,41534"
01/01/2008 11.00,"0,6293","3,775492","0,742688","2,638573"
01/01/2008 12.00,"0,756505","9,828474","3,404694","4,611338"
01/01/2008 13.00,"1,740894","14,24986","5,259724","6,189553"
01/01/2008 14.00,"2,551845","19,432555","7,093607","8,562062"
01/01/2008 15.00,"2,065871","12,964558","6,073467","3,654809"
01/01/2008 16.00,"1,679482","12,707758","6,046398","3,439361"
01/01/2008 17.00,"1,200473","12,548228","5,428902","4,22717"
01/01/2008 18.00,"1,081481","10,078791","3,602632","4,558125"
01/01/2008 19.00,"0,770405","5,732627","1,893094","2,831957"
01/01/2008 20.00,"0,918962","4,353943","0,783291","3,155127"
01/01/2008 21.00,"0,677085","4,185337","0,155643","4,576297"
01/01/2008 22.00,"0,731046","1,350151",0,"3,223915"
01/01/2008 23.00,"0,644326","0,326837",0,"2,703467"
02/01/2008 0.00,"0,673557","0,251613",0,"3,030531"
02/01/2008 1.00,"0,099868",0,"3,066871",
02/01/2008 2.00,"1,108545",,,
02/01/2008 3.00,"1,081072","0,653675",0,"4,045467"
02/01/2008 4.00,"0,94306","0,057067",0,"2,761872"
02/01/2008 5.00,"0,985728","0,012969",0,"2,940977"
02/01/2008 6.00,"0,835223","0,058364",0,"2,951361"
02/01/2008 7.00,"0,676952","0,014267",0,"2,316701"
02/01/2008 8.00,"0,780399",0,0,"2,433509"
02/01/2008 9.00,"0,756978","0,022049",0,"2,67102"
02/01/2008 10.00,"0,819261","0,164715",0,"3,614573"
02/01/2008 11.00,"0,89505","0,047987",0,"2,699574"
02/01/2008 12.00,"1,330359","0,594014",0,"3,288808"
02/01/2008 13.00,"1,735155","2,261925","0,000845","3,112298"
02/01/2008 14.00,"2,135652","4,723583","0,719004","3,652212"
02/01/2008 15.00,"2,027969","5,969973","1,325505","3,940339"
02/01/2008 16.00,"2,147685","5,569208","1,278981","3,61068"
02/01/2008 17.00,"1,743381","5,783209","0,804438","4,552935"
02/01/2008 18.00,"1,65522","3,697674","0,064288","3,804063"
02/01/2008 19.00,"1,159072","5,530299",0,"6,655488"
02/01/2008 20.00,"1,507017","9,327841",0,"11,16689"
02/01/2008 21.00,"1,204625","7,832429",0,"11,002055"
02/01/2008 22.00,"1,281152","2,138711",0,"5,630169"
02/01/2008 23.00,"1,271636","2,031062",0,"5,710637"
03/01/2008 0.00,"1,182708","2,298239",0,"5,981892"
03/01/2008 1.00,"1,338709","3,029732",0,"6,356977"
03/01/2008 2.00,"1,08583","3,169805",0,"6,009148"
03/01/2008 3.00,"1,410508","11,541778",0,"14,285678"
03/01/2008 4.00,"0,917582","9,135889",0,"11,922251"
03/01/2008 5.00,"1,190934","15,009888",0,"17,783436"
03/01/2008 6.00,"1,458946","23,184701","0,259688","24,699788"
03/01/2008 7.00,"1,636036","32,542353","3,775193","27,038548"
03/01/2008 8.00,"1,541367","49,45623","10,538899","33,333253"
03/01/2008 9.00,"1,527953","36,295819","6,646979","26,122259"
03/01/2008 10.00,"2,247234","19,603754","2,025053","16,542677"
03/01/2008 11.00,"3,425522","11,434129","0,341739","11,038398"
03/01/2008 12.00,"6,020826","7,812975","0,463546","7,258999"
03/01/2008 13.00,"5,048358","13,493723","2,44292","9,754808"
03/01/2008 14.00,"4,180874","14,555947","3,479133","9,227872"
03/01/2008 15.00,"3,667013","17,545474","4,695517","10,353122"
03/01/2008 16.00,"3,080892","24,035522","6,050629","14,768483"
03/01/2008 17.00,"2,719164","25,630798","5,752876","16,821721"
03/01/2008 18.00,"2,403664","22,562154","4,753038","15,285031"
03/01/2008 19.00,"1,794951","17,305533","3,617012","11,767801"
03/01/2008 20.00,"1,793109","15,561102","3,120477","10,78401"
03/01/2008 21.00,"1,903494","16,171977","2,523279","12,311609"
03/01/2008 22.00,"1,676309","15,208325","2,243292","11,776885"
03/01/2008 23.00,"1,539955","13,134463","1,707","10,524436"
04/01/2008 0.00,"1,615469","12,331635","1,728993","9,687318"
04/01/2008 1.00,"12,16173","2,524972","8,296",
04/01/2008 2.00,"1,440114",,,
04/01/2008 3.00,"1,542848","7,885606","2,129942","4,623021"
04/01/2008 4.00,"1,581373","7,998443","2,645933","3,944234"
04/01/2008 5.00,"1,37407","8,228007","2,7246","4,053255"
04/01/2008 6.00,"1,330041","8,706592","2,892933","4,273894"
04/01/2008 7.00,"1,473135","9,71045","2,641705","5,663913"
04/01/2008 8.00,"1,515329","13,03719","2,969063","8,490679"
04/01/2008 9.00,"1,386911","11,486007","2,756744","7,264191"
04/01/2008 10.00,"1,35389","13,380887","3,470674","8,064976"
04/01/2008 11.00,"1,478639","16,581821","4,765727","9,281085"
04/01/2008 12.00,"1,605222","32,937967","11,785734","15,566669"
04/01/2008 13.00,"1,473135","14,439219","4,637152","7,336871"
04/01/2008 14.00,"1,401588","16,205697","4,683675","9,085105"
04/01/2008 15.00,"2,488619","14,594856","5,159062","6,689233"
04/01/2008 16.00,,,,
04/01/2008 17.00,,,,
04/01/2008 18.00,"2,402353","10,958278","2,36507","7,337055"
