"NetC","Provincia di TARANTO","","","","",""
"Stat","S.VITO Colonia Marina","","","","",""
,SO2,NO2,NOX,PM10

,,,,

01/01/2012 1.00,"1,105859","2,372511","2,37087","7,3"
01/01/2012 2.00,"1,325504","2,689192","2,687331","7,3"
01/01/2012 3.00,"1,264715","1,643106","1,64197","7,3"
01/01/2012 4.00,"1,225632","1,169383","1,168574","7,3"
01/01/2012 5.00,"1,215652","2,872191","2,870204","7,3"
01/01/2012 6.00,"1,400061","1,700213","1,699038","7,3"
01/01/2012 7.00,"1,303076","0,742382","0,741869","7,3"
01/01/2012 8.00,"1,32845","1,874127","1,872831","7,3"
01/01/2012 9.00,"1,30019","1,815723","1,814467","7,3"
01/01/2012 10.00,"1,290269","2,610021","2,608217","7,3"
01/01/2012 11.00,"1,443173","3,586021","3,735287","7,3"
01/01/2012 12.00,"1,611649","4,066233","6,732595","7,3"
01/01/2012 13.00,"1,667567","3,601596","6,97902","7,3"
01/01/2012 14.00,"1,415393","3,839105","6,679419","7,3"
01/01/2012 15.00,"1,458745","4,259617","7,866152","7,3"
01/01/2012 16.00,"1,425074","3,866362","7,822055","7,3"
01/01/2012 17.00,"1,541961","5,949446","9,928341","7,3"
01/01/2012 18.00,"1,736533","7,118829","12,255112","7,3"
01/01/2012 19.00,"1,729378","5,528936","11,270708","7,3"
01/01/2012 20.00,"1,305661","5,888445","11,871208","7,3"
01/01/2012 21.00,"1,661494","39,468287","56,725749","7,3"
01/01/2012 22.00,"1,860996","15,67569","21,261286","7,3"
01/01/2012 23.00,"1,747596","10,959231","15,181088","7,3"
02/01/2012 0.00,"2,001754","9,636699","12,855613","7,3"
02/01/2012 1.00,,"18,952824","23,202866","29,200001"
02/01/2012 2.00,"1,486336",,,"29,200001"
02/01/2012 3.00,"1,220864","15,644544","18,208227","29,200001"
02/01/2012 4.00,"1,268602","11,770396","12,629939","29,200001"
02/01/2012 5.00,"1,224053","8,281723","8,383643","29,200001"
02/01/2012 6.00,"1,163651","9,574403","9,724717","29,200001"
02/01/2012 7.00,"1,180597","21,529081","27,760442","29,200001"
02/01/2012 8.00,"1,292926","30,082069","43,53423","29,200001"
02/01/2012 9.00,"1,433041","29,161881","54,10199","29,200001"
02/01/2012 10.00,"1,271244","30,875071","49,971133","29,200001"
02/01/2012 11.00,"1,315246","28,644016","42,80664","29,200001"
02/01/2012 12.00,"1,436685","36,314444","57,232869","29,200001"
02/01/2012 13.00,"1,323901","18,311671","26,262429","29,200001"
02/01/2012 14.00,"1,090497","10,617886","15,290034","29,200001"
02/01/2012 15.00,"1,221775","7,369318","11,714275","29,200001"
02/01/2012 16.00,"1,253752","7,477042","11,157874","29,200001"
02/01/2012 17.00,"1,656424","32,83227","46,976405","29,200001"
02/01/2012 18.00,"1,891196","54,572915","90,882883","29,200001"
02/01/2012 19.00,"1,951597","55,408744","97,659585","29,200001"
02/01/2012 20.00,"1,39979","39,761607","51,521019","29,200001"
02/01/2012 21.00,"1,549561","29,60445","39,453966","29,200001"
02/01/2012 22.00,"1,45026","33,076259","41,937654","29,200001"
02/01/2012 23.00,"1,270333","23,722489","29,613821","29,200001"
