,Regione Puglia,,,,,,,,
,S.Barbara Galatina,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10



01/01/2007 1.00,"0,6063293",,,"9,75221336",,,,,
01/01/2007 2.00,"0,50375163",,,"10,35961178",,,,,
01/01/2007 3.00,"0,56342003",,,"9,14610554",,,,,
01/01/2007 4.00,"0,86056099",,,"10,01697756",,,,,
01/01/2007 5.00,"0,52066841",,,"9,691211",,,,,
01/01/2007 6.00,"0,74084484",,,"11,38493326",,,,,
01/01/2007 7.00,"0,53360159",,,"12,5750806",,,,,
01/01/2007 8.00,"0,61578435",,,"11,99492818",,,,,
01/01/2007 9.00,"0,48139593",,,"11,0137414",,,,,
01/01/2007 10.00,"0,81332033",,,"9,1707646",,,,,
01/01/2007 11.00,"0,72029127",,,"8,68146659",,,,,
01/01/2007 12.00,"1,12440537",,,"7,33557346",,,,,
01/01/2007 13.00,"1,07526698",,,"4,51140224",,,,,
01/01/2007 14.00,"1,12393145",,,"3,57304235",,,,,
01/01/2007 15.00,"0,76683732",,,"3,74176488",,,,,
01/01/2007 16.00,"0,9110286",,,"3,74695596",,,,,
01/01/2007 17.00,"0,99118752",,,"4,5529347",,,,,
01/01/2007 18.00,"0,89404775",,,"6,53219122",,,,,
01/01/2007 19.00,"0,92560526",,,"7,61980756",,,,,
01/01/2007 20.00,"1,00086326",,,"7,0578287",,,,,
01/01/2007 21.00,"0,68860765",,,"7,14997754",,,,,
01/01/2007 22.00,"0,90720163",,,"7,00201933",,,,,
01/01/2007 23.00,"0,80794446",,,"6,78527501",,,,,
02/01/2007 0.00,"0,46081084",,,"3,8105529",,,,,
02/01/2007 1.00,,,,"3,36148911",,,,,
02/01/2007 2.00,"0,99562368",,,"4,77487202",,,,,
02/01/2007 3.00,"0,81532076",,,"6,32323256",,,,,
02/01/2007 4.00,"1,1089724",,,"4,68791426",,,,,
02/01/2007 5.00,"0,8183382",,,"3,9130839",,,,,
02/01/2007 6.00,"0,77420549",,,"3,70153258",,,,,
02/01/2007 7.00,"0,64218465",,,"4,97604118",,,,,
02/01/2007 8.00,"0,77514926",,,"3,47699877",,,,,
02/01/2007 9.00,"0,68197986",,,"3,14733938",,,,,
02/01/2007 10.00,"0,61766681",,,"3,89102134",,,,,
02/01/2007 11.00,"0,92018262",,,"4,25182912",,,,,
02/01/2007 12.00,"0,98223284",,,"5,12919047",,,,,
02/01/2007 13.00,"0,78778549",,,"8,12468072",,,,,
02/01/2007 14.00,"0,91395959",,,"4,5529347",,,,,
02/01/2007 15.00,"0,67085286",,,"4,1999145",,,,,
02/01/2007 16.00,"0,50601547",,,"4,52957389",,,,,
02/01/2007 17.00,"0,74308631",,,"3,35889262",,,,,
02/01/2007 18.00,"0,49639668",,,"2,53474414",,,,,
02/01/2007 19.00,"0,61050002",,,"2,20768124",,,,,
02/01/2007 20.00,"0,58032359",,,"3,22521322",,,,,
02/01/2007 21.00,"0,63011489",,,"3,60159616",,,,,
02/01/2007 22.00,"0,54203761",,,"2,74629738",,,,,
02/01/2007 23.00,"0,624079",,,"2,97212752",,,,,
03/01/2007 0.00,"0,6272856",,,"2,60612674",,,,,
03/01/2007 1.00,"0,54373498",,,"3,23299889",,,,,
03/01/2007 2.00,"0,5663673",,,"2,36082862",,,,,
03/01/2007 3.00,"0,60710527",,,"2,2920425",,,,,
03/01/2007 4.00,"0,48187392",,,"2,48802059",,,,,
03/01/2007 5.00,"0,28987856",,,"2,46855261",,,,,
03/01/2007 6.00,"0,31100165",,,"1,56912678",,,,,
03/01/2007 7.00,"0,26366335",,,"2,14927538",,,,,
03/01/2007 8.00,"0,40964048",,,"2,73721346",,,,,
03/01/2007 9.00,"0,40020984",,,"3,12138206",,,,,
03/01/2007 10.00,"0,44358794",,,"3,18627534",,,,,
03/01/2007 11.00,"0,42171024",,,"4,4530002",,,,,
03/01/2007 12.00,"0,58598218",,,"4,3141259",,,,,
03/01/2007 13.00,"0,79702697",,,"4,85793503",,,,,
03/01/2007 14.00,"1,86526241",,,"5,08117059",,,,,
03/01/2007 15.00,"2,26698351",,,"4,86312802",,,,,
03/01/2007 16.00,"1,92938731",,,"4,66714802",,,,,
03/01/2007 17.00,"1,86903446",,,"5,29791491",,,,,
03/01/2007 18.00,"1,44468308",,,"5,7352983",,,,,
03/01/2007 19.00,"1,30134608",,,"6,32193622",,,,,
03/01/2007 20.00,"1,15800908",,,"3,8391048",,,,,
03/01/2007 21.00,"1,28437133",,,"2,4425953",,,,,
03/01/2007 22.00,"1,29191544",,,"2,46855261",,,,,
03/01/2007 23.00,"1,03541787",,,"3,0370208",,,,,
