,,Lecce,,,
,GALATINA FRAZ SANTA BARBARA,,,
Parm,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
01/01/2009 1.00,"0,6","31,9","74,0",,
01/01/2009 2.00,"0,9","38,9","103,7",,
01/01/2009 3.00,"0,8","39,3","98,4",,
01/01/2009 4.00,"0,9","38,2","101,0",,
01/01/2009 5.00,"1,0","40,5","100,2",,
01/01/2009 6.00,"0,7","36,4","48,7",,
01/01/2009 7.00,"0,5","28,4","33,2",,
01/01/2009 8.00,"0,5","20,0","23,6",,
01/01/2009 9.00,"0,5","17,7","22,5",,
01/01/2009 10.00,"0,8","14,3","22,1",,
01/01/2009 11.00,"0,8","13,6","27,6",,
01/01/2009 12.00,"1,2","18,6","39,5",,
01/01/2009 13.00,"1,2","14,6","39,7",,
01/01/2009 14.00,"0,9","10,1","36,7",,
01/01/2009 15.00,"0,9","9,2","35,6",,
01/01/2009 16.00,"0,8","8,2","34,2",,
01/01/2009 17.00,"0,7","9,4","36,2",,
01/01/2009 18.00,"0,7","10,0","37,2",,
01/01/2009 19.00,"0,8","11,6","40,4",,
01/01/2009 20.00,"0,6","16,3","45,6",,
01/01/2009 21.00,"0,8","9,9","39,3",,
01/01/2009 22.00,"0,6","10,1","39,2",,
01/01/2009 23.00,"0,7","11,3","40,9",,
02/01/2009 0.00,"0,6","9,4","38,7",,
02/01/2009 1.00,,"9,4","38,7",,
02/01/2009 2.00,"0,8",,,,
02/01/2009 3.00,"0,8","9,9","37,9",,
02/01/2009 4.00,"0,7","9,5","36,9",,
02/01/2009 5.00,"0,6","9,6","36,4",,
02/01/2009 6.00,"0,6","10,6","39,4",,
02/01/2009 7.00,"0,9","9,7","38,6",,
02/01/2009 8.00,"0,7","11,1","41,3",,
02/01/2009 9.00,"0,8","15,8","50,1",,
02/01/2009 10.00,"0,8","16,4","54,1",,
02/01/2009 11.00,"0,7","18,8","53,4",,
02/01/2009 12.00,"0,7","17,2","47,5",,
02/01/2009 13.00,"0,8","18,5","48,9",,
02/01/2009 14.00,"0,7","20,5","50,4",,
02/01/2009 15.00,"0,9","23,9","55,2",,
02/01/2009 16.00,"0,6","22,7","51,9",,
02/01/2009 17.00,"0,7","23,7","58,4",,
02/01/2009 18.00,"0,7","20,1","51,2",,
02/01/2009 19.00,"0,8","22,4","56,0",,
02/01/2009 20.00,"0,7","34,0","66,4",,
02/01/2009 21.00,"0,6","37,5","72,1",,
02/01/2009 22.00,"0,6","38,6","72,7",,
02/01/2009 23.00,"0,6","33,3","65,1",,
03/01/2009 0.00,"0,7","32,8","64,8",,
03/01/2009 1.00,"0,9","30,0","59,4",,
03/01/2009 2.00,"0,5","26,6","55,3",,
03/01/2009 3.00,"0,6","20,4","50,1",,
03/01/2009 4.00,"0,8","10,0","38,1",,
03/01/2009 5.00,"0,6","8,9","37,3",,
03/01/2009 6.00,"0,6","11,6","40,6",,
03/01/2009 7.00,"0,7","21,5","53,2",,
03/01/2009 8.00,"0,7","18,6","48,3",,
03/01/2009 9.00,"0,7","18,5","51,8",,
03/01/2009 10.00,"0,8","18,6","49,0",,
03/01/2009 11.00,"0,8","27,8","67,2",,
03/01/2009 12.00,"0,8","28,1","66,1",,
03/01/2009 13.00,"0,7","22,6","53,9",,
03/01/2009 14.00,"0,8","21,0","50,9",,
03/01/2009 15.00,"0,5","13,8","41,8",,
03/01/2009 16.00,"0,5","14,4","41,7",,
03/01/2009 17.00,"0,5","16,5","43,8",,
03/01/2009 18.00,"0,6","13,8","42,1",,
03/01/2009 19.00,"0,5","12,5","41,4",,
03/01/2009 20.00,"0,6","12,3","41,4",,
03/01/2009 21.00,"0,5","13,7","43,0",,
03/01/2009 22.00,"0,6","15,2","44,5",,
03/01/2009 23.00,"0,5","12,1","42,2",,
04/01/2009 0.00,"0,6","11,6","41,8",,
04/01/2009 1.00,,"9,9","39,5",,
04/01/2009 2.00,"1,2",,,,
04/01/2009 3.00,"1,5","8,9","39,6",,
04/01/2009 4.00,"1,3","8,1","39,2",,
04/01/2009 5.00,"1,1","7,5","37,0",,
04/01/2009 6.00,"1,3","8,0","38,4",,
04/01/2009 7.00,"1,2","8,1","37,7",,
04/01/2009 8.00,"1,5","8,9","38,6",,
04/01/2009 9.00,"1,3","8,2","36,9",,
04/01/2009 10.00,"1,4","8,7","37,6",,
04/01/2009 11.00,"1,2","9,6","37,2",,
04/01/2009 12.00,"1,2","10,5","38,4",,
04/01/2009 13.00,"1,4","11,5","39,0",,
04/01/2009 14.00,"1,4","10,4","38,6",,
04/01/2009 15.00,"1,5","9,1","37,2",,
04/01/2009 16.00,"1,5","9,6","39,0",,
04/01/2009 17.00,"1,4","11,8","40,4",,
04/01/2009 18.00,"1,5","12,0","40,0",,
04/01/2009 19.00,"1,5","12,7","39,3",,
