"NetC","Regione-Provincia Lecce","","","","","","","","",""
"Stat","S. Barbara","","","","","","","","",""
Parm,SO2,NO2,NOX,CO,O3,PM10
,,,,,
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
01/01/2011 1.00,"0,9","21,1","31,9",,"10,2","39,4"
01/01/2011 2.00,"1,1",22,"33,6",,4,"39,4"
01/01/2011 3.00,"0,7","17,8","29,4",,"6,2","39,4"
01/01/2011 4.00,"0,7","14,2","25,9",,"11,5","39,4"
01/01/2011 5.00,"0,8","13,8",25,,"6,1","39,4"
01/01/2011 6.00,"0,8","10,8",22,,,"39,4"
01/01/2011 7.00,"0,6","11,7","23,8",,"4,1","39,4"
01/01/2011 8.00,"0,6","12,7","24,5",,"3,8","39,4"
01/01/2011 9.00,"0,9","11,4",26,,"5,2","39,4"
01/01/2011 10.00,"0,8","12,4","25,5",,"21,6","39,4"
01/01/2011 11.00,"0,5","5,2","15,3",,"46,8","39,4"
01/01/2011 12.00,"0,7","4,9","14,7",,"55,6","39,4"
01/01/2011 13.00,"0,4","5,4","15,8",,"57,1","39,4"
01/01/2011 14.00,"0,7","5,2","15,5",,"56,8","39,4"
01/01/2011 15.00,"0,6","4,6","14,6",,60,"39,4"
01/01/2011 16.00,"0,6","4,5",14,,"59,5","39,4"
01/01/2011 17.00,"0,5","6,4","16,7",,"47,7","39,4"
01/01/2011 18.00,"0,5",10,"20,6",,"35,2","39,4"
01/01/2011 19.00,"0,4","13,2","23,9",,"27,2","39,4"
01/01/2011 20.00,"0,5","20,4","31,1",,"17,6","39,4"
01/01/2011 21.00,"0,4","16,6","27,8",,"13,3","39,4"
01/01/2011 22.00,"0,5","19,1","30,4",,"17,8","39,4"
01/01/2011 23.00,"0,5","22,9",34,,"15,8","39,4"
02/01/2011 0.00,"0,5","15,8","26,8",,"20,9","39,4"
02/01/2011 1.00,,"11,8","22,8",,"26,3","12,5"
02/01/2011 2.00,"0,9",,,,"29,7","12,5"
02/01/2011 3.00,1,"9,7","17,6",,"26,1","12,5"
02/01/2011 4.00,"0,9","6,6","14,9",,"33,8","12,5"
02/01/2011 5.00,"0,9","5,6",14,,,"12,5"
02/01/2011 6.00,"0,9",5,"13,4",,"32,3","12,5"
02/01/2011 7.00,"0,8","6,1","14,8",,"27,9","12,5"
02/01/2011 8.00,1,"5,1",14,,"31,8","12,5"
02/01/2011 9.00,1,"6,2",16,,40,"12,5"
02/01/2011 10.00,1,"5,5","16,7",,"47,2","12,5"
02/01/2011 11.00,"0,9","5,8","17,1",,"57,2","12,5"
02/01/2011 12.00,"0,8","4,8",16,,"61,7","12,5"
02/01/2011 13.00,"0,9","4,1",16,,"62,8","12,5"
02/01/2011 14.00,"0,8","4,6","16,5",,"62,2","12,5"
02/01/2011 15.00,"0,9","4,7","16,7",,"58,2","12,5"
02/01/2011 16.00,"0,7","5,2","17,7",,"52,2","12,5"
02/01/2011 17.00,"0,8","7,1","19,9",,"48,2","12,5"
02/01/2011 18.00,"0,9","7,3","20,4",,"50,4","12,5"
02/01/2011 19.00,"0,9","7,5","20,4",,"49,5","12,5"
02/01/2011 20.00,1,"14,2","27,7",,"35,2","12,5"
