"NetC","Regione-Provincia Lecce","","","","","","","","",""
"Stat","S. Barbara","","","","","","","","",""
,SO2,NO2,NOX,O3,PM10

,,,,

01/01/2012 1.00,"4,00766546","4,37123352","11,06708429","53,629989","19,2"
01/01/2012 2.00,"4,05101102","4,96695727","11,48600731","49,5377652","19,2"
01/01/2012 3.00,"4,04920482","4,5386578","10,85956919","45,0441474","19,2"
01/01/2012 4.00,"4,17382394","4,55812578","10,3252149","46,2658854","19,2"
01/01/2012 5.00,"4,04920482","5,12789222","10,61314298","40,8600339","19,2"
01/01/2012 6.00,"4,02030779","5,02017014","10,07749427","42,7615482","19,2"
01/01/2012 7.00,"3,99682932","4,51659523","9,36804858","43,5697227","19,2"
01/01/2012 8.00,"4,19369103","4,5412543","9,44197606","41,32764195","19,2"
01/01/2012 9.00,"4,27496459","5,48221259","10,81028357","41,9844558","19,2"
01/01/2012 10.00,"4,32192151","4,26221128","10,15790534","49,1377278","19,2"
01/01/2012 11.00,"4,34540099","4,08180834","10,28111845","54,59898045","19,2"
01/01/2012 12.00,"4,23884278","3,90399999","10,00615946","60,4521708","19,2"
01/01/2012 13.00,"4,58199587","3,84948887","10,04506866","65,88908445","19,2"
01/01/2012 14.00,"4,48266243","3,26544553","9,6637585","69,76102035","19,2"
01/01/2012 15.00,"4,62353523","3,07076569","9,35637582","70,60163355","19,2"
01/01/2012 16.00,"4,40680745","3,32514773","9,25910282","69,7110057","19,2"
01/01/2012 17.00,"4,31650293","3,84559604","9,5275763","65,5674306","19,2"
01/01/2012 18.00,"4,17563013","7,92610422","13,4859421","47,1429672","19,2"
01/01/2012 19.00,"4,64881989","12,52575674","18,46762178","42,44799405","19,2"
01/01/2012 20.00,"4,42667353","16,3687601","23,12244696","36,05018865","19,2"
01/01/2012 21.00,"4,46821289","11,57701851","17,69851595","37,3462404","19,2"
01/01/2012 22.00,"4,63978994","19,21888864","25,8331276","22,45585965","19,2"
01/01/2012 23.00,"4,59825058","17,2500162","25,07440776","8,099301","19,2"
02/01/2012 0.00,"4,54948645","21,00215368","31,01325184","3,44487224","19,2"
02/01/2012 1.00,"4,56574116","28,2481748","41,25285312",,"37,5"
02/01/2012 2.00,"4,43028591",,,"2,41641183","37,5"
02/01/2012 3.00,"4,34901236","12,59714126","16,55199089","3,7030013","37,5"
02/01/2012 4.00,"3,90471963","8,56855343","12,87766034","0,74330309","37,5"
02/01/2012 5.00,"4,3056668","7,61331823","11,83489378",,"37,5"
02/01/2012 6.00,"4,33456384","10,60880083","15,98780749",,"37,5"
02/01/2012 7.00,"4,17021155","13,56016212","22,06541688",,"37,5"
02/01/2012 8.00,"4,29663686","17,44210146","34,88598872",,"37,5"
02/01/2012 9.00,"4,55129264","23,1903612","66,01340608",,"37,5"
02/01/2012 10.00,"4,81136598","28,72189192","62,13804976","3,02051379","37,5"
02/01/2012 11.00,"4,38152178","21,74972656","36,1207392","27,42516525","37,5"
02/01/2012 12.00,"4,36887945","11,83010422","18,50134372","44,70493755","37,5"
02/01/2012 13.00,"4,32553389","9,43033963","15,68691031","58,814196","37,5"
02/01/2012 14.00,"4,39235791","5,00848974","9,74806241","68,0108667","37,5"
