,,,,,,,,,
,,,,,,,,,
,SO2,NO2,NOX,CO,PM10
,,,,,,,,
,,,,,
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
01/01/2012 1.00,,,,"2,06011028",
01/01/2012 2.00,,,,"1,98389947","15,44904995"
01/01/2012 3.00,,,,"2,01372813",
01/01/2012 4.00,,,,"1,99990541","64,4824295"
01/01/2012 5.00,,,,"1,96738443",
01/01/2012 6.00,,,,"1,96144526","39,57061005"
01/01/2012 7.00,,,,"1,96710833",
01/01/2012 8.00,,,,"1,95348365","21,13705063"
01/01/2012 9.00,,,,"1,97107981",
01/01/2012 10.00,,,,"1,97306614","11,30426025"
01/01/2012 11.00,,,,"1,9746983",
01/01/2012 12.00,,,,"1,97225996","15,61728001"
01/01/2012 13.00,,,,"1,96874049",
01/01/2012 14.00,,,,"1,96486687","9,30945587"
01/01/2012 15.00,,,,"1,93523626",
01/01/2012 16.00,,,,"1,94072224","6,68718576"
01/01/2012 17.00,,,,"2,00973568",
01/01/2012 18.00,,,,"2,23006863","4,88604021"
01/01/2012 19.00,,,,"2,20242435",
01/01/2012 20.00,,,,"2,44755083","5,31033802"
01/01/2012 21.00,,,,"2,60246787",
01/01/2012 22.00,,,,"2,27151584","12,80101013"
01/01/2012 23.00,,,,"2,01708916",
02/01/2012 0.00,,,,"1,94520516","31,80027962"
02/01/2012 1.00,,,,"2,04467519",
02/01/2012 2.00,,,,"2,03556722","31,18398094"
02/01/2012 3.00,,,,"1,95782794",
02/01/2012 4.00,,,,,"18,07402992"
02/01/2012 5.00,,,,"1,98940526",
02/01/2012 6.00,,,,"1,97338069","15,10818958"
02/01/2012 7.00,,,,"2,03291685",
02/01/2012 8.00,,,,"2,14919899","15,45413971"
02/01/2012 9.00,,,,"2,28419919",
02/01/2012 10.00,,,,"2,04357543","11,92595959"
02/01/2012 11.00,,,,"1,98370375",
02/01/2012 12.00,,,,"1,96822906","30,72122955"
02/01/2012 13.00,,,,"1,96024648",
02/01/2012 14.00,,,,"1,97131631","18,45611"
02/01/2012 15.00,,,,"1,97485558",
02/01/2012 16.00,,,,"2,00401436","10,95594025"
02/01/2012 17.00,,,,"2,02727475",
02/01/2012 18.00,,,,"2,1003587","7,87868023"
02/01/2012 19.00,,,,"2,17312693",
02/01/2012 20.00,,,,"2,03494278","11,72008038"
02/01/2012 21.00,,,,"2,05161626",
02/01/2012 22.00,,,,"2,08160103","11,65207958"
02/01/2012 23.00,,,,"1,96374614",
03/01/2012 0.00,,,,"1,93889319","11,04547977"
03/01/2012 1.00,,,,"1,95181188",
03/01/2012 2.00,,,,"1,97967285","14,11205959"
03/01/2012 3.00,,,,"2,0127041",
03/01/2012 4.00,,,,"2,0338803","10,90777969"
03/01/2012 5.00,,,,"2,00427066",
03/01/2012 6.00,,,,"2,00106575","16,15028"
03/01/2012 7.00,,,,"2,01795475",
03/01/2012 8.00,,,,"2,10914629","18,91769981"
03/01/2012 9.00,,,,"2,12778746",
03/01/2012 10.00,,,,"2,04876551","12,63294983"
03/01/2012 11.00,,,,"2,02237826",
03/01/2012 12.00,,,,"1,96585013","25,78602028"
03/01/2012 13.00,,,,"2,01614667",
