NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NOX,NO2,PM10
PtId,1,2,4,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
01/01/2007 1.00,"1,487277","91,318668","70,569182","61,70533"
01/01/2007 2.00,"0,865728","68,637169","54,282195","61,70533"
01/01/2007 3.00,"1,043987","69,036659","55,419126","61,70533"
01/01/2007 4.00,"0,907434","58,440374","45,346328","61,70533"
01/01/2007 5.00,"0,859002","49,989276","38,433876","61,70533"
01/01/2007 6.00,"0,762138","43,53295","31,823807","61,70533"
01/01/2007 7.00,"0,612131","52,49503","41,550074","61,70533"
01/01/2007 8.00,"0,622894","31,941892","25,09953","61,70533"
01/01/2007 9.00,"0,768864","38,732816","31,102197","61,70533"
01/01/2007 10.00,"0,879854","59,365113","45,794099","61,70533"
01/01/2007 11.00,"1,226281","44,875308","30,438981","61,70533"
01/01/2007 12.00,"1,551181","44,198289","30,403935","61,70533"
01/01/2007 13.00,"1,454989","66,996516","49,156886","61,70533"
01/01/2007 14.00,"1,37965","62,51674","48,174406","61,70533"
01/01/2007 15.00,"1,35678","39,509719","27,155369","61,70533"
01/01/2007 16.00,"1,03726","37,618732","22,842529","61,70533"
01/01/2007 17.00,"0,836132","35,949518","20,502471","61,70533"
01/01/2007 18.00,"0,932324","36,159627","20,684168","61,70533"
01/01/2007 19.00,"0,671999","35,259515","19,992406","61,70533"
01/01/2007 20.00,"0,793753","38,538289","22,903541","61,70533"
01/01/2007 21.00,"0,683434","55,655756","37,973122","61,70533"
01/01/2007 22.00,"0,757429","45,783203","27,936691","61,70533"
01/01/2007 23.00,"0,487687","33,515121","15,02935","61,70533"
02/01/2007 0.00,"0,532756","44,212552","25,317576","61,70533"
02/01/2007 1.00,,"52,303064","33,390344","17,584181"
02/01/2007 2.00,"0,676035",,,"17,584181"
02/01/2007 3.00,"0,562354","38,539591","16,994336","17,584181"
02/01/2007 4.00,"0,799806","44,613326","22,06121","17,584181"
02/01/2007 5.00,"0,805861","42,706774","20,045617","17,584181"
02/01/2007 6.00,"0,647783","35,761453","13,29021","17,584181"
02/01/2007 7.00,"0,789717","35,904147","14,332398","17,584181"
02/01/2007 8.00,"0,631639","67,354484","45,708442","17,584181"
02/01/2007 9.00,"0,680071","75,425533","54,269212","17,584181"
02/01/2007 10.00,"0,773573","43,52643","26,189753","17,584181"
02/01/2007 11.00,"0,718414","52,574149","34,276788","17,584181"
02/01/2007 12.00,"0,868419","43,478477","26,512918","17,584181"
02/01/2007 13.00,"0,865056","46,15803","30,575269","17,584181"
02/01/2007 14.00,"0,722449","72,947024","56,918175","17,584181"
02/01/2007 15.00,"0,610786","24,768314","11,809334","17,584181"
02/01/2007 16.00,"0,585225","20,664685","8,115594","17,584181"
02/01/2007 17.00,"0,497777","22,511581","9,095487","17,584181"
02/01/2007 18.00,"0,623566","25,85259","11,587392","17,584181"
02/01/2007 19.00,"0,464144","25,524454","12,486819","17,584181"
02/01/2007 20.00,"0,59397","20,036956","9,837871","17,584181"
02/01/2007 21.00,"0,473561","28,066515","20,428495","17,584181"
02/01/2007 22.00,"0,511903","56,81005","49,994017","17,584181"
02/01/2007 23.00,"0,543519","30,522995","25,203371","17,584181"
03/01/2007 0.00,"0,5563","18,599913","12,785332","17,584181"
03/01/2007 1.00,"0,617513","11,884179","6,123361","10,55243"
03/01/2007 2.00,"0,715051","9,872571","4,746318","10,55243"
03/01/2007 3.00,"0,52872","9,02824","4,192127","10,55243"
03/01/2007 4.00,"0,458763","7,570441","3,478297","10,55243"
03/01/2007 5.00,"0,421765","8,211146","4,686616","10,55243"
03/01/2007 6.00,"0,507194","9,039912","5,479616","10,55243"
03/01/2007 7.00,"0,483651","8,836289","6,664574","10,55243"
03/01/2007 8.00,"0,326919","9,60669","9,236956","10,55243"
03/01/2007 9.00,"0,491724","17,685545","17,569289","10,55243"
03/01/2007 10.00,"0,406967","19,152407","19,778263","10,55243"
03/01/2007 11.00,"0,311447","11,384843","13,417398","10,55243"
03/01/2007 12.00,"0,432528","8,017897","11,281098","10,55243"
03/01/2007 13.00,"0,437909","7,496514","11,447226","10,55243"
03/01/2007 14.00,"0,438582","3,859796","8,16102","10,55243"
03/01/2007 15.00,"0,483652","3,753445","7,662638","10,55243"
03/01/2007 16.00,"0,473561","5,531598","8,760637","10,55243"
03/01/2007 17.00,"0,404276","7,535423","10,78272","10,55243"
03/01/2007 18.00,"0,521994","9,501636","13,602994","10,55243"
03/01/2007 19.00,"0,441945","13,367918","18,464819","10,55243"
03/01/2007 20.00,"0,421765","12,129307","17,866502","10,55243"
03/01/2007 21.00,"0,390822","10,999642","17,159161","10,55243"
03/01/2007 22.00,"0,501141","11,37317","17,301933","10,55243"
03/01/2007 23.00,"0,312793","8,643039","14,24674","10,55243"
04/01/2007 0.00,"0,423111","2,990823","8,350509","10,55243"
04/01/2007 1.00,,"2,169839","6,168787","26,46777"
04/01/2007 2.00,"0,476924",,,"26,46777"
04/01/2007 3.00,"0,476252","4,75471","6,986446","26,46777"
04/01/2007 4.00,"0,565044","3,564086","5,330362","26,46777"
04/01/2007 5.00,"0,662582","3,973929","5,094147","26,46777"
04/01/2007 6.00,"0,64711","6,047794","6,690531","26,46777"
04/01/2007 7.00,"0,449345","10,261664","10,954033","26,46777"
04/01/2007 8.00,"0,619531","14,453484","15,243498","26,46777"
04/01/2007 9.00,"0,516612","17,887875","19,426532","26,46777"
04/01/2007 10.00,"0,589933","16,91255","18,698434","26,46777"
04/01/2007 11.00,"0,524685","15,275767","16,209122","26,46777"
04/01/2007 12.00,"0,652492","17,697219","14,280481","26,46777"
04/01/2007 13.00,"1,150942","20,869612","12,094868","26,46777"
04/01/2007 14.00,"0,776936","22,665918","11,378443","26,46777"
04/01/2007 15.00,"0,977392","24,193759","12,092273","26,46777"
04/01/2007 16.00,"0,853621","25,100335","13,94304","26,46777"
04/01/2007 17.00,"0,932996","39,281466","27,2008","26,46777"
04/01/2007 18.00,"0,899363","76,652479","62,491234","26,46777"
04/01/2007 19.00,"0,8886","70,069046","60,56388","26,46777"
04/01/2007 20.00,"0,808552","45,709266","42,228851","26,46777"
04/01/2007 21.00,"1,148923","107,699459","95,453292","26,46777"
04/01/2007 22.00,"1,058113","105,763062","97,374139","26,46777"
04/01/2007 23.00,"1,08771","116,249121","104,58898","26,46777"
05/01/2007 0.00,"1,044659","107,187157","98,978308","26,46777"
05/01/2007 1.00,"1,004972","72,564433","69,31805","29,72798"
05/01/2007 2.00,"0,876491","41,962299","40,073092","29,72798"
05/01/2007 3.00,"0,778954","39,89231","37,570798","29,72798"
05/01/2007 4.00,"0,875819","38,422863","35,272268","29,72798"
05/01/2007 5.00,"1,060803","24,006994","20,489488","29,72798"
05/01/2007 6.00,"0,768191","20,397502","15,930077","29,72798"
05/01/2007 7.00,"0,916852","35,124662","29,551241","29,72798"
05/01/2007 8.00,"0,739939","55,83862","48,401532","29,72798"
05/01/2007 9.00,"0,967974","85,206043","73,43619","29,72798"
05/01/2007 10.00,"1,013044","92,151324","78,13189","29,72798"
05/01/2007 11.00,"0,988828","55,711531","48,249681","29,72798"
05/01/2007 12.00,"0,844204","32,168846","25,956126","29,72798"
05/01/2007 13.00,"0,810569","44,054333","33,784886","29,72798"
05/01/2007 14.00,"1,004972","49,253903","36,562353","29,72798"
05/01/2007 15.00,"0,910798","40,019439","26,058667","29,72798"
05/01/2007 16.00,"1,025152","41,780737","26,207918","29,72798"
05/01/2007 17.00,"0,709669","43,884434","28,187182","29,72798"
05/01/2007 18.00,"0,786353","53,858132","40,649349","29,72798"
05/01/2007 19.00,"0,733212","41,452579","32,596042","29,72798"
05/01/2007 20.00,"0,803843","44,203489","37,33457","29,72798"
05/01/2007 21.00,"0,585898","44,436924","38,906293","29,72798"
05/01/2007 22.00,"0,702269","37,202415","32,471436","29,72798"
05/01/2007 23.00,"0,78568","38,204971","32,749195","29,72798"
06/01/2007 0.00,"0,631639","30,539858","24,483045","29,72798"
06/01/2007 1.00,,"23,276802","18,993053","21,26075"
06/01/2007 2.00,"0,915428",,,"21,26075"
06/01/2007 3.00,"1,158118","13,836124","10,656825","21,26075"
06/01/2007 4.00,"0,851322","12,528776","8,218126","21,26075"
06/01/2007 5.00,"1,035628","14,996917","9,444614","21,26075"
06/01/2007 6.00,"1,102024","13,686974","9,042276","21,26075"
06/01/2007 7.00,"0,913902","12,794654","9,841765","21,26075"
06/01/2007 8.00,"0,890626","9,921856","8,163616","21,26075"
06/01/2007 9.00,"0,754017","7,692356","7,928701","21,26075"
06/01/2007 10.00,"0,818886","7,615834","9,035787","21,26075"
06/01/2007 11.00,"0,883375","10,082681","9,843064","21,26075"
06/01/2007 12.00,"0,833005","15,929443","11,162994","21,26075"
06/01/2007 13.00,"1,186737","23,636048","13,03323","21,26075"
06/01/2007 14.00,"1,279081","23,663293","12,822967","21,26075"
06/01/2007 15.00,"1,20658","21,576461","9,9417","21,26075"
06/01/2007 16.00,"1,196658","22,023926","10,590634","21,26075"
06/01/2007 17.00,"0,98793","29,137828","17,362923","21,26075"
06/01/2007 18.00,"1,209251","39,413756","25,728999","21,26075"
06/01/2007 19.00,"1,146289","47,981542","35,121697","21,26075"
06/01/2007 20.00,"1,280607","57,944917","47,012808","21,26075"
06/01/2007 21.00,"1,032575","52,41593","44,274289","21,26075"
06/01/2007 22.00,"0,952824","47,021815","40,89464","21,26075"
06/01/2007 23.00,"0,858572","62,422075","56,186183","21,26075"
07/01/2007 0.00,"1,244356","40,370923","35,96013","21,26075"
07/01/2007 1.00,"0,938324","31,043078","26,660869","38,29155"
07/01/2007 2.00,"1,048221","24,652888","20,747762","38,29155"
07/01/2007 3.00,"1,030667","23,515439","20,300009","38,29155"
07/01/2007 4.00,"1,031049","22,46229","19,22407","38,29155"
07/01/2007 5.00,"1,205816","20,527211","17,353841","38,29155"
07/01/2007 6.00,"0,929166","18,55841","15,499189","38,29155"
07/01/2007 7.00,"0,758978","22,903273","20,250698","38,29155"
07/01/2007 8.00,"0,996324","52,199318","46,448235","38,29155"
07/01/2007 9.00,"0,887572","47,63658","41,681141","38,29155"
07/01/2007 10.00,"1,260765","43,733979","35,347525","38,29155"
07/01/2007 11.00,"1,326016","25,30008","15,943057","38,29155"
07/01/2007 12.00,"1,497731","26,130138","14,527076","38,29155"
07/01/2007 13.00,"1,335174","22,056334","11,288891","38,29155"
07/01/2007 14.00,"1,271831","20,89814","9,744424","38,29155"
07/01/2007 15.00,"1,705314","30,022357","16,942419","38,29155"
07/01/2007 16.00,"1,774763","41,8767","27,010001","38,29155"
07/01/2007 17.00,"1,373715","30,768113","16,843785","38,29155"
07/01/2007 18.00,"1,744618","112,47881","90,008719","38,29155"
07/01/2007 19.00,"1,783921","124,548463","101,200261","38,29155"
07/01/2007 20.00,"1,732407","115,262108","95,381915","38,29155"
07/01/2007 21.00,"1,707222","131,32256","110,195801","38,29155"
07/01/2007 22.00,"1,946096","124,195696","106,082825","38,29155"
07/01/2007 23.00,"1,866344","98,182252","86,0035","38,29155"
08/01/2007 0.00,"1,570233","68,934197","62,07981","38,29155"
08/01/2007 1.00,,"45,780602","40,666212","51,603851"
08/01/2007 2.00,"0,614208",,,"51,603851"
08/01/2007 3.00,"0,654619","47,576906","41,996543","51,603851"
08/01/2007 4.00,"0,90808","25,975801","20,375285","51,603851"
08/01/2007 5.00,"0,812199","17,492297","11,774293","51,603851"
08/01/2007 6.00,"0,512259","16,492329","10,590634","51,603851"
08/01/2007 7.00,"0,608998","37,015649","29,827678","51,603851"
08/01/2007 8.00,"0,900646","78,595361","66,396514","51,603851"
08/01/2007 9.00,"0,998561","222,956403","158,052166","51,603851"
