STATTE,,,,
,,,,,,,,,
,SO2,NO2,PM10,O3
,,,,,,,
,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
01/01/2011 1.00,"3,60","21,71","22,50","51,82"
01/01/2011 2.00,"3,57","18,96","22,50","52,74"
01/01/2011 3.00,"3,29","5,30","22,50","68,22"
01/01/2011 4.00,"3,43","2,84","22,50","69,86"
01/01/2011 5.00,"3,27","2,71","22,50","72,75"
01/01/2011 6.00,"3,34","4,18","22,50","67,85"
01/01/2011 7.00,"3,18","10,59","22,50","56,84"
01/01/2011 8.00,"3,32","9,35","22,50","58,87"
01/01/2011 9.00,"3,06","7,73","22,50","64,32"
01/01/2011 10.00,"3,27","12,53","22,50","53,79"
01/01/2011 11.00,"3,38","12,72","22,50","60,17"
01/01/2011 12.00,"3,32","8,51","22,50","73,73"
01/01/2011 13.00,"3,39","11,90","22,50","74,77"
01/01/2011 14.00,"3,39","13,15","22,50","72,84"
01/01/2011 15.00,"3,50","11,78","22,50","74,40"
01/01/2011 16.00,"3,54","11,42","22,50","73,98"
01/01/2011 17.00,"3,78","15,34","22,50","72,67"
01/01/2011 18.00,"3,82","26,92","22,50","58,26"
01/01/2011 19.00,"3,81","36,34","22,50","44,27"
01/01/2011 20.00,"3,67","24,55","22,50","53,52"
01/01/2011 21.00,"3,60","17,55","22,50","57,27"
01/01/2011 22.00,"3,86","12,39","22,50","58,65"
01/01/2011 23.00,"3,31","7,79","22,50","60,02"
02/01/2011 0.00,"3,34","5,64","22,50","61,86"
02/01/2011 1.00,,"3,21","12,20","64,13"
02/01/2011 2.00,"3,42","0,50","12,20","70,16"
02/01/2011 3.00,"3,46",,"12,20","75,19"
02/01/2011 4.00,"3,54",,"12,20","77,52"
02/01/2011 5.00,"3,62",,"12,20","78,48"
02/01/2011 6.00,"4,11",,"12,20","78,24"
02/01/2011 7.00,"4,16","2,40","12,20","79,58"
02/01/2011 8.00,"4,29","3,55","12,20","78,61"
02/01/2011 9.00,"4,13","4,77","12,20","78,03"
02/01/2011 10.00,"4,06","5,15","12,20","77,18"
02/01/2011 11.00,"3,93","3,28","12,20","77,40"
02/01/2011 12.00,"3,75","3,82","12,20","81,11"
02/01/2011 13.00,"3,89","6,54","12,20","80,60"
02/01/2011 14.00,"3,82","7,73","12,20","80,98"
02/01/2011 15.00,"3,96","8,43","12,20","82,87"
02/01/2011 16.00,"3,84","9,31","12,20","80,39"
02/01/2011 17.00,"3,76","10,18","12,20","77,07"
02/01/2011 18.00,"3,88","8,48","12,20","74,71"
02/01/2011 19.00,"3,88","9,28","12,20","71,26"
02/01/2011 20.00,"3,80","9,15","12,20","69,76"
02/01/2011 21.00,"3,97","7,75","12,20","68,62"
02/01/2011 22.00,"3,93","6,07","12,20","68,46"
02/01/2011 23.00,"4,19","2,15","12,20","69,51"
03/01/2011 0.00,"3,58","1,65","12,20","67,01"
03/01/2011 1.00,"3,12","1,73","17,90","70,75"
03/01/2011 2.00,"3,12","0,40","17,90","75,06"
03/01/2011 3.00,"3,25","0,76","17,90","77,37"
03/01/2011 4.00,"3,52","0,28","17,90","71,26"
