"NetC","","","","","","",""
"Stat","STATTE sc.elementare","","","","","",""
,SO2,NO2,NOX,O3,PM10
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,,
01/01/2012 1.00,"2,465283","12,018292","13,729773","48,192956","16,1"
01/01/2012 2.00,"2,337053","10,536124","11,076164","49,123226","16,1"
01/01/2012 3.00,"2,456253","12,828164","13,485942","48,299926","16,1"
01/01/2012 4.00,"2,458059","11,643206","12,050192","49,031156","16,1"
01/01/2012 5.00,"2,33344","6,471191","6,783177","51,108371","16,1"
01/01/2012 6.00,"2,331634","7,872891","8,240976","50,712961","16,1"
01/01/2012 7.00,"2,391234","7,392679","7,678091","51,204508","16,1"
01/01/2012 8.00,"2,452641","8,799572","9,288932","52,142918","16,1"
01/01/2012 9.00,"2,302737","9,761295","11,456176","54,373126","16,1"
01/01/2012 10.00,"2,376786","8,494572","10,626112","51,224816","16,1"
01/01/2012 11.00,"2,71452","6,197341","8,45368","56,423267","16,1"
01/01/2012 12.00,"2,831915","5,327765","7,331797","62,336688","16,1"
01/01/2012 13.00,"2,893321","4,942296","6,846728","68,671253","16,1"
01/01/2012 14.00,"2,779539","4,549042","6,408351","71,524362","16,1"
01/01/2012 15.00,"2,734387","3,693743","5,530299","73,67064","16,1"
01/01/2012 16.00,"2,588096","5,850808","7,68587","75,165573","16,1"
01/01/2012 17.00,"2,788569","9,299254","11,11118","71,254896","16,1"
01/01/2012 18.00,"3,021553","12,538735","14,399011","66,424762","16,1"
01/01/2012 19.00,"2,83914","13,31616","15,184979","64,872949","16,1"
01/01/2012 20.00,"2,929443","10,942357","12,766122","61,560774","16,1"
01/01/2012 21.00,"2,579065","11,728864","13,572838","58,537052","16,1"
01/01/2012 22.00,"2,707297","19,795126","21,497341","54,151064","16,1"
01/01/2012 23.00,"2,772314","31,70182","33,747258","46,985083","16,1"
02/01/2012 0.00,"2,824691","26,062547","29,31811","45,518578","16,1"
02/01/2012 1.00,,"23,216326","25,078288","43,920723","27,29999"
02/01/2012 2.00,"2,700072",,,"41,884129","27,29999"
02/01/2012 3.00,"2,721745","12,415444","13,994356","41,162377","27,29999"
02/01/2012 4.00,"2,533914","12,046846","13,571542","41,323533","27,29999"
02/01/2012 5.00,"2,499599","10,035147","11,649425","43,867915","27,29999"
02/01/2012 6.00,"2,134772","12,266182","13,876332","46,738619","27,29999"
02/01/2012 7.00,"2,441805","22,011899","24,092595","40,799487","27,29999"
02/01/2012 8.00,"2,506823","36,374153","40,675716","36,772337","27,29999"
02/01/2012 9.00,"2,808436","62,915639","94,236877","24,762678","27,29999"
02/01/2012 10.00,"2,831915","35,016577","47,061985","43,565934","27,29999"
02/01/2012 11.00,"2,882485","15,050122","18,723125","56,40703","27,29999"
02/01/2012 12.00,"2,989043","9,371933","12,29143","65,707078","27,29999"
02/01/2012 13.00,"2,976401","10,611395","13,917834","69,485055","27,29999"
02/01/2012 14.00,"2,952922","10,669803","13,155214","73,036913","27,29999"
02/01/2012 15.00,"3,146171","30,721918","36,591531","61,484944","27,29999"
02/01/2012 16.00,"3,11005","22,742607","25,790337","68,701039","27,29999"
