,Regione Puglia,,,
,Suolo Giuffreda,,,
Parm,SO2,NOX,NO,NO2
,,,,,,
,,,,,,
,,,,,
,,,,,,,
,,,,,
01/01/2006 1.00,1,10,"6,00631516","5,3500628"
01/01/2006 2.00,1,10,"6,07793037","4,10830293"
01/01/2006 3.00,1,10,"6,03745151","4,45960616"
01/01/2006 4.00,1,9,"5,97725383","3,51547777"
01/01/2006 5.00,1,10,"5,95961003","3,86434129"
01/01/2006 6.00,1,16,"6,1028392","16,25755627"
01/01/2006 7.00,1,9,"5,61399026","4,51571762"
01/01/2006 8.00,1,9,"5,81949337","3,74724085"
01/01/2006 9.00,1,10,"5,97932884","4,70844531"
01/01/2006 10.00,1,"10,16049993","6,31975984","4,25711771"
01/01/2006 11.00,1,"11,38354706","7,13866224","4,63281806"
01/01/2006 12.00,1,"14,26801894","8,50246","6,8528623"
01/01/2006 13.00,"1,14946425","16,84770272","9,11689431","10,26099656"
01/01/2006 14.00,"1,16241575","16,93719197","9,47912163","9,57790588"
01/01/2006 15.00,"1,2382453","14,41068473","9,16982697","5,55255125"
01/01/2006 16.00,"1,13557508",13,"8,93733878","4,37422006"
01/01/2006 17.00,"1,03046406",22,"9,01725652","19,42660832"
01/01/2006 18.00,"1,23392813",16,"8,94564131","9,12657828"
01/01/2006 19.00,"1,18287473",23,"9,30786862","22,03941368"
01/01/2006 20.00,"0,91803268",16,"8,37791214","10,2683157"
01/01/2006 21.00,"1,27109338",17,"8,28969063","11,96140508"
01/01/2006 22.00,"0,94036905",13,"8,33950953","5,0060787"
01/01/2006 23.00,"1,07325841",13,"8,21288665","6,07462667"
02/01/2006 0.00,"1,31520169",26,"8,55124015","29,69735608"
02/01/2006 1.00,,13,"7,35454413","7,51155777"
02/01/2006 2.00,2,,,
02/01/2006 3.00,2,9,"5,75410567","4,01803741"
02/01/2006 4.00,2,8,"4,9123707","4,27663541"
02/01/2006 5.00,"1,77765905",7,"4,48371819","3,5642701"
02/01/2006 6.00,2,7,"4,46399813","3,44228832"
02/01/2006 7.00,2,7,"4,02081682","3,19344917"
02/01/2006 8.00,2,7,"3,76237982","3,46180602"
02/01/2006 9.00,2,7,"3,9595804","3,8887365"
02/01/2006 10.00,2,13,"5,3202644","12,09314379"
02/01/2006 11.00,2,14,"7,38983298","9,39249542"
02/01/2006 12.00,3,14,"9,13661562","5,16465234"
02/01/2006 13.00,2,17,"11,42206609","4,52547456"
02/01/2006 14.00,3,18,"11,97941648","5,28175469"
02/01/2006 15.00,3,"19,27173632","12,0852818","7,8433433"
02/01/2006 16.00,"2,47912361",18,"11,44489991","7,42617167"
