Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
01/01/2009 3.00,"3,04864361","5,49519125",,
01/01/2009 4.00,"2,75786602","11,02931655",,
01/01/2009 5.00,"3,62839158","29,77188584",,
01/01/2009 6.00,"2,94569779","23,61086736",,
01/01/2009 7.00,"2,90776979","17,92101157",,
01/01/2009 8.00,"3,22383203","4,50750941",,
01/01/2009 9.00,"3,03058271","7,3251913",,
01/01/2009 10.00,"3,49835491","6,33750946",,
01/01/2009 11.00,"3,04503123","7,65614703",,
01/01/2009 12.00,"3,80177381","25,603114",,
01/01/2009 13.00,"3,96793229","11,81841616",,
01/01/2009 14.00,"3,68618566","5,41212632",,
01/01/2009 15.00,"3,79635625","6,23627671",,
01/01/2009 16.00,"4,43028591","9,37063552",,
01/01/2009 17.00,"3,33761399","9,84955137",,
01/01/2009 18.00,"3,76204064","8,7074239",,
01/01/2009 19.00,"3,09921292","5,195382",,
01/01/2009 20.00,"3,3538687","4,5529347",,
01/01/2009 21.00,"3,25272907","3,58602101",,
01/01/2009 22.00,,"5,74615846",,
01/01/2009 23.00,"3,53577441","5,1382763",,
02/01/2009 0.00,"3,4821002","4,1713626",,
02/01/2009 1.00,"3,09198917","2,71385074",,
02/01/2009 2.00,"3,04864361","2,83195689",,
02/01/2009 3.00,,,,
02/01/2009 4.00,"2,68381724",,,
02/01/2009 5.00,"3,5705975",,,
02/01/2009 6.00,"3,4441722",,,
02/01/2009 7.00,"2,90235223",,,
02/01/2009 8.00,"3,44778458",,,
02/01/2009 9.00,"2,92221831",,,
02/01/2009 10.00,"3,79455006",,,
02/01/2009 11.00,"3,46765168",,,
02/01/2009 12.00,"3,40082664",,,
02/01/2009 13.00,"3,30871695",,,
02/01/2009 14.00,"3,70424656",,,
02/01/2009 15.00,"3,89207731",,,
02/01/2009 16.00,"4,34720616",,,
02/01/2009 17.00,"3,36470585",,,
02/01/2009 18.00,"4,06907192",,,
02/01/2009 19.00,"3,94987138",,,
02/01/2009 20.00,"3,23466817",,,
02/01/2009 21.00,"4,06004198",,,
02/01/2009 22.00,"3,52725195",,,
02/01/2009 23.00,"3,74217354",,,
03/01/2009 0.00,"3,38096057",,,
03/01/2009 1.00,"3,56517893",,,
03/01/2009 2.00,"3,28885088",,,
03/01/2009 3.00,"3,49835491",,,
03/01/2009 4.00,"3,52002718",,,
03/01/2009 5.00,"3,82525329",,,
03/01/2009 6.00,"2,97459482",,,
03/01/2009 7.00,"2,85720048",,,
03/01/2009 8.00,"2,96375869",,,
03/01/2009 9.00,"3,20396595",,,
03/01/2009 10.00,"2,89151508",,,
03/01/2009 11.00,"3,44597839",,,
03/01/2009 12.00,"3,01794038",,,
03/01/2009 13.00,"2,97098244",,,
03/01/2009 14.00,"3,49113014",,,
03/01/2009 15.00,"3,55614899",,,
03/01/2009 16.00,"3,07754065",,,
03/01/2009 17.00,"3,0504498",,,
03/01/2009 18.00,"3,02516515",,,
03/01/2009 19.00,"2,92221831",,,
03/01/2009 20.00,"3,5001611",,,
03/01/2009 21.00,"3,40082664",,,
03/01/2009 22.00,"3,50919104",,,
03/01/2009 23.00,"3,27078997",,,
04/01/2009 0.00,"3,33039024",,,
04/01/2009 1.00,"3,45681453",,,
04/01/2009 2.00,"2,93486165",,,
04/01/2009 3.00,,,,
04/01/2009 4.00,"2,6025447",,,
04/01/2009 5.00,"2,70910291",,,
04/01/2009 6.00,"2,96556386",,,
04/01/2009 7.00,"2,97640102",,,
