,Foggia,,,
,Monte Sant'Angelo - Suolo Giuffreda,,,
Parm,SO2,NO2,PM10,O3



01/01/2010 1.00,"4,5747711","2,08827684","4,5","58,20649905"
01/01/2010 2.00,"4,88360858","1,65608454","4,5","61,50730635"
01/01/2010 3.00,"4,82762069","1,59378775","4,5","68,73770505"
01/01/2010 4.00,"4,37429803","1,73265822","4,5","64,55630475"
01/01/2010 5.00,"4,96488213","2,07399994","4,5","65,377746"
01/01/2010 6.00,"4,71203254","2,2634887","4,5","67,2861231"
01/01/2010 7.00,"4,72648106","2,15965945","4,5","65,66668185"
01/01/2010 8.00,"4,83845683","2,00780841","4,5","64,1022627"
01/01/2010 9.00,"4,82220313","1,87153252","4,5","66,27759075"
01/01/2010 10.00,"5,12020447","1,48606376","4,5","65,8675584"
01/01/2010 11.00,"4,99739155","1,39391492","4,5","66,4082832"
01/01/2010 12.00,"5,14548913","0,85919162","4,5","72,41688405"
01/01/2010 13.00,"5,1852223","0,93446706","4,5","70,1686587"
01/01/2010 14.00,"5,18341611","0,85400054","4,5","70,6887552"
01/01/2010 15.00,"4,90166948","0,94744762","4,5","68,9000781"
01/01/2010 16.00,"4,81317217","1,26283011","4,5","66,1344894"
01/01/2010 17.00,"4,80233604","1,39131842","4,5","69,26055465"
01/01/2010 18.00,"4,88541477","0,90850974","4,5","77,07848085"
01/01/2010 19.00,"4,75718429","0,85010579","4,5","72,6645633"
01/01/2010 20.00,"4,9341789","1,84946804","4,5","69,78476085"
01/01/2010 21.00,"4,49169237","1,04219105","4,5","71,2721331"
01/01/2010 22.00,"4,27496459","0,6852761","4,5","74,3280342"
01/01/2010 23.00,"4,50975327","0,75276587","4,5","73,57266735"
02/01/2010 0.00,"3,59768835","0,93966005","4,5","69,65680155"
02/01/2010 1.00,,"0,8189574","12,5","68,14331475"
02/01/2010 2.00,"4,54587406",,"12,5","64,95945435"
02/01/2010 3.00,"4,71383873","14,01441508","12,5",
02/01/2010 4.00,"3,23647436","4,68791426","12,5","62,58189315"
02/01/2010 5.00,"4,39055274","2,97861685","12,5","62,6991393"
02/01/2010 6.00,"4,63256518","2,35304295","12,5","57,87469065"
02/01/2010 7.00,"4,62353523","1,98963867","12,5","49,1744757"
02/01/2010 8.00,"4,77524519","1,83519114","12,5","55,463793"
02/01/2010 9.00,"4,62534143","1,87801994","12,5","57,6631209"
02/01/2010 10.00,"4,55309883","2,46985086","12,5","57,93801195"
02/01/2010 11.00,"4,92153657","2,09346792","12,5","58,09434015"
02/01/2010 12.00,"5,03712473","2,9344898","12,5","52,6526784"
02/01/2010 13.00,"5,61145412","2,52825481","12,5","52,83324585"
02/01/2010 14.00,"5,68369773","2,66453261","12,5","53,30626035"
02/01/2010 15.00,"5,05337944","2,6048285","12,5","55,17541575"
02/01/2010 16.00,"5,21231315","2,76706361","12,5","57,5836002"
02/01/2010 17.00,"5,39833872","3,24987038","12,5","56,99469615"
02/01/2010 18.00,"5,32970749","3,37576602","12,5","53,9261667"
02/01/2010 19.00,"5,76858265","3,67038227","12,5","56,0432607"
02/01/2010 20.00,"5,27371961","3,40431791","12,5","57,69410325"
02/01/2010 21.00,"4,67771693","3,12527681","12,5","59,86510215"
02/01/2010 22.00,"5,37305305","3,12657506","12,5","58,658985"
02/01/2010 23.00,"4,99197298","2,87868043","12,5","60,6602094"
03/01/2010 0.00,"5,32248374","2,66842544","12,5","59,6589189"
03/01/2010 1.00,"4,78246894","2,41274515","27,2999897","60,5577861"
03/01/2010 2.00,"4,78788752","2,07919102","27,2999897","62,3649369"
03/01/2010 3.00,"5,07505272","4,38940326","27,2999897","50,1986688"
03/01/2010 4.00,"4,84206921","4,6295103","27,2999897","46,5883971"
03/01/2010 5.00,"4,90347567","3,83651022","27,2999897","40,7882538"
03/01/2010 6.00,"4,70480777","3,08633893","27,2999897","42,2180703"
03/01/2010 7.00,"4,63798375","2,99289375","27,2999897","41,4661149"
03/01/2010 8.00,"4,75899048","3,07336218","27,2999897","43,6842756"
03/01/2010 9.00,"4,65965704","6,43874222","27,2999897","40,1023329"
03/01/2010 10.00,"4,78427513","3,11229815","27,2999897","38,6657733"
03/01/2010 11.00,"4,97752446","3,59770142","27,2999897","47,9548923"
03/01/2010 12.00,"4,54948645","1,76640311","27,2999897","53,60814375"
03/01/2010 13.00,"5,05337944","1,92993647","27,2999897","53,9032641"
03/01/2010 14.00,"5,23759882","1,86114845","27,2999897","54,71181765"
03/01/2010 15.00,"5,25746489","1,75082987","27,2999897","55,9543236"
03/01/2010 16.00,"4,58380206","1,31733932","27,2999897","58,9648983"
03/01/2010 17.00,"4,88722096","1,37444694","27,2999897","58,00001655"
03/01/2010 18.00,"4,8077536","1,32123406","27,2999897","57,35044455"
03/01/2010 19.00,"4,4844676","1,68463834","27,2999897","50,08142265"
03/01/2010 20.00,"3,41346897","1,66127562","27,2999897","47,8956009"
03/01/2010 21.00,"4,48085522","1,34329663","27,2999897","54,17412525"
03/01/2010 22.00,"3,92097434","1,63142547","27,2999897","51,2673105"
03/01/2010 23.00,"4,24787272","2,13759688","27,2999897","50,5813896"
04/01/2010 0.00,"4,66146221","3,55487262","27,2999897","48,0074406"
04/01/2010 1.00,,"1,49904242","23,20000076","51,47620695"
04/01/2010 2.00,"4,74634815",,"23,20000076","51,17703675"
04/01/2010 3.00,"5,08769505","13,55756754","23,20000076",
04/01/2010 4.00,"4,53684412","5,0785741","23,20000076","49,01014755"
04/01/2010 5.00,"4,8438754","3,04351013","23,20000076","49,57712655"
04/01/2010 6.00,"4,31830913","2,82416931","23,20000076","48,31748355"
04/01/2010 7.00,"4,59102581","4,82938314","23,20000076","46,31031405"
04/01/2010 8.00,"4,47905004","2,86700002","23,20000076","45,77142465"
04/01/2010 9.00,"4,58560724","2,33227672","23,20000076","42,2278059"
04/01/2010 10.00,"4,67229937","4,06363861","23,20000076","43,33501095"
04/01/2010 11.00,"4,80233604","7,57697876","23,20000076","48,58624995"
04/01/2010 12.00,"4,92695413","4,34138146","23,20000076","55,8967878"
04/01/2010 13.00,,,"23,20000076",
04/01/2010 14.00,,,"23,20000076",
04/01/2010 15.00,,"3,39134117","23,20000076","52,7837499"
04/01/2010 16.00,,"3,79497775","23,20000076","49,05962355"
04/01/2010 17.00,"4,735511","4,86182978","23,20000076","49,10909955"
04/01/2010 18.00,"4,9341789","8,90080741","23,20000076","44,2376487"
04/01/2010 19.00,"4,91792419","7,49780858","23,20000076","47,60339325"
04/01/2010 20.00,"5,27191341","9,59127458","23,20000076","41,24895915"
04/01/2010 21.00,"5,07866409","9,00982965","23,20000076","40,3944807"
04/01/2010 22.00,"5,05337944","9,14091446","23,20000076","39,99733605"
04/01/2010 23.00,"4,2334242","10,58414559","23,20000076","36,8669217"
05/01/2010 0.00,"4,81136598","8,80736032","23,20000076","40,05215865"
05/01/2010 1.00,"5,12562203","5,63536188","17,60000038","46,97089845"
05/01/2010 2.00,"4,81678456","4,39589258","17,60000038","49,06497015"
05/01/2010 3.00,"4,6470137","3,61587115","17,60000038","46,1605494"
05/01/2010 4.00,"4,59102581","3,28231893","17,60000038","46,73955825"
05/01/2010 5.00,"4,87457863","2,51267966","17,60000038","44,1039039"
05/01/2010 6.00,"5,24482257","2,33357306","17,60000038","43,1250771"
05/01/2010 7.00,"4,87638482","2,36342511","17,60000038","41,7651255"
05/01/2010 8.00,"4,49169237","2,9318933","17,60000038","42,94722285"
05/01/2010 9.00,"4,86735488","3,12916964","17,60000038","39,21372"
05/01/2010 10.00,"4,79330508","4,25572195","17,60000038","38,4742533"
05/01/2010 11.00,"9,62995775","7,63538271","17,60000038","29,91943395"
05/01/2010 12.00,"5,31525897","10,25708078","17,60000038","29,06429715"
05/01/2010 13.00,"5,42362337","19,3175096","17,60000038","27,59601705"
05/01/2010 14.00,"4,6126991","8,15453086","17,60000038","42,813498"
05/01/2010 15.00,"5,37305305","12,54263205","17,60000038","41,2369293"
05/01/2010 16.00,"4,87277244","19,62901264","17,60000038","33,92639145"
05/01/2010 17.00,,,"17,60000038",
05/01/2010 18.00,,,"17,60000038",
05/01/2010 19.00,"4,32914628","11,30056817","17,60000038","38,85803145"
05/01/2010 20.00,"4,45376437","7,80799998","17,60000038","39,10541145"
05/01/2010 21.00,"4,7011964","3,76123286","17,60000038","38,68686045"
05/01/2010 22.00,"5,04615467","3,23299889","17,60000038","40,05750525"
05/01/2010 23.00,"4,55129264","3,56784936","17,60000038","43,07961105"
06/01/2010 0.00,"4,77885758","11,43165298","17,60000038","35,31842265"
06/01/2010 1.00,,"11,72886382","11,30000019","43,6251837"
06/01/2010 2.00,"5,1509077",,"11,30000019","53,62218855"
06/01/2010 3.00,"5,10575595","13,03841747","11,30000019",
06/01/2010 4.00,"4,90347567","5,1382763","11,30000019","60,9080682"
06/01/2010 5.00,"5,03712473","4,07531902","11,30000019","57,8685261"
06/01/2010 6.00,"5,07324653","2,99808483","11,30000019","58,1991375"
06/01/2010 7.00,"5,57172095","8,16880586","11,30000019","53,6806221"
06/01/2010 8.00,"5,27733199","3,27453135","11,30000019","57,0834537"
06/01/2010 9.00,"5,4182048","13,88333218","11,30000019","48,8981682"
06/01/2010 10.00,"5,31706516","2,17004161","11,30000019","64,9735191"
06/01/2010 11.00,"5,12200965","5,43938188","11,30000019","60,1202826"
06/01/2010 12.00,"5,58616946","12,9306973","11,30000019","46,5579534"
06/01/2010 13.00,"2,52127114","7,99748874","11,30000019","43,3837089"
