"NetC","ARPA Puglia","","","",""
"Stat","Suolo Giuffreda","","","",""
,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,
,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,
01/01/2012 1.00,"6,38445141","5,24599838","6,99847448","51,4751097","4,30000019"
01/01/2012 2.00,"6,4964282","2,79951025","4,59647859","53,48429415","4,30000019"
01/01/2012 3.00,"5,98531145","1,41208466","3,11014524","55,54876005","4,30000019"
01/01/2012 4.00,"4,56393497","1,55095704","3,24243652","53,9818671","4,30000019"
01/01/2012 5.00,"3,66631856","0,9811906","2,57968187","55,6755024","4,30000019"
01/01/2012 6.00,"3,27259616","1,26023362","2,99990314","57,23293905","4,30000019"
01/01/2012 7.00,"3,07212207","1,27840335","2,9856358","51,68683905","4,30000019"
01/01/2012 8.00,"3,58685222","1,73395647","3,27486022","50,60403285","4,30000019"
01/01/2012 9.00,"4,36707326","2,15317012","3,87665648","51,6120066","4,30000019"
01/01/2012 10.00,"5,05518563","3,54578679","5,40968087","49,34997585","4,30000019"
01/01/2012 11.00,"5,743298","11,85994862","18,18099003","39,1409823","4,30000019"
01/01/2012 12.00,"4,37429803","7,87289135","12,36016798","39,31763955","4,30000019"
01/01/2012 13.00,"6,90098774","4,05455278","6,62235158","56,72321655","4,30000019"
01/01/2012 14.00,"2,91680075","2,56978727","4,63020054","64,40659995","4,30000019"
01/01/2012 15.00,"0,66824528","4,62172273","7,29548265","62,84511345","4,30000019"
01/01/2012 16.00,"2,14741584","3,45623445","5,6405434","64,54146195","4,30000019"
01/01/2012 17.00,,"2,90983074","4,8558739","62,58891555","4,30000019"
01/01/2012 18.00,,"3,66519119","5,37985176","52,1655393","4,30000019"
01/01/2012 19.00,"0,49666924","2,49450992","4,1204881","58,22808495","4,30000019"
01/01/2012 20.00,"1,29495119","2,47893477","4,15421005","59,510451","4,30000019"
01/01/2012 21.00,"5,34957458","2,25959586","3,90389292","59,47942875","4,30000019"
01/01/2012 22.00,"7,3380557","2,93838263","4,69764251","57,41903265","4,30000019"
01/01/2012 23.00,"5,71259477","4,58797784","5,99461712","56,39152785","4,30000019"
02/01/2012 0.00,"5,53379396","2,22325448","3,74047428","60,82381935","4,30000019"
02/01/2012 1.00,,"1,76510678","3,30598758","61,75424745","12,89999962"
02/01/2012 2.00,"6,82152038",,,"64,00748025","12,89999962"
02/01/2012 3.00,"7,20260045","13,69514167","15,79715241",,"12,89999962"
02/01/2012 4.00,"6,855836","5,96372302","7,73515661","65,9454831","12,89999962"
02/01/2012 5.00,"5,21773172","5,98708384","7,76239305","62,97985575","12,89999962"
02/01/2012 6.00,"6,01781986","4,15708378","5,8804841","64,02383925","12,89999962"
02/01/2012 7.00,"5,37124787","6,23627671","7,9193281","57,48271305","12,89999962"
02/01/2012 8.00,"6,58311931","4,00912749","5,54975399","58,7363112","12,89999962"
02/01/2012 9.00,"6,44224549","5,49000017","7,89468433","54,0627045","12,89999962"
02/01/2012 10.00,"6,67342281","8,50365824","10,99186047","42,8168895","12,89999962"
02/01/2012 11.00,"7,0147697","12,38040076","16,79711885","39,90672315","12,89999962"
02/01/2012 12.00,"7,31999581","21,00085352","30,1105584","39,0425889","12,89999962"
02/01/2012 13.00,"2,06975467","28,1560164","42,2294836","41,6836497","12,89999962"
02/01/2012 14.00,"2,09503932","13,01894758","16,93200471","58,27245375","12,89999962"
02/01/2012 15.00,"4,49891612","19,52647208","25,37789952","54,91602585","12,89999962"
02/01/2012 16.00,"4,47905004","15,00859007","18,87876296","59,93444835","12,89999962"
02/01/2012 17.00,"3,65548243","13,08384468","16,00077658","49,45539165","12,89999962"
02/01/2012 18.00,,"12,591954","15,09808123","44,5803099","12,89999962"
02/01/2012 19.00,,"9,71197723","11,79468824","45,92180775","12,89999962"
02/01/2012 20.00,,"7,02278556","8,89594902","52,32228645","12,89999962"
02/01/2012 21.00,,"6,19085142","7,99844283","53,2337421","12,89999962"
02/01/2012 22.00,,"5,70674449","7,4368521","50,05852005","12,89999962"
02/01/2012 23.00,,"5,86508486","7,69624741","52,07482665","12,89999962"
03/01/2012 0.00,,"17,09426468","19,32232784","35,96472285","12,89999962"
03/01/2012 1.00,"0,13003667","7,56789294","9,54443632","44,67497265","14,60000038"
03/01/2012 2.00,"0,17699461","4,71127507","6,48098212","48,88741515","14,60000038"
03/01/2012 3.00,,"4,67234102","6,38370912","47,9164686","14,60000038"
03/01/2012 4.00,,"4,55034012","6,38760004","47,109132","14,60000038"
03/01/2012 5.00,,"3,84559604","5,96738068","43,3983921","14,60000038"
03/01/2012 6.00,"0,43706897","2,83195689","4,72747354","39,1020798","14,60000038"
03/01/2012 7.00,"0,45874124","2,80989432","4,53033295","45,80821245","14,60000038"
03/01/2012 8.00,"2,55558676","2,14927538","4,1529118","45,7067667","14,60000038"
03/01/2012 9.00,"0,72784554","3,08893542","4,89737577","43,01297805","14,60000038"
03/01/2012 10.00,,"6,94880837","9,170908","43,1563188","14,60000038"
03/01/2012 11.00,"0,08307873","5,29661666","7,75980038","54,67937895","14,60000038"
03/01/2012 12.00,"1,51709755","3,59770142","5,68334352","59,16633345","14,60000038"
03/01/2012 13.00,"0,02709085","4,58278676","6,68720088","57,5111019","14,60000038"
03/01/2012 14.00,"2,46167087","7,31740373","9,93352832","53,9126007","14,60000038"
03/01/2012 15.00,"5,04434949","6,04419146","8,41477127","55,4380176","14,60000038"
03/01/2012 16.00,"4,47001908","10,51016649","13,21746862","52,243863","14,60000038"
03/01/2012 17.00,"4,47905004","12,06372002","14,63117083","54,7713285","14,60000038"
03/01/2012 18.00,"4,63075898","9,83267988","11,92438494","43,69048005","14,60000038"
03/01/2012 19.00,"3,32858405","6,29468066","8,23838354","41,33881395","14,60000038"
03/01/2012 20.00,"0,07946736","3,98836126","5,70668904","44,62222485","14,60000038"
03/01/2012 21.00,"0,92470725","4,70478574","6,1982413","47,08884285","14,60000038"
03/01/2012 22.00,"3,01252181","3,85857278","5,48620294","51,07816455","14,60000038"
03/01/2012 23.00,"2,30634955","5,23950905","6,78966305","48,213963","14,60000038"
04/01/2012 0.00,"1,68506222","4,87610477","6,63791717","46,1909133","14,60000038"
04/01/2012 1.00,,"3,40301966","5,04393439","49,49190015","13,60000038"
04/01/2012 2.00,"1,71937681",,,"42,92507835","13,60000038"
04/01/2012 3.00,"2,10948784","17,13969189","19,09276356",,"13,60000038"
04/01/2012 4.00,"2,19256657","8,73208488","10,60147214","42,80904915","13,60000038"
04/01/2012 5.00,"2,30273717","7,23304246","8,95820374","40,70687775","13,60000038"
04/01/2012 6.00,"2,6549202","5,42121214","7,15281494","44,3136582","13,60000038"
04/01/2012 7.00,"1,39247843","5,54191479","7,37719197","42,47025825","13,60000038"
04/01/2012 8.00,"3,37192961","11,72367656","14,19149687","40,3147206","13,60000038"
04/01/2012 9.00,"5,01364626","22,45967128","26,35841136","13,67744868","13,60000038"
04/01/2012 10.00,"4,88541477","17,50179983","21,55441576","23,66542815","13,60000038"
04/01/2012 11.00,"5,39653253","9,88848734","13,72199189","37,68301635","13,60000038"
04/01/2012 12.00,"4,03836869","8,90599849","13,0190317","41,80464645","13,60000038"
04/01/2012 13.00,"1,78258946","12,23762981","17,84118174","43,2945723","13,60000038"
04/01/2012 14.00,,"17,15267246","24,8785616","46,4691759","13,60000038"
04/01/2012 15.00,,"14,49592934","20,07716632","50,3200446","13,60000038"
04/01/2012 16.00,,"13,3265444","17,36259858","52,8317097","13,60000038"
04/01/2012 17.00,"0,65199056","11,36287069","14,22132598","49,51572045","13,60000038"
04/01/2012 18.00,"6,99129124","16,45961261","19,11610908","37,9804509","13,60000038"
04/01/2012 19.00,"6,75289017","10,91639957","12,82059478","39,46906005","13,60000038"
04/01/2012 20.00,"3,55073041","5,55878628","7,65863454","49,61710635","13,60000038"
04/01/2012 21.00,"0,15532234","4,89687291","6,69628097","54,3776751","13,60000038"
04/01/2012 22.00,"0,70978464","3,28231893","5,05301257","55,99296675","13,60000038"
04/01/2012 23.00,"0,86330079","4,59836191","6,24882326","53,33323275","13,60000038"
05/01/2012 0.00,"0,95902185","3,76382936","5,42265188","52,84637295","13,60000038"
05/01/2012 1.00,"1,22993234","3,89621242","5,75856734","54,8191686",
05/01/2012 2.00,"1,52793368","5,15384954","7,03219642","55,2313356",
05/01/2012 3.00,"1,56405549","7,40046674","9,29671378","52,4969088",
