,Provincia di TARANTO,,,
,Talsano,,,
Parm,SO2,NO2,PM10,O3
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
01/01/2010 1.00,"1,746945","11,159099","25,1","49,621177"
01/01/2010 2.00,"1,806531","9,303147","25,1","49,377449"
01/01/2010 3.00,"1,18088","10,215548","25,1","47,524351"
01/01/2010 4.00,"1,301858","4,35436","25,1","58,268522"
01/01/2010 5.00,"0,673499","2,41534","25,1","53,617402"
01/01/2010 6.00,"0,775517","4,546445","25,1","45,234192"
01/01/2010 7.00,"1,192617","4,620424","25,1","50,96914"
01/01/2010 8.00,"0,757461","3,15902","25,1","60,961712"
01/01/2010 9.00,"0,708709","1,730064","25,1","71,462178"
01/01/2010 10.00,"0,902813","1,757319","25,1","75,525115"
01/01/2010 11.00,"0,639192","1,918256","25,1","74,981837"
01/01/2010 12.00,"1,068931","1,832595","25,1","74,427684"
01/01/2010 13.00,"0,910939","2,542532","25,1","72,325417"
01/01/2010 14.00,"0,84684","2,864403","25,1","75,013154"
01/01/2010 15.00,"0,775517","1,501639","25,1","76,81043"
01/01/2010 16.00,"0,713223","1,404297","25,1","80,208918"
01/01/2010 17.00,"0,702389","1,880616","25,1","82,606664"
01/01/2010 18.00,"0,629262","2,307616","25,1","83,656431"
01/01/2010 19.00,"0,618427","3,636637","25,1","81,145688"
01/01/2010 20.00,"0,615719","3,012362","25,1","83,118602"
01/01/2010 21.00,"0,615719","3,505553","25,1","82,45824"
01/01/2010 22.00,"0,623844","6,844977","25,1","74,021925"
01/01/2010 23.00,"0,624747","4,163573","25,1","79,782763"
02/01/2010 0.00,"0,626552","2,730724","25,1","81,687611"
02/01/2010 1.00,,"2,03766","13,2","82,308476"
02/01/2010 2.00,"1,615133",,"13,2","80,30015"
02/01/2010 3.00,"0,676207","1,358872","13,2",
02/01/2010 4.00,"0,627455","0,974703","13,2","73,151959"
