TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
,,,,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
01/01/2011 1.00,,"11,113029","20,6","32,880792"
01/01/2011 2.00,,"9,424498","20,6","30,988815"
01/01/2011 3.00,,"9,480956","20,6","29,115249"
01/01/2011 4.00,,"8,569201","20,6","33,753764"
01/01/2011 5.00,,"8,183733","20,6","39,202111"
01/01/2011 6.00,,"7,508839","20,6","43,59131"
01/01/2011 7.00,,"6,580213","20,6","41,609198"
01/01/2011 8.00,,"7,185668","20,6","38,556748"
01/01/2011 9.00,,"7,339468","20,6","32,241353"
01/01/2011 10.00,,"5,199925","20,6","40,593464"
01/01/2011 11.00,,"3,495818","20,6","62,183553"
01/01/2011 12.00,,"3,555521","20,6","67,205604"
01/01/2011 13.00,,"4,138914","20,6","67,368754"
01/01/2011 14.00,,"2,131106","20,6","72,013196"
01/01/2011 15.00,,"2,509435","20,6","70,213309"
01/01/2011 16.00,,"3,314766","20,6","65,620176"
01/01/2011 17.00,,"4,275192","20,6","60,776397"
01/01/2011 18.00,,"6,378392","20,6","53,917629"
01/01/2011 19.00,,"7,878084","20,6","44,764247"
01/01/2011 20.00,,"8,692499","20,6","40,440843"
01/01/2011 21.00,,"10,083817","20,6","38,150205"
01/01/2011 22.00,,"9,055903","20,6","38,208758"
01/01/2011 23.00,,"7,697679","20,6","40,165874"
02/01/2011 0.00,,"8,305734","20,6","34,291894"
02/01/2011 1.00,,"7,353095","13,2","32,315052"
02/01/2011 2.00,"0,589538",,"13,2","35,484587"
02/01/2011 3.00,"0,505576","6,438094","13,2",
02/01/2011 4.00,"0,337652","7,926104","13,2","47,964947"
02/01/2011 5.00,"0,551619","8,03318","13,2","50,351806"
02/01/2011 6.00,"0,60308","8,205797","13,2","52,135075"
02/01/2011 7.00,"0,493839","7,130509","13,2","53,926206"
02/01/2011 8.00,"0,504673","10,621131","13,2","47,989924"
02/01/2011 9.00,"0,568773","11,229833","13,2","47,290299"
02/01/2011 10.00,"0,467657","10,200615","13,2","44,282716"
02/01/2011 11.00,"0,287997","9,818403","13,2","52,332323"
02/01/2011 12.00,"0,405363","4,89233","13,2","63,761698"
02/01/2011 13.00,"0,616621","3,843648","13,2","68,780697"
02/01/2011 14.00,"0,614816","3,578233","13,2","70,441634"
02/01/2011 15.00,"0,586829","3,523722","13,2","70,03398"
02/01/2011 16.00,"0,592246","4,330999","13,2","66,909988"
02/01/2011 17.00,"0,563356","3,946829","13,2","64,893976"
02/01/2011 18.00,"0,395432","4,975393","13,2","59,86183"
02/01/2011 19.00,"0,528146","10,436185","13,2","54,736956"
02/01/2011 20.00,"0,517312","17,856116","13,2","45,948261"
02/01/2011 21.00,"0,617524","22,60307","13,2","40,801679"
02/01/2011 22.00,"0,513701","26,796507","13,2","31,552062"
02/01/2011 23.00,"0,650026","26,46749","13,2","34,073085"
03/01/2011 0.00,"0,650026","13,723043","13,2","48,465333"
03/01/2011 1.00,"0,650026","8,500414","17,79999","55,979699"
03/01/2011 2.00,"0,652734","9,22787","17,79999","53,078629"
