, Brindisi,,,,,,,
,Terminale Passeggeri,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10-FAI,BENZ,PM2.5-FAI
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,
01/01/2010 1.00,"0,1083644","7,64404407","9,89591737","0,56701016","58,79278965",23,,"8,30000019"
01/01/2010 2.00,"0,09482","9,8618723","13,23724826","0,59937153","49,812756",23,,"8,30000019"
01/01/2010 3.00,"0,14222847","7,95207683","10,8021786","0,58161227","48,7788672",23,,"8,30000019"
01/01/2010 4.00,"0,16480383","8,49356288","11,46201362","0,57046322","43,3139637",23,,"8,30000019"
01/01/2010 5.00,"0,20995457","6,73778284","10,32391857","0,57006829","45,9179973",23,,"8,30000019"
01/01/2010 6.00,"0,15351513","8,90373086","12,15589563","0,56454386","38,06226585",23,,"8,30000019"
01/01/2010 7.00,"0,11739536","8,15148696","11,23828477","0,55990599","38,4483582",23,,"8,30000019"
01/01/2010 8.00,"0,5621376","7,62458947","10,0369637","0,53159067","47,14410435",23,,"8,30000019"
01/01/2010 9.00,"0,1986679","7,42355988","9,75162829","0,55753871","52,18255665",23,,"8,30000019"
01/01/2010 10.00,"0,1083644","6,34706946","8,40277538","0,53356418","61,95578235",23,,"8,30000019"
01/01/2010 11.00,"0,05418169","5,16520108","7,01825412","0,54786921","72,7580091",23,,"8,30000019"
01/01/2010 12.00,"0,05192395","5,97094656","8,06556168","0,53524061","74,37342045",23,,"8,30000019"
01/01/2010 13.00,"0,09707468","5,01604978","6,97286133","0,54303563","77,61880665",23,,"8,30000019"
01/01/2010 14.00,"0,13997073","5,05009486","6,50757039","0,49883436","78,40547505",23,,"8,30000019"
01/01/2010 15.00,"0,09933242","5,09548956","6,30491751","0,49518442","77,03886015",23,,"8,30000019"
01/01/2010 16.00,"0,10610666","4,50050193","5,91096138","0,48936291","77,5864677",23,,"8,30000019"
01/01/2010 17.00,"3,07483238","5,35002074","6,67941904","0,48610674","75,9193659",23,,"8,30000019"
01/01/2010 18.00,"0,51924461","7,63755857","9,00100386","0,49745384","76,58007",23,,"8,30000019"
01/01/2010 19.00,"0,42668235","7,2338761","8,93777784","0,49567721","77,342559",23,,"8,30000019"
01/01/2010 20.00,"4,14718565","5,78288606","6,95989032","0,42730453","77,71895565",23,,"8,30000019"
01/01/2010 21.00,"1,8941147","7,4867859","8,79186738","0,46499344","73,00840155",23,,"8,30000019"
01/01/2010 22.00,"0,09933242","10,71301057","12,91462503","0,55783462","64,9265169",23,,"8,30000019"
01/01/2010 23.00,"0,14222847","11,37122613","12,66495798","0,56651737","67,54186215",23,,"8,30000019"
02/01/2010 0.00,"4,01624385","5,84287124","7,026361","0,42977083","81,52485705",23,,"8,30000019"
02/01/2010 1.00,"3,39089259","4,80204918","5,99040116",,"84,75404385","11,69999981",,"4,9000001"
02/01/2010 2.00,,"5,47161246","6,63888846","0,41635353","85,34368605","11,69999981",,"4,9000001"
02/01/2010 3.00,"4,87412708","4,78097321","5,94824921","0,42079334","81,0176283","11,69999981",,"4,9000001"
02/01/2010 4.00,"4,56935252","5,68399169","6,8836933","0,41881983",,"11,69999981",,"4,9000001"
