Stat,BR-Terminale Passeggeri,,,,,,,,,  ,
,,,,,,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
01/01/2014 1.00,"3,7","10,3","16,1","0,5","63,3","16,9",,"11,6",,,
01/01/2014 2.00,"3,5","8,3","13,6","0,6","68,5","16,9","1,9","11,6",,,
01/01/2014 3.00,"3,4","4,8","9,7","0,6","69,0","16,9","0,4","11,6",,,
01/01/2014 4.00,"3,5","5,4","10,5","0,6","63,5","16,9","1,7","11,6",,,
01/01/2014 5.00,"3,2","2,1","6,2","0,6","64,7","16,9","2,4","11,6",,,
01/01/2014 6.00,"3,3","1,8","6,0","0,6","57,7","16,9","0,6","11,6",,,
01/01/2014 7.00,"3,3","2,2","6,4","0,7","56,7","16,9","0,6","11,6",,,
01/01/2014 8.00,"3,2",,,"0,5","62,4","16,9","0,5","11,6",,,
01/01/2014 9.00,"3,2","8,3","17,4","0,6","50,6","16,9","0,3","11,6",,,
01/01/2014 10.00,"3,2","29,4","48,4","0,6","26,6","16,9","0,4","11,6",,,
01/01/2014 11.00,"3,1","8,1","14,3","0,5","52,4","16,9","0,3","11,6",,, 
01/01/2014 12.00,"3,1","5,4","10,9","0,6","55,0","16,9","0,3","11,6",,,
01/01/2014 13.00,"3,2","4,1","8,9","0,6","60,6","16,9","0,5","11,6",,,
01/01/2014 14.00,"3,4","8,8","14,6","0,5","60,5","16,9","0,7","11,6",,,
01/01/2014 15.00,"3,5","11,7","18,6","0,6","51,5","16,9",,"11,6",,,
01/01/2014 16.00,"3,0","9,5","15,6","0,7","55,8","16,9","0,9","11,6",,,
01/01/2014 17.00,"3,7","7,1","12,9","0,6","58,4","16,9","0,6","11,6",,,
01/01/2014 18.00,"3,6","21,1","30,4","0,8","28,6","16,9","0,7","11,6",,,
01/01/2014 19.00,"3,6","17,7","25,1","0,9","29,7","16,9","1,8","11,6",,,
01/01/2014 20.00,"3,4","13,8","25,1","0,8","29,5","16,9","1,3","11,6",,,
01/01/2014 21.00,"3,2","9,7","15,9","0,8","27,9","16,9","1,2","11,6",,,
01/01/2014 22.00,"3,5","15,5","22,1","0,8","18,1","16,9","0,7","11,6",,,
01/01/2014 23.00,"3,5","20,5","30,1","0,9","10,8","16,9","1,4","11,6",,,
02/01/2014 0.00,"3,7","18,8","26,6","0,7","9,7","16,9",,"11,6",,,
02/01/2014 1.00,"3,7","17,5","27,0","0,6","8,9","19,6",,"17,2",,,
02/01/2014 2.00,,"11,2","17,5","0,5","17,3","19,6","1,5","17,2",,,
02/01/2014 3.00,"3,6",,,"0,6","12,5","19,6","1,3","17,2",,,
02/01/2014 4.00,"3,7","15,7","24,6","0,6",,"19,6","1,5","17,2",,,
02/01/2014 5.00,"3,6","14,9","21,9","0,6","6,9","19,6","1,6","17,2",,,
02/01/2014 6.00,"3,7","14,6","23,5","0,6","5,1","19,6","1,9","17,2",,,
02/01/2014 7.00,"3,8","14,3","21,8","0,6","8,3","19,6","1,8","17,2",,,
02/01/2014 8.00,"3,9","29,4","55,4","0,7","3,8","19,6","1,9","17,2",,,
02/01/2014 9.00,"5,0","58,5","121,3","0,8","4,7","19,6","2,0","17,2",,,
02/01/2014 10.00,"3,9","36,4","64,8","0,7","14,7","19,6","2,2","17,2",,,
02/01/2014 11.00,"3,4","14,7","23,5","0,4","35,0","19,6","1,1","17,2",,,
02/01/2014 12.00,"3,5","8,6","14,8","0,5","40,7","19,6","0,9","17,2",,,
02/01/2014 13.00,"3,4","7,3","13,1","0,5","42,9","19,6","1,0","17,2",,,
02/01/2014 14.00,"3,4","4,3","9,2","0,4","50,7","19,6","0,8","17,2",,,
02/01/2014 15.00,"3,3","3,2","8,0","0,4","49,6","19,6","0,8","17,2",,,
02/01/2014 16.00,"3,3","4,1","9,0","0,4","48,3","19,6","0,7","17,2",,,
02/01/2014 17.00,"3,6","6,6","11,7","0,5","39,4","19,6","0,9","17,2",,,
02/01/2014 18.00,"3,5","14,5","21,8","0,5","30,0","19,6","1,1","17,2",,,
02/01/2014 19.00,"3,5","17,0","23,7","0,6","26,3","19,6","1,5","17,2",,,
