Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
01/01/2014 1.00,"2,1","6,1","8,5",,"17,0",,,
01/01/2014 2.00,"2,3","5,8","7,9","32,5","17,1",,,
01/01/2014 3.00,"2,1","4,4","6,0",,"21,9",,,
01/01/2014 4.00,"2,1","5,5","7,9","32,0","10,4",,,
01/01/2014 5.00,"2,2","5,5","7,6",,"8,6",,,
01/01/2014 6.00,"2,1","5,3","6,8","29,5","17,8",,,
01/01/2014 7.00,"2,0","5,9","9,1",,"16,9",,,
01/01/2014 8.00,"2,0","6,9","10,9","24,2","8,2",,,
01/01/2014 9.00,"1,7","7,4","10,5",,"13,0",,,
01/01/2014 10.00,"1,6","14,2","22,7","23,0","9,9",,,
01/01/2014 11.00,"1,9","10,3","15,3",,"3,8",,, 
01/01/2014 12.00,"1,8","6,4","10,2","26,4","13,8",,,
01/01/2014 13.00,"1,8","5,8","8,2",,"12,9",,,
01/01/2014 14.00,"1,7","7,7","10,4","13,2","8,4",,,
01/01/2014 15.00,"1,7","7,7","10,3",,"16,9",,,
01/01/2014 16.00,"1,7","6,1","8,9","6,6","14,1",,,
01/01/2014 17.00,"1,6","8,1","12,8",,"18,8",,,
01/01/2014 18.00,"1,3","9,4","16,8","20,3","19,9",,,
01/01/2014 19.00,"1,5","23,0","33,5",,"20,5",,,
01/01/2014 20.00,"1,8","34,9","55,1","26,9","14,2",,,
01/01/2014 21.00,"1,7","33,9","58,0",,"17,7",,,
01/01/2014 22.00,"2,0","33,4","75,0","32,2","33,0",,,
01/01/2014 23.00,"2,0","28,0","93,0",,"36,0",,,
02/01/2014 0.00,"1,6","26,7","55,6","38,8","28,9",,,
02/01/2014 1.00,"1,7",,,,"21,3",,,
02/01/2014 2.00,,"21,4","60,1","42,2","21,3",,,
02/01/2014 3.00,"1,4","21,0","39,4",,"29,5",,,
02/01/2014 4.00,"1,8","19,0","69,1","32,2","21,9",,,
02/01/2014 5.00,"1,5","12,3","60,7",,"22,0",,,
02/01/2014 6.00,"1,8","13,0","50,2","25,6","20,8",,,
02/01/2014 7.00,"1,8","13,8","53,3",,"16,6",,,
02/01/2014 8.00,"1,8","15,4","70,6","25,9","12,9",,,
02/01/2014 9.00,"2,0","20,7","108,8",,"22,4",,,
02/01/2014 10.00,"2,0","22,0","75,5","22,2","28,0",,,
02/01/2014 11.00,"2,3","25,8","55,7",,"25,5",,,
02/01/2014 12.00,"2,1","22,5","37,4","42,2","36,7",,,
02/01/2014 13.00,"2,0","17,1","25,2",,"23,9",,,
02/01/2014 14.00,"2,1","15,8","24,1","51,8","15,2",,,
02/01/2014 15.00,"1,9","9,3","14,6",,"21,2",,,
02/01/2014 16.00,"1,9","17,2","25,1","30,0","8,0",,,
02/01/2014 17.00,"2,2","16,4","27,2",,"43,3",,,
02/01/2014 18.00,"1,5","19,1","30,3","28,6","32,4",,,
02/01/2014 19.00,"1,9","39,5","57,0",,"19,6",,,
02/01/2014 20.00,"2,1","45,9","104,8","22,0","25,9",,,
02/01/2014 21.00,"2,1","41,7","102,5",,"36,5",,,
02/01/2014 22.00,"1,9","38,2","66,6","32,7","59,5",,,
02/01/2014 23.00,"2,1","39,4","62,4",,"54,0",,,
03/01/2014 0.00,"2,5","35,5","57,8","53,2","71,2",,,
03/01/2014 1.00,"2,3","31,5","46,0",,"71,9",,,
03/01/2014 2.00,,,,,,,,
03/01/2014 3.00,,,,,,,,
03/01/2014 4.00,,,,,,,,
03/01/2014 5.00,,,,,,,,
03/01/2014 6.00,,,,,,,,
03/01/2014 7.00,,,,,,,,
03/01/2014 8.00,,,,,,,,
03/01/2014 9.00,,,,,,,,
03/01/2014 10.00,,,,,,,,
03/01/2014 11.00,,,,,,,,
03/01/2014 12.00,,,,,,,,
03/01/2014 13.00,,,,,,,,
03/01/2014 14.00,,,,,,,,
03/01/2014 15.00,,,,,,,,
03/01/2014 16.00,,,,,,,,
03/01/2014 17.00,,,,,,,,
03/01/2014 18.00,,,,,,,,
03/01/2014 19.00,,,,,,,,
03/01/2014 20.00,,,,,,,,
03/01/2014 21.00,,,,,,,,
03/01/2014 22.00,,,,,,,,
03/01/2014 23.00,,,,,,,,
04/01/2014 0.00,,,,,,,,
04/01/2014 1.00,,,,,,,,
04/01/2014 2.00,,,,,,,,
04/01/2014 3.00,,,,,,,,
04/01/2014 4.00,,,,,,,,
04/01/2014 5.00,,,,,,,,
04/01/2014 6.00,,,,,,,,
04/01/2014 7.00,,,,,,,,
04/01/2014 8.00,,,,,,,,
04/01/2014 9.00,,,,,,,,
04/01/2014 10.00,,,,,,,,
04/01/2014 11.00,,,,,,,,
04/01/2014 12.00,,,,,,,,
04/01/2014 13.00,,,,,,,,
04/01/2014 14.00,,,,,,,,
04/01/2014 15.00,,,,,,,,
04/01/2014 16.00,,,,,,,,
