,SIMAGE Brindisi,,,,,,
,Torchiarolo,,,,,,
Parm,SO2,NOX,NO,NO2,PTS,CO,PM10
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
01/01/2005 1.00,"1,258972","52,447056","13,559804","31,677156",,"0,471517",
01/01/2005 2.00,"0,494948","33,599422","8,304864","20,864585","111,355301","0,527319",
01/01/2005 3.00,"0,28298","33,498258","8,098721","21,080028",,"0,562818",
01/01/2005 4.00,"0,362133","30,184476","8,266847","17,505697","30,28083","0,503705",
01/01/2005 5.00,"0,390479","27,506222","8,1021","15,078674",,"0,495755",
01/01/2005 6.00,"0,412883","27,355786","8,294726","14,632201","14,16361","0,368796",
01/01/2005 7.00,"0,400938","27,493259","8,101256","15,066997",,"0,361821",
01/01/2005 8.00,"0,495839","28,864163","8,463696","15,882058","21,001221","0,368796",
01/01/2005 9.00,"0,470643","29,1028","8,432436","16,168882",,"0,360963",
01/01/2005 10.00,"0,242096","28,679999","8,680822","15,364208","22,954821","0,368367",
01/01/2005 11.00,"0,22207","29,790203","8,660546","16,506333",,"0,441978",
01/01/2005 12.00,"0,341573","34,459305","8,683357","21,143622","19,53602","0,512083",
01/01/2005 13.00,"0,388696","33,426922","8,377522","20,580346",,"0,546842",
01/01/2005 14.00,"0,267114","29,797983","8,115618","17,351248","43,46764","0,482584",
01/01/2005 15.00,"0,24067","24,016077","7,868079","11,945615",,"0,396697",
01/01/2005 16.00,"0,307879","26,730639","7,595193","15,081268","13,67521","0,446343",
01/01/2005 17.00,"0,219455","32,902939","7,809782","20,928177",,"0,578133",
01/01/2005 18.00,"0,374554","34,627925","7,726988","22,781536","10,25641","0,513251",
01/01/2005 19.00,"0,250891","32,027491","8,013391","19,739315",,"0,657434",
01/01/2005 20.00,"0,440931","36,312664","8,444265","23,365577","17,094","0,58694",
01/01/2005 21.00,"0,269313","37,845687","8,496645","24,819193",,"0,577432",
01/01/2005 22.00,"0,394521","37,527951","8,693495","24,198806","18,07081","0,605606",
01/01/2005 23.00,"0,355835","40,853398","8,934277","27,156671",,"0,685062",
02/01/2005 0.00,"0,350546","38,086944","8,767841","24,643977","42,97924","0,648354",
02/01/2005 1.00,,"36,861314","8,5448","23,760117",,"0,87098",
02/01/2005 2.00,"0,466837",,,,"37,606831","0,677658",
02/01/2005 3.00,"0,430963","32,691527","7,905252","20,569965",,,
02/01/2005 4.00,"0,512943","29,394629","8,248259","16,743845","21,48962","0,44964",
02/01/2005 5.00,"0,346365","27,958869","8,366538","15,125393",,"0,412239",
02/01/2005 6.00,"0,358264","26,521829","8,564234","13,383648","19,53602","0,36602",
02/01/2005 7.00,"0,333039","25,530935","8,718841","12,154564",,"0,316772",
02/01/2005 8.00,"0,466778","27,977034","9,076212","14,053353","13,18681","0,335026",
02/01/2005 9.00,"0,33524","37,887217","9,774057","22,898341",,"0,476905",
02/01/2005 10.00,"0,390033","37,551277","9,655778","22,743909","19,0476","0,495549",
02/01/2005 11.00,"0,475464","31,424389","9,080436","17,496613",,"0,429949",
02/01/2005 12.00,"0,451964","37,050659","9,020451","23,218906","29,30402","0,436281",
02/01/2005 13.00,"0,465648","32,700612","8,059857","20,341538",,"0,39313",
02/01/2005 14.00,"0,470882","26,974477","7,709245","15,150061","28,81562","0,376662",
02/01/2005 15.00,"0,333396","25,598372","7,821611","13,600402",,"0,37138",
02/01/2005 16.00,"0,386641","26,669684","8,029444","14,353167","12,21001","0,415539",
02/01/2005 17.00,"0,331254","29,860238","8,05141","17,512185",,"0,576024",
02/01/2005 18.00,"0,461245","66,750062","12,530779","47,546236","122,588501","1,735331",
02/01/2005 19.00,"1,063843","103,940811","26,861116","62,748205",,"2,9007",
02/01/2005 20.00,"1,463215","127,081463","42,789894","61,434756","113,3088","3,254253",
02/01/2005 21.00,"1,276885","115,967672","36,583638","59,847471",,"3,112722",
02/01/2005 22.00,"1,07479","104,127595","29,759792","58,482112","101,587303","2,930374",
02/01/2005 23.00,"1,001555","79,278861","17,558483","52,360042",,"2,040258",
03/01/2005 0.00,"0,626039","60,9993","11,515284","43,351501","87,423691","1,491889",
03/01/2005 1.00,"0,38206","50,882907","9,390496","36,49226",,"1,260601",
03/01/2005 2.00,"0,378491","42,430511","8,454403","29,472064","19,0476","0,812981",
03/01/2005 3.00,"0,31299","40,903968","8,181516","28,363679",,"0,782569",
03/01/2005 4.00,"0,378432","39,951984","7,96608","27,742011","32,234421","0,736313",
03/01/2005 5.00,"0,393185","37,722496","7,948339","25,538219",,"0,712348",
03/01/2005 6.00,"0,389795","35,891165","7,76585","23,985963","28,327221","0,657042",
03/01/2005 7.00,"0,568093","56,133048","13,166961","35,944547",,"0,937693",
03/01/2005 8.00,"0,61301","71,163685","16,195736","46,33271","14,65201","1,036733",
03/01/2005 9.00,"0,861153","99,852764","30,662084","52,818196",,"1,438058",
03/01/2005 10.00,"0,962051","97,667367","27,189762","55,965537","14,16361","1,46742",
03/01/2005 11.00,"0,586714","73,0923","15,334845","49,585194",,"1,088544",
03/01/2005 12.00,"0,26147","44,417479","7,940735","32,249511","33,211231","0,583674",
03/01/2005 13.00,"0,570294","45,369464","7,797111","33,42279",,"0,717203",
03/01/2005 14.00,"0,451072","29,821328","7,697419","18,017055","42,97924","0,372389",
03/01/2005 15.00,"0,401693","37,081766","8,343728","24,289665",,"0,392586",
03/01/2005 16.00,"0,259209","29,887466","7,544499","18,318161","30,76923","0,350718",
03/01/2005 17.00,"0,263017","23,331275","7,329064","12,088377",,"0,328773",
03/01/2005 18.00,"0,251356","21,977236","7,207406","10,920294","30,28083","0,29172",
03/01/2005 19.00,"0,228273","21,332624","7,212475","10,267467",,"0,290283",
03/01/2005 20.00,"0,27902","21,641315","7,593502","9,99102","26,86202","0,273351",
03/01/2005 21.00,"0,309717","22,607565","7,409325","11,24087",,"0,29844",
03/01/2005 22.00,"0,290442","23,470048","7,457481","12,029971","18,55921","0,289507",
03/01/2005 23.00,"0,321259","19,664728","7,232751","8,567255",,"0,232452",
04/01/2005 0.00,"0,385273","19,533718","7,526758","7,98451","25,88522","0,210043",
04/01/2005 1.00,,"18,915077","7,650951","7,174636",,"0,200332",
04/01/2005 2.00,"0,410998",,,,"18,07081","0,177844",
04/01/2005 3.00,"0,537322","20,331366","7,778524","8,395936",,,
04/01/2005 4.00,"0,36462","19,258773","8,111394","6,811232","70,818062","0,185148",
04/01/2005 5.00,"0,609202","18,994194","8,265156","6,310254",,"0,174037",
04/01/2005 6.00,"0,366043","19,127782","8,124911","6,659381","119,169701","0,175439",
04/01/2005 7.00,"0,49889","21,418223","7,969458","9,190232",,"0,204797",
04/01/2005 8.00,"0,525934","20,056401","7,933975","7,881979","252,503006","0,199378",
04/01/2005 9.00,"0,728647","23,776139","7,966926","11,553654",,"0,301094",
04/01/2005 10.00,"0,758182","24,642505","8,738271","11,235673","10,25641","0,386046",
04/01/2005 11.00,"1,481965","24,883743","6,555183","14,830775",,"0,321055",
04/01/2005 12.00,"4,423124","30,856315","6,82469","20,393449","64,468849","0,286241",
04/01/2005 13.00,"2,987299","27,857705","7,300338","16,662073",,"0,281133",
04/01/2005 14.00,"6,116936","35,546183","7,773454","23,629049","10,25641","0,279769",
04/01/2005 15.00,"2,083458","20,774931","7,150802","9,804125",,"0,27544",
04/01/2005 16.00,"1,289336","21,419523","6,860173","10,895628","26,86202","0,317898",
04/01/2005 17.00,"1,03823","26,406401","6,948883","15,74967",,"0,386202",
04/01/2005 18.00,"0,749878","43,822178","7,177835","32,825768","19,53602","0,730338",
04/01/2005 19.00,"0,675389","57,36386","7,860473","45,328163",,"1,261102",
04/01/2005 20.00,"0,660088","50,198105","7,578293","38,59091","53,724041","1,085544",
04/01/2005 21.00,"0,823538","67,563273","9,293339","53,33346",,"1,987385",
04/01/2005 22.00,"0,83279","96,908647","17,529765","70,046158","94,74968","2,475848",
04/01/2005 23.00,"0,833146","80,274918","13,777779","59,164792",,"2,23647",
05/01/2005 0.00,"0,681082","58,828166","9,484273","44,298953","83,028084","1,651592",
05/01/2005 1.00,"0,417521","35,053326","7,292735","23,87434",,"0,89256",
05/01/2005 2.00,"0,397476","26,900538","6,937055","16,262333","22,46641","0,550219",
05/01/2005 3.00,"0,354537","23,781322","6,688669","13,522526",,"0,474546",
05/01/2005 4.00,"0,38087","23,834495","7,015625","13,07346","37,606831","0,436222",
05/01/2005 5.00,"0,372686","22,519364","7,060403","11,688634",,"0,361913",
05/01/2005 6.00,"0,401035","24,003094","7,002952","13,261647","19,53602","0,334077",
05/01/2005 7.00,"0,359875","33,170122","7,077298","22,320784",,"0,554351",
05/01/2005 8.00,"0,399848","38,813255","7,207407","27,767956","36,630032","0,469829",
05/01/2005 9.00,"0,470542","49,767504","7,648417","38,052299",,"0,553883",
05/01/2005 10.00,"0,894825","38,359309","7,560553","26,771192","18,07081","0,48632",
05/01/2005 11.00,"0,775143","35,140227","7,248803","24,028791",,"0,441173",
05/01/2005 12.00,"0,630434","35,061109","7,248803","23,949616","21,97802","0,429205",
05/01/2005 13.00,"0,680489","34,314051","7,277528","23,157914",,"0,476768",
05/01/2005 14.00,"0,506363","32,653899","7,421997","21,274708","51,770451","0,466826",
05/01/2005 15.00,"0,474694","31,81086","7,01478","21,056665",,"0,539576",
05/01/2005 16.00,"0,457257","32,084546","6,582217","21,995036","10,25641","0,532441",
05/01/2005 17.00,"0,453106","43,267047","6,861017","32,756977",,"0,98028",
05/01/2005 18.00,"0,849395","72,568313","10,291094","56,809152","41,025631","1,517867",
05/01/2005 19.00,"0,678235","82,591324","11,588785","64,845575",,"1,532995",
05/01/2005 20.00,"1,096231","125,910284","31,804322","77,139005","80,097672","2,731602",
05/01/2005 21.00,"1,371773","117,549989","28,369176","74,050072",,"2,951252",
05/01/2005 22.00,"1,578873","122,277445","33,130732","71,466009","109,401703","2,975852",
05/01/2005 23.00,"1,514466","95,101961","21,491258","62,152485",,"2,898776",
06/01/2005 0.00,"1,419218","72,260942","13,676397","51,300986","98,656891","2,159939",
06/01/2005 1.00,,"57,950117","9,743642","43,021855",,"1,930114",
06/01/2005 2.00,"0,376438",,,,"65,445663","1,411356",
06/01/2005 3.00,"0,415294","42,208739","7,688124","30,4273",,,
06/01/2005 4.00,"0,24775","39,189383","7,407635","27,836751","22,46641","0,720866",
06/01/2005 5.00,"0,253811","32,817318","7,042661","22,020981",,"0,51276",
06/01/2005 6.00,"0,196061","31,30378","6,879604","20,756843","12,21001","0,40622",
06/01/2005 7.00,"0,321541","40,440961","7,439739","29,039876",,"0,47519",
06/01/2005 8.00,"0,28625","42,887056","7,410169","31,533087","32,234421","0,530466",
06/01/2005 9.00,"0,536496","49,790851","8,12829","37,338472",,"0,975029",
06/01/2005 10.00,"0,29338","49,559994","7,167697","38,583127","38,09523","0,859462",
06/01/2005 11.00,"0,447377","33,146775","7,448189","21,727662",,"0,46466",
06/01/2005 12.00,"0,299439","29,437419","7,661934","17,687394","16,11721","0,380183",
06/01/2005 13.00,"0,183585","30,346593","7,581674","18,720498",,"0,429018",
06/01/2005 14.00,"0,295519","26,629475","7,099265","15,741889","20,02442","0,352641",
06/01/2005 15.00,"0,132609","24,79296","6,701342","14,515398",,"0,381302",
06/01/2005 16.00,"0,148294","28,913454","6,832292","18,437568",,"0,459451",
06/01/2005 17.00,"0,216381","38,15956","6,554338","28,117088",,"0,638356",
06/01/2005 18.00,"0,273773","46,836333","6,730066","36,529907",,"0,967391",
06/01/2005 19.00,"0,26308","45,217689","6,586442","35,1308",,"0,992619",
06/01/2005 20.00,"0,319759","57,850255","6,998729","47,138697",,"1,289558",
06/01/2005 21.00,"0,327601","55,323739","6,605027","45,215242",,"1,166547",
06/01/2005 22.00,"0,518672","52,131884","6,067705","42,846638",,"1,39934",
