NetC,SIMAGE Brindisi,,,
Stat,Torchiarolo,,,
Parm,SO2,NO2,CO,PM10
PtId,1,4,6,14
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,
,,,,,,,,,
01/01/2006 1.00,"1,950584","40,927086","0,912148","51,24773"
01/01/2006 2.00,"1,498478","31,897798","0,640114","51,24773"
01/01/2006 3.00,"1,383321","27,321485","0,518518","51,24773"
01/01/2006 4.00,"1,089578","22,085875","0,467302","51,24773"
01/01/2006 5.00,"1,047092","17,098164","0,370692","51,24773"
01/01/2006 6.00,"1,03701","16,594583","0,352092","51,24773"
01/01/2006 7.00,"1,086998","18,777613","0,442998","51,24773"
01/01/2006 8.00,"1,51756","20,594629","0,558046","51,24773"
01/01/2006 9.00,"1,249801","24,36234","0,640918","51,24773"
01/01/2006 10.00,"1,200055","24,645277","0,764241","51,24773"
01/01/2006 11.00,"1,09726","25,97559","0,805093","51,24773"
01/01/2006 12.00,"2,512024","44,594876","1,016309","51,24773"
01/01/2006 13.00,"1,37072","39,38131","0,828674","51,24773"
01/01/2006 14.00,"1,179052","24,215689","0,642484","51,24773"
01/01/2006 15.00,"0,967701","22,405159","0,628746","51,24773"
01/01/2006 16.00,"1,056273","27,268292","0,6745","51,24773"
01/01/2006 17.00,"1,146707","31,448728","0,791837","51,24773"
01/01/2006 18.00,"1,633137","38,898511","0,851731","51,24773"
01/01/2006 19.00,"1,633437","37,522769","0,785491","51,24773"
01/01/2006 20.00,"1,166149","34,601252","0,721057","51,24773"
01/01/2006 21.00,"0,997825","30,78033","0,600867","51,24773"
01/01/2006 22.00,"0,89185","24,104068","0,491283","51,24773"
01/01/2006 23.00,"0,661236","18,955415","0,395396","51,24773"
02/01/2006 0.00,"0,633993","14,408972","0,314253","51,24773"
02/01/2006 1.00,,"12,900843","0,277818","71,361961"
02/01/2006 2.00,"1,29737",,"0,27601","71,361961"
02/01/2006 3.00,"1,357379",,,"71,361961"
02/01/2006 4.00,"1,224125",,"0,175812","71,361961"
02/01/2006 5.00,"1,306935",,"0,168264","71,361961"
02/01/2006 6.00,"1,49719",,"0,247902","71,361961"
02/01/2006 7.00,"1,648159",,"0,282342","71,361961"
02/01/2006 8.00,"2,256884",,"0,533657","71,361961"
02/01/2006 9.00,"3,610172",,"0,839159","71,361961"
02/01/2006 10.00,"4,006593",,"0,754585","71,361961"
02/01/2006 11.00,"2,05201",,"0,477502","71,361961"
02/01/2006 12.00,"3,343935",,"0,805884","71,361961"
02/01/2006 13.00,"4,273581",,"1,044313","71,361961"
02/01/2006 14.00,"3,457909",,"0,873519","71,361961"
02/01/2006 15.00,"4,017572",,"1,013928","71,361961"
02/01/2006 16.00,"4,75949",,"1,590454","71,361961"
02/01/2006 17.00,"6,791408",,"2,128485","71,361961"
02/01/2006 18.00,"7,013397",,"2,226426","71,361961"
02/01/2006 19.00,"5,550406",,"1,849916","71,361961"
02/01/2006 20.00,"6,103783",,"2,178378","71,361961"
02/01/2006 21.00,"5,29885",,"1,774455","71,361961"
02/01/2006 22.00,"4,607887",,"1,749126","71,361961"
02/01/2006 23.00,"4,279145",,"1,819531","71,361961"
03/01/2006 0.00,"2,931031",,"1,241078","71,361961"
03/01/2006 1.00,"2,222984",,"0,676514","43,31678"
03/01/2006 2.00,"1,976781",,"0,562237","43,31678"
03/01/2006 3.00,"1,812636",,"0,510296","43,31678"
03/01/2006 4.00,"1,863049",,"0,510095","43,31678"
03/01/2006 5.00,"1,730518",,"0,403284","43,31678"
03/01/2006 6.00,"3,918009",,"0,673624","43,31678"
03/01/2006 7.00,"7,273285",,"1,615942","43,31678"
03/01/2006 8.00,"13,366237",,"2,203747","43,31678"
03/01/2006 9.00,"5,221635",,"0,979568","43,31678"
03/01/2006 10.00,"3,350464",,"0,94553","43,31678"
03/01/2006 11.00,"3,859954",,"0,675069","43,31678"
03/01/2006 12.00,"3,609931",,"0,834744","43,31678"
03/01/2006 13.00,"3,801179",,"0,615382","43,31678"
03/01/2006 14.00,"2,983881","26,019738","0,489342","43,31678"
03/01/2006 15.00,"3,599914","35,825142","0,777304","43,31678"
03/01/2006 16.00,"3,53771","49,160788","0,848753","43,31678"
03/01/2006 17.00,"2,704831","37,425431","0,716774","43,31678"
03/01/2006 18.00,"2,971609","29,941901","0,607473","43,31678"
03/01/2006 19.00,"2,470721","32,906247","0,81359","43,31678"
03/01/2006 20.00,"3,025602","51,376261","1,222695","43,31678"
03/01/2006 21.00,"4,126702","68,608103","1,651105","43,31678"
03/01/2006 22.00,"3,478874","59,44123","1,446513","43,31678"
03/01/2006 23.00,"2,023585","26,014538","0,658732","43,31678"
04/01/2006 0.00,"2,241182","22,806183","0,654156","43,31678"
04/01/2006 1.00,,"20,414214","0,877614","37,341331"
04/01/2006 2.00,"1,175354",,"0,631879","37,341331"
04/01/2006 3.00,"1,051173","13,583524",,"37,341331"
04/01/2006 4.00,"1,161706","10,280443","0,288966","37,341331"
04/01/2006 5.00,"1,011935","10,414122","0,296303","37,341331"
04/01/2006 6.00,"2,059248","14,970956","0,470036","37,341331"
04/01/2006 7.00,"2,299347","32,089877","0,675363","37,341331"
04/01/2006 8.00,"5,279484","58,049906","1,030807","37,341331"
04/01/2006 9.00,"4,503428","61,458125","1,28056","37,341331"
04/01/2006 10.00,"2,38375","58,129083","0,725563","37,341331"
04/01/2006 11.00,"1,354036","33,246275","0,338924","37,341331"
04/01/2006 12.00,"1,101546","19,728932","0,333191","37,341331"
04/01/2006 13.00,"1,321711","16,919056","0,305485","37,341331"
04/01/2006 14.00,"0,921067","11,65229","0,252599","37,341331"
04/01/2006 15.00,"1,179663","15,02286","0,295301","37,341331"
04/01/2006 16.00,"2,364266","27,804303","0,751183","37,341331"
04/01/2006 17.00,"1,778744","27,830248","0,7665","37,341331"
04/01/2006 18.00,"2,374052","29,713473","0,772033","37,341331"
04/01/2006 19.00,"3,074775","42,509188","1,400444","37,341331"
04/01/2006 20.00,"2,455403","61,402313","1,316204","37,341331"
04/01/2006 21.00,"2,969361","55,308805","1,418648","37,341331"
04/01/2006 22.00,"2,820849","43,657822","1,016613","37,341331"
04/01/2006 23.00,"1,640736","28,113206","0,615781","37,341331"
05/01/2006 0.00,"1,105946","21,926242","0,527452","37,341331"
05/01/2006 1.00,"0,908767","18,620571","0,447302","46,27037"
05/01/2006 2.00,"1,140605","18,123483","0,511093","46,27037"
05/01/2006 3.00,"1,019657","14,50371","0,373727","46,27037"
05/01/2006 4.00,"0,914782","14,083208","0,359854","46,27037"
05/01/2006 5.00,"1,027828","13,726288","0,344256","46,27037"
05/01/2006 6.00,"2,278516","19,766581","0,455923","46,27037"
05/01/2006 7.00,"3,512233","32,070414","0,61117","46,27037"
05/01/2006 8.00,"4,219421","30,339041","0,690398","46,27037"
05/01/2006 9.00,"1,633014","27,517465","0,550546","46,27037"
05/01/2006 10.00,"1,379986","24,054737","0,564581","46,27037"
05/01/2006 11.00,"1,481718","28,960699","0,564861","46,27037"
05/01/2006 12.00,"1,550766","23,908086","0,575005","46,27037"
05/01/2006 13.00,"1,413567","23,948335","0,558446","46,27037"
05/01/2006 14.00,"2,558123","23,43957","0,613175","46,27037"
05/01/2006 15.00,"2,258493","27,610923","0,684906","46,27037"
05/01/2006 16.00,"2,183158","32,73231","0,825039","46,27037"
05/01/2006 17.00,"1,865751","34,982829","1,005467","46,27037"
05/01/2006 18.00,"2,378273","44,963471","1,265004","46,27037"
05/01/2006 19.00,"2,227605","39,904356","0,875759","46,27037"
05/01/2006 20.00,"2,337687","45,163333","1,008595","46,27037"
05/01/2006 21.00,"1,710054","44,890796","1,060919","46,27037"
05/01/2006 22.00,"1,697484","40,030263","1,247682","46,27037"
05/01/2006 23.00,"1,845457","44,546844","1,213601","46,27037"
06/01/2006 0.00,"1,846714","22,999581","0,890113","46,27037"
06/01/2006 1.00,,"17,278568","0,783459","39,44186"
06/01/2006 2.00,"0,739854",,"0,685387","39,44186"
06/01/2006 3.00,"0,637146","12,540037",,"39,44186"
06/01/2006 4.00,"0,721017","12,948863","0,49101","39,44186"
06/01/2006 5.00,"0,640734","13,148739","0,481132","39,44186"
06/01/2006 6.00,"0,593194","12,46736","0,484103","39,44186"
06/01/2006 7.00,"1,155081","17,094263","0,566013","39,44186"
06/01/2006 8.00,"6,253782","24,723154","0,842655","39,44186"
06/01/2006 9.00,"1,557032","19,725052","0,674381","39,44186"
06/01/2006 10.00,"1,504736","18,608882","0,700158","39,44186"
06/01/2006 11.00,"1,212759","17,243527","0,643103","39,44186"
06/01/2006 12.00,"1,234557","18,930761","0,677111","39,44186"
06/01/2006 13.00,"0,919436","16,508927","0,585566","39,44186"
06/01/2006 14.00,"0,759679","12,406357","0,486472","39,44186"
06/01/2006 15.00,"1,387496","13,334335","0,445518","39,44186"
06/01/2006 16.00,"1,424005","15,933974","0,565652","39,44186"
06/01/2006 17.00,"1,037214","19,603047","0,655148","39,44186"
06/01/2006 18.00,"1,118662","20,930777","0,697748","39,44186"
06/01/2006 19.00,"2,107348","24,623213","1,068386","39,44186"
06/01/2006 20.00,"1,611839","43,098428","1,391763","39,44186"
06/01/2006 21.00,"1,611211","30,836123","1,034578","39,44186"
06/01/2006 22.00,"2,033075","36,319644","1,462872","39,44186"
06/01/2006 23.00,"1,091662","24,102766","0,90782","39,44186"
07/01/2006 0.00,"0,715546","20,272743","0,687189","39,44186"
07/01/2006 1.00,"0,754835","19,242233","0,647962","61,514042"
07/01/2006 2.00,"0,76237","15,127998","0,503136","61,514042"
07/01/2006 3.00,"0,641184","13,905394","0,4725","61,514042"
07/01/2006 4.00,"0,595974","11,096806","0,380352","61,514042"
07/01/2006 5.00,"0,691775","13,958613","0,410386","61,514042"
07/01/2006 6.00,"1,337802","18,708821","0,553205","61,514042"
07/01/2006 7.00,"0,811884","18,842498","0,620618","61,514042"
07/01/2006 8.00,"1,515231","19,198104","0,677794","61,514042"
07/01/2006 9.00,"1,720018","23,548592","0,694818","61,514042"
07/01/2006 10.00,"2,383179","23,374658","0,668479","61,514042"
07/01/2006 11.00,"1,201188","22,760772","0,67418","61,514042"
07/01/2006 12.00,"1,206749","23,891205","0,675745","61,514042"
07/01/2006 13.00,"1,387587","19,580983","0,58922","61,514042"
07/01/2006 14.00,"0,967157","16,69972","0,569064","61,514042"
07/01/2006 15.00,"1,058473","32,488321","0,681046","61,514042"
07/01/2006 16.00,"1,514513","20,73998","0,724288","61,514042"
07/01/2006 17.00,"4,791115","29,543438","1,12536","61,514042"
07/01/2006 18.00,"3,093164","35,342343","1,106128","61,514042"
07/01/2006 19.00,"2,427222","42,580582","1,32981","61,514042"
07/01/2006 20.00,"1,987776","33,64992","1,048711","61,514042"
07/01/2006 21.00,"1,635072","36,65189","1,204056","61,514042"
07/01/2006 22.00,"1,279138","28,351996","0,971259","61,514042"
07/01/2006 23.00,"1,765407","30,403935","1,483229","61,514042"
08/01/2006 0.00,"1,887221","27,342269","1,151498","61,514042"
08/01/2006 1.00,,"21,194233","0,946245","80,77166"
08/01/2006 2.00,"2,123277",,"0,787849","80,77166"
08/01/2006 3.00,"1,200178","17,356445",,"80,77166"
08/01/2006 4.00,"1,029986","15,658825","0,546306","80,77166"
08/01/2006 5.00,"1,018163","14,157188","0,486555","80,77166"
08/01/2006 6.00,"1,101012","15,848317","0,4928","80,77166"
08/01/2006 7.00,"1,894667","18,037826","0,51492","80,77166"
08/01/2006 8.00,"1,873314","18,848989","0,577572","80,77166"
08/01/2006 9.00,"2,124001","19,770463","0,589821","80,77166"
08/01/2006 10.00,"2,062596","21,562828","0,649976","80,77166"
08/01/2006 11.00,"1,720976","19,993706","0,559965","80,77166"
08/01/2006 12.00,"2,0179","23,696543","0,55646","80,77166"
08/01/2006 13.00,"1,807836","24,313029","0,502792","80,77166"
08/01/2006 14.00,"1,547708","22,971035","0,567459","80,77166"
08/01/2006 15.00,"1,640239","19,835355","0,586557","80,77166"
08/01/2006 16.00,"1,503646","20,499889","0,702394","80,77166"
08/01/2006 17.00,"2,04432","27,9834","0,877096","80,77166"
08/01/2006 18.00,"6,593678","36,117182","1,314696","80,77166"
08/01/2006 19.00,"4,804872","53,146544","1,866442","80,77166"
08/01/2006 20.00,"8,258949","64,14473","3,165869","80,77166"
08/01/2006 21.00,"6,671943","59,180356","3,183274","80,77166"
08/01/2006 22.00,"8,392859","50,63777","2,258796","80,77166"
08/01/2006 23.00,"3,558611","47,103647","1,358131","80,77166"
09/01/2006 0.00,"1,967985","24,66086","0,744377","80,77166"
09/01/2006 1.00,"2,081778","19,76528","0,770043","40,696651"
09/01/2006 2.00,"1,53664","13,854778","0,585953","40,696651"
09/01/2006 3.00,"1,407919","14,700993","0,677655","40,696651"
09/01/2006 4.00,"1,544512","27,899042","0,557468","40,696651"
09/01/2006 5.00,"1,309959","28,57394","0,50928","40,696651"
09/01/2006 6.00,"3,336755","41,943313","0,723184","40,696651"
09/01/2006 7.00,"4,708934","48,593612","1,008081","40,696651"
09/01/2006 8.00,"8,733906","60,166738","1,652497","40,696651"
09/01/2006 9.00,"1,790495","40,953029","0,400816","40,696651"
09/01/2006 10.00,"1,9672","14,258417","0,306655","40,696651"
09/01/2006 11.00,"2,019649","10,497186","0,307783","40,696651"
09/01/2006 12.00,"1,981014","12,042951","0,301217","40,696651"
09/01/2006 13.00,"2,568587","9,557532","0,231755","40,696651"
09/01/2006 14.00,"3,255837","9,513402","0,279782","40,696651"
09/01/2006 15.00,"2,275886","8,824233","0,340379","40,696651"
09/01/2006 16.00,"1,886946","12,362225","0,460083","40,696651"
09/01/2006 17.00,"2,043264","14,120842","0,519876","40,696651"
09/01/2006 18.00,"3,067881","11,360267","0,392878","40,696651"
09/01/2006 19.00,"1,351881","15,845713","0,428536","40,696651"
09/01/2006 20.00,"2,125026","28,860759","0,9026","40,696651"
09/01/2006 21.00,"1,429301","17,837949","0,459641","40,696651"
09/01/2006 22.00,"1,148695","9,660062","0,251618","40,696651"
09/01/2006 23.00,"0,924879","7,353745","0,207862","40,696651"
10/01/2006 0.00,"1,147338","6,668467","0,186144","40,696651"
10/01/2006 1.00,,"6,01953","0,15085","34,20797"
10/01/2006 2.00,"1,053444",,"0,167974","34,20797"
10/01/2006 3.00,"1,021645","6,384233",,"34,20797"
10/01/2006 4.00,"0,996547","5,53802","0,258724","34,20797"
10/01/2006 5.00,"1,133555","9,684721","0,266152","34,20797"
10/01/2006 6.00,"1,755212","23,43957","0,353549","34,20797"
10/01/2006 7.00,"4,159512","60,047333","1,103602","34,20797"
10/01/2006 8.00,"3,705317","63,978594","1,23266","34,20797"
10/01/2006 9.00,"1,465429","23,43957","0,335626","34,20797"
10/01/2006 10.00,"2,016008","8,257061","0,313626","34,20797"
10/01/2006 11.00,"1,478412","7,728828","0,297154","34,20797"
10/01/2006 12.00,"1,837358","10,010488","0,309224","34,20797"
