, Brindisi,,,,
,Torchiarolo,,,,
Parm,SO2,NOX,NO2,CO,PM10
,,,,
,,,,,
,,,,
,,,,,
,,,,,
01/01/2007 1.00,"8,75922167","108,61771816","55,0180868","3,18479728","108,68039703"
01/01/2007 2.00,"6,13985783","80,9247308","46,67018008","2,14415717","108,68039703"
01/01/2007 3.00,"3,64338623","56,24719688","38,05489928","1,47996229","108,68039703"
01/01/2007 4.00,"3,68025451","39,38003","27,78744016","0,991194","108,68039703"
01/01/2007 5.00,"3,72238882","38,14531776","27,28903912","1,11317525","108,68039703"
01/01/2007 6.00,"4,20869178","41,18283568","27,3513512","0,99157944","108,68039703"
01/01/2007 7.00,"3,9787074","50,65851648","30,35980672","1,03544602","108,68039703"
01/01/2007 8.00,"4,50363297","40,87544344","29,60575216","0,95321531","108,68039703"
01/01/2007 9.00,"6,07665636","43,83774328","33,81733368","1,42031837","108,68039703"
01/01/2007 10.00,"5,54295205","49,87645112","40,85051096","1,2253815","108,68039703"
01/01/2007 11.00,"3,74267289","47,72866328","37,95365888","1,10624901","108,68039703"
01/01/2007 12.00,"4,07351011","48,94003","39,46956896","1,06134291","108,68039703"
01/01/2007 13.00,"4,4140973","53,60525264","42,91153224","1,16993187","108,68039703"
01/01/2007 14.00,"3,9751957","44,5575348","34,83098048","1,096898","108,68039703"
01/01/2007 15.00,"2,15429788","35,54488304","24,99180936","0,88691496","108,68039703"
01/01/2007 16.00,"2,3495873","46,72088632","31,83290712","0,9841533","108,68039703"
01/01/2007 17.00,"3,18166213","59,08236784","43,91867824","1,27882918","108,68039703"
01/01/2007 18.00,"4,25258245","80,29956416","60,4185308","1,70121886","108,68039703"
01/01/2007 19.00,"3,61002965","96,2822016","72,9092444","1,69717758","108,68039703"
01/01/2007 20.00,"1,85263534","78,68612296","61,89809376","1,3453608","108,68039703"
01/01/2007 21.00,"3,01783156","71,99245952","57,70727656","1,33554843","108,68039703"
01/01/2007 22.00,"3,17990678","58,22634632","45,95503472","1,12071702","108,68039703"
01/01/2007 23.00,"4,39829719","47,91412728","36,89590224","1,10051413","108,68039703"
02/01/2007 0.00,"3,28699892","46,78962272","35,87965512","1,11913906","108,68039703"
02/01/2007 1.00,,"30,40756848","20,96840688","0,81084078","41,61917114"
02/01/2007 2.00,"0,57751159",,,"0,4534433","41,61917114"
02/01/2007 3.00,"0,87793034","26,06270144","16,91905665",,"41,61917114"
02/01/2007 4.00,"0,31277733","25,23134472","15,27075969","0,36038173","41,61917114"
02/01/2007 5.00,"1,08288635","24,88894376","14,24154156","0,46060547","41,61917114"
02/01/2007 6.00,"0,85942805","26,57370256","14,95926621","0,50245491","41,61917114"
02/01/2007 7.00,"0,26561904","38,03507184","26,02752064","0,58263344","41,61917114"
02/01/2007 8.00,"1,65896905","59,5778244","42,76746304","0,60508824","41,61917114"
02/01/2007 9.00,"1,18249844","50,98665392","33,09702592","0,61292902","41,61917114"
02/01/2007 10.00,"0,93743602","37,52407072","20,9554244","0,54476221","41,61917114"
02/01/2007 11.00,"0,83395627","38,6640816","23,75493656","0,54713442","41,61917114"
02/01/2007 12.00,"0,82963097","38,51754592","24,22607248","0,62501782","41,61917114"
02/01/2007 13.00,"1,76632255","55,66483992","42,91413256","0,88349389","41,61917114"
02/01/2007 14.00,"2,36426668","43,92720576","32,45847528","0,79489992","41,61917114"
02/01/2007 15.00,"1,4552375","39,23993776","25,36040472","0,8393505","41,61917114"
02/01/2007 16.00,"0,5562868","44,14641656","27,64855248","1,02694298","41,61917114"
02/01/2007 17.00,"0,29208037","46,438178","30,15084424","1,20822592","41,61917114"
02/01/2007 18.00,"0,31300718","44,14381624","30,01717632","1,35282198","41,61917114"
02/01/2007 19.00,"0,40323236","44,83770016","31,87573592","1,30787384","41,61917114"
02/01/2007 20.00,"1,03728407","49,347286","35,29691576","1,51206944","41,61917114"
02/01/2007 21.00,"0,47835612","45,8960304","31,7991412","1,3536244","41,61917114"
02/01/2007 22.00,"0,8788019","52,86855904","37,25411544","1,42699466","41,61917114"
02/01/2007 23.00,"1,6196081","48,50292768","33,41759184","1,30879306","41,61917114"
03/01/2007 0.00,"0,7666746","35,05720832","20,7321984","0,93915259","41,61917114"
03/01/2007 1.00,"0,5108747","28,75909944","14,90865174","0,66954432","12,80937958"
03/01/2007 2.00,"1,1247359","25,56724488","11,38622577","0,60042208","12,80937958"
03/01/2007 3.00,"1,25065168","24,69697896","9,10197658","0,52536757","12,80937958"
03/01/2007 4.00,"0,82974081","22,04855304","8,13117005","0,46473669","12,80937958"
03/01/2007 5.00,"0,67115288","20,70749536","8,19476508","0,44492157","12,80937958"
03/01/2007 6.00,"0,39494585","20,37545744","8,17918993","0,33433182","12,80937958"
03/01/2007 7.00,"0,49411148","22,47397304","10,18310168","0,33012352","12,80937958"
03/01/2007 8.00,"0,42158006","29,16375512","16,03391154","0,35433966","12,80937958"
03/01/2007 9.00,"0,52771215","26,24168376","14,85024588","0,45284061","12,80937958"
03/01/2007 10.00,"0,93570712","33,09616552","23,18776088","0,45991752","12,80937958"
03/01/2007 11.00,"0,44538905","24,32605096","14,73213973","0,43084483","12,80937958"
03/01/2007 12.00,"0,65419949","27,37393192","16,22210206","0,3697923","12,80937958"
03/01/2007 13.00,"1,20989236","27,82917912","14,22337565","0,35039883","12,80937958"
03/01/2007 14.00,"0,77025648","23,18600184","10,52443574","0,35556256","12,80937958"
03/01/2007 15.00,"0,70390333","24,17429552","11,20062984","0,37973899","12,80937958"
03/01/2007 16.00,"0,38646915","14,49239405","9,39659474","0,51840629","12,80937958"
03/01/2007 17.00,"0,11676584","11,80895367","12,61012182","0,48252416","12,80937958"
03/01/2007 18.00,"0,25663792","13,62990614","11,30965208","0,46083557","12,80937958"
03/01/2007 19.00,"0,58750666","16,15641338","10,59192743","0,42897136","12,80937958"
03/01/2007 20.00,"0,91155846","16,11361326","8,87744468","0,40926954","12,80937958"
03/01/2007 21.00,"0,79100226","19,1705724","9,57310485","0,37927997","12,80937958"
03/01/2007 22.00,"0,09980228","20,54407672","9,44461462","0,39129051","12,80937958"
03/01/2007 23.00,"0,11848152","20,82940448","8,24408321","0,38559067","12,80937958"
04/01/2007 0.00,"0,49265717","20,79049528","8,26225486","0,40678403","12,80937958"
04/01/2007 1.00,,"20,97465912","7,28106426","0,35196746","69,8122406"
04/01/2007 2.00,"1,89885189",,,"0,33555589","69,8122406"
04/01/2007 3.00,"1,54035023","25,46608096","8,75934044",,"69,8122406"
04/01/2007 4.00,"1,17250133","25,24300792","7,35244686","0,19839064","69,8122406"
04/01/2007 5.00,"1,90813303","24,82668904","7,00461582","0,18574237","69,8122406"
04/01/2007 6.00,"1,64532701","24,55430552","6,69312617","0,20993048","69,8122406"
04/01/2007 7.00,"1,56616373","26,87979464","8,26484944","0,21317869","69,8122406"
04/01/2007 8.00,"2,27017384","27,27796864","8,60748749","0,25704526","69,8122406"
04/01/2007 9.00,"0,91718145","27,67484248","9,57699959","0,29261904","69,8122406"
04/01/2007 10.00,"1,31396095","26,114574","8,48678675","0,25685838","69,8122406"
04/01/2007 11.00,"1,62923298","25,91224616","8,92546647","0,29464318","69,8122406"
04/01/2007 12.00,"0,66839783","26,53997488","9,52378672","0,31481922","69,8122406"
04/01/2007 13.00,"2,29011416","28,97570992","11,96637628","0,43877555","69,8122406"
04/01/2007 14.00,"2,62770833","28,31813488","13,93394665","0,49819405","69,8122406"
04/01/2007 15.00,"3,29439353","31,01585216","16,0962045","0,54102811","69,8122406"
04/01/2007 16.00,"2,14542557","27,02374912","14,1714572","0,65527837","69,8122406"
04/01/2007 17.00,"2,56848232","37,22706064","24,65566064","1,07189112","69,8122406"
04/01/2007 18.00,"2,91529864","81,1153572","60,18232232","1,58257342","69,8122406"
04/01/2007 19.00,"4,17099057","105,947266","70,02669408","2,33800195","69,8122406"
04/01/2007 20.00,"5,11753485","144,63469312","78,56147968","3,26504122","69,8122406"
04/01/2007 21.00,"5,10537763","146,09899832","75,35314368","3,18055744","69,8122406"
04/01/2007 22.00,"6,01544923","158,20754136","77,8113256","3,77282805","69,8122406"
