SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



01/01/2010 1.00,"0,88624634","16,43235514",,"41,70000076","59,5619619","0,64555397","30,77461512"
01/01/2010 2.00,"0,00021154","17,75358346",,"41,70000076","49,75567905","0,78955914","30,39718632"
01/01/2010 3.00,"0,00042206","13,83141374",,"41,70000076","48,99837705","0,62779308","23,752776"
01/01/2010 4.00,"0,00042206","6,50753024",,"41,70000076","52,91731515","0,49593802","14,10330205"
01/01/2010 5.00,,"5,66261744",,"41,70000076","47,18029365","0,36179572","12,36665348"
01/01/2010 6.00,,"9,33819079",,"41,70000076","37,5795357","0,36708717","16,14863154"
01/01/2010 7.00,"0,00084411","10,68018726",,"41,70000076","40,81013895","0,33367973","18,54414384"
01/01/2010 8.00,"0,01040188","10,34273647",,"41,70000076","39,75901335","0,44565042","17,8749056"
01/01/2010 9.00,"0,49366909","10,23242363",,"41,70000076","39,66935805","1,17916472","19,01105424"
01/01/2010 10.00,"0,00042206","5,98059451",,"41,70000076","70,92977115","0,61842245","14,87629879"
01/01/2010 11.00,"0,00286387","5,56268102",,"41,70000076","77,93585205","0,56617814","13,14743206"
01/01/2010 12.00,"0,0243002","7,60033958",,"41,70000076","81,55131075","0,79410309","15,99688566"
01/01/2010 13.00,"0,0120901","11,91835449",,"41,70000076","77,8599822","1,25535429","22,87732856"
01/01/2010 14.00,"0,16356106","11,44463163",,"41,70000076","75,94536075","2,23771324","22,31443576"
01/01/2010 15.00,"0,0014777","5,4030405",,"41,70000076","82,59553365","1,7523032","13,13965022"
01/01/2010 16.00,"0,07935346","9,24085087",,"41,70000076","79,22146995","1,5505182","18,73609526"
01/01/2010 17.00,"0,15120044","10,6023115",,"41,70000076","83,41767315","2,24033913","19,98506528"
01/01/2010 18.00,"0,11758351","12,80869641",,"41,70000076","80,54986065","2,7917067","22,86564624"
01/01/2010 19.00,"0,09702078","16,14552837",,"41,70000076","79,5511437","2,80361678","27,28575048"
01/01/2010 20.00,"0,25443204","16,82172246",,"41,70000076","80,1608556","2,90376077","28,61254464"
01/01/2010 21.00,"0,1729378","20,69196992",,"41,70000076","78,72902415","2,54352615","35,49559168"
01/01/2010 22.00,"0,29823932","18,50765332",,"41,70000076","68,2633539","2,26716861","31,31804376"
01/01/2010 23.00,"0,27601889","15,55239729",,"41,70000076","69,7641525","2,68292939","27,97185256"
02/01/2010 0.00,"0,01561705","8,25316903",,"41,70000076","83,85908685","0,85814358","17,74650524"
02/01/2010 1.00,,"5,91180649",,"43,09999084","89,15329815","0,51119505","13,83093765"
02/01/2010 2.00,"1,45630027",,,"43,09999084","92,6997897","0,37607135",
02/01/2010 3.00,"1,25816935","12,48552634",,"43,09999084","86,860704","0,36356733","19,12"
02/01/2010 4.00,"1,31155269","5,82485064",,"43,09999084",,"0,29112642","12,2473313"
02/01/2010 5.00,"1,86386099","3,89470576",,"43,09999084","81,51352545","0,27232006","10,19890054"
02/01/2010 6.00,"1,37002002","10,1234033",,"43,09999084","78,3747321",,"19,21338208"
02/01/2010 7.00,"1,99028222","4,45819128",,"43,09999084","79,81107225","0,38080446","11,05670978"
02/01/2010 8.00,"2,45891786","6,91116874",,"43,09999084","69,15118875","0,39086971","13,93728882"
02/01/2010 9.00,"2,56912404","8,67757376",,"43,09999084","62,27693745","0,54868981","15,81919968"
02/01/2010 10.00,"2,49899274","9,8845945",,"43,09999084","62,030934","0,88224648","18,2510285"
02/01/2010 11.00,"2,96837689","10,99556593",,"43,09999084","62,6268006","0,97256015","19,5596644"
02/01/2010 12.00,"3,05884412","12,53614272",,"43,09999084","59,87982525","1,24774205","22,55179144"
02/01/2010 13.00,"5,37869638","15,7496698",,"43,09999084","59,0092671","1,98404496","28,61644512"
02/01/2010 14.00,"8,04785763","19,38760352",,"43,09999084","58,0170738","6,19325744","36,00531176"
02/01/2010 15.00,"7,66026774","14,89697516",,"43,09999084","53,1969144","4,97352358","28,82265432"
02/01/2010 16.00,"7,44494138","15,28503086",,"43,09999084","46,89253485","5,01670133","29,66569336"
02/01/2010 17.00,"8,89660515","15,70164801",,"43,09999084","48,1416642","4,61104037","28,05615264"
02/01/2010 18.00,"10,53308934","19,57578256",,"43,09999084","49,2431835","4,48434556","34,17657936"
02/01/2010 19.00,"12,03320502","31,07883344",,"43,09999084","38,13504345","8,81786697","54,66746424"
02/01/2010 20.00,"12,1875246","25,99247368",,"43,09999084","36,63855405","8,08234003","48,18001"
02/01/2010 21.00,"7,51312818","19,58228336",,"43,09999084","45,0994887","6,50364584","38,58756336"
02/01/2010 22.00,"5,99865958","17,03586838",,"43,09999084","45,3099612","3,42309386","32,19219104"
02/01/2010 23.00,"3,58235809","11,0176285",,"43,09999084","54,36811905","2,42169159","23,06539288"
03/01/2010 0.00,"2,46804035","9,26421169",,"43,09999084","60,3704556","1,16293645","18,64401142"
03/01/2010 1.00,"2,15596474","7,79761591",,"25,20000076","62,17990065","1,01205535","15,64281194"
03/01/2010 2.00,"2,21248757","7,18112784",,"25,20000076","63,86635395","0,79668424","14,44829759"
03/01/2010 3.00,"1,87962855","5,40563699",,"25,20000076","65,7386814","0,6471293","12,46522282"
03/01/2010 4.00,"1,81368424","4,5386578",,"25,20000076","60,98409765","0,57058785","11,20326649"
03/01/2010 5.00,"1,74489944","5,79499858",,"25,20000076","57,646722","0,53119639","13,41071829"
03/01/2010 6.00,"1,82086121","7,34985037",,"25,20000076","58,43253255","0,47389047","15,96835098"
03/01/2010 7.00,"2,11379687","4,61004232",,"25,20000076","66,1103898","0,41706153","12,49245926"
03/01/2010 8.00,"2,08927293","7,12402022",,"25,20000076","56,16254175","0,48811017","14,92039716"
03/01/2010 9.00,"2,59574097","7,30572332",,"25,20000076","52,9960179","1,18355206","15,26409446"
03/01/2010 10.00,"3,54108722","10,57894878",,"25,20000076","46,47434295","1,64302859","20,834586"
03/01/2010 11.00,"3,24351708","8,6334448",,"25,20000076","44,9628312","2,11435419","18,55192568"
03/01/2010 12.00,"3,28344247","10,62567806",,"25,20000076","48,77852805","2,17359139","20,9993048"
03/01/2010 13.00,"5,96785567","15,63935696",,"25,20000076","48,110223","3,01507956","30,21430352"
03/01/2010 14.00,"3,78990949","10,53741631",,"25,20000076","56,57937705","2,6070256","21,69837024"
03/01/2010 15.00,"3,4130876","6,78268042",,"25,20000076","64,90363425","1,94924119","15,06565754"
03/01/2010 16.00,"2,71058162","7,23044597",,"25,20000076","65,3396016","1,3373906","15,4923624"
03/01/2010 17.00,"2,9993303","9,65227503",,"25,20000076","62,0200014","1,44909686","17,63755948"
03/01/2010 18.00,"3,90011567","12,37131876",,"25,20000076","54,78631095","1,31980565","20,73732256"
03/01/2010 19.00,"3,97174197","15,98977685",,"25,20000076","59,34819765","2,35821553","26,10031048"
