"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NOX,NO2,CO,PM10,O3,BENZENE
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,
01/01/2011 1.00,"4,4","51,9","23,6","0,9","52,3","4,1","2,3"
01/01/2011 2.00,"2,6","46,8","22,7","0,8","52,3","5,9","1,9"
01/01/2011 3.00,"2,7","40,2","22,9","0,7","52,3","7,9","2,1"
01/01/2011 4.00,"1,5","35,9","22,3","0,7","52,3","5,5","1,4"
01/01/2011 5.00,"0,8","29,6","17,8","0,7","52,3","5,2","1,3"
01/01/2011 6.00,"0,3","28,2","16,8","0,6","52,3","9,1","1,3"
01/01/2011 7.00,"0,8","27,8","17,9","0,7","52,3","7,1",1
01/01/2011 8.00,"2,1","41,4","23,5","0,9","52,3",5,"1,9"
01/01/2011 9.00,"6,9","45,6",21,"1,1","52,3","11,6","2,9"
01/01/2011 10.00,"8,6","63,6",24,"1,4","52,3","8,3","4,8"
01/01/2011 11.00,"2,8","48,2","18,7","0,7","52,3","29,5","4,5"
01/01/2011 12.00,"0,1",9,"5,2","0,3","52,3","57,5","0,7"
01/01/2011 13.00,"0,1","10,8","6,7","0,4","52,3","64,1","0,6"
01/01/2011 14.00,"0,1","9,8","6,5","0,4","52,3","70,3","0,8"
01/01/2011 15.00,"0,2","7,4","4,9","0,4","52,3","68,4","0,7"
01/01/2011 16.00,"0,2","11,7",8,"0,4","52,3","64,5","0,7"
01/01/2011 17.00,"0,1","19,3","13,3","0,5","52,3","52,4","0,6"
01/01/2011 18.00,"0,5","35,4","23,7","0,6","52,3","35,9","1,1"
01/01/2011 19.00,"0,3","28,6","19,8","0,6","52,3",35,"1,4"
01/01/2011 20.00,"1,1","50,8","31,5","0,9","52,3","20,6","1,5"
01/01/2011 21.00,2,"57,9","36,8",1,"52,3","12,1","2,1"
01/01/2011 22.00,"3,1","59,5","37,5","1,1","52,3","11,6","2,6"
01/01/2011 23.00,"1,7","74,9","48,4","0,9","52,3","7,2","1,8"
02/01/2011 0.00,"1,5","61,9","42,7","0,8","52,3","9,9","1,6"
02/01/2011 1.00,,"45,1",33,"0,8","18,9","11,5","1,6"
02/01/2011 2.00,"0,5",,,"0,6","18,9","13,8","1,4"
02/01/2011 3.00,"0,2","29,7","21,2",,"18,9","21,2","0,9"
02/01/2011 4.00,"0,1","19,3","11,8","0,3","18,9",,"0,7"
02/01/2011 5.00,"0,1","15,2","8,3","0,2","18,9","69,4","0,4"
02/01/2011 6.00,"0,1","15,6","9,6","0,2","18,9","73,2",
02/01/2011 7.00,"0,1","9,3","5,9","0,3","18,9",77,
02/01/2011 8.00,"0,1","13,4","9,8","0,3","18,9","72,5","0,6"
02/01/2011 9.00,"0,1","10,9","7,9","0,3","18,9","78,2","0,6"
02/01/2011 10.00,"0,1","11,2","8,3","0,3","18,9","76,7","0,8"
02/01/2011 11.00,"0,2","11,6","8,3","0,3","18,9","83,7","1,2"
02/01/2011 12.00,"0,2","10,5","7,4","0,3","18,9","81,8","0,8"
