"NetC","SIMAGE Brindisi","","","","","","","","","","","","","","","","","",""
"Stat","Torchiarolo","","","","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE

,,,,,

01/01/2012 1.00,,"19,86944664","30,67410128","0,38623944","61,94995695","69,5","0,81025712"
01/01/2012 2.00,,"16,28495332","21,11119504","0,36509236","60,81316605","69,5","1,09211562"
01/01/2012 3.00,,"12,61401848","16,00717031","0,36060478","57,53302695","69,5","0,83028389"
01/01/2012 4.00,,"17,4546633","21,8311204","0,39838224","44,38202685","69,5","0,62895348"
01/01/2012 5.00,,"13,62450857","17,6593601","0,32520742","42,4869564","69,5","0,55825978"
01/01/2012 6.00,,"12,71135075","16,39449371","0,30942167","41,7321282","69,5","0,59379477"
01/01/2012 7.00,,"14,47905594","18,46582641","0,40396142","32,9826567","69,5","0,69226885"
01/01/2012 8.00,,"21,33182072","27,68382888","0,47598871","32,27129955","69,5","0,93021329"
01/01/2012 9.00,,"18,9255649","26,68249536","0,6050113","33,83302545","69,5","2,05773373"
01/01/2012 10.00,,"16,82821179","25,76664736","0,59063636","34,63481595","69,5","3,16086346"
01/01/2012 11.00,,"14,38301235","20,62135976","0,4043482","46,53610815","69,5","2,17889301"
01/01/2012 12.00,,"13,54392733","18,99287686","0,40587086","64,79929575","69,5","1,45618331"
01/01/2012 13.00,,"15,41741582","21,37786168","0,46188639","66,44720565","69,5","1,31842965"
01/01/2012 14.00,,"15,10614987","20,67921688","0,43062478","68,28260565","69,5","1,28333705"
01/01/2012 15.00,,"14,53876387","19,23657464","0,42399243","70,009338","69,5","1,05652571"
01/01/2012 16.00,,"14,70618242","19,4943696","0,44603773","67,6552779","69,5","1,20222316"
01/01/2012 17.00,,"14,5452532","20,15242264","0,40690538","63,17660265","69,5","1,13041177"
01/01/2012 18.00,,"33,97354408","50,69627848","0,83635117","37,6222287","69,5","1,47009587"
01/01/2012 19.00,,"68,91408216","115,85178928","2,74633023","21,6114759","69,5","7,91595985"
01/01/2012 20.00,"0,24166361","63,30465656","128,11937248","2,51155477","11,24808332","69,5","14,0603301"
01/01/2012 21.00,"0,24539193","57,34304056","127,67443096","2,62733247","5,47637076","69,5","12,93568065"
01/01/2012 22.00,"0,12926579","53,7481364","155,66140744","3,4451846","5,35809719","69,5","15,33731598"
01/01/2012 23.00,"0,04847429","46,90013632","126,2462052","2,49607308","1,37196549","69,5","14,60780154"
02/01/2012 0.00,"0,00070987","39,67004216","103,50766872","2,40590325",,"69,5","10,52498385"
02/01/2012 1.00,,"37,2942292","107,41612176","2,46173587",,"90,8","9,64026097"
02/01/2012 2.00,"0,2542561",,,"1,72258764",,"90,8","7,56310458"
02/01/2012 3.00,"0,01053002","27,44526864","46,48819592",,,"90,8","4,57403988"
02/01/2012 4.00,"0,00815532","19,24041776","31,69889504","0,68109046",,"90,8","2,63118138"
02/01/2012 5.00,"0,00421852","18,26043746","29,22786448","0,60658405","2,64431066","90,8","1,97754023"
02/01/2012 6.00,"0,00174721","21,65651656","32,21257296","0,56773829","4,91203913","90,8","1,79793498"
