"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3

,,,,,

01/01/2012 1.00,"1,153515","18,155863","21,895362","0,304254","44,950483"
01/01/2012 2.00,"0,825877","20,736787","25,175073","0,328143","42,854856"
01/01/2012 3.00,"0,640703","20,101181","23,138028","0,266843","42,09428"
01/01/2012 4.00,"0,488748","15,839019","18,747769","0,230763","42,461341"
01/01/2012 5.00,"0,501853","15,794732","18,617263","0,247215","40,053276"
01/01/2012 6.00,"0,368237","14,729394","17,649394","0,222711","40,693513"
01/01/2012 7.00,"0,542752","15,690576","18,912322","0,21313","39,032374"
01/01/2012 8.00,"0,5748","16,693586","19,885048","0,201014","39,590637"
01/01/2012 9.00,"0,593742","17,32262","21,490861","0,208352","36,450165"
01/01/2012 10.00,"0,573181","18,785718","23,561154","0,25022","34,726747"
01/01/2012 11.00,"0,440956","17,323441","22,172585","0,236822","39,052865"
01/01/2012 12.00,"0,952978","15,285436","19,157112","0,234901","47,234759"
01/01/2012 13.00,"0,590089","15,259194","19,748053","0,23734","52,314626"
01/01/2012 14.00,"0,920213","14,034751","17,483218","0,23202","55,216913"
01/01/2012 15.00,"0,654524","11,377554","14,584479","0,209535","59,1717"
01/01/2012 16.00,"0,478466","12,862796","16,15463","0,240123","58,192613"
01/01/2012 17.00,"0,52987","21,049245","24,603595","0,303884","50,02694"
01/01/2012 18.00,"0,986908","47,97139","56,235189","1,125767","32,820624"
01/01/2012 19.00,"1,19588","59,484249","68,310826","1,754174","22,014705"
01/01/2012 20.00,"1,556282","60,906356","72,918345","1,917384","21,760343"
01/01/2012 21.00,"1,390771","63,645564","74,096941","1,749002","19,20377"
01/01/2012 22.00,"0,936595","48,327329","53,34455","0,920838","17,531539"
01/01/2012 23.00,"0,650948","37,481202","43,17139","0,765806","21,747535"
02/01/2012 0.00,"1,254064","45,794789","56,08766","1,841333","21,34634"
02/01/2012 1.00,"1,114234","49,249122","61,447417","1,903863","22,782122"
02/01/2012 2.00,"0,843953",,,"0,863825","20,602844"
02/01/2012 3.00,"0,684238",,,"0,559054","25,796228"
02/01/2012 4.00,,"26,253423","28,180087","0,34058","34,300794"
02/01/2012 5.00,"0,360293","18,497035","20,940452","0,264504",
02/01/2012 6.00,"0,286818","15,682376","18,333545","0,255884","48,438362"
02/01/2012 7.00,"0,242964","18,621694","23,738684","0,295831","36,493696"
02/01/2012 8.00,"0,65364","35,895905","49,577663","0,34415","17,377888"
02/01/2012 9.00,"0,370865","38,945949","47,19527","0,372965","13,287367"
02/01/2012 10.00,"0,412206","34,222045","42,908777","0,443795","19,071457"
02/01/2012 11.00,"0,445461","30,138665","39,263473","0,362327","29,256774"
02/01/2012 12.00,"0,895127","31,134282","48,677051","0,31898","37,457441"
02/01/2012 13.00,"0,685361","23,947551","29,441319","0,268001","46,481843"
02/01/2012 14.00,"0,539645","19,011252","24,24936","0,216848","51,664993"
02/01/2012 15.00,"0,669706","17,667891","23,184223","0,209338","55,307384"
02/01/2012 16.00,"0,484507","19,838739","23,883785","0,220715","53,603555"
