,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
01/01/2005 1.00,"0,09048249","28,51294856",
01/01/2005 2.00,"0,07720047","42,57148304",
01/01/2005 3.00,0,"36,70252256",
01/01/2005 4.00,0,"26,16898952",
01/01/2005 5.00,0,"21,43434216",
01/01/2005 6.00,0,"21,4395428",
01/01/2005 7.00,0,"19,14879472",
01/01/2005 8.00,0,"21,00605416",
01/01/2005 9.00,0,"18,04819972",
01/01/2005 10.00,0,"19,05664779",
01/01/2005 11.00,0,"26,71278144",
01/01/2005 12.00,0,"34,72974008",
01/01/2005 13.00,"0,01162126","40,59741952",
01/01/2005 14.00,0,"51,178982",
01/01/2005 15.00,0,"34,7076756",
01/01/2005 16.00,0,"20,57514672",
01/01/2005 17.00,0,"27,26439344",
01/01/2005 18.00,0,"36,33780856",
01/01/2005 19.00,0,"47,61631416",
01/01/2005 20.00,0,"51,160818",
01/01/2005 21.00,0,"53,52942272",
01/01/2005 22.00,0,"49,57869536",
01/01/2005 23.00,0,"51,57614264",
02/01/2005 0.00,0,"38,64672064",
02/01/2005 1.00,,"33,81345232",
02/01/2005 2.00,"0,42647488",,
02/01/2005 3.00,"0,12881525","22,7283264",
02/01/2005 4.00,"0,01392883","16,02612014",
02/01/2005 5.00,"0,02437241","11,84567746",
02/01/2005 6.00,"2,23854718","10,13118897",
02/01/2005 7.00,"3,67810763","12,22076406",
02/01/2005 8.00,"2,65457442","16,13384031",
02/01/2005 9.00,"2,12540084","23,205944",
02/01/2005 10.00,"2,56231726","27,06581312",
02/01/2005 11.00,"4,06976551","38,0847456",
02/01/2005 12.00,"3,32474487","52,86362608",
02/01/2005 13.00,"5,29522102","53,84090664",
02/01/2005 14.00,"4,64941992","52,63259912",
02/01/2005 15.00,"4,79041578","24,60765032",
02/01/2005 16.00,"3,98273065","23,93535288",
02/01/2005 17.00,"4,12720872","42,30152776",
02/01/2005 18.00,"4,36046276","73,36221632",
02/01/2005 19.00,"4,47360909","69,0182288",
02/01/2005 20.00,"4,63723524","61,80595448",
02/01/2005 21.00,"4,61808716","62,25370664",
02/01/2005 22.00,"3,72684735","63,57235568",
02/01/2005 23.00,"4,60590249","55,09726272",
03/01/2005 0.00,"3,80343864","42,0614188",
03/01/2005 1.00,"3,63807139","37,41892984",
03/01/2005 2.00,"3,75992121","38,15483952",
03/01/2005 3.00,"3,40829854","31,3617712",
03/01/2005 4.00,"3,53885185","33,72129392",
03/01/2005 5.00,"3,20463616","27,9756192",
03/01/2005 6.00,"3,06886157","24,12353192",
03/01/2005 7.00,"2,84605213","33,14763656",
03/01/2005 8.00,"4,25079863","61,8150556",
03/01/2005 9.00,"5,26736946","74,04359576",
03/01/2005 10.00,"5,43795799","62,576892",
03/01/2005 11.00,"4,94011716","64,34589352",
03/01/2005 12.00,"4,80782377","53,02974064",
03/01/2005 13.00,"3,74251322","24,84515896",
03/01/2005 14.00,"0,3968812","21,65108648",
03/01/2005 15.00,"6,30482845","13,80805866",
03/01/2005 16.00,"4,20902231","13,78599609",
03/01/2005 17.00,"3,46051946","18,93984562",
03/01/2005 18.00,"3,22030304","25,45774464",
03/01/2005 19.00,"3,52492607","36,0367068",
03/01/2005 20.00,"3,38567029","30,40005432",
03/01/2005 21.00,"3,2481546","25,3733872",
03/01/2005 22.00,"3,6902923","20,03265496",
03/01/2005 23.00,"3,5075191","17,36422761",
04/01/2005 0.00,"3,35607763","10,79958402",
04/01/2005 1.00,,"7,8313608",
04/01/2005 2.00,"1,29876494",,
04/01/2005 3.00,"1,96764177","13,09423066",
04/01/2005 4.00,"1,72620597","5,13048872",
04/01/2005 5.00,"1,58099972","3,4406593",
04/01/2005 6.00,"1,25822426","3,74825421",
04/01/2005 7.00,"1,61293352","6,02991455",
04/01/2005 8.00,"1,55552286","37,83295432",
04/01/2005 9.00,"1,73868659","48,57675",
04/01/2005 10.00,"1,93493403","60,97012368",
04/01/2005 11.00,"3,38957557","57,55152504",
04/01/2005 12.00,"3,44121985","63,01946264",
04/01/2005 13.00,"3,56172215","68,36541464",
04/01/2005 14.00,"3,44466239","65,48022576",
04/01/2005 15.00,"1,77664408","46,0783396",
04/01/2005 16.00,"1,70503101","48,09265072",
04/01/2005 17.00,"3,30005923","73,37259848",
04/01/2005 18.00,"3,47909191","81,91908552",
04/01/2005 19.00,"3,91290242","81,04560744",
04/01/2005 20.00,"4,09021331","84,85616608",
04/01/2005 21.00,"4,53607425","87,33899368",
04/01/2005 22.00,"3,44294061","77,611426",
04/01/2005 23.00,"3,61680897","58,46653176",
05/01/2005 0.00,"2,0158435","43,81485664",
05/01/2005 1.00,"2,57876317","39,22557864",
05/01/2005 2.00,"2,04338691","29,46428328",
05/01/2005 3.00,"2,20520483","17,16565111",
05/01/2005 4.00,"1,86091067","17,43431006",
05/01/2005 5.00,"1,82751442","14,44790754",
05/01/2005 6.00,"1,9228836","19,93789624",
05/01/2005 7.00,"1,84395423","24,93341688",
05/01/2005 8.00,"1,92632716","55,22054848",
05/01/2005 9.00,"3,68738978","75,50499472",
05/01/2005 10.00,"5,2935206","96,59412528",
05/01/2005 11.00,"5,98038714","98,44358376",
05/01/2005 12.00,"4,85971009","87,64399592",
05/01/2005 13.00,"3,985204","77,44143008",
05/01/2005 14.00,"3,44294061","64,25243496",
05/01/2005 15.00,"3,43777629","40,21974216",
05/01/2005 16.00,"3,09864747","49,5319852",
05/01/2005 17.00,"3,74764093","86,04762888",
05/01/2005 18.00,"5,83578398","113,8946852",
05/01/2005 19.00,"5,29179881","105,33397288",
