"","Regione Puglia","","",""
"","Verdi","","",""
"Parm","SO2","NO2","NOX","PM10"



"2007-01-01 01:00:00","9.96769124","77.00404096","","53.35490036"
"2007-01-01 02:00:00","11.14885233","84.9379232","","53.35490036"
"2007-01-01 03:00:00","5.88055842","79.84118128","","53.35490036"
"2007-01-01 04:00:00","5.64757592","70.57826784","","53.35490036"
"2007-01-01 05:00:00","5.04073711","60.27966224","","53.35490036"
"2007-01-01 06:00:00","4.80414223","55.2049848","","53.35490036"
"2007-01-01 07:00:00","4.87277244","56.89351024","","53.35490036"
"2007-01-01 08:00:00","5.1147859","40.17691336","","53.35490036"
"2007-01-01 09:00:00","5.11839828","42.55851968","","53.35490036"
"2007-01-01 10:00:00","5.82457054","50.37819816","","53.35490036"
"2007-01-01 11:00:00","6.35555437","68.62756896","","53.35490036"
"2007-01-01 12:00:00","4.62353523","86.73418984","","53.35490036"
"2007-01-01 13:00:00","5.43265433","84.90937704","","53.35490036"
"2007-01-01 14:00:00","5.84805002","106.88487256","","53.35490036"
"2007-01-01 15:00:00","6.36277914","107.6181628","","53.35490036"
"2007-01-01 16:00:00","6.3862576","74.53677704","","53.35490036"
"2007-01-01 17:00:00","6.40070714","58.9272664","","53.35490036"
"2007-01-01 18:00:00","6.14063278","57.70207592","","53.35490036"
"2007-01-01 19:00:00","6.13340801","65.13499504","","53.35490036"
"2007-01-01 20:00:00","6.25080337","90.23326456","","53.35490036"
"2007-01-01 21:00:00","6.68606513","97.34559864","","53.35490036"
"2007-01-01 22:00:00","7.0346368","101.51045088","","53.35490036"
"2007-01-01 23:00:00","6.29053655","103.37671584","","53.35490036"
"2007-01-02 00:00:00","7.0870123","116.98235488","","53.35490036"
"2007-01-02 01:00:00","6.5488037","97.83877992","","19.07324982"
"2007-01-02 02:00:00","6.17855976","","","19.07324982"
"2007-01-02 03:00:00","6.83777509","46.25355528","","19.07324982"
"2007-01-02 04:00:00","5.53198777","50.02906696","","19.07324982"
"2007-01-02 05:00:00","7.36875893","41.7772","","19.07324982"
"2007-01-02 06:00:00","5.5265692","32.96723936","","19.07324982"
"2007-01-02 07:00:00","7.77331848","44.06144728","","19.07324982"
"2007-01-02 08:00:00","6.77456244","41.67075896","","19.07324982"
"2007-01-02 09:00:00","7.73177911","39.7317424","","19.07324982"
"2007-01-02 10:00:00","7.63966942","46.09782288","","19.07324982"
"2007-01-02 11:00:00","7.42113545","46.81293","","19.07324982"
"2007-01-02 12:00:00","7.82930636","53.18809248","","19.07324982"
"2007-01-02 13:00:00","8.20316268","67.70089904","","19.07324982"
"2007-01-02 14:00:00","7.57826296","71.11169672","","19.07324982"
"2007-01-02 15:00:00","7.74442144","41.82521032","","19.07324982"
"2007-01-02 16:00:00","7.8238888","32.98150288","","19.07324982"
"2007-01-02 17:00:00","7.12855166","42.54293688","","19.07324982"
"2007-01-02 18:00:00","7.54755973","66.83132144","","19.07324982"
"2007-01-02 19:00:00","6.63188344","94.36567016","","19.07324982"
"2007-01-02 20:00:00","7.69023975","115.05764008","","19.07324982"
"2007-01-02 21:00:00","7.59451767","111.01209664","","19.07324982"
"2007-01-02 22:00:00","6.95336324","76.6107808","","19.07324982"
"2007-01-02 23:00:00","6.41696083","41.43585064","","19.07324982"
"2007-01-03 00:00:00","5.62409746","28.09114224","","19.07324982"
"2007-01-03 01:00:00","6.21106918","23.56025672","","17.60873032"
"2007-01-03 02:00:00","6.85944838","19.8963676","","17.60873032"
"2007-01-03 03:00:00","6.91724246","18.50635125","","17.60873032"
"2007-01-03 04:00:00","6.20926299","13.69773434","","17.60873032"
"2007-01-03 05:00:00","6.64091339","12.90214541","","17.60873032"
"2007-01-03 06:00:00","5.13826436","10.69835509","","17.60873032"
"2007-01-03 07:00:00","5.63673979","11.82750007","","17.60873032"
"2007-01-03 08:00:00","5.74871556","19.11115891","","17.60873032"
"2007-01-03 09:00:00","6.1930093","23.5057456","","17.60873032"
"2007-01-03 10:00:00","6.67703519","28.79198584","","17.60873032"
"2007-01-03 11:00:00","5.85527377","33.61357184","","17.60873032"
"2007-01-03 12:00:00","5.59881179","33.69404792","","17.60873032"
"2007-01-03 13:00:00","6.40251231","36.92314824","","17.60873032"
"2007-01-03 14:00:00","5.86430371","32.95555704","","17.60873032"
"2007-01-03 15:00:00","5.51934545","19.43561384","","17.60873032"
"2007-01-03 16:00:00","5.08408267","20.86848576","","17.60873032"
"2007-01-03 17:00:00","","23.20464384","","17.60873032"
"2007-01-03 18:00:00","","29.29944976","","17.60873032"
"2007-01-03 19:00:00","4.92876134","34.00553184","","17.60873032"
"2007-01-03 20:00:00","5.0046153","35.95623072","","17.60873032"
"2007-01-03 21:00:00","4.80594842","34.7232584","","17.60873032"
"2007-01-03 22:00:00","4.75176571","36.35469152","","17.60873032"
"2007-01-03 23:00:00","4.91431181","27.20598184","","17.60873032"
"2007-01-04 00:00:00","4.99377917","23.5031644","","17.60873032"
"2007-01-04 01:00:00","","16.89699217","","54.05887985"
"2007-01-04 02:00:00","4.8077536","","","54.05887985"
"2007-01-04 03:00:00","4.76079667","12.9878011","","54.05887985"
"2007-01-04 04:00:00","4.79511127","17.47194586","","54.05887985"
