,ARPA Puglia,,,,
,Molfetta Verdi,,,,
Parm,SO2,NO2,,,PM10



01/01/2008 1.00,"12,37609005","27,95745348",,,"29,02589989"
01/01/2008 2.00,"14,91559982","33,30225855",,,"29,02589989"
01/01/2008 3.00,"12,72239017","32,30758575",,,"29,02589989"
01/01/2008 4.00,"12,47908974","26,98448742",,,"29,02589989"
01/01/2008 5.00,"12,1381197","24,73727553",,,"29,02589989"
01/01/2008 6.00,"12,38852024","17,98669006",,,"29,02589989"
01/01/2008 7.00,"11,53610039","13,8484863",,,"29,02589989"
01/01/2008 8.00,"12,04222965","11,37526662",,,"29,02589989"
01/01/2008 9.00,"12,5376997","13,94807585",,,"29,02589989"
01/01/2008 10.00,"12,70995998","16,61793151",,,"29,02589989"
01/01/2008 11.00,"12,63891983","18,89451333",,,"29,02589989"
01/01/2008 12.00,"12,86800957","27,41734314",,,"29,02589989"
01/01/2008 13.00,"12,47377014","34,45139907",,,"29,02589989"
01/01/2008 14.00,"11,91259003","42,19536321",,,"29,02589989"
01/01/2008 15.00,"11,95520973","39,61233639",,,"29,02589989"
01/01/2008 16.00,"11,86641979","15,90417853",,,"29,02589989"
01/01/2008 17.00,"12,41516018","11,75193687",,,"29,02589989"
01/01/2008 18.00,"11,94810963","15,82757669",,,"29,02589989"
01/01/2008 19.00,"11,44552994","19,67593716",,,"29,02589989"
01/01/2008 20.00,"11,55031013","40,26733821",,,"29,02589989"
01/01/2008 21.00,"11,92146969","45,63003159",,,"29,02589989"
01/01/2008 22.00,"11,69237995","47,97172611",,,"29,02589989"
01/01/2008 23.00,"11,30879021","43,7377644",,,"29,02589989"
02/01/2008 0.00,"11,73499966","39,60084348",,,"29,02589989"
02/01/2008 1.00,,"37,10208546",,,"20,28326988"
02/01/2008 2.00,"11,7136898",,,,"20,28326988"
02/01/2008 3.00,"12,45600986","15,39855821",,,"20,28326988"
02/01/2008 4.00,"12,25710964","14,53158838",,,"20,28326988"
02/01/2008 5.00,"12,36365986","12,24350612",,,"20,28326988"
02/01/2008 6.00,"11,64087963","11,268012",,,"20,28326988"
02/01/2008 7.00,"11,95699024","17,16952347",,,"20,28326988"
02/01/2008 8.00,"11,84687996","30,67198101",,,"20,28326988"
02/01/2008 9.00,"12,75790977","47,64104631",,,"20,28326988"
02/01/2008 10.00,"10,91098976","48,78381024",,,"20,28326988"
02/01/2008 11.00,"12,55545998","57,09468897",,,"20,28326988"
02/01/2008 12.00,"12,86445999","62,57739015",,,"20,28326988"
02/01/2008 13.00,"12,72949028","69,71104503",,,"20,28326988"
02/01/2008 14.00,"12,14523029","71,03509974",,,"20,28326988"
02/01/2008 15.00,"12,1328001","58,14934686",,,"20,28326988"
02/01/2008 16.00,"12,37432003","47,31672429",,,"20,28326988"
02/01/2008 17.00,"11,84333038","60,59064033",,,"20,28326988"
02/01/2008 18.00,"11,79360008","70,0136415",,,"20,28326988"
02/01/2008 19.00,"13,13261986","76,10667075",,,"20,28326988"
02/01/2008 20.00,"12,91063023","76,41949986",,,"20,28326988"
02/01/2008 21.00,"13,35814953","78,71012523",,,"20,28326988"
02/01/2008 22.00,"12,46310997","76,66848783",,,"20,28326988"
02/01/2008 23.00,"12,1683197","73,79433864",,,"20,28326988"
03/01/2008 0.00,"12,00316048","62,98086465",,,"20,28326988"
03/01/2008 1.00,"12,50395966","51,24297321",,,"98,53166962"
03/01/2008 2.00,"11,18803024","37,45067238",,,"98,53166962"
03/01/2008 3.00,"11,66396999","29,1665979",,,"98,53166962"
03/01/2008 4.00,"11,48814964","19,03622787",,,"98,53166962"
03/01/2008 5.00,"12,55545998","13,75016831",,,"98,53166962"
03/01/2008 6.00,"12,84136963","18,85875552",,,"98,53166962"
