,ARPA Puglia,,,
,Molfetta Verdi,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
01/01/2009 1.00,"2,47973178","40,54162736",,
01/01/2009 2.00,"0,65921533","41,91606856",,
01/01/2009 3.00,"0,34857167","42,58966616",,
01/01/2009 4.00,"0,43887415","42,98810784",,
01/01/2009 5.00,"0,15532234","36,51562456",,
01/01/2009 6.00,"0,21311642","30,66610912",,
01/01/2009 7.00,"0,55807468","23,79258384",,
01/01/2009 8.00,"0,08849731","21,993736",,
01/01/2009 9.00,"0,22937113","21,34220288",,
01/01/2009 10.00,"0,2329825","21,9963172",,
01/01/2009 11.00,"1,04932535","25,0826676",,
01/01/2009 12.00,"0,789252","28,53501304",,
01/01/2009 13.00,"0,98972508","34,01851432",,
01/01/2009 14.00,"1,42498786","41,01534448",,
01/01/2009 15.00,"1,53154607","41,58252016",,
01/01/2009 16.00,"1,29856357","34,4909504",,
01/01/2009 17.00,"1,40873315","29,47336528",,
01/01/2009 18.00,"1,29856357","30,89843624",,
01/01/2009 19.00,"1,17394446","35,09575424",,
01/01/2009 20.00,"1,60740104","39,24114232",,
01/01/2009 21.00,"1,80245656","47,05953976",,
01/01/2009 22.00,"1,84760831","51,50474856",,
01/01/2009 23.00,"1,69409216","50,15885352",,
02/01/2009 0.00,"1,66519512","46,23279096",,
02/01/2009 1.00,,"42,78044552",,
02/01/2009 2.00,"1,22812615",,,
02/01/2009 3.00,"1,33468436","29,81341448",,
02/01/2009 4.00,"1,20826007","22,83734864",,
02/01/2009 5.00,"0,74048787","18,08454493",,
02/01/2009 6.00,"1,21729001","16,5660307",,
02/01/2009 7.00,"0,97708275","19,62511216",,
02/01/2009 8.00,"1,12337413","25,93926272",,
02/01/2009 9.00,"1,20826007","35,49419592",,
02/01/2009 10.00,"1,16852588","44,70519856",,
02/01/2009 11.00,"1,3635814","51,06087776",,
02/01/2009 12.00,"1,75549862","53,8850356",,
02/01/2009 13.00,"1,92888085","54,92722856",,
02/01/2009 14.00,"1,62726814","54,87921824",,
02/01/2009 15.00,"1,67422506","52,38340816",,
02/01/2009 16.00,"1,57127924","50,54173152",,
02/01/2009 17.00,"1,55321935","49,0362036",,
02/01/2009 18.00,"1,41595791","48,33014024",,
02/01/2009 19.00,"1,69951073","53,01027648",,
02/01/2009 20.00,"2,82469106","57,45938576",,
02/01/2009 21.00,"2,63866549","59,66445712",,
02/01/2009 22.00,"3,52725195","60,48472424",,
02/01/2009 23.00,"3,28523849","59,47367776",,
03/01/2009 0.00,"3,4116638","56,08882592",,
03/01/2009 1.00,"3,41888755","51,27890312",,
03/01/2009 2.00,"3,04503123","46,7545184",,
03/01/2009 3.00,"3,00529805","42,51049024",,
03/01/2009 4.00,"1,92346329","40,47543392",,
03/01/2009 5.00,"2,28828865","34,47666776",,
03/01/2009 6.00,"1,62546195","26,91786256",,
03/01/2009 7.00,"1,80606894","26,53108408",,
03/01/2009 8.00,"1,44304876","25,01647416",,
03/01/2009 9.00,"1,39789701","30,95294736",,
03/01/2009 10.00,"1,30036976","35,3176992",,
03/01/2009 11.00,"1,86928058","50,88048056",,
03/01/2009 12.00,"1,42498786","56,40941096",,
03/01/2009 13.00,"2,11310023","57,60085464",,
03/01/2009 14.00,"2,70910291","58,82734528",,
03/01/2009 15.00,"2,87526138","56,63003664",,
03/01/2009 16.00,"1,59114633","40,6934784",,
03/01/2009 17.00,"1,38525468","25,64724296",,
03/01/2009 18.00,"1,23173853","22,02488248",,
03/01/2009 19.00,"1,09808948","24,44151664",,
03/01/2009 20.00,"1,12337413","28,3494152",,
03/01/2009 21.00,"1,24618705","30,0820696",,
03/01/2009 22.00,"1,22632097","30,7128384",,
03/01/2009 23.00,"1,2209024","24,04047464",,
04/01/2009 0.00,"1,23715711","20,11831256",,
04/01/2009 1.00,,"17,03716089",,
04/01/2009 2.00,"1,30398113",,,
04/01/2009 3.00,"1,07280482","21,03460032",,
04/01/2009 4.00,"0,9879199","21,56672904",,
04/01/2009 5.00,"1,12698652","18,7918855",,
04/01/2009 6.00,"1,33107299","16,30257049",,
04/01/2009 7.00,"0,96263423","15,98848434",,
04/01/2009 8.00,"1,09808948","15,8145669",,
04/01/2009 9.00,"0,74771264","20,63225816",,
04/01/2009 10.00,"0,73326412","26,3286224",,
04/01/2009 11.00,"0,73687549","34,18982952",,
04/01/2009 12.00,"0,70436708","43,47092608",,
04/01/2009 13.00,"0,83982131","50,12770704",,
04/01/2009 14.00,"0,90845254","54,24844944",,
04/01/2009 15.00,"1,4719458","48,29381224",,
04/01/2009 16.00,"1,00056223","36,51820576",,
04/01/2009 17.00,"0,78744581","31,5240044",,
04/01/2009 18.00,"0,83982131","35,4461856",,
04/01/2009 19.00,"0,65018437","43,71751672",,
04/01/2009 20.00,"0,68630618","51,95251984",,
04/01/2009 21.00,"0,73326412","56,95452216",,
04/01/2009 22.00,"0,65018437","58,22124128",,
04/01/2009 23.00,"0,62670591","54,85973496",,
05/01/2009 0.00,"0,53640241","46,28860224",,
05/01/2009 1.00,"0,58877791","39,92254088",,
05/01/2009 2.00,"0,52737247","34,98543184",,
05/01/2009 3.00,"0,64115443","25,5265384",,
05/01/2009 4.00,"0,47860834","18,07415894",,
05/01/2009 5.00,"0,72603935","13,95601878",,
05/01/2009 6.00,"1,12337413","13,37066954",,
05/01/2009 7.00,"0,87233073","15,8509102",,
05/01/2009 8.00,"0,89942158","27,15407104",,
05/01/2009 9.00,"0,93734958","46,0536748",,
05/01/2009 10.00,"1,21729001","53,87985408",,
05/01/2009 11.00,"2,14380346","59,77607968",,
05/01/2009 12.00,"2,27203394","62,3290012",,
05/01/2009 13.00,"2,73799994","65,0168908",,
05/01/2009 14.00,"2,4923741","66,85208576",,
05/01/2009 15.00,"1,66158274","61,73846088",,
05/01/2009 16.00,"1,73021396","55,33995288",,
05/01/2009 17.00,"1,86205683","60,94675904",,
05/01/2009 18.00,"2,52307733","72,584778",,
05/01/2009 19.00,"4,01308403","81,56475368",,
05/01/2009 20.00,"4,08532663","83,28186352",,
05/01/2009 21.00,"5,1653552","84,2189156",,
05/01/2009 22.00,"5,32609612","81,4207036",,
05/01/2009 23.00,"4,30747299","77,61662664",,
06/01/2009 0.00,"2,84816952","70,47704656",,
06/01/2009 1.00,,"62,60803848",,
06/01/2009 2.00,"1,05474392",,,
06/01/2009 3.00,"1,03848921","39,11137488",,
06/01/2009 4.00,"1,39067224","29,40457152",,
06/01/2009 5.00,"1,47736437","21,42265984",,
06/01/2009 6.00,"1,45388489","17,33697587",,
06/01/2009 7.00,"0,62309353","17,45118537",,
06/01/2009 8.00,"0,55807468","20,95282408",,
06/01/2009 9.00,"0,53640241","31,190456",,
06/01/2009 10.00,"0,60322643","44,3547672",,
06/01/2009 11.00,"1,08725334","61,23617848",,
06/01/2009 12.00,"1,32204203","66,18106936",,
06/01/2009 13.00,"1,59475872","66,18366968",,
06/01/2009 14.00,"1,60017628","60,2134688",,
06/01/2009 15.00,"1,83677116","46,57282104",,
06/01/2009 16.00,"1,39789701","35,93158504",,
06/01/2009 17.00,"1,37802992","34,51041456",,
06/01/2009 18.00,"1,54057601","51,00896696",,
06/01/2009 19.00,"1,56405549","61,72937888",,
06/01/2009 20.00,"1,68686841","61,4075128",,
06/01/2009 21.00,"1,31481828","59,58009968",,
06/01/2009 22.00,"1,09086573","57,22317728",,
06/01/2009 23.00,"1,12518032","54,63002728",,
07/01/2009 0.00,"1,08364096","51,8434976",,
07/01/2009 1.00,"0,91206492","49,30743992",,
07/01/2009 2.00,"0,82898518","38,1522392",,
07/01/2009 3.00,"0,72423316","29,381226",,
07/01/2009 4.00,"0,69533612","23,90808776",,
07/01/2009 5.00,"0,56349326","21,03590048",,
07/01/2009 6.00,"0,69533612","21,37074904",,
07/01/2009 7.00,"0,87413693","24,16766088",,
07/01/2009 8.00,"0,82356762","37,29044344",,
07/01/2009 9.00,"1,83857735","45,76555552",,
07/01/2009 10.00,"2,78495789","52,48464856",,
07/01/2009 11.00,"2,48153797","56,55866168",,
07/01/2009 12.00,"1,31662346","58,38735584",,
07/01/2009 13.00,"1,59475872","56,55216088",,
07/01/2009 14.00,"1,54960697","51,8279148",,
07/01/2009 15.00,"1,60378866","43,61369512",,
07/01/2009 16.00,"1,62726814","39,28917176",,
07/01/2009 17.00,"1,59656491","43,60979464",,
07/01/2009 18.00,"1,59656491","57,40747496",,
07/01/2009 19.00,"1,6706137","62,62232112",,
07/01/2009 20.00,"2,82107867","65,18950616",,
07/01/2009 21.00,"2,87345519","63,97859832",,
07/01/2009 22.00,"1,81509889","63,37767584",,
07/01/2009 23.00,"2,26842155","62,28227192",,
08/01/2009 0.00,"3,79093767","59,34259104",,
08/01/2009 1.00,,"53,83182464",,
08/01/2009 2.00,"2,03363286",,,
08/01/2009 3.00,"1,66158274","45,07767528",,
08/01/2009 4.00,"2,1528334","45,39175952",,
08/01/2009 5.00,"1,43943638","36,8387908",,
08/01/2009 6.00,"1,32384822","31,86145328",,
08/01/2009 7.00,"1,35274526","35,4396848",,
08/01/2009 8.00,"1,5604431","44,24964544",,
08/01/2009 9.00,"2,72716279","54,35099",,
08/01/2009 10.00,"4,45737676","60,38998464",,
08/01/2009 11.00,"3,9823808","63,2439888",,
08/01/2009 12.00,"3,40805141","62,98313464",,
08/01/2009 13.00,"1,01681694","44,91934256",,
08/01/2009 14.00,"1,50264903","49,82790544",,
08/01/2009 15.00,"1,21187246","56,84159944",,
08/01/2009 16.00,"1,66519512","57,04926176",,
08/01/2009 17.00,"3,33039024","72,29017704",,
08/01/2009 18.00,"4,06004198","71,57633184",,
08/01/2009 19.00,"4,21716949","65,69178856",,
08/01/2009 20.00,"4,54768025","62,32510072",,
08/01/2009 21.00,"3,09921292","58,12388224",,
08/01/2009 22.00,"3,40624522","54,85197224",,
08/01/2009 23.00,"2,46889564","51,58522464",,
09/01/2009 0.00,"2,02640911","47,26460176",,
09/01/2009 1.00,"1,2209024","43,26066344",,"35,65798187"
09/01/2009 2.00,,"38,80507248",,"35,65798187"
09/01/2009 3.00,,"31,92894688",,"35,65798187"
09/01/2009 4.00,,"25,46424544",,"35,65798187"
09/01/2009 5.00,,"22,0638108",,"35,65798187"
09/01/2009 6.00,,"21,2773096",,"35,65798187"
09/01/2009 7.00,,"25,4499628",,"35,65798187"
09/01/2009 8.00,,"35,60321816",,"35,65798187"
09/01/2009 9.00,"0,40997711","47,7344184",,"35,65798187"
09/01/2009 10.00,"0,13906763","52,92201856",,"35,65798187"
09/01/2009 11.00,"0,69894851","54,91036472",,"35,65798187"
09/01/2009 12.00,"0,91206492","57,85782744",,"35,65798187"
09/01/2009 13.00,"2,71813285","61,61387496",,"35,65798187"
09/01/2009 14.00,"3,22021965","61,36078352",,"35,65798187"
09/01/2009 15.00,"2,73438756","58,84290896",,"35,65798187"
09/01/2009 16.00,"2,55016818","56,93373872",,"35,65798187"
09/01/2009 17.00,"2,72355143","56,65730176",,"35,65798187"
09/01/2009 18.00,"2,39845924","58,62098312",,"35,65798187"
09/01/2009 19.00,"3,60671829","59,93571256",,"35,65798187"
09/01/2009 20.00,"3,51099724","62,34456488",,"35,65798187"
09/01/2009 21.00,"3,45681453","61,41789496",,"35,65798187"
09/01/2009 22.00,"3,90652583","60,01230728",,"35,65798187"
09/01/2009 23.00,"3,38999051","57,51129656",,"35,65798187"
10/01/2009 0.00,"2,91860694","53,09335288",,"35,65798187"
10/01/2009 1.00,,"48,96090904",,"22,94626999"
10/01/2009 2.00,"1,60920724",,,"22,94626999"
10/01/2009 3.00,"1,6688075","20,67508696",,"22,94626999"
10/01/2009 4.00,"2,13116113","13,63024457",,"22,94626999"
10/01/2009 5.00,"1,66338893","11,60037359",,"22,94626999"
10/01/2009 6.00,"1,62546195","11,51471599",,"22,94626999"
10/01/2009 7.00,"1,61281962","13,40052542",,"22,94626999"
10/01/2009 8.00,"1,60017628","19,53945456",,"22,94626999"
10/01/2009 9.00,"1,79703798","46,2470736",,"22,94626999"
10/01/2009 10.00,"2,40026441","53,24648496",,"22,94626999"
10/01/2009 11.00,"2,59712612","54,0018588",,"22,94626999"
10/01/2009 12.00,"2,39484686","56,72867672",,"22,94626999"
10/01/2009 13.00,"1,71395925","58,10961872",,"22,94626999"
10/01/2009 14.00,"2,57364766","58,07717208",,"22,94626999"
10/01/2009 15.00,"2,84094577","53,82794328",,"22,94626999"
10/01/2009 16.00,"1,69047977","49,57091352",,"22,94626999"
10/01/2009 17.00,"1,60559485","47,66046224",,"22,94626999"
10/01/2009 18.00,"1,51348516","48,93236288",,"22,94626999"
10/01/2009 19.00,"1,64713422","51,2918856",,"22,94626999"
10/01/2009 20.00,"1,69228597","53,40093632",,"22,94626999"
10/01/2009 21.00,"2,53933205","53,83442496",,"22,94626999"
10/01/2009 22.00,"2,33524659","54,07583408",,"22,94626999"
10/01/2009 23.00,"1,89456625","51,84089728",,"22,94626999"
11/01/2009 0.00,"1,6507466","49,46839208",,"22,94626999"
11/01/2009 1.00,"1,6507466","46,23409112",,"38,23456955"
11/01/2009 2.00,"1,63991047","41,91346824",,"38,23456955"
11/01/2009 3.00,"1,65797035","35,08537208",,"38,23456955"
11/01/2009 4.00,"1,67603126","31,17099184",,"38,23456955"
11/01/2009 5.00,"1,60198247","24,82439464",,"38,23456955"
11/01/2009 6.00,"1,5080676","21,8224208",,"38,23456955"
11/01/2009 7.00,"1,61643099","21,55764704",,"38,23456955"
11/01/2009 8.00,"1,26424796","24,41685184",,"38,23456955"
11/01/2009 9.00,"1,33649055","30,11191592",,"38,23456955"
11/01/2009 10.00,"0,83801614","36,72328688",,"38,23456955"
11/01/2009 11.00,"1,00959217","43,79667352",,"38,23456955"
11/01/2009 12.00,"1,10350805","49,5229032",,"38,23456955"
11/01/2009 13.00,"1,52973987","51,98884784",,"38,23456955"
11/01/2009 14.00,"1,5622493","54,15501",,"38,23456955"
11/01/2009 15.00,"1,49361908","51,3256324",,"38,23456955"
11/01/2009 16.00,"1,27869647","47,29186688",,"38,23456955"
11/01/2009 17.00,"1,06558006","45,28405656",,"38,23456955"
11/01/2009 18.00,"0,969859","47,63319712",,"38,23456955"
11/01/2009 19.00,"0,81092427","52,79613248",,"38,23456955"
11/01/2009 20.00,"1,33287817","56,05509824",,"38,23456955"
11/01/2009 21.00,"1,52973987","60,37830232",,"38,23456955"
11/01/2009 22.00,"1,57308543","63,31408272",,"38,23456955"
11/01/2009 23.00,"1,71757062","63,42050464",,"38,23456955"
12/01/2009 0.00,"1,59475872","59,57621832",,"38,23456955"
12/01/2009 1.00,,"53,2698496",,"60,92646027"
12/01/2009 2.00,"1,09267192",,,"60,92646027"
12/01/2009 3.00,"1,19019917","30,53242208",,"60,92646027"
12/01/2009 4.00,"1,2732779","22,9852992",,"60,92646027"
12/01/2009 5.00,"1,12698652","19,63679448",,"60,92646027"
12/01/2009 6.00,"0,93554339","21,09689328",,"60,92646027"
12/01/2009 7.00,"0,57071803","28,12356976",,"60,92646027"
12/01/2009 8.00,"1,62365576","44,11465824",,"60,92646027"
12/01/2009 9.00,"2,57364766","54,30036024",,"60,92646027"
12/01/2009 10.00,"3,18771023","60,5963468",,"60,92646027"
12/01/2009 11.00,"3,12810996","63,81116448",,"60,92646027"
12/01/2009 12.00,"2,83552719","64,95329768",,"60,92646027"
12/01/2009 13.00,"2,25036065","65,43999728",,"60,92646027"
12/01/2009 14.00,"2,01918434","65,12203168",,"60,92646027"
12/01/2009 15.00,"1,73201914","62,59375584",,"60,92646027"
12/01/2009 16.00,"1,47013961","61,56584552",,"60,92646027"
12/01/2009 17.00,"1,55141316","63,53732784",,"60,92646027"
12/01/2009 18.00,"2,08420319","67,781356",,"60,92646027"
12/01/2009 19.00,"3,20396595","72,95339248",,"60,92646027"
12/01/2009 20.00,"4,44834681","73,9813028",,"60,92646027"
12/01/2009 21.00,"5,25385251","73,778822",,"60,92646027"
12/01/2009 22.00,"5,51031449","76,90280056",,"60,92646027"
12/01/2009 23.00,"5,08408267","71,559468",,"60,92646027"
13/01/2009 0.00,"4,84026404","64,64441408",,"60,92646027"
13/01/2009 1.00,"3,45862072","53,799378",,"41,67263031"
13/01/2009 2.00,"3,31774791","47,40477048",,"41,67263031"
13/01/2009 3.00,"2,16547573","42,9219144",,"41,67263031"
13/01/2009 4.00,"1,5803102","37,38520216",,"41,67263031"
13/01/2009 5.00,"1,93971698","31,9678752",,"41,67263031"
13/01/2009 6.00,"1,73743772","30,2443028",,"41,67263031"
13/01/2009 7.00,"1,71576545","32,56101584",,"41,67263031"
13/01/2009 8.00,"2,72174523","36,95171352",,"41,67263031"
13/01/2009 9.00,"3,03600128","42,53125456",,"41,67263031"
13/01/2009 10.00,"3,09740774","48,99985648",,"41,67263031"
13/01/2009 11.00,"3,052256","51,8772444",,"41,67263031"
13/01/2009 12.00,"3,3917967","55,19200232",,"41,67263031"
13/01/2009 13.00,"3,30329939","57,68521208",,"41,67263031"
13/01/2009 14.00,"3,06851071","58,11221904",,"41,67263031"
13/01/2009 15.00,"2,74883608","51,32433224",,"41,67263031"
13/01/2009 16.00,"2,58628999","39,14900304",,"41,67263031"
13/01/2009 17.00,"2,3135733","37,77066136",,"41,67263031"
13/01/2009 18.00,"1,98125736","39,30085408",,"41,67263031"
13/01/2009 19.00,"2,59712612","43,63444032",,"41,67263031"
13/01/2009 20.00,"1,98486873","41,6577956",,"41,67263031"
13/01/2009 21.00,"2,53210829","37,98610552",,"41,67263031"
13/01/2009 22.00,"3,33761399","29,53047672",,"41,67263031"
13/01/2009 23.00,"3,31232934","24,50510976",,"41,67263031"
14/01/2009 0.00,"3,32497166","23,54209272",,"41,67263031"
14/01/2009 1.00,,"20,75946352",,"36,75959015"
14/01/2009 2.00,"14,00075424",,,"36,75959015"
14/01/2009 3.00,,,,"36,75959015"
14/01/2009 4.00,"0,93734958","15,38108209",,"36,75959015"
14/01/2009 5.00,"1,42498786","16,38433143",,"36,75959015"
14/01/2009 6.00,"3,10101911","19,81589152",,"36,75959015"
14/01/2009 7.00,"3,12449859","27,62000632",,"36,75959015"
14/01/2009 8.00,"2,95292154","40,85701176",,"36,75959015"
14/01/2009 9.00,"3,06128594","45,8122848",,"36,75959015"
