,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



01/01/2010 1.00,"8,8659904","31,90799136","24,5"
01/01/2010 2.00,"8,23928449","33,9262412","24,5"
01/01/2010 3.00,"8,88766368","39,0342448","24,5"
01/01/2010 4.00,"9,0592387","41,18694648","24,5"
01/01/2010 5.00,"9,27054893","43,34936112","24,5"
01/01/2010 6.00,"8,74678884","43,02359456","24,5"
01/01/2010 7.00,"9,28499745","37,71045248","24,5"
01/01/2010 8.00,"9,0104766","37,95857272","24,5"
01/01/2010 9.00,"9,21456206","39,97682256","24,5"
01/01/2010 10.00,"8,57521281","41,07327808","24,5"
01/01/2010 11.00,"7,99004626","32,4610756","24,5"
01/01/2010 12.00,"8,56618286","36,13576752","24,5"
01/01/2010 13.00,"8,58243656","43,60302616","24,5"
01/01/2010 14.00,"8,88585749","40,00871472","24,5"
01/01/2010 15.00,"9,01769934","26,59899832","24,5"
01/01/2010 16.00,"9,00144564","21,15555344","24,5"
01/01/2010 17.00,"9,01589416","24,83580928","24,5"
01/01/2010 18.00,"9,17663406","23,7989508","24,5"
01/01/2010 19.00,"9,11886338","28,286128","24,5"
01/01/2010 20.00,"8,69441334","34,46269104","24,5"
01/01/2010 21.00,"8,0909825","41,75536496","24,5"
01/01/2010 22.00,"8,14898099","51,01342192","24,5"
01/01/2010 23.00,"7,85097965","49,38468472","24,5"
02/01/2010 0.00,"8,81903246","39,31146568","24,5"
02/01/2010 1.00,,"27,00791776","14,89999962"
02/01/2010 2.00,"7,80402171",,"14,89999962"
02/01/2010 3.00,"8,14898099","25,5904948","14,89999962"
02/01/2010 4.00,"8,9707414","17,09365475","14,89999962"
02/01/2010 5.00,"7,97921013","15,20081873","14,89999962"
02/01/2010 6.00,"7,63786323","14,5225807","14,89999962"
02/01/2010 7.00,"7,70107588","14,55636001","14,89999962"
02/01/2010 8.00,"7,95031309","23,66117208","14,89999962"
02/01/2010 9.00,"7,1953767","36,75162272","14,89999962"
02/01/2010 10.00,"6,94975086","57,5161148","14,89999962"
02/01/2010 11.00,"7,65773033","50,50410336","14,89999962"
02/01/2010 12.00,"7,37237131","51,03642328","14,89999962"
02/01/2010 13.00,"7,72274815","50,15552664","14,89999962"
02/01/2010 14.00,"7,67398504","40,125232","14,89999962"
02/01/2010 15.00,"7,72455434","27,2752536","14,89999962"
02/01/2010 16.00,"7,60174142","25,47699848","14,89999962"
02/01/2010 17.00,"7,18454057","38,42559784","14,89999962"
02/01/2010 18.00,"7,77331848","45,81050664","14,89999962"
02/01/2010 19.00,"7,53130502","51,743022","14,89999962"
02/01/2010 20.00,"7,31096485","52,29832416","14,89999962"
02/01/2010 21.00,"6,83958128","51,9672996","14,89999962"
02/01/2010 22.00,"7,04186055","49,6813124","14,89999962"
02/01/2010 23.00,"7,60174142","33,99004464","14,89999962"
03/01/2010 0.00,"6,48197968","23,25179376","14,89999962"
03/01/2010 1.00,"7,1953767","21,70619032","16,2999897"
03/01/2010 2.00,"6,20926299","22,19120736","16,2999897"
03/01/2010 3.00,"6,71134979","20,91850368","16,2999897"
03/01/2010 4.00,"6,22371253","15,33727243","16,2999897"
03/01/2010 5.00,"6,68425894","11,75560505","16,2999897"
03/01/2010 6.00,"6,14243897","8,83460632","16,2999897"
03/01/2010 7.00,"5,99614657","10,2099844","16,2999897"
03/01/2010 8.00,"5,80470446","11,94339786","16,2999897"
03/01/2010 9.00,"5,40014491","16,0438788","16,2999897"
03/01/2010 10.00,"5,93112875","25,76746952","16,2999897"
03/01/2010 11.00,"6,0647778","32,353908","16,2999897"
03/01/2010 12.00,"5,60603656","35,69239384","16,2999897"
03/01/2010 13.00,"6,77636863","42,27883232","16,2999897"
03/01/2010 14.00,"6,46391877","35,49107936","16,2999897"
03/01/2010 15.00,"5,5825581","21,48730456","16,2999897"
03/01/2010 16.00,"5,4543266","23,10453152","16,2999897"
03/01/2010 17.00,"6,00337134","21,0738728","16,2999897"
03/01/2010 18.00,"4,8637425","22,79377416","16,2999897"
03/01/2010 19.00,"4,95585219","34,62234304","16,2999897"
03/01/2010 20.00,"5,05518563","45,90914672","16,2999897"
03/01/2010 21.00,"5,51392687","48,67475912","16,2999897"
03/01/2010 22.00,"5,71259477","49,83127056","16,2999897"
03/01/2010 23.00,"5,8336015","48,68556192","16,2999897"
04/01/2010 0.00,"5,53018158","45,80914912","16,2999897"
04/01/2010 1.00,,"40,57917904","23,20000076"
04/01/2010 2.00,"5,53018158",,"23,20000076"
04/01/2010 3.00,"5,4723875","31,03512512","23,20000076"
04/01/2010 4.00,"5,49225358","27,19632624","23,20000076"
04/01/2010 5.00,"5,28816812","28,56350184","23,20000076"
04/01/2010 6.00,"5,09672499","29,39254504","23,20000076"
04/01/2010 7.00,"4,41041882","35,03915904","23,20000076"
04/01/2010 8.00,"4,99016678","39,72111168","23,20000076"
04/01/2010 9.00,"5,25565972","42,8833876","23,20000076"
04/01/2010 10.00,"5,78122498","44,79429776","23,20000076"
04/01/2010 11.00,"6,43321554","44,74064704","23,20000076"
04/01/2010 12.00,,"45,73916992","23,20000076"
04/01/2010 13.00,,"43,49211104","23,20000076"
04/01/2010 14.00,,"47,34643536","23,20000076"
04/01/2010 15.00,,"47,3746756","23,20000076"
04/01/2010 16.00,,"45,9891448","23,20000076"
04/01/2010 17.00,"3,12991615","50,04828256","23,20000076"
04/01/2010 18.00,"3,32858405","53,04105968","23,20000076"
04/01/2010 19.00,"3,42791749","54,29099144","23,20000076"
04/01/2010 20.00,"3,4261113","55,2598592","23,20000076"
04/01/2010 21.00,"3,40805141","52,3221668","23,20000076"
04/01/2010 22.00,"3,38096057","50,65840176","23,20000076"
