"NetC","ARPA Puglia","","","","","","","","",""
"Stat","Molfetta Verdi","","","","","","","","",""
,SO2,NO2,NOX,PM10
,,,,,,
,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
01/01/2011 1.00,"4,65062608","60,47998248","118,95978352","95,19998169"
01/01/2011 2.00,"3,63200396","60,6802836","122,94020424","95,19998169"
01/01/2011 3.00,"3,07573446","59,76202648","124,51991776","95,19998169"
01/01/2011 4.00,"3,24911669","59,42387016","113,7978424","95,19998169"
01/01/2011 5.00,"2,27564632","55,92252016","90,18252008","95,19998169"
01/01/2011 6.00,"2,31718568","53,78555424","79,4305984","95,19998169"
01/01/2011 7.00,"2,1708943","53,15344704","74,58771272","95,19998169"
01/01/2011 8.00,"2,10226307","51,23630376","66,59702496","95,19998169"
01/01/2011 9.00,"1,90901477","49,28793752","67,88882952","95,19998169"
01/01/2011 10.00,"1,81871127","51,74485752","72,78880752","95,19998169"
01/01/2011 11.00,"1,95958408","55,75214184","80,97142184","95,19998169"
01/01/2011 12.00,"2,07517223","54,91451376","71,7888124","95,19998169"
01/01/2011 13.00,"1,69589835","48,42430624","58,22634632","95,19998169"
01/01/2011 14.00,"1,89637142","45,48355464","54,29653624","95,19998169"
01/01/2011 15.00,"1,65977654","38,12319592","46,52505928","95,19998169"
01/01/2011 16.00,"1,93068704","34,10419104","42,16202824","95,19998169"
01/01/2011 17.00,"1,43401882","33,54233072","41,31512696","95,19998169"
01/01/2011 18.00,"1,3112059","35,5219008","43,51608752","95,19998169"
01/01/2011 19.00,"1,73202016","59,25997352","76,4190072","95,19998169"
01/01/2011 20.00,"2,1907614","73,45781632","106,17812088","95,19998169"
01/01/2011 21.00,"2,37678595","73,50334104","115,63175632","95,19998169"
01/01/2011 22.00,"2,09503932","68,37489816","106,85124048","95,19998169"
01/01/2011 23.00,"2,02460292","64,85404576","95,15251552","95,19998169"
02/01/2011 0.00,"2,07878461","61,7832208","83,95316672","95,19998169"
02/01/2011 1.00,,"57,25698144","72,50216048","34,70000076"
02/01/2011 2.00,"1,92346329",,,"34,70000076"
02/01/2011 3.00,"2,13116113","55,0725788","65,43885008","34,70000076"
02/01/2011 4.00,"1,95236033","41,78060336","51,63124648","34,70000076"
02/01/2011 5.00,"2,14019107","37,26618016","46,24233184","34,70000076"
02/01/2011 6.00,"1,92346329","35,35242112","43,34358688","34,70000076"
02/01/2011 7.00,"1,21006626","30,26967504","38,21793552","34,70000076"
02/01/2011 8.00,"1,86205683","32,5056252","40,65107024","34,70000076"
02/01/2011 9.00,"2,10226307","45,43158648","55,11362944","34,70000076"
02/01/2011 10.00,"2,16908811","61,7546364","77,98319528","34,70000076"
02/01/2011 11.00,"2,20701611","68,85939896","83,82995744","34,70000076"
02/01/2011 12.00,"2,52488353","62,36678232","74,26865728","34,70000076"
02/01/2011 13.00,"2,97278863","64,19935784","78,00524064","34,70000076"
02/01/2011 14.00,"2,10768165","62,06134032","73,50083632","34,70000076"
02/01/2011 15.00,"2,24133071","47,63401928","56,43006056","34,70000076"
02/01/2011 16.00,"2,03182667","36,53805232","45,31109224","34,70000076"
02/01/2011 17.00,"2,09684552","45,06815352","54,4171452","34,70000076"
